timestamps,open,high,low,close,volume,amount
2021-05-28,422.65,422.89,421.45,421.65,3300623.0,1391707687.9499998
2021-06-01,424.24,424.36,420.82,421.32,3773377.0,1589799197.64
2021-06-02,421.96,422.86,420.93,422.02,2688297.0,1134515099.94
2021-06-03,419.52,421.63,417.9,420.41,3162877.0,1329705119.5700002
2021-06-04,422.37,424.56,422.32,424.24,2601978.0,1103863146.72
2021-06-07,424.25,424.43,422.86,423.88,4281054.0,1814653169.52
2021-06-08,424.82,424.88,421.98,423.9,3696590.0,1566984501.0
2021-06-09,424.85,424.92,423.04,423.22,3676931.0,1556150737.8200002
2021-06-10,423.42,425.04,421.99,424.04,3099496.0,1314310283.8400002
2021-06-11,424.68,424.84,423.26,424.74,2179860.0,925873736.4
2021-06-14,424.92,425.78,423.54,425.76,2227444.0,948356557.44
2021-06-15,425.9,425.94,423.9988,424.93,4547645.0,1932430789.85
2021-06-16,425.12,425.28,420.31,422.58,4819084.0,2036448516.72
2021-06-17,422.08,423.44,419.75,422.45,4354798.0,1839684415.1
2021-06-18,418.97,419.61,416.48,416.77,7315134.0,3048728397.18
2021-06-21,418.62,422.87,417.73,422.65,4132244.0,1746492926.6
2021-06-22,422.67,425.79,421.89,424.66,4474676.0,1900215910.16
2021-06-23,424.97,425.86,424.33,424.41,2764674.0,1173355292.3400002
2021-06-24,426.69,427.38,426.44,426.87,4846718.0,2068918512.66
2021-06-25,427.76,428.91,427.4,428.44,4191695.0,1795889805.8
2021-06-28,429.04,429.49,427.72,429.35,4047515.0,1737800565.25
2021-06-29,429.76,430.3792,428.98,429.54,3343503.0,1436168278.62
2021-06-30,429.06,430.6186,429.05,429.92,6908225.0,2969984092.0
2021-07-01,430.71,432.47,430.66,432.35,3693519.0,1596892939.65
2021-07-02,433.54,435.975,433.2,435.64,3939968.0,1716407659.52
2021-07-06,435.67,435.87,431.87,434.53,4999259.0,2172328013.27
2021-07-07,435.57,436.62,433.41,436.31,4447952.0,1940685937.12
2021-07-08,430.65,433.6,429.39,432.81,6490940.0,2809343741.4
2021-07-09,434.42,437.7,434.18,437.41,4327799.0,1893022560.59
2021-07-12,437.31,439.27,436.86,439.03,4921274.0,2160586924.22
2021-07-13,438.15,439.75,437.0,437.49,4557779.0,1993982734.71
2021-07-14,439.3,439.81,436.8,438.07,4014403.0,1758589522.21
2021-07-15,436.68,437.41,434.6,436.57,4001531.0,1746948388.67
2021-07-16,437.87,437.96,432.7975,433.27,4034492.0,1748024348.84
2021-07-19,428.04,428.55,423.81,426.8,10321714.0,4405307535.2
2021-07-20,427.58,434.28,426.69,432.99,8467493.0,3666339794.07
2021-07-21,434.21,436.58,434.04,436.5,4595846.0,2006086779.0
2021-07-22,436.63,437.61,435.59,437.45,3936910.0,1722201279.5
2021-07-23,439.42,442.2,438.71,441.76,4132008.0,1825355854.08
2021-07-26,441.27,442.94,441.18,442.94,3137157.0,1389572321.58
2021-07-27,441.83,441.87,437.89,440.92,4269002.0,1882288361.84
2021-07-28,441.62,442.23,439.23,440.68,4476193.0,1972568731.24
2021-07-29,441.74,443.7161,441.72,442.64,3626670.0,1605309208.8
2021-07-30,439.82,441.98,439.71,440.4,2730690.0,1202595876.0
2021-08-02,442.28,442.86,439.15,439.51,3485705.0,1532002204.55
2021-08-03,440.32,443.17,438.01,443.02,3191813.0,1414036995.26
2021-08-04,441.72,442.32,440.64,440.91,3126035.0,1378300091.85
2021-08-05,442.14,443.78,441.83,443.65,2741165.0,1216117852.25
2021-08-06,444.04,444.87,443.76,444.42,2660324.0,1182301192.08
2021-08-09,444.42,444.72,443.24,444.11,1690110.0,750594752.1
2021-08-10,444.55,445.39,443.82,444.63,2650391.0,1178443350.33
2021-08-11,445.78,445.84,444.57,445.68,3294062.0,1468097552.16
