timestamps,open,high,low,close,volume,amount
2021-05-28,227.08,227.18,225.05,225.5,20674741.0,4662154095.5
2021-06-01,227.46,228.5598,225.96,228.06,22699380.0,5176820602.8
2021-06-02,228.91,228.92,226.825,228.33,19113458.0,4364175865.14
2021-06-03,226.82,227.62,224.04,226.42,24771032.0,5608657065.44
2021-06-04,227.56,228.055,226.21,227.4,19276539.0,4383484968.6
2021-06-07,227.89,230.775,227.89,230.45,24092475.0,5552110863.75
2021-06-08,231.21,233.4818,229.98,232.89,27749701.0,6462627865.889999
2021-06-09,233.54,233.64,230.98,231.34,18731592.0,4333366493.28
2021-06-10,231.68,232.18,228.71,229.28,28111537.0,6445413203.36
2021-06-11,230.3,231.8,230.07,231.7,16775148.0,3886801791.6
2021-06-14,232.31,233.35,230.14,231.02,19234910.0,4443648908.2
2021-06-15,231.12,231.47,228.475,230.36,17049497.0,3927522128.92
2021-06-16,229.7,230.68,227.64,229.87,24057708.0,5530145337.96
2021-06-17,229.24,230.2,224.52,227.29,48307196.0,10979742578.84
2021-06-18,223.7,225.7375,221.13,222.13,54041584.0,12004257053.92
2021-06-21,224.05,227.5,223.28,226.88,26878702.0,6098239909.76
2021-06-22,226.27,228.41,224.72,227.91,21193758.0,4830269385.78
2021-06-23,227.99,229.96,227.99,228.66,22093522.0,5051904740.5199995
2021-06-24,230.12,231.91,229.49,231.89,21777413.0,5049964300.57
2021-06-25,232.29,233.41,231.75,232.28,27677885.0,6429019127.8
2021-06-28,232.24,232.59,228.77,230.44,25083375.0,5780212935.0
2021-06-29,231.23,231.73,228.77,229.34,18950671.0,4346146887.14
2021-06-30,228.65,230.32,227.76,229.37,26094395.0,5985271381.150001
2021-07-01,230.81,231.85,229.71,231.39,18074538.0,4182267347.82
2021-07-02,232.0,232.08,228.56,229.19,21034441.0,4820883532.79
2021-07-06,229.36,229.46,223.87,225.86,27735056.0,6264239748.160001
2021-07-07,225.54,226.67,221.8,223.76,28593905.0,6398172182.8
2021-07-08,219.31,224.075,217.85,221.7,42388949.0,9397629993.3
2021-07-09,224.16,226.45,223.34,226.38,23929764.0,5417219974.32
2021-07-12,225.56,226.8881,224.55,226.57,16868805.0,3821965148.85
2021-07-13,225.23,225.74,222.22,222.3,25392416.0,5644734076.8
2021-07-14,223.71,224.355,218.55,218.87,30284220.0,6628307231.400001
2021-07-15,217.83,219.0598,214.94,217.63,45483846.0,9898649404.98
2021-07-16,219.83,219.88,214.47,214.95,36506104.0,7846987054.799999
2021-07-19,210.63,214.445,209.05,211.73,58402961.0,12365658932.53
2021-07-20,212.2,219.27,211.26,218.3,40807655.0,8908311086.5
2021-07-21,219.45,222.22,219.36,222.06,28341390.0,6293489063.4
2021-07-22,221.47,221.9255,217.58,218.53,32885201.0,7186402974.53
2021-07-23,219.87,219.95,216.91,219.55,23712853.0,5206156876.150001
2021-07-26,220.39,222.05,219.15,220.19,22100997.0,4866418529.43
2021-07-27,219.01,219.08,215.3819,217.62,35049353.0,7627440199.860001
2021-07-28,219.0,222.59,217.4,220.82,33098272.0,7308760423.04
2021-07-29,222.79,224.435,222.14,222.52,22619837.0,5033366129.24
2021-07-30,221.65,224.05,220.275,221.05,28397020.0,6277161271.0
2021-08-02,222.47,224.55,219.64,219.95,24074605.0,5295209369.75
2021-08-03,220.62,221.12,217.1,220.86,27738643.0,6126356692.9800005
2021-08-04,219.1,221.2,217.89,218.11,25357362.0,5530694225.820001
2021-08-05,219.09,222.435,218.68,222.03,23892217.0,5304788940.51
2021-08-06,223.75,225.21,222.14,223.39,24429215.0,5457242338.849999
2021-08-09,222.92,223.19,221.21,222.16,17225596.0,3826838407.36
2021-08-10,222.64,223.22,221.19,222.6,22681588.0,5048921488.8
2021-08-11,223.02,223.73,220.47,223.69,25683282.0,5745093350.58
2021-08-12,223.76,223.84,221.71,223.16,23305194.0,5200787093.04
2021-08-13,222.98,223.3,220.7,221.13,20668624.0,4570452825.12
2021-08-16,219.77,220.26,217.65,219.07,24116534.0,5283209103.38
2021-08-17,216.66,217.44,213.75,216.4,34976220.0,7568854008.0
2021-08-18,216.1,218.04,214.37,214.51,28808340.0,6179677013.4
2021-08-19,212.43,214.07,210.6825,211.94,38033979.0,8060921509.26
2021-08-20,212.1,216.02,211.42,215.52,31598433.0,6810094280.16
2021-08-23,217.48,219.94,217.44,219.62,25456231.0,5590697452.22
2021-08-24,220.32,221.92,219.69,221.78,18180396.0,4032048224.88
2021-08-25,221.77,223.9699,220.85,222.56,21548025.0,4795728444.0
2021-08-26,222.14,223.16,219.74,220.2,22357900.0,4923209580.0
2021-08-27,220.65,227.025,220.57,226.41,33828457.0,7659100949.37
2021-08-30,227.25,227.35,224.98,225.48,20684837.0,4664017046.76
2021-08-31,225.24,226.609,224.33,225.92,20755803.0,4689151013.759999
2021-09-01,226.83,228.24,224.87,227.44,20429006.0,4646373124.64
2021-09-02,228.33,229.84,227.6,229.02,22818204.0,5225825080.08
2021-09-03,228.25,228.97,227.19,227.96,18210374.0,4151236857.04
2021-09-07,227.72,229.0,226.2549,226.39,19349282.0,4380483951.98
2021-09-08,225.61,225.97,222.63,223.92,25229516.0,5649393222.719999
2021-09-09,223.54,226.285,222.962,223.81,27104575.0,6066274930.75
2021-09-10,225.16,225.29,221.52,221.62,24287127.0,5382513085.74
2021-09-13,223.21,223.38,220.25,222.88,34776372.0,7750957791.36
2021-09-14,223.75,223.77,219.07,220.04,30356186.0,6679575167.44
2021-09-15,220.02,222.74,219.46,222.03,27522454.0,6110810461.62
2021-09-16,222.26,223.34,220.26,222.19,22339030.0,4963509075.7
2021-09-17,221.62,223.03,220.64,222.48,39904579.0,8877970735.92
2021-09-20,217.45,218.99,214.22,217.19,44910534.0,9754118879.46
2021-09-21,218.77,219.29,215.82,217.52,26664163.0,5799988735.76
2021-09-22,218.88,222.55,218.87,220.9,32080323.0,7086543350.7
2021-09-23,222.18,225.645,221.56,224.81,30836649.0,6932387061.690001
2021-09-24,223.02,224.355,221.84,223.05,28678706.0,6396785373.3
2021-09-27,223.62,227.675,223.53,226.44,29611732.0,6705280594.08
2021-09-28,225.41,225.6,220.85,221.29,39901905.0,8829892557.449999
2021-09-29,222.27,222.66,220.17,220.82,23570860.0,5204917305.2
2021-09-30,222.12,222.61,218.6,218.75,33219475.0,7266760156.25
2021-10-01,219.95,223.5,217.74,222.28,32626521.0,7252223087.88
2021-10-04,222.14,222.32,218.93,220.26,32480237.0,7154097001.62
2021-10-05,220.96,223.06,219.88,221.02,20407608.0,4510489520.16
2021-10-06,218.76,220.2,216.76,219.87,32893268.0,7232242835.16
2021-10-07,221.53,224.95,221.37,223.26,24289331.0,5422836039.059999
2021-10-08,223.39,224.11,221.5,221.58,17997139.0,3987806059.62
2021-10-11,221.83,223.55,220.25,220.31,15886280.0,3499906346.8
2021-10-12,220.85,222.47,220.36,221.52,18800635.0,4164716665.2
2021-10-13,221.89,222.7,219.83,222.57,19450172.0,4329024782.04
2021-10-14,224.75,226.0,224.32,225.87,18055962.0,4078300136.94
2021-10-15,227.98,228.4062,225.06,225.16,27555333.0,6204358778.28
2021-10-18,223.88,225.675,223.73,225.03,18945599.0,4263328142.97
2021-10-19,225.98,226.88,224.61,225.87,15304708.0,3456874395.96
2021-10-20,225.97,227.98,225.12,227.37,17987549.0,4089829016.13
2021-10-21,227.19,229.01,226.62,227.95,17837320.0,4066017094.0
2021-10-22,227.8,228.39,225.69,227.41,16848720.0,3831567415.2
2021-10-25,227.79,229.98,227.28,229.57,16322446.0,3747143928.22
2021-10-26,230.03,230.72,227.8,227.84,25243160.0,5751401574.4
2021-10-27,227.18,227.46,223.5,223.65,26839453.0,6002643663.45
2021-10-28,224.8,228.26,224.77,228.11,22782647.0,5196949607.17
2021-10-29,227.8,228.83,226.96,228.05,20765666.0,4735610131.3
2021-11-01,229.25,234.18,228.89,233.96,35126822.0,8218271275.12
2021-11-02,234.38,234.85,232.65,234.45,24915704.0,5841486802.8
2021-11-03,234.15,239.81,233.92,238.64,47510763.0,11337968482.32
2021-11-04,239.48,240.935,237.56,238.55,26514023.0,6324920186.650001
2021-11-05,241.17,243.4,240.2,241.81,41798027.0,10107180908.87
2021-11-08,243.74,244.46,241.93,242.56,30424897.0,7379863016.32
