timestamps,open,high,low,close,volume,amount
2021-05-28,169.52,171.005,169.17,169.25,6516557.0,1102927272.25
2021-06-01,170.15,170.2,165.38,165.53,10615013.0,1757103101.89
2021-06-02,165.3,166.725,165.11,166.2,6951472.0,1155334646.4
2021-06-03,165.89,167.15,165.705,166.04,5905225.0,980503559.0
2021-06-04,167.005,167.565,165.87,165.97,6624403.0,1099452165.91
2021-06-07,166.0,166.32,164.6317,164.84,5453817.0,899007194.28
2021-06-08,165.28,165.66,162.07,163.39,8004798.0,1307903945.2199998
2021-06-09,163.99,165.78,163.66,165.59,5669823.0,938865990.57
2021-06-10,166.0,167.575,165.95,167.08,6555724.0,1095330365.92
2021-06-11,167.07,167.08,164.22,164.96,7470992.0,1232414840.3200002
2021-06-14,164.5,165.46,163.9,165.37,5036573.0,832898077.01
2021-06-15,165.23,165.86,164.39,164.49,5188620.0,853476103.8000001
2021-06-16,164.8,165.75,163.4801,164.43,7098253.0,1167165740.79
2021-06-17,164.19,165.7,163.5,165.22,5976916.0,987506061.52
2021-06-18,163.27,164.19,161.79,161.98,14538306.0,2354914805.8799996
2021-06-21,162.77,164.255,162.25,163.84,6709533.0,1099289886.72
2021-06-22,163.71,164.04,163.28,163.62,5723530.0,936483978.6
2021-06-23,163.69,163.69,162.48,162.63,4622805.0,751806777.15
2021-06-24,163.27,164.2,162.8,163.37,4638667.0,757819027.79
2021-06-25,162.94,164.78,162.89,164.21,11081256.0,1819653047.76
2021-06-28,164.44,165.07,163.52,164.02,5727417.0,939410936.34
2021-06-29,164.0,164.64,163.41,164.03,3856332.0,632554137.96
2021-06-30,164.0,164.97,163.67,164.74,6244752.0,1028760444.48
2021-07-01,164.74,166.01,164.63,165.96,6424429.0,1066198236.84
2021-07-02,166.02,169.3,165.64,168.98,9173259.0,1550097305.82
2021-07-06,167.91,168.86,166.99,167.97,6325139.0,1062433597.83
2021-07-07,167.48,169.5,167.48,169.41,6361654.0,1077727804.14
2021-07-08,168.7,169.46,167.58,169.08,5908056.0,998934108.48
2021-07-09,169.37,170.37,169.24,169.75,6227224.0,1057071274.0
2021-07-12,169.73,171.18,168.54,169.48,8000008.0,1355841355.84
2021-07-13,168.97,169.755,168.672,169.27,4835966.0,818583964.82
2021-07-14,170.0,170.83,169.04,170.42,6270213.0,1068569699.46
2021-07-15,169.3,169.9,167.72,168.37,6812585.0,1147034936.45
2021-07-16,168.34,169.09,167.95,168.1,6096730.0,1024860313.0
2021-07-19,166.48,168.19,165.32,166.88,8374628.0,1397557920.64
2021-07-20,166.9,170.81,166.84,168.45,10031612.0,1689825041.4
2021-07-21,169.3,169.69,167.48,169.49,7710707.0,1306887729.43
2021-07-22,169.36,171.07,168.65,169.98,5384663.0,915285016.74
2021-07-23,171.0,172.1751,170.38,171.79,5103326.0,876700373.54
2021-07-26,171.82,172.14,170.8619,171.87,4633842.0,796418424.54
2021-07-27,171.8,172.72,170.67,172.66,7199896.0,1243134043.36
2021-07-28,172.73,173.3801,172.08,172.18,5869178.0,1010555068.04
2021-07-29,172.74,173.34,171.085,172.18,4214059.0,725576678.62
2021-07-30,172.54,172.98,171.84,172.2,5346742.0,920708972.4
2021-08-02,172.47,172.84,171.3,172.27,3721473.0,641098153.71
2021-08-03,172.73,174.5,172.44,174.39,6032998.0,1052094521.22
2021-08-04,174.2,174.59,173.259,173.36,4793117.0,830934763.1200001
2021-08-05,173.85,173.85,172.42,173.69,4291332.0,745361455.08
2021-08-06,173.94,173.94,172.45,173.11,4581065.0,793028162.1500001
2021-08-09,173.72,174.25,172.93,173.71,3950185.0,686186636.35
2021-08-10,173.26,174.11,172.78,173.77,3669204.0,637597579.08
2021-08-11,174.25,174.47,173.56,173.8,4221298.0,733661592.4000001
2021-08-12,173.82,175.29,173.59,175.2,4301392.0,753603878.4
2021-08-13,175.29,176.29,175.12,176.25,5882102.0,1036720477.5
2021-08-16,176.55,177.89,175.95,177.84,4783192.0,850642865.28
2021-08-17,177.31,179.51,177.31,179.47,6041881.0,1084336383.07
2021-08-18,179.5,179.5,177.13,177.19,7134094.0,1264090115.86
2021-08-19,176.62,179.3269,176.07,178.57,5615038.0,1002677335.66
2021-08-20,178.89,179.92,178.07,179.44,5428729.0,974131131.76
2021-08-23,178.39,178.93,177.54,177.61,6461676.0,1147658274.36
2021-08-24,176.99,177.21,175.28,175.39,5734824.0,1005830781.36
2021-08-25,175.69,175.9,173.892,174.23,5700289.0,993161352.47
2021-08-26,173.95,174.72,173.05,173.3,5031639.0,871983038.7
2021-08-27,174.28,174.28,172.75,172.93,7046079.0,1218478441.47
2021-08-30,172.79,174.28,172.78,173.66,3253006.0,564917021.96
2021-08-31,173.49,174.49,172.48,173.13,7102190.0,1229602154.7
2021-09-01,172.9,173.74,172.06,173.74,5327351.0,925573962.74
2021-09-02,174.34,175.19,173.91,174.93,4545449.0,795135393.57
2021-09-03,175.1,175.22,173.81,175.04,4097512.0,717228500.48
