timestamps,open,high,low,close,volume,amount
2021-05-28,141.0,142.61,140.885,142.38,803117.0,114347798.46
2021-06-01,143.07,143.9,141.96,141.97,842354.0,119588997.38
2021-06-02,141.62,143.99,141.22,143.93,854974.0,123056407.82
2021-06-03,143.79,145.5,142.6,145.03,1008618.0,146279868.54
2021-06-04,145.59,149.2,145.59,148.88,1115935.0,166140402.79999998
2021-06-07,148.88,150.05,147.36,148.15,923493.0,136815487.95000002
2021-06-08,148.92,149.43,147.88,148.74,666727.0,99168973.98
2021-06-09,149.14,149.26,146.9,146.97,474274.0,69704049.78
2021-06-10,147.0,148.98,146.67,148.94,422737.0,62962448.78
2021-06-11,149.15,149.15,146.93,147.83,647911.0,95780683.13
2021-06-14,148.19,148.67,146.925,148.58,681977.0,101328142.66
2021-06-15,149.34,150.6899,147.8,147.98,1211991.0,179350428.17999998
2021-06-16,148.5,149.729,147.45,148.9,805178.0,119891004.2
2021-06-17,148.9,151.93,148.53,149.35,990340.0,147907279.0
2021-06-18,148.31,149.6195,146.9,147.48,1641712.0,242119685.76
2021-06-21,148.03,149.47,146.3139,149.08,998958.0,148924658.64000002
2021-06-22,148.61,150.8,148.07,150.57,932039.0,140337112.23
2021-06-23,150.61,151.27,150.25,150.95,1676250.0,253029937.49999997
2021-06-24,151.9,153.21,151.15,152.66,625407.0,95474632.62
2021-06-25,153.04,153.98,152.6965,153.32,1034753.0,158648329.95999998
2021-06-28,153.24,154.88,153.11,154.41,511056.0,78912156.96
2021-06-29,154.41,155.88,154.005,155.79,618760.0,96396620.4
2021-06-30,155.0,155.1,153.81,154.41,963309.0,148744542.69
2021-07-01,154.52,154.52,152.93,153.56,1148838.0,176415563.28
2021-07-02,152.52,153.43,150.35,153.15,864555.0,132406598.25
2021-07-06,153.4,154.31,151.54,154.16,713767.0,110034320.72
2021-07-07,155.0,155.525,153.46,155.3,802630.0,124648439.0
2021-07-08,153.53,155.59,151.855,154.17,521740.0,80436655.8
2021-07-09,154.92,155.91,154.06,155.81,485545.0,75652766.45
2021-07-12,156.5,158.13,156.06,157.72,1418589.0,223739857.08
2021-07-13,157.72,158.58,156.99,157.42,758270.0,119366863.4
2021-07-14,158.19,158.82,157.3,157.92,772731.0,122029679.52
2021-07-15,157.16,157.41,155.61,156.56,865119.0,135443030.64000002
2021-07-16,157.19,157.75,154.84,155.01,2292957.0,355431264.57
2021-07-19,153.07,154.885,152.96,154.78,809395.0,125278158.1
2021-07-20,155.6,157.44,155.02,156.59,862114.0,134998431.26
2021-07-21,157.07,158.49,156.63,158.46,477122.0,75604752.12
2021-07-22,159.0,159.38,158.25,158.58,553585.0,87787509.30000001
2021-07-23,159.55,160.86,158.23,159.7,555715.0,88747685.5
2021-07-26,159.5,159.98,158.33,159.98,524513.0,83911589.74
2021-07-27,159.83,159.83,156.23,158.84,907948.0,144218460.32
2021-07-28,159.27,161.2,159.025,160.15,677959.0,108575133.85
2021-07-29,160.99,162.86,160.71,161.71,829990.0,134217682.9
2021-07-30,161.03,164.885,161.03,164.55,1047170.0,172311823.5
2021-08-02,165.0,165.48,163.8,164.91,848403.0,139910138.73
2021-08-03,165.42,166.88,164.48,166.71,758658.0,126475875.18
2021-08-04,166.3,168.1737,166.04,167.07,598209.0,99942777.63
2021-08-05,167.4,167.62,165.53,166.4,951759.0,158372697.6
2021-08-06,166.59,167.63,166.0,166.6,587018.0,97797198.8
2021-08-09,166.42,167.15,166.07,166.95,501306.0,83693036.69999999
