timestamps,open,high,low,close,volume,amount
2021-05-28,55.35,55.71,55.2,55.29,17257410.0,954162198.9
2021-06-01,55.34,55.65,55.095,55.28,13692963.0,756946994.64
2021-06-02,55.5,55.56,55.26,55.5,11541081.0,640529995.5
2021-06-03,55.18,55.74,55.1,55.64,17543568.0,976124123.52
2021-06-04,55.9,56.48,55.78,56.24,19233687.0,1081702556.88
2021-06-07,56.31,56.34,55.81,56.04,14260742.0,799171981.68
2021-06-08,56.25,56.25,55.545,55.65,11090093.0,617163675.4499999
2021-06-09,55.75,55.92,55.48,55.48,9970130.0,553142812.4
2021-06-10,55.91,56.12,55.76,55.91,12689499.0,709469889.0899999
2021-06-11,55.99,56.21,55.655,56.16,12012165.0,674603186.4
2021-06-14,55.69,55.71,55.2,55.55,9966383.0,553632575.65
2021-06-15,55.78,55.79,55.19,55.41,11417835.0,632662237.3499999
2021-06-16,55.44,55.46,54.64,54.67,15499118.0,847336781.0600001
2021-06-17,54.67,55.15,54.645,54.95,10917693.0,599927230.35
2021-06-18,54.51,54.62,53.72,53.77,34864696.0,1874674703.92
2021-06-21,54.22,54.43,54.0,54.36,14715086.0,799912074.96
2021-06-22,54.34,54.85,54.255,54.56,13286812.0,724928462.72
2021-06-23,54.56,54.6,54.11,54.12,12652731.0,684765801.7199999
2021-06-24,54.26,54.415,54.0,54.39,11681169.0,635338781.91
2021-06-25,54.24,54.47,54.01,54.32,19159298.0,1040733067.36
2021-06-28,54.25,54.37,54.0,54.26,10814178.0,586777298.28
2021-06-29,54.13,54.34,53.72,53.86,12556104.0,676271761.4399999
2021-06-30,53.8,54.18,53.75,54.11,14842695.0,803138226.45
2021-07-01,54.34,54.48,53.855,53.96,13590331.0,733334260.76
2021-07-02,54.0,54.45,54.0,54.18,10792384.0,584731365.12
2021-07-06,53.99,54.09,53.55,53.88,15613752.0,841268957.76
2021-07-07,53.72,54.375,53.72,54.32,14645963.0,795568710.16
2021-07-08,54.01,54.165,53.735,54.13,12201397.0,660461619.61
2021-07-09,54.25,54.52,54.18,54.46,10997584.0,598928424.64
2021-07-12,54.32,54.595,54.27,54.48,15443721.0,841373920.0799999
2021-07-13,54.95,55.295,54.75,55.02,15660427.0,861636693.5400001
2021-07-14,55.02,56.3499,54.96,56.26,22289062.0,1253982628.12
2021-07-15,56.24,56.47,55.91,56.44,15364037.0,867146248.28
2021-07-16,56.46,56.68,56.26,56.4,15398713.0,868487413.1999999
2021-07-19,56.08,56.35,55.16,55.73,19857907.0,1106681157.11
2021-07-20,55.73,56.3299,55.52,55.83,16462583.0,919106008.89
2021-07-21,57.33,57.56,56.425,56.55,21647209.0,1224149668.95
2021-07-22,56.62,56.74,56.05,56.47,13588289.0,767330679.83
2021-07-23,56.59,57.33,56.45,57.01,12306534.0,701595503.34
2021-07-26,56.89,57.12,56.56,57.06,8874412.0,506373948.72
2021-07-27,57.11,57.54,56.92,57.26,13100915.0,750158392.9
2021-07-28,56.99,57.16,56.629,56.74,10061195.0,570872204.3000001
2021-07-29,57.07,57.25,56.86,57.05,9599110.0,547629225.5
2021-07-30,57.15,57.25,56.9,57.03,11727287.0,668807177.61
2021-08-02,57.2,57.24,56.705,56.88,9777990.0,556172071.2
2021-08-03,57.0,57.0,56.745,56.92,8825480.0,502346321.6
2021-08-04,56.75,56.95,56.0101,56.1,11888363.0,666937164.3000001
2021-08-05,56.44,56.59,56.29,56.5,9788280.0,553037820.0
2021-08-06,56.6,56.74,56.44,56.64,10409250.0,589579920.0
2021-08-09,56.795,56.88,56.4308,56.65,8859893.0,501912938.45
2021-08-10,56.84,57.17,56.655,56.8,10906922.0,619513169.6
2021-08-11,56.89,57.18,56.71,56.73,8370669.0,474868052.36999995
2021-08-12,56.73,56.98,56.73,56.84,6169450.0,350671538.0
2021-08-13,56.81,57.3,56.771,57.23,7714175.0,441482235.25
2021-08-16,57.2,57.49,57.03,57.48,7973528.0,458318389.44
2021-08-17,57.46,57.555,57.01,57.28,10346446.0,592644426.88
2021-08-18,57.19,57.23,56.42,56.5,13873728.0,783865632.0
2021-08-19,56.06,56.98,55.95,56.86,9223662.0,524457421.32
2021-08-20,56.84,57.0299,56.58,56.64,10543566.0,597187578.24
2021-08-23,56.67,56.75,56.38,56.44,8912813.0,503039165.72
2021-08-24,56.64,56.64,55.9,56.01,12067193.0,675883479.93
2021-08-25,56.06,56.17,55.73,56.07,11270669.0,631946410.83
2021-08-26,55.95,55.98,55.51,55.54,10331493.0,573811121.22
2021-08-27,55.66,55.785,55.45,55.65,8844146.0,492176724.9
2021-08-30,55.69,56.2,55.64,56.18,10034681.0,563748378.58
2021-08-31,56.16,56.515,56.0,56.31,14185706.0,798797104.86
2021-09-01,56.38,56.8,56.28,56.69,9519203.0,539643618.0699999
2021-09-02,56.77,57.03,56.41,56.77,11654234.0,661610864.1800001
