timestamps,open,high,low,close,volume,amount
2021-05-28,70.84,70.84,69.66,70.69,6215955.0,439405858.95
2021-06-01,71.21,71.61,70.945,71.33,7336481.0,523311189.73
2021-06-02,71.62,71.66,70.6,70.6,5173541.0,365251994.6
2021-06-03,70.68,71.35,70.3,70.84,6967572.0,493582800.48
2021-06-04,70.82,70.84,69.87,70.72,4776794.0,337814871.68
2021-06-07,70.94,71.241,70.565,70.97,4036046.0,286438184.62
2021-06-08,70.58,71.055,69.7,70.93,6834667.0,484782930.31000006
2021-06-09,70.2,70.29,69.57,69.75,9247566.0,645017728.5
2021-06-10,70.62,70.72,68.29,68.4,10241119.0,700492539.6
2021-06-11,68.62,69.2,68.205,68.6,11138042.0,764069681.1999999
2021-06-14,68.59,68.92,66.92,67.41,11586182.0,781024528.62
2021-06-15,67.5,68.94,67.15,68.36,7125944.0,487129531.84
2021-06-16,68.07,69.7,67.21,69.37,14611777.0,1013618970.49
2021-06-17,69.72,69.82,65.76,65.88,23677793.0,1559893002.84
2021-06-18,65.0,65.48,63.63,63.66,20362244.0,1296260453.04
2021-06-21,64.02,66.005,64.02,65.91,12475847.0,822283075.77
2021-06-22,65.8,66.14,64.73,65.86,6301564.0,415021005.04
2021-06-23,65.99,66.45,65.79,65.85,6124326.0,403286867.1
2021-06-24,66.24,67.02,65.64,66.88,7390760.0,494294028.7999999
2021-06-25,67.14,67.99,66.68,67.64,8516346.0,576045643.44
2021-06-28,67.26,67.35,65.44,65.79,9036861.0,594535085.19
2021-06-29,66.36,66.9,65.08,65.42,8632861.0,564761766.62
2021-06-30,65.07,65.905,65.07,65.53,10037700.0,657770481.0
2021-07-01,65.81,66.36,65.6,66.15,8662824.0,573045807.6
2021-07-02,65.97,66.17,65.15,65.33,5665293.0,370113591.69
2021-07-06,65.17,65.21,63.1,63.53,12516561.0,795177120.33
2021-07-07,62.95,63.95,62.715,63.17,12285225.0,776057663.25
2021-07-08,61.79,62.86,61.24,62.01,15288893.0,948064254.93
2021-07-09,63.37,64.8,63.145,64.79,16033872.0,1038834566.88
2021-07-12,64.07,65.06,63.47,64.92,5349902.0,347315637.84000003
2021-07-13,64.76,64.85,63.28,63.51,10377202.0,659056099.02
2021-07-14,63.53,64.59,62.58,63.19,11624514.0,734553039.66
2021-07-15,62.65,64.2,62.28,63.95,16172889.0,1034256251.55
2021-07-16,64.5,64.5,61.875,62.01,9244492.0,573250948.92
2021-07-19,60.36,60.9,59.295,59.87,23219215.0,1390134402.05
2021-07-20,59.78,62.865,59.72,61.5,21514837.0,1323162475.5
2021-07-21,62.14,63.32,62.14,62.84,10690349.0,671781531.1600001
2021-07-22,62.66,62.73,61.115,61.44,8859291.0,544314839.04
2021-07-23,62.12,62.58,61.32,61.96,5460413.0,338327189.48
2021-07-26,62.16,63.1,61.99,62.47,5471981.0,341834653.07
2021-07-27,61.87,62.63,61.34,62.19,6771986.0,421149809.34
2021-07-28,62.57,63.56,61.65,62.98,8396870.0,528834872.6
2021-07-29,63.57,63.975,62.84,63.38,6521548.0,413335712.24
2021-07-30,62.99,63.96,62.31,62.57,9135732.0,571622751.24
2021-08-02,62.78,64.32,61.8602,61.97,12964165.0,803389305.05
2021-08-03,62.32,63.21,61.06,63.11,11340246.0,715682925.06
2021-08-04,62.32,63.28,61.93,62.48,8159402.0,509799436.96
2021-08-05,62.94,63.78,62.84,63.78,8797388.0,561097406.64
2021-08-06,64.66,66.18,64.65,65.68,13386157.0,879202791.7600001
2021-08-09,65.4,66.13,64.77,65.24,10898817.0,711038821.0799999
2021-08-10,65.06,66.17,64.78,65.98,9070724.0,598486369.52
2021-08-11,66.17,67.11,65.42,67.1,11463835.0,769223328.4999999
2021-08-12,67.21,67.22,66.265,66.68,6706317.0,447177217.56000006
2021-08-13,66.8,66.85,65.77,65.9,7035847.0,463662317.3
2021-08-16,65.41,65.87,64.7,65.67,6891876.0,452589496.92
2021-08-17,64.98,65.51,63.78,64.56,8234161.0,531597434.16
2021-08-18,64.34,65.25,63.91,63.97,7834838.0,501194586.86
2021-08-19,63.27,63.87,62.59,63.1,11101961.0,700533739.1
2021-08-20,63.08,64.39,62.84,64.38,7748513.0,498849266.93999994
2021-08-23,64.79,65.28,64.585,65.05,5288695.0,344029609.75
2021-08-24,65.01,65.67,64.93,65.41,4531646.0,296414964.86
2021-08-25,65.74,66.81,65.41,66.06,8371739.0,553037078.34
2021-08-26,66.23,66.41,64.98,64.98,5971184.0,388007536.32000005
2021-08-27,65.15,66.98,65.15,66.89,7432515.0,497160928.35
2021-08-30,67.01,67.01,65.27,65.32,7895247.0,515717534.04
2021-08-31,65.43,66.24,65.09,65.89,7588030.0,499975296.7
2021-09-01,66.0,66.08,64.87,65.46,8006201.0,524085917.46
2021-09-02,65.52,66.03,65.12,65.38,7267774.0,475167064.11999995
2021-09-03,65.57,65.92,64.91,65.18,7667063.0,499739166.34
2021-09-07,65.43,66.235,64.86,64.92,5504885.0,357377134.2
2021-09-08,64.57,64.82,63.86,64.09,7973388.0,511014436.92
2021-09-09,63.9,65.06,63.84,64.36,8533903.0,549241997.08
2021-09-10,64.72,64.87,63.54,63.59,7002948.0,445317463.32000005
2021-09-13,64.17,64.68,63.65,64.35,14466556.0,930922878.6
2021-09-14,64.58,64.71,62.655,62.88,12316728.0,774475856.64
2021-09-15,63.03,64.14,63.03,63.91,6855666.0,438145614.06
2021-09-16,64.4,64.68,63.34,63.76,5223515.0,333051316.4
2021-09-17,63.8,64.41,63.42,63.84,9909602.0,632628991.6800001
2021-09-20,61.94,62.07,60.88,61.92,11321774.0,701044246.08
2021-09-21,62.2,62.54,61.38,61.79,5332266.0,329480716.14
2021-09-22,62.5,63.47,62.38,62.84,7826437.0,491813301.08
2021-09-23,63.59,65.59,63.31,65.23,9622667.0,627686568.4100001
2021-09-24,64.97,66.235,64.89,65.91,11756349.0,774860962.5899999
2021-09-27,66.61,68.88,66.49,68.38,11806767.0,807346727.4599999
2021-09-28,68.77,69.07,67.66,67.87,11481270.0,779233794.9000001
2021-09-29,67.94,68.89,67.555,68.61,8058994.0,552927578.34
2021-09-30,68.93,69.15,67.66,67.75,10031188.0,679612987.0
2021-10-01,67.96,69.88,67.77,69.37,11134786.0,772420104.82
2021-10-04,69.46,70.34,68.99,69.62,10036518.0,698742383.1600001
2021-10-05,70.08,70.61,69.54,69.99,9313707.0,651866352.93
2021-10-06,69.41,69.79,68.075,69.77,10240212.0,714459591.24
2021-10-07,70.33,70.95,69.99,70.4,9573304.0,673960601.6
2021-10-08,70.33,71.12,70.067,70.71,8675928.0,613474868.88
2021-10-11,71.12,71.46,69.88,69.89,6498814.0,454202110.46
2021-10-12,69.73,70.13,69.32,69.85,7106898.0,496416825.2999999
2021-10-13,69.85,69.85,68.13,69.46,9671859.0,671807326.14
2021-10-14,70.36,70.5,69.55,70.5,6773065.0,477501082.5
2021-10-15,71.34,71.47,70.42,70.42,8904901.0,627083128.42
2021-10-18,70.3,71.31,70.25,70.59,6782387.0,478768698.33
2021-10-19,70.75,70.86,69.94,70.65,6154629.0,434824538.85
2021-10-20,70.54,72.52,70.24,72.5,9801159.0,710584027.5
2021-10-21,72.47,72.67,71.54,72.02,6680188.0,481107139.76
2021-10-22,72.15,73.04,72.05,72.78,8000808.0,582298806.24
2021-10-25,73.26,73.55,72.7,73.06,5100653.0,372653708.18
2021-10-26,73.22,73.23,72.25,72.43,5877566.0,425712105.38000005
2021-10-27,71.91,72.0,69.88,69.91,12003062.0,839134064.42
2021-10-28,70.37,71.17,70.35,71.15,8215447.0,584529054.0500001
2021-10-29,71.37,71.64,70.73,70.91,7327269.0,519576644.79
2021-11-01,71.61,73.39,71.575,73.25,9471418.0,693781368.5
2021-11-02,73.28,73.745,72.81,73.01,5601278.0,408949306.78
2021-11-03,72.7,75.255,72.65,75.02,9725271.0,729589830.42
2021-11-04,74.86,74.92,73.07,73.81,8423309.0,621724437.29
2021-11-05,74.29,75.28,74.0,74.59,8716409.0,650156947.3100001
2021-11-08,74.97,75.585,74.19,74.68,6619792.0,494366066.56000006
2021-11-09,74.2399,74.62,73.69,74.42,9766797.0,726845032.74
