timestamps,open,high,low,close,volume,amount
2021-05-28,69.6,70.55,69.3,70.4,3262858.0,229705203.2
2021-06-01,73.0901,73.535,72.2,73.23,6044937.0,442670736.5100001
2021-06-02,72.71,73.05,71.775,72.19,2962104.0,213834287.76
2021-06-03,70.95,71.18,69.79,69.88,2786187.0,194698747.55999997
2021-06-04,70.46,70.59,70.105,70.43,1896084.0,133541196.12000002
2021-06-07,69.71,69.71,68.34,68.93,2557388.0,176280754.84
2021-06-08,69.03,69.44,68.34,68.85,1773897.0,122132808.45
2021-06-09,69.25,69.93,68.855,68.9,1638276.0,112877216.4
2021-06-10,69.16,69.6,68.96,69.43,1894039.0,131503127.77
2021-06-11,69.28,69.68,68.61,69.05,2246843.0,155144509.15
2021-06-14,69.15,69.73,68.62,69.51,2076108.0,144310267.08
2021-06-15,69.18,69.37,68.05,68.09,1421723.0,96805119.07
2021-06-16,67.7,68.11,66.47,67.04,2891922.0,193874450.88000005
2021-06-17,67.2,67.99,67.14,67.8,2986222.0,202465851.6
2021-06-18,67.57,68.3,67.48,67.77,2881787.0,195298704.99
2021-06-21,67.69,67.76,66.38,66.98,2622143.0,175631138.14000002
2021-06-22,66.41,66.745,65.97,66.41,1950099.0,129506074.59
2021-06-23,67.62,68.36,67.42,67.71,3909517.0,264713396.06999996
2021-06-24,68.17,69.52,68.075,69.37,4069053.0,282270206.61
2021-06-25,70.69,70.78,69.78,70.7,3539956.0,250274889.2
2021-06-28,70.85,71.475,70.305,70.61,3314037.0,234004152.57
2021-06-29,69.99,71.07,69.33,70.98,7356925.0,522194536.5
2021-06-30,70.18,70.37,69.7,69.78,3893358.0,271678521.24
2021-07-01,69.88,70.03,67.88,68.27,4390539.0,299742097.53
2021-07-02,67.47,67.6243,66.45,66.8,6609262.0,441498701.6
2021-07-06,64.77,64.96,63.2681,63.34,8723195.0,552527171.3000001
2021-07-07,63.95,63.95,61.925,62.09,5493051.0,341063536.59000003
2021-07-08,59.97,60.38,58.9,60.01,9972631.0,598457586.31
2021-07-09,61.42,62.83,60.98,62.64,12846314.0,804693108.96
2021-07-12,62.24,62.42,61.3216,61.78,5880577.0,363302047.06
2021-07-13,62.95,64.685,62.54,63.76,14280220.0,910506827.2
2021-07-14,64.3,64.52,63.2201,63.48,8801889.0,558743913.72
2021-07-15,63.51,64.48,63.05,63.52,6199086.0,393765942.72
2021-07-16,63.34,63.58,61.615,61.81,5463754.0,337714634.74
2021-07-19,60.68,60.76,59.82,60.56,6139228.0,371791647.68
2021-07-20,60.31,60.88,59.235,60.62,9127876.0,553331843.12
2021-07-21,60.17,60.995,59.72,60.94,5370552.0,327281438.88
2021-07-22,61.28,61.39,60.35,60.64,5596825.0,339391468.0
