timestamps,open,high,low,close,volume,amount
2021-05-28,302.59,302.99,300.0,300.6,1457018.0,437979610.8
2021-06-01,305.17,305.71,301.27,302.26,1456321.0,440187585.46
2021-06-02,302.31,302.37,299.32,299.88,1580665.0,474009820.2
2021-06-03,297.62,298.71,296.05,298.32,1633436.0,487286627.52
2021-06-04,299.96,301.74,298.55,299.86,1378420.0,413333021.2000001
2021-06-07,297.42,297.99,291.135,291.58,3620018.0,1055524848.44
2021-06-08,293.48,294.28,291.36,292.5,1748961.0,511571092.5
2021-06-09,292.31,294.49,290.17,290.48,1734731.0,503904660.88000005
2021-06-10,292.15,293.11,290.2,290.33,1329460.0,385982121.7999999
2021-06-11,291.58,292.68,289.95,291.22,1460512.0,425330304.6400001
2021-06-14,291.0,291.55,287.94,290.91,1508947.0,438967771.77
2021-06-15,293.7,293.72,288.95,290.91,2029129.0,590293917.3900001
2021-06-16,294.74,294.98,289.34,289.56,2392413.0,692747108.28
2021-06-17,288.74,289.46,285.365,287.24,2418423.0,694667822.52
2021-06-18,284.12,285.56,281.99,282.02,4406849.0,1242819554.98
2021-06-21,286.67,288.63,285.38,288.33,2304615.0,664489642.9499999
2021-06-22,290.8,291.49,289.35,290.35,2436075.0,707314376.25
2021-06-23,289.73,290.35,284.28,284.76,2708491.0,771269897.16
2021-06-24,287.314,287.74,284.82,285.13,3145201.0,896791161.13
2021-06-25,285.14,286.88,283.0,285.11,23433753.0,6681197317.83
2021-06-28,288.97,289.86,287.2,289.69,1996277.0,578301484.13
2021-06-29,291.76,293.1,289.71,290.37,1208364.0,350872654.68
2021-06-30,288.2,289.88,287.95,289.1,1567045.0,453032709.50000006
2021-07-01,289.69,290.9,288.96,290.84,1462027.0,425215932.67999995
2021-07-02,290.7,292.35,289.54,291.76,1082084.0,315708827.84
2021-07-06,291.45,291.91,287.47,288.5,1307500.0,377213750.0
2021-07-07,290.28,292.77,289.33,292.53,1253473.0,366678456.68999994
2021-07-08,287.04,287.9608,284.71,286.99,1626810.0,466878201.9
2021-07-09,290.9,293.82,290.08,292.71,1422401.0,416350996.71
2021-07-12,292.35,294.66,291.73,292.52,1405547.0,411150608.44
2021-07-13,291.94,292.55,288.835,289.72,1359471.0,393865938.12000006
2021-07-14,290.8,292.12,289.5,291.09,1128330.0,328445579.7
2021-07-15,289.22,293.5,288.99,292.05,1239865.0,362102573.25
2021-07-16,292.77,293.17,289.15,290.07,1355089.0,393070666.23
2021-07-19,285.23,285.43,282.75,284.67,1747472.0,497452854.24
2021-07-20,285.26,291.52,284.63,290.37,1997961.0,580147935.57
2021-07-21,291.91,294.72,291.53,294.2,1415492.0,416437746.4
2021-07-22,296.66,297.05,294.535,295.22,936287.0,276410648.14000005
2021-07-23,297.2,299.02,296.18,298.81,1122261.0,335342809.41
2021-07-26,299.53,300.03,296.85,298.47,1421875.0,424387031.25000006
2021-07-27,297.65,300.628,295.58,298.85,1569943.0,469177465.55
2021-07-28,298.05,298.71,296.58,296.86,1078872.0,320273941.92
2021-07-29,297.72,300.58,297.33,299.45,1295078.0,387811107.1
2021-07-30,302.4,308.8,302.0,307.39,2516649.0,773592736.11
2021-08-02,308.73,310.19,300.12,300.22,1927668.0,578724486.96
2021-08-03,300.69,303.215,300.05,302.92,1133017.0,343213509.64000005
2021-08-04,304.48,307.72,304.48,305.62,1476717.0,451314249.54
2021-08-05,307.4,308.99,304.42,304.83,1586469.0,483603345.27
2021-08-06,304.97,306.88,303.93,305.87,858928.0,262720307.36
2021-08-09,306.11,306.18,301.74,303.26,910300.0,276057578.0
