timestamps,open,high,low,close,volume,amount
2021-05-28,81.63,82.1,80.875,81.37,594459.0,48371128.830000006
2021-06-01,79.64,80.78,79.2,80.06,1380733.0,110541483.98
2021-06-02,80.12,81.99,79.785,81.33,1131047.0,91988052.51
2021-06-03,81.49,81.53,80.06,80.69,783015.0,63181480.35
2021-06-04,81.06,82.8,80.75,81.94,732725.0,60039486.5
2021-06-07,81.79,81.94,79.92,80.05,1020089.0,81658124.45
2021-06-08,80.2,81.55,80.08,81.45,616749.0,50234206.05
2021-06-09,81.68,82.02,80.16,80.19,665204.0,53342708.76
2021-06-10,80.72,81.78,80.24,81.28,714770.0,58096505.6
2021-06-11,81.56,81.78,80.47,80.79,909207.0,73454833.53
2021-06-14,81.12,82.7,80.96,82.18,779186.0,64033505.48
2021-06-15,82.72,82.75,80.78,81.32,729442.0,59318223.44
2021-06-16,81.49,81.49,79.99,81.08,662660.0,53728472.8
2021-06-17,80.5,82.15,80.27,81.14,495678.0,40219312.92
2021-06-18,80.84,81.25,79.72,80.02,1008152.0,80672323.03999999
2021-06-21,80.52,82.49,79.935,81.17,950989.0,77191777.13
2021-06-22,80.87,81.0,79.39,80.24,953666.0,76522159.83999999
2021-06-23,80.4,81.88,80.28,80.95,825936.0,66859519.2
2021-06-24,81.36,82.99,81.36,82.98,819623.0,68012316.54
2021-06-25,83.0,84.57,82.26,82.64,1640947.0,135607860.08
2021-06-28,83.0,84.55,83.0,83.7,700803.0,58657211.1
2021-06-29,83.78,84.98,82.775,83.1,563777.0,46849868.7
2021-06-30,83.31,83.42,82.02,82.03,1033108.0,84745849.24
2021-07-01,82.48,84.3,82.15,83.98,854326.0,71746297.48
2021-07-02,84.27,84.64,83.1792,83.47,456565.0,38109480.55
2021-07-06,83.36,83.88,82.26,83.72,603840.0,50553484.8
2021-07-07,83.82,84.19,80.79,82.41,532398.0,43874919.18
2021-07-08,80.97,82.65,80.35,82.23,456699.0,37554358.77
2021-07-09,82.03,83.11,81.65,82.67,360248.0,29781702.16
2021-07-12,82.7,82.99,81.64,82.51,469124.0,38707421.24
2021-07-13,82.7,83.26,82.0,82.29,451570.0,37159695.3
2021-07-14,83.01,84.65,82.52,82.63,715689.0,59137382.07
2021-07-15,82.45,82.795,80.57,81.33,537098.0,43682180.34
2021-07-16,81.32,82.0,80.27,80.27,347120.0,27863322.4
2021-07-19,79.64,81.44,79.2,80.64,523120.0,42184396.8
2021-07-20,81.15,81.98,80.25,81.21,803316.0,65237292.35999999
2021-07-21,81.58,83.2,81.24,82.8,427590.0,35404452.0
2021-07-22,82.5,83.16,81.8215,82.47,270177.0,22281497.19
2021-07-23,82.74,83.3172,81.73,82.97,331414.0,27497419.58
2021-07-26,82.9,83.95,82.76,83.09,297100.0,24686039.0
2021-07-27,82.5,82.55,80.1,81.09,459898.0,37293128.82
2021-07-28,81.23,83.8179,80.87,83.3,382261.0,31842341.3
2021-07-29,83.66,85.0,83.2258,83.68,402804.0,33706638.720000006
2021-07-30,82.95,84.25,82.9,83.99,573180.0,48141388.2
2021-08-02,84.12,85.92,83.43,83.47,752994.0,62852409.18
2021-08-03,83.4,83.42,81.03,81.53,653185.0,53254173.05
2021-08-04,81.76,82.22,80.41,81.66,1010146.0,82488522.36
2021-08-05,81.72,82.955,80.6,80.87,603111.0,48773586.57
2021-08-06,80.58,82.445,80.58,81.26,919388.0,74709468.88000001
2021-08-09,81.49,81.8329,80.51,80.65,348748.0,28126526.200000003
2021-08-10,80.39,81.9924,79.23,79.83,880610.0,70299096.3
2021-08-11,79.97,80.0777,77.91,79.7,601885.0,47970234.5
2021-08-12,79.51,79.73,78.679,79.11,341294.0,26999768.34
2021-08-13,79.37,79.7,78.25,78.64,438789.0,34506366.96
2021-08-16,78.43,79.22,78.17,78.38,545708.0,42772593.04
2021-08-17,77.915,81.38,77.32,80.24,1689460.0,135562270.4
2021-08-18,81.75,83.56,79.86,81.67,1651566.0,134883395.22
2021-08-19,81.84,84.99,81.46,84.96,1469379.0,124838439.84
2021-08-20,83.7861,85.79,83.13,84.58,807648.0,68310867.84
2021-08-23,84.92,87.43,84.8,86.21,1097760.0,94637889.6
2021-08-24,86.48,86.88,85.46,86.75,441291.0,38281994.25
2021-08-25,87.0,87.51,86.4,86.91,434318.0,37746577.379999995
2021-08-26,86.67,86.74,85.36,85.52,322232.0,27557280.639999997
2021-08-27,85.53,87.45,85.53,86.96,493467.0,42911890.32
2021-08-30,86.91,87.65,86.44,87.07,364694.0,31753906.58
2021-08-31,87.25,87.28,85.781,86.64,368969.0,31967474.16
2021-09-01,87.01,88.24,86.7901,87.45,469079.0,41020958.55
2021-09-02,87.83,89.04,87.83,88.33,412245.0,36413600.85
2021-09-03,88.06,89.34,87.66,89.03,489235.0,43556592.05
2021-09-07,88.73,88.7908,87.0012,87.99,488290.0,42964637.099999994
2021-09-08,87.5,88.21,87.09,88.17,341674.0,30125396.58
2021-09-09,88.13,89.65,87.7,88.72,547382.0,48563731.04
2021-09-10,88.39,88.51,85.7501,85.82,684590.0,58751513.8
2021-09-13,86.16,88.04,85.0401,87.57,566539.0,49611820.23
2021-09-14,87.7,87.7999,85.23,85.91,418846.0,35983059.86
2021-09-15,86.5,87.15,85.73,86.5,620337.0,53659150.5
2021-09-16,86.5,86.82,85.4,86.47,453981.0,39255737.07
2021-09-17,86.51,86.51,84.59,85.38,1365861.0,116617212.18
2021-09-20,84.19,84.95,83.59,84.79,781660.0,66276951.400000006
