timestamps,open,high,low,close,volume,amount
2021-05-28,199.12,202.28,198.53,199.74,2424719.0,484313373.06
2021-06-01,200.32,200.89,196.68,198.42,3135286.0,622103448.12
2021-06-02,199.01,200.92,198.25,199.13,2058559.0,409920853.67
2021-06-03,198.99,203.64,198.61,202.7,3081445.0,624608901.5
2021-06-04,202.79,204.45,201.2902,202.02,2837279.0,573187103.58
2021-06-07,201.99,233.33,201.83,222.52,17256312.0,3839874546.24
2021-06-08,221.71,222.27,217.37,220.7,4736273.0,1045295451.1
2021-06-09,221.35,226.73,220.26,226.0,4992360.0,1128273360.0
2021-06-10,226.97,235.847,226.25,233.54,5670426.0,1324271288.04
2021-06-11,227.03,229.59,221.56,224.09,5762810.0,1291388092.9
2021-06-14,224.23,226.66,223.02,226.1,2781580.0,628915238.0
2021-06-15,226.1,226.66,222.87,223.52,2218649.0,495912424.48
2021-06-16,223.53,224.36,220.2,220.76,2589311.0,571616296.36
2021-06-17,220.27,223.095,220.27,222.21,1916786.0,425929017.06
2021-06-18,220.43,221.05,218.32,218.55,4451879.0,972958155.45
2021-06-21,219.1,223.77,218.08,222.67,3699442.0,823754750.14
2021-06-22,222.63,223.61,220.5128,221.44,1684047.0,372915367.68
2021-06-23,222.19,222.24,217.0,217.1,2452687.0,532478347.7
2021-06-24,234.92,239.37,230.42,232.97,12465545.0,2904098018.65
2021-06-25,233.12,233.4899,229.39,230.22,7061909.0,1625792689.98
2021-06-28,229.0,229.88,226.8784,228.22,2551878.0,582389597.16
2021-06-29,228.25,231.4,227.85,229.37,1645156.0,377349431.72
2021-06-30,230.09,230.8459,229.06,229.52,1819358.0,417579048.16
2021-07-01,229.51,231.5,228.66,231.13,2003465.0,463060865.45
2021-07-02,231.97,234.21,231.33,233.96,2022308.0,473139179.68
2021-07-06,233.63,235.575,233.2301,235.42,3166970.0,745568077.4
2021-07-07,234.68,236.59,233.46,235.82,3184190.0,750895685.8
2021-07-08,233.83,237.27,232.1,237.12,2491425.0,590766696.0
2021-07-09,237.17,238.4717,232.75,234.99,4053662.0,952570033.38
2021-07-12,235.17,238.0,235.15,236.01,2958722.0,698287979.22
2021-07-13,235.98,236.65,234.03,235.3,2005911.0,471990858.3
2021-07-14,235.79,237.23,234.73,236.35,2127902.0,502929637.7
2021-07-15,235.01,235.99,230.69,231.47,3660177.0,847221170.1899999
2021-07-16,232.5,233.04,231.21,232.46,2313551.0,537808065.46
2021-07-19,231.88,234.3,230.57,234.14,2348382.0,549850161.48
2021-07-20,235.0,237.75,233.935,235.02,2334222.0,548588854.44
2021-07-21,236.38,237.37,233.59,237.29,1674137.0,397255968.73
2021-07-22,237.28,239.7,236.37,238.49,1734278.0,413607960.22
2021-07-23,239.28,244.55,238.56,244.15,2468474.0,602677927.1
2021-07-26,242.57,245.28,242.57,243.21,2715277.0,660382519.1700001
2021-07-27,243.71,244.06,242.66,243.58,2142434.0,521854073.72
2021-07-28,243.37,248.4,242.64,246.51,1712784.0,422218383.84
2021-07-29,247.5,248.24,242.2401,245.33,1924383.0,472108881.3900001
2021-07-30,244.9,245.95,242.63,243.5,1905119.0,463896476.5
2021-08-02,245.73,247.885,244.25,246.6,1958943.0,483075343.8
2021-08-03,244.75,259.37,243.5,255.99,5406183.0,1383928786.17
2021-08-04,256.0,270.65,255.42,262.47,3892600.0,1021690722.0
2021-08-05,263.28,265.51,261.33,264.19,2262446.0,597715608.74
2021-08-06,263.51,264.27,260.74,263.44,2155214.0,567769576.16
2021-08-09,264.58,273.04,264.5,267.16,3238463.0,865187775.08
2021-08-10,266.75,271.08,266.18,269.45,2060223.0,555127087.35
2021-08-11,269.59,270.94,262.66,264.1,2813289.0,742989624.9000001
2021-08-12,263.2,264.535,261.49,263.47,2100876.0,553517799.72
2021-08-13,263.15,265.69,263.02,264.21,1482410.0,391667546.1
2021-08-16,264.88,270.26,264.265,269.94,2623287.0,708130092.78
2021-08-17,271.16,275.87,267.18,272.71,2096073.0,571620067.8299999
2021-08-18,272.01,274.76,268.03,268.52,2527494.0,678682688.88
2021-08-19,266.15,271.8475,265.43,270.4,1901013.0,514033915.1999999
2021-08-20,269.38,272.8665,269.06,270.91,1536829.0,416342344.3900001
2021-08-23,272.3,272.91,267.7,267.82,2438890.0,653183519.8
2021-08-24,266.2,267.44,261.78,262.77,3736297.0,981786762.69
2021-08-25,262.78,264.52,261.29,263.87,2388585.0,630275923.95
2021-08-26,264.0,265.59,260.58,261.32,1732985.0,452863640.2
2021-08-27,262.52,263.1257,258.58,259.75,1839899.0,477913765.25
2021-08-30,261.03,264.07,259.61,262.31,1300723.0,341192650.13
2021-08-31,262.84,263.635,257.86,258.29,2733435.0,706018926.1500001
2021-09-01,258.54,258.77,254.49,257.4,2956822.0,761085982.8
2021-09-02,257.41,259.73,256.47,259.57,1469713.0,381493403.41
2021-09-03,260.83,260.99,256.7836,259.53,1124527.0,291848492.30999994
2021-09-07,259.0,260.82,254.41,254.8,2429996.0,619162980.8000001
2021-09-08,254.6,255.71,253.68,254.84,1542529.0,393098090.36
2021-09-09,253.29,254.02,239.67,240.0,4976593.0,1194382320.0
2021-09-10,242.2,243.89,238.57,239.5,4633548.0,1109734746.0
2021-09-13,240.04,241.15,235.15,237.96,2859422.0,680428059.12
2021-09-14,238.72,239.7939,231.98,233.09,3850896.0,897605348.64
2021-09-15,233.58,239.38,233.06,233.73,2827461.0,660862459.53
2021-09-16,234.08,234.69,229.73,231.04,2958684.0,683574351.36
2021-09-17,229.71,230.83,228.23,230.1,4480241.0,1030903454.1
2021-09-20,228.09,232.73,227.29,231.64,2803437.0,649388146.68
2021-09-21,232.06,233.72,229.74,230.17,2172825.0,500119130.25
2021-09-22,230.0,231.03,227.58,228.3,2529635.0,577515670.5
2021-09-23,229.3,234.2,229.01,232.18,1912322.0,444002921.96
2021-09-24,232.77,235.385,231.34,231.68,1642578.0,380552471.04
2021-09-27,229.97,231.06,225.613,226.4,2785922.0,630732740.8000001
2021-09-28,226.39,226.4,220.2,221.6,3583251.0,794048421.6
2021-09-29,225.41,231.44,224.56,230.36,3971031.0,914766701.16
2021-09-30,232.78,237.16,230.8,231.05,3831861.0,885351484.0500001
2021-10-01,231.0,231.68,225.45,229.59,2215772.0,508719093.48
2021-10-04,227.8,230.19,224.22,224.85,4784747.0,1075850362.95
2021-10-05,226.44,232.56,226.1747,230.93,2802025.0,647071633.25
2021-10-06,230.56,230.85,226.05,227.85,2462722.0,561131207.6999999
2021-10-07,229.12,234.11,229.0,233.18,2001803.0,466780423.54
2021-10-08,233.42,235.81,231.55,233.94,2588247.0,605494503.18
2021-10-11,236.7,237.99,233.6,233.67,1892511.0,442223045.37
2021-10-12,234.7,235.07,231.98,232.78,1719458.0,400255433.24
2021-10-13,234.07,237.92,232.8,236.44,2105892.0,497917104.48
2021-10-14,237.01,238.44,234.11,236.69,1824765.0,431903627.85
