timestamps,open,high,low,close,volume,amount
2021-05-28,384.7,386.0,381.52,382.2,951690.0,363735918.0
2021-06-01,384.23,384.43,381.13,381.92,981748.0,374949196.16
2021-06-02,382.01,385.5,380.63,385.09,1019463.0,392585006.67
2021-06-03,383.76,387.54,383.095,387.35,1664952.0,644919157.2
2021-06-04,388.0,395.52,387.61,394.1,1856164.0,731514232.4000001
2021-06-07,395.04,395.72,389.6101,391.51,1107392.0,433555041.92
2021-06-08,391.51,392.66,387.07,388.53,1080335.0,419742557.5499999
2021-06-09,389.27,389.27,385.12,386.8,1059460.0,409799128.0
2021-06-10,389.14,389.74,386.09,387.72,928499.0,359997632.28000003
2021-06-11,388.78,389.15,385.17,387.72,761991.0,295439150.52000004
2021-06-14,387.61,389.455,385.88,389.11,882909.0,343548720.99
2021-06-15,390.0,392.045,389.06,389.8,960151.0,374266859.8
2021-06-16,390.81,391.0028,383.2,383.6,1542598.0,591740592.8000001
2021-06-17,384.28,385.52,379.57,382.9,1269486.0,486086189.4
2021-06-18,380.17,382.1,379.0,379.19,2544638.0,964901283.22
2021-06-21,381.23,385.44,380.61,382.5,1206463.0,461472097.5
2021-06-22,381.54,383.88,379.65,382.48,653501.0,249951062.48
2021-06-23,382.21,382.51,377.26,377.33,1042292.0,393288040.3599999
2021-06-24,379.52,379.99,376.85,377.73,1052955.0,397732692.15
2021-06-25,376.89,383.42,376.89,382.01,1743566.0,666059647.66
2021-06-28,381.67,382.733,378.82,380.07,791945.0,300994536.15
2021-06-29,379.876,380.4,373.245,373.42,1239102.0,462705468.84
2021-06-30,374.5,379.439,373.615,378.35,1099842.0,416125220.7000001
2021-07-01,377.31,381.115,377.215,380.22,770350.0,292902477.0
2021-07-02,381.75,383.19,378.95,381.49,791058.0,301780716.42
2021-07-06,380.0,380.34,373.6843,378.67,1157614.0,438353693.38
2021-07-07,378.41,384.6,377.4101,383.48,966516.0,370639555.68
2021-07-08,379.53,381.69,377.93,379.92,917404.0,348540127.68
2021-07-09,382.7,384.39,380.77,383.11,552447.0,211647970.17
2021-07-12,381.9,383.315,376.23,379.07,1029399.0,390214278.93
2021-07-13,379.0,380.685,377.535,377.84,725733.0,274210956.71999997
2021-07-14,377.84,378.3914,375.21,376.82,710232.0,267629622.24
2021-07-15,375.12,378.65,375.0,378.25,729828.0,276057441.0
2021-07-16,378.62,379.72,375.28,377.14,915603.0,345310515.42
2021-07-19,375.15,376.82,367.56,372.02,1379692.0,513273017.84
2021-07-20,373.01,380.64,373.0,379.98,1284878.0,488227942.44
2021-07-21,379.98,384.7,379.4,380.89,939885.0,357992797.65
2021-07-22,380.75,381.545,377.8301,379.93,701255.0,266427812.15
2021-07-23,381.97,382.5,380.19,380.77,807736.0,307561636.71999997
2021-07-26,373.0,374.36,366.4,368.05,2748739.0,1011673388.95
2021-07-27,368.25,375.55,368.25,374.73,1487264.0,557322438.72
2021-07-28,376.0,376.242,370.59,372.81,792173.0,295330016.13
2021-07-29,374.85,375.86,371.35,372.6,754760.0,281223576.0
2021-07-30,372.07,373.64,370.11,371.67,798759.0,296874757.53000003
2021-08-02,372.3,375.04,368.08,368.3,1176463.0,433291322.9
2021-08-03,369.38,369.91,366.0,369.45,872936.0,322506205.2
2021-08-04,364.49,365.36,359.61,361.64,1608105.0,581555092.1999999
2021-08-05,362.44,363.02,359.88,360.78,912917.0,329362195.26
2021-08-06,362.3,363.46,360.56,362.05,704471.0,255053725.55
2021-08-09,360.7,362.4246,359.78,361.04,945120.0,341226124.8
2021-08-10,360.19,363.06,360.1,362.24,842087.0,305037594.88
2021-08-11,362.45,364.35,361.0,363.3,894275.0,324890107.5
2021-08-12,362.33,364.3,358.8,359.75,1006041.0,361923249.75
2021-08-13,360.25,361.065,357.51,357.98,1222334.0,437571125.32
2021-08-16,357.98,360.51,355.56,360.25,1625931.0,585741642.75
2021-08-17,359.05,362.53,358.665,361.6,1571156.0,568130009.6
2021-08-18,359.5,360.5,356.56,356.6,960963.0,342679405.8
2021-08-19,355.23,359.895,353.57,354.03,1345883.0,476482958.4899999
2021-08-20,354.74,358.81,353.57,357.17,904545.0,323076337.65000004
2021-08-23,357.94,359.07,356.41,357.35,828025.0,295894733.75
2021-08-24,358.97,360.49,357.92,359.0,822751.0,295367609.0
2021-08-25,359.69,360.65,357.991,358.75,953589.0,342100053.75
2021-08-26,359.1,361.98,357.2416,361.62,1166233.0,421733177.46
2021-08-27,363.29,364.33,361.18,361.99,1203851.0,435782023.49
2021-08-30,362.25,363.96,361.75,362.05,986040.0,356995782.0
2021-08-31,359.4,360.85,358.1,359.8,1084123.0,390067455.4
2021-09-01,358.3,359.51,356.54,356.66,1116268.0,398128144.88000005
2021-09-02,356.81,358.735,355.52,358.05,2031599.0,727414021.95
2021-09-03,358.05,358.27,355.625,356.0,893685.0,318151860.0
2021-09-07,354.72,354.72,349.07,349.2,2062088.0,720081129.6
2021-09-08,350.39,353.58,349.46,351.46,1215491.0,427196466.8599999
2021-09-09,350.51,351.7,347.86,348.93,1099019.0,383480699.67
2021-09-10,349.44,350.08,345.82,345.88,1222611.0,422876692.68
2021-09-13,347.91,349.28,342.75,346.31,1502256.0,520246275.36
2021-09-14,348.0,348.3,342.48,344.34,1346096.0,463514696.64
2021-09-15,344.8,346.93,343.91,345.07,1171825.0,404361652.75
2021-09-16,345.48,345.9436,340.75,341.5,1451607.0,495723790.5
2021-09-17,339.95,342.81,339.15,340.98,2108086.0,718815164.2800001
2021-09-20,338.7,340.65,335.89,338.46,1709991.0,578763553.86
2021-09-21,338.74,340.065,335.1001,336.05,1316981.0,442571465.05
2021-09-22,338.14,343.2,338.02,341.73,1335925.0,456525650.25
2021-09-23,340.29,344.775,340.11,344.2,1353931.0,466023050.2
2021-09-24,348.97,352.94,347.51,349.52,1692975.0,591728622.0
2021-09-27,352.14,357.235,351.32,353.36,1865989.0,659365873.0400001
2021-09-28,353.36,355.31,349.92,352.15,1140435.0,401604185.25
2021-09-29,348.13,352.58,344.97,350.29,1547732.0,542155042.2800001
2021-09-30,351.53,352.3,344.9,345.1,1067951.0,368549890.1
2021-10-01,347.31,349.68,342.77,347.8,960373.0,334017729.40000004
2021-10-04,347.69,350.2724,343.7,345.99,1127402.0,390069817.98
