timestamps,open,high,low,close,volume,amount
2021-05-28,85.04,85.26,84.38,84.9,864172.0,73368202.80000001
2021-06-01,85.24,86.0,84.81,85.32,1323883.0,112953697.56
2021-06-02,85.5,87.08,85.0,86.83,926826.0,80476301.58
2021-06-03,86.79,87.51,85.83,87.22,895724.0,78125047.28
2021-06-04,87.95,88.15,86.87,87.35,664065.0,58006077.74999999
2021-06-07,87.35,88.9,87.185,88.82,1116939.0,99206521.98
2021-06-08,88.45,90.0,87.7714,89.48,1501248.0,134331671.04
2021-06-09,88.25,89.975,88.14,88.22,1632187.0,143991537.14
2021-06-10,88.47,88.76,87.65,88.0,1631309.0,143555192.0
2021-06-11,88.05,89.01,88.0,88.64,1149471.0,101889109.44
2021-06-14,89.0,89.86,88.65,88.82,1370460.0,121724257.2
2021-06-15,88.86,89.18,87.81,88.47,1479630.0,130902866.1
2021-06-16,87.77,88.65,86.92,88.61,1223922.0,108451728.42
2021-06-17,88.39,88.6,84.86,86.4,1723556.0,148915238.4
2021-06-18,85.95,86.1,82.79,83.25,2348680.0,195527610.0
2021-06-21,83.51,85.99,83.3,85.24,1421200.0,121143088.0
2021-06-22,85.62,86.84,84.97,86.83,1898752.0,164868636.16
2021-06-23,87.4,88.25,87.09,87.52,1120543.0,98069923.36
2021-06-24,88.08,88.1999,87.02,87.5,827828.0,72434950.0
2021-06-25,87.93,87.94,87.0,87.44,1622458.0,141867727.52
2021-06-28,87.29,87.29,85.21,86.46,845814.0,73129078.44
2021-06-29,86.83,87.41,86.1306,86.23,863571.0,74465727.33
2021-06-30,86.74,87.365,86.1,86.74,1121583.0,97286109.42
2021-07-01,87.48,87.6336,86.39,87.01,965635.0,84019901.35000001
2021-07-02,86.85,87.96,86.39,87.67,815030.0,71453680.1
2021-07-06,88.45,88.45,86.99,87.95,995978.0,87596265.10000001
2021-07-07,88.02,88.82,86.5,87.58,1218607.0,106725601.06
2021-07-08,86.33,88.48,85.66,87.38,830712.0,72587614.56
2021-07-09,88.18,88.19,87.09,88.01,817476.0,71946062.76
2021-07-12,87.33,87.75,86.12,86.7,1318102.0,114279443.4
2021-07-13,86.53,86.78,83.74,83.88,1365134.0,114507439.92
2021-07-14,84.55,85.6,83.09,83.43,1582414.0,132020800.02
2021-07-15,83.0,83.965,82.63,83.07,879255.0,73039712.85
2021-07-16,83.22,83.64,82.75,83.56,801685.0,66988798.6
2021-07-19,81.95,82.5,80.06,80.83,1091322.0,88211557.26
2021-07-20,81.26,83.9,80.775,83.6,1539972.0,128741659.2
2021-07-21,84.42,85.1598,83.81,84.36,892854.0,75321163.44
2021-07-22,85.46,85.49,83.85,84.38,915092.0,77215462.96
2021-07-23,83.97,84.44,82.93,83.89,769047.0,64515352.83
2021-07-26,84.14,85.46,83.89,85.34,832710.0,71063471.4
2021-07-27,85.32,85.44,83.99,84.63,758019.0,64151147.97
2021-07-28,84.65,85.58,83.115,85.17,1021879.0,87033434.43
2021-07-29,85.75,87.16,85.22,86.85,949533.0,82466941.05
2021-07-30,86.3,87.12,84.91,84.93,1118372.0,94983333.96
2021-08-02,84.85,85.725,84.09,84.9,1113174.0,94508472.6
2021-08-03,84.52,86.47,83.84,86.16,654884.0,56424805.44
2021-08-04,85.0,86.455,84.69,85.45,986730.0,84316078.5
2021-08-05,85.05,86.67,83.52,85.91,1020978.0,87712219.97999999
2021-08-06,85.92,86.45,84.06,84.64,1081713.0,91556188.32
2021-08-09,83.5,84.82,83.07,83.88,1182096.0,99154212.48
2021-08-10,84.53,87.67,84.2,87.67,1651712.0,144805591.04
2021-08-11,87.81,88.31,86.355,86.51,1471495.0,127299032.45
2021-08-12,86.45,88.22,86.05,88.13,962006.0,84781588.78
2021-08-13,88.58,88.86,87.0,87.13,550648.0,47977960.239999995
2021-08-16,86.32,86.98,84.54,85.0,1439895.0,122391075.0
2021-08-17,84.35,86.11,84.25,86.07,1147938.0,98803023.66
2021-08-18,85.97,86.95,85.54,85.88,1280448.0,109964874.24
2021-08-19,84.2,84.92,82.15,83.04,1516367.0,125919115.68
2021-08-20,82.87,83.75,82.68,83.49,864542.0,72180611.58
2021-08-23,85.34,86.01,85.02,85.8,1067024.0,91550659.2
2021-08-24,86.41,87.4,86.03,86.91,1118635.0,97220567.85
2021-08-25,86.91,88.86,86.5,88.53,791099.0,70035994.47
2021-08-26,88.33,88.905,87.82,87.92,1312107.0,115360447.44
2021-08-27,88.5,89.8,88.15,89.7,964664.0,86530360.8
2021-08-30,90.0,90.11,88.91,88.95,801010.0,71249839.5
2021-08-31,88.36,89.14,87.23,87.46,1238047.0,108279590.62
2021-09-01,87.51,88.48,86.03,88.29,988350.0,87261421.5
2021-09-02,88.99,91.25,88.845,89.75,992372.0,89065387.0
2021-09-03,89.75,90.485,89.385,89.92,747319.0,67198924.48
2021-09-07,87.0,90.47,87.0,89.84,1664310.0,149521610.4
2021-09-08,91.1,92.115,89.16,89.98,2054514.0,184865169.72
2021-09-09,90.0,90.16,87.185,87.56,1710078.0,149734429.68
2021-09-10,88.69,88.71,87.5,88.05,1283539.0,113015608.95
2021-09-13,89.16,91.4,89.005,90.83,1376346.0,125013507.18
2021-09-14,91.88,92.0,88.28,88.54,1032380.0,91406925.2
2021-09-15,89.51,92.26,89.51,92.09,1901607.0,175118988.63
2021-09-16,91.17,92.0,90.61,90.7,1653627.0,149983968.9
2021-09-17,90.61,90.85,86.72,86.93,3238554.0,281527499.22
2021-09-20,84.53,86.9,84.1901,85.27,1529629.0,130431464.83
2021-09-21,86.0,88.07,85.61,87.74,1693773.0,148611643.01999998
2021-09-22,89.09,90.29,89.0,89.92,1607088.0,144509352.96
2021-09-23,90.85,94.23,90.06,93.79,2169140.0,203443640.6
2021-09-24,93.71,95.0,92.86,94.67,1916630.0,181447362.1
2021-09-27,97.16,98.18,95.9,96.01,2762190.0,265197861.9
2021-09-28,96.97,98.22,96.17,96.93,2221761.0,215355293.73
2021-09-29,97.75,98.55,96.35,97.59,1932287.0,188571888.33
2021-09-30,97.9,100.01,97.33,97.67,3140113.0,306694836.71
2021-10-01,98.5,98.91,96.27,98.83,1779978.0,175915225.74
2021-10-04,101.01,104.5345,99.81,102.3,3187190.0,326049537.0
2021-10-05,103.91,104.02,99.24,100.44,2279329.0,228935804.76
2021-10-06,99.25,99.66,97.0,98.8,1620208.0,160076550.4
2021-10-07,98.58,100.88,98.53,100.06,1732444.0,173348346.64000002
2021-10-08,100.78,101.6999,99.64,99.67,1380960.0,137640283.2
2021-10-11,100.77,102.56,100.3993,101.63,1120480.0,113874382.4
2021-10-12,102.0,103.95,101.71,102.52,1242641.0,127395555.32
2021-10-13,102.52,105.26,101.5,105.01,1279125.0,134320916.25
2021-10-14,106.4,106.69,105.3,105.97,2007391.0,212723224.27
2021-10-15,107.0,111.13,106.78,110.49,2484184.0,274477490.15999997
2021-10-18,112.08,113.4,110.77,111.51,2049959.0,228590928.09
2021-10-19,111.47,111.75,108.02,108.29,2491597.0,269815039.13
2021-10-20,107.5,108.04,103.96,104.15,3668847.0,382110415.05
2021-10-21,104.49,106.24,103.63,105.9,1923999.0,203751494.1
2021-10-22,106.0,107.459,104.27,105.27,1131942.0,119159534.34
2021-10-25,108.32,109.185,106.37,108.0,1961514.0,211843512.0
2021-10-26,108.0,108.87,106.67,107.18,1096730.0,117547521.4
2021-10-27,106.8,107.7022,105.15,105.86,1801459.0,190702449.74
2021-10-28,105.54,106.52,103.83,104.57,1070769.0,111970314.33
2021-10-29,104.32,104.695,102.8,103.4,1147864.0,118689137.6
2021-11-01,104.0,105.81,103.71,105.34,1281858.0,135030921.72
2021-11-02,104.96,105.7,103.86,105.57,828152.0,87428006.64
2021-11-03,105.1,106.0,104.01,105.64,1330804.0,140586134.56
2021-11-04,107.0,107.9,104.78,105.57,2088422.0,220474710.54
2021-11-05,106.73,108.2481,106.0,107.82,2232684.0,240727988.88
2021-11-08,110.33,110.33,107.31,108.03,1696439.0,183266305.17
2021-11-09,108.57,109.08,106.64,106.92,1792632.0,191668213.44
2021-11-10,107.0,107.03,102.5828,104.59,1759250.0,183999957.5
2021-11-11,105.54,105.73,104.22,104.22,1241840.0,129424564.8
2021-11-12,104.14,104.685,102.73,104.31,1625205.0,169525133.55
2021-11-15,104.03,105.32,102.82,103.4,1271915.0,131516011.0
2021-11-16,104.53,107.3,103.6,106.24,1558327.0,165556660.48
2021-11-17,106.0,106.94,104.07,104.89,1104850.0,115887716.5
2021-11-18,104.48,107.36,104.2,107.21,1408155.0,150968297.54999998
2021-11-19,104.05,104.83,101.45,104.23,1939675.0,202172325.25
2021-11-22,103.26,104.89,102.5,102.85,1303241.0,134038336.85
2021-11-23,103.36,105.675,103.36,104.85,1495087.0,156759871.95
2021-11-24,104.92,109.28,103.82,108.85,1616554.0,175961902.89999998
2021-11-26,103.65,108.98,103.65,106.89,1404643.0,150142290.27
2021-11-29,109.15,109.95,106.12,106.6,1604645.0,171055157.0
2021-11-30,104.29,105.48,103.1301,104.81,2818315.0,295387595.15000004
2021-12-01,106.02,106.6,101.78,101.78,1469641.0,149580060.98
2021-12-02,101.36,105.58,100.02,105.02,2038031.0,214034015.62
2021-12-03,105.46,106.39,101.745,103.51,1543610.0,159779071.1
2021-12-06,104.04,106.25,102.33,105.37,1805373.0,190232153.01
2021-12-07,106.95,109.0,105.61,106.56,2275023.0,242426450.88
2021-12-08,105.8,106.47,104.64,105.48,2377355.0,250763405.4
2021-12-09,105.36,105.425,102.09,102.17,1270138.0,129769999.46
2021-12-10,102.7,103.23,101.19,103.04,1535590.0,158227193.60000002
2021-12-13,102.52,102.95,101.26,102.35,1322810.0,135389603.5
2021-12-14,102.31,103.0,101.47,102.08,1502790.0,153404803.2
2021-12-15,101.74,102.5999,98.1,101.45,1995798.0,202473707.1
2021-12-16,103.87,104.705,100.39,100.86,1952890.0,196968485.4
2021-12-17,100.48,102.125,99.16,100.41,2639635.0,265045750.35
