timestamps,open,high,low,close,volume,amount
2021-05-28,197.0,197.84,194.68,194.83,3690123.0,718946664.09
2021-06-01,195.0,196.1,191.54,191.85,4185871.0,803059351.35
2021-06-02,192.3,193.18,190.0634,190.77,4035596.0,769870648.9200001
2021-06-03,190.0,190.83,188.48,190.3,3513112.0,668545213.6
2021-06-04,190.38,191.39,188.29,189.91,4269929.0,810902216.39
2021-06-07,189.95,191.11,188.54,190.25,2952120.0,561640830.0
2021-06-08,191.16,192.69,190.25,191.4,3651744.0,698943801.6
2021-06-09,192.0,192.5,190.36,190.6,3667976.0,699116225.6
2021-06-10,190.87,191.65,187.35,188.78,3935091.0,742866478.98
2021-06-11,189.88,191.69,189.3,190.81,3162009.0,603342937.29
2021-06-14,190.12,190.5,188.21,189.66,3319631.0,629601215.46
2021-06-15,189.47,189.65,186.75,187.88,4520571.0,849324879.48
2021-06-16,188.0,188.2,184.58,186.2,4223147.0,786349971.4
2021-06-17,186.5,188.16,184.4649,186.84,4304881.0,804323966.04
2021-06-18,184.73,187.9,184.49,186.88,9717528.0,1816011632.64
2021-06-21,187.97,190.54,187.69,188.88,4585063.0,866026699.4399999
2021-06-22,189.92,192.68,189.57,191.72,4028284.0,772302608.48
2021-06-23,191.15,192.17,190.845,191.14,2896625.0,553660902.5
2021-06-24,192.68,193.09,190.93,191.75,2799069.0,536721480.75
2021-06-25,192.12,192.86,191.2,192.66,4178522.0,805034048.52
2021-06-28,192.59,194.17,191.375,193.21,2538346.0,490433830.66
2021-06-29,193.04,195.845,193.04,194.2,2657359.0,516059117.7999999
2021-06-30,194.13,195.26,193.85,193.97,2748443.0,533115488.71
2021-07-01,194.5,196.1,193.8478,195.82,2481376.0,485903048.32
2021-07-02,196.39,196.52,195.21,195.71,2585771.0,506061242.41
2021-07-06,195.8,196.38,192.78,194.75,2638829.0,513911947.75
2021-07-07,193.67,196.46,193.29,195.88,3694178.0,723615586.64
2021-07-08,193.39,194.15,191.16,192.8,4043164.0,779522019.2
2021-07-09,194.18,196.75,194.18,195.33,2471105.0,482680939.65
2021-07-12,194.9,196.42,194.31,195.57,2458870.0,480881205.9
2021-07-13,195.93,196.15,193.7363,194.28,3232204.0,627952593.12
2021-07-14,195.17,195.4,192.6,192.74,2977873.0,573955242.02
2021-07-15,191.52,195.93,191.52,195.75,3224575.0,631210556.25
2021-07-16,196.94,198.86,195.82,196.14,5003838.0,981452785.32
2021-07-19,191.98,193.6659,190.04,192.9,5218099.0,1006571297.1
2021-07-20,191.68,195.41,191.17,194.11,2927956.0,568345539.1600001
2021-07-21,194.56,195.43,193.93,195.13,2142829.0,418130222.77
2021-07-22,196.11,196.96,194.79,196.77,3272680.0,643965243.6
2021-07-23,198.0,201.42,197.61,200.84,3382251.0,679291290.84
2021-07-26,196.31,197.91,193.84,197.74,3522613.0,696561494.62
2021-07-27,197.68,197.72,191.49,193.51,4148365.0,802750111.15
2021-07-28,193.67,195.3854,192.0,192.39,2185362.0,420441795.17999995
2021-07-29,193.25,194.3199,191.96,193.62,2531417.0,490132959.54
2021-07-30,192.6,195.3,192.42,192.69,2841591.0,547546169.79
2021-08-02,193.81,194.22,190.85,190.96,3051665.0,582745948.4
2021-08-03,191.58,194.61,191.47,193.95,2335367.0,452944429.65
2021-08-04,193.06,194.28,189.81,189.9,3149798.0,598146640.2
2021-08-05,190.97,192.58,189.99,190.68,2335758.0,445382335.44
2021-08-06,191.73,192.6,189.82,190.16,2855017.0,542910032.72
2021-08-09,189.75,190.16,187.84,187.99,2296182.0,431659254.18
2021-08-10,188.14,190.86,187.37,189.73,2548402.0,483508311.46
2021-08-11,191.29,194.71,191.0,194.52,3367253.0,654998053.5600001
2021-08-12,194.26,194.9188,190.79,192.0,2754081.0,528783552.0
2021-08-13,191.93,192.35,189.76,190.51,2400926.0,457400412.26
2021-08-16,189.94,193.89,189.14,193.48,3486642.0,674595494.16
2021-08-17,187.43,187.85,182.08,182.26,8256370.0,1504805996.1999998
2021-08-18,189.25,203.7199,188.5,199.73,16992721.0,3393956165.33
2021-08-19,198.75,203.32,198.46,202.59,5378332.0,1089596279.88
2021-08-20,202.75,208.89,202.56,208.21,4915661.0,1023489776.81
2021-08-23,208.81,209.49,205.73,206.06,4195205.0,864463942.3
2021-08-24,206.16,206.45,202.85,203.39,4110644.0,836063883.16
2021-08-25,203.41,206.83,203.07,206.18,2628833.0,542012787.94
2021-08-26,205.29,206.98,204.05,205.65,3250430.0,668450929.5
2021-08-27,205.37,207.53,204.75,205.9,3128212.0,644098850.8000001
2021-08-30,208.45,209.41,204.89,204.99,3986280.0,817147537.2
2021-08-31,206.37,206.59,203.325,203.89,4877879.0,994550749.31
2021-09-01,204.55,205.04,201.55,203.43,2835036.0,576731373.48
2021-09-02,203.77,206.63,203.7,206.15,2656307.0,547597688.0500001
2021-09-03,204.9,206.83,204.15,205.98,2260908.0,465701829.84
2021-09-07,205.7,207.24,204.905,205.15,2615935.0,536659065.25
2021-09-08,204.35,204.4192,201.5,204.09,3344859.0,682652273.3100001
2021-09-09,204.47,204.7167,202.49,203.01,2566245.0,520973397.45
2021-09-10,204.78,206.58,204.16,204.33,2505756.0,512001123.48
2021-09-13,205.72,207.2399,204.75,206.05,3185165.0,656303248.25
2021-09-14,206.55,207.405,203.92,204.17,2511524.0,512777855.08
2021-09-15,204.17,206.21,201.48,205.61,2976978.0,612096446.58
2021-09-16,205.66,209.33,205.66,208.48,3365599.0,701660079.52
2021-09-17,207.36,211.98,207.36,209.03,5835397.0,1219773034.91
2021-09-20,206.52,208.46,203.03,205.27,3640389.0,747262650.0300001
