timestamps,open,high,low,close,volume,amount
2021-05-28,65.3,65.532,64.7985,64.985,8420150.0,547183447.75
2021-06-01,65.6,67.38,64.7504,64.904,12763480.0,828400905.92
2021-06-02,64.768,65.587,64.25,64.899,9195950.0,596807959.05
2021-06-03,63.855,64.26,63.12,63.578,11786860.0,749384985.08
2021-06-04,64.4012,65.623,64.18,65.531,10442570.0,684312054.6700001
2021-06-07,65.162,65.25,64.3,64.958,8129980.0,528107240.84
2021-06-08,65.8,65.829,63.434,63.755,8857540.0,564712462.7
2021-06-09,64.113,64.3425,63.311,63.409,6594770.0,418167770.93
2021-06-10,63.18,64.7,63.18,64.077,8439840.0,540799627.68
2021-06-11,64.163,64.2945,63.483,64.211,10245620.0,657881505.8199999
2021-06-14,64.172,65.1135,63.819,65.024,10188160.0,662474915.84
2021-06-15,64.692,65.4,64.181,64.348,6380020.0,410541526.96
2021-06-16,64.568,65.089,63.2555,63.874,10738490.0,685910310.26
2021-06-17,63.645,64.7,62.87,63.978,8548040.0,546886503.12
2021-06-18,63.01,63.1577,60.889,61.266,21138980.0,1295100748.68
2021-06-21,61.4454,62.397,60.858,61.862,9931170.0,614362038.54
2021-06-22,61.752,62.615,60.925,62.179,7201110.0,447757818.69
2021-06-23,62.5,63.32,62.334,62.422,6797110.0,424289200.42
2021-06-24,63.381,63.761,63.1799,63.502,7680680.0,487738541.36
2021-06-25,63.5,63.633,62.572,63.044,12497470.0,787890498.68
2021-06-28,63.677,64.953,63.669,64.696,9634520.0,623314905.92
2021-06-29,64.69,65.465,64.401,65.179,7976380.0,519892472.02
2021-06-30,65.126,65.1825,64.341,65.07,8034720.0,522819230.3999999
2021-07-01,64.767,64.938,63.1224,63.307,11343010.0,718091934.07
2021-07-02,64.0232,64.125,62.7,63.144,7426380.0,468931338.72
2021-07-06,63.144,63.771,61.445,62.19,10242100.0,636956199.0
2021-07-07,62.909,62.9415,60.9765,61.359,8623360.0,529120746.24
2021-07-08,60.0639,61.35,59.421,60.603,10218900.0,619295996.7
2021-07-09,60.781,61.433,60.288,61.285,8375150.0,513271067.75
2021-07-12,61.751,62.927,61.6955,62.542,17317340.0,1083061078.28
2021-07-13,62.2738,62.6,61.555,62.467,10837260.0,676971120.42
2021-07-14,63.21,64.05,61.635,61.788,11506940.0,710990808.7199999
2021-07-15,61.478,62.1,60.358,61.074,12501000.0,763486074.0
2021-07-16,61.28,61.6,58.6,58.848,13537940.0,796680693.12
2021-07-19,57.799,59.19,57.5332,59.152,14570390.0,861867709.28
2021-07-20,59.594,61.178,58.819,60.709,15558870.0,944563438.83
2021-07-21,60.821,63.878,60.821,63.725,16374380.0,1043457365.5
2021-07-22,63.207,63.819,63.0536,63.593,12523510.0,796407571.4300001
2021-07-23,64.1715,64.465,63.351,64.027,10316850.0,660556954.95
2021-07-26,64.123,64.796,63.525,64.039,8784330.0,562539708.87
2021-07-27,63.501,63.726,60.76,62.259,14911660.0,928385039.94
2021-07-28,62.512,63.8,62.3433,63.5,12159980.0,772158730.0
2021-07-29,61.057,62.2465,59.706,61.963,29139050.0,1805542955.15
2021-07-30,61.1,63.75,61.067,63.741,16510910.0,1052421914.31
2021-08-02,64.62,65.9489,64.1,64.18,13924470.0,893672484.6000001
2021-08-03,64.548,64.934,63.6469,64.552,6843500.0,441761612.00000006
2021-08-04,64.882,65.4645,64.15,64.978,11120920.0,722615139.76
2021-08-05,65.179,65.3606,64.271,64.566,5961450.0,384906980.7
2021-08-06,64.26,64.835,64.2,64.796,6065590.0,393025969.6400001
2021-08-09,65.0,65.033,63.9,64.05,7830940.0,501571707.0
2021-08-10,64.08,64.1215,61.511,61.717,16248710.0,1002821635.07
2021-08-11,61.999,62.191,59.616,60.852,17556760.0,1068363959.52
2021-08-12,59.835,59.8455,57.815,58.351,25156300.0,1467895261.3
2021-08-13,58.325,58.834,57.717,58.041,17662530.0,1025150903.73
2021-08-16,57.987,59.052,57.749,58.887,12696200.0,747641129.4
2021-08-17,58.193,58.747,57.091,57.899,12702650.0,735470732.35
2021-08-18,57.8,58.557,56.914,56.951,8829710.0,502860814.21
2021-08-19,56.5355,57.9235,56.1685,57.714,11056980.0,638142543.72
2021-08-20,58.3475,58.55,55.983,56.597,16961720.0,959982466.84
2021-08-23,57.264,58.64,57.2395,58.43,13697350.0,800336160.5
2021-08-24,58.692,59.4,58.173,58.558,9513110.0,557068695.38
2021-08-25,58.719,59.48,58.647,58.877,9012280.0,530616009.56
2021-08-26,58.8,59.429,58.337,58.535,8623810.0,504794718.35
2021-08-27,58.925,61.319,58.916,60.959,14982350.0,913309073.65
2021-08-30,61.479,61.78,60.245,60.799,9765710.0,593745402.29
2021-08-31,60.887,60.887,59.7,60.482,10714820.0,648053743.24
2021-09-01,60.794,60.899,59.914,59.978,7045500.0,422574999.0
2021-09-02,60.272,60.785,59.9151,60.21,8574410.0,516265226.1
2021-09-03,60.202,61.334,59.6,61.071,10301900.0,629147334.9
2021-09-07,59.915,60.564,58.8,59.319,23525530.0,1395510914.0700002
2021-09-08,59.144,59.1585,57.638,58.354,17214580.0,1004539601.32
2021-09-09,58.1,59.692,57.9,59.361,15392120.0,913691635.32
2021-09-10,60.213,61.212,59.651,59.811,15574880.0,931549147.68
2021-09-13,60.291,61.494,59.956,60.877,13299920.0,809659229.84
2021-09-14,60.061,61.1396,59.863,60.35,12010000.0,724803500.0
2021-09-15,60.0916,61.187,59.709,61.15,11583380.0,708323687.0
2021-09-16,60.386,61.716,59.98,61.585,13526960.0,833057831.6
2021-09-17,61.495,61.623,60.364,60.898,20141870.0,1226599599.26
2021-09-20,59.49,59.505,58.108,58.991,13241180.0,781110449.38
2021-09-21,59.237,59.4275,57.8298,58.622,16044860.0,940581782.92
2021-09-22,59.4,60.373,58.889,60.11,10349910.0,622133090.1
2021-09-23,60.059,61.7939,59.6725,61.256,11005520.0,674154133.12
2021-09-24,60.464,61.3805,60.131,61.248,7272890.0,445449966.72
2021-09-27,60.298,62.199,60.228,61.667,10892670.0,671718280.89
2021-09-28,59.606,60.636,58.498,58.597,20885300.0,1223815924.1
2021-09-29,58.611,58.9,56.685,56.751,16577110.0,940767569.61
2021-09-30,57.329,57.753,56.7928,56.915,11162950.0,635339299.25
2021-10-01,57.112,57.365,56.06,56.973,11160170.0,635828365.41
2021-10-04,56.597,56.65,54.833,55.014,16407270.0,902629551.78
2021-10-05,55.668,56.328,55.062,55.59,12056100.0,670198599.0
2021-10-06,55.0,55.79,54.483,55.173,15907690.0,877674980.37
2021-10-07,56.403,56.4142,55.426,55.582,10538000.0,585723116.0
2021-10-08,55.862,55.995,54.908,55.016,8782070.0,483154363.12
2021-10-11,54.813,56.147,54.801,55.244,8922570.0,492918457.08
2021-10-12,55.785,55.818,54.228,54.678,12765760.0,698006225.28
2021-10-13,55.296,55.8169,54.308,54.441,12541850.0,682790855.85
2021-10-14,55.86,56.808,55.427,56.793,15512490.0,881000844.5699999
2021-10-15,56.65,56.8511,56.139,56.447,13247690.0,747792357.4300001
2021-10-18,56.0,56.944,55.873,56.87,12473960.0,709394105.1999999
2021-10-19,56.914,57.8,56.583,57.083,14994540.0,855933326.8199999
2021-10-20,57.06,57.277,56.406,56.55,16933370.0,957582073.5
