timestamps,open,high,low,close,volume,amount
2021-05-28,363.5,365.41,360.415,360.58,3669807.0,1323259008.06
2021-06-01,364.48,365.4,359.54,359.79,3193991.0,1149166021.89
2021-06-02,363.53,371.17,362.88,366.85,3594521.0,1318650028.85
2021-06-03,363.36,366.69,361.731,361.82,2648380.0,958236851.6
2021-06-04,364.31,366.63,363.7,366.02,2329024.0,852469364.4799999
2021-06-07,367.8,371.35,363.28,364.08,2176679.0,792485290.3199999
2021-06-08,365.0,367.68,363.23,365.26,3263141.0,1191894881.66
2021-06-09,366.94,369.32,363.33,363.33,2556481.0,928846241.73
2021-06-10,364.69,365.64,361.96,364.3,2484616.0,905145608.8
2021-06-11,365.54,366.85,363.8,365.5,2742010.0,1002204655.0
2021-06-14,366.0,366.63,362.095,366.52,2548221.0,933973960.92
2021-06-15,367.336,368.75,362.74,368.12,3611546.0,1329482313.52
2021-06-16,369.38,369.38,361.3,363.82,3127744.0,1137935822.08
2021-06-17,363.5,369.15,361.23,367.29,3874438.0,1423042333.02
2021-06-18,362.12,370.375,362.0,367.42,5416713.0,1990208690.46
2021-06-21,368.62,376.45,366.2,373.09,3140447.0,1171669371.23
2021-06-22,373.99,378.76,372.02,378.04,3632223.0,1373125582.92
2021-06-23,378.0,378.7159,374.29,375.14,2311045.0,866965421.3
2021-06-24,379.0,380.06,372.9,374.75,2846373.0,1066678281.75
2021-06-25,375.45,379.65,373.325,379.61,4044020.0,1535150432.2
2021-06-28,380.92,380.92,365.12,367.68,4862145.0,1787713473.6
2021-06-29,369.01,371.39,367.91,368.0,3462250.0,1274108000.0
2021-06-30,367.95,370.17,364.27,365.09,2937592.0,1072485463.28
2021-07-01,366.05,371.21,365.6,370.71,3148493.0,1167177840.03
2021-07-02,372.69,375.49,372.15,375.03,2823494.0,1058894954.82
2021-07-06,376.65,378.235,371.5,376.12,2797790.0,1052304774.8
2021-07-07,376.79,378.15,372.45,373.92,3220077.0,1204051191.8400002
2021-07-08,367.5,370.59,365.65,370.19,2864270.0,1060324111.3
2021-07-09,371.85,373.48,369.89,372.94,2422691.0,903518381.54
2021-07-12,375.0,376.07,372.08,375.56,2733786.0,1026700670.16
2021-07-13,375.55,386.64,375.55,383.71,5210907.0,1999477124.97
2021-07-14,382.98,391.63,382.98,390.8,4209230.0,1644967084.0
2021-07-15,390.14,393.3,387.45,390.23,3822278.0,1491567543.94
2021-07-16,393.15,393.46,385.33,387.12,2784133.0,1077793566.96
2021-07-19,378.0,378.6,363.365,365.45,6890899.0,2518279039.5499997
2021-07-20,367.0,376.6,365.27,374.39,3563623.0,1334184814.97
2021-07-21,376.03,380.9041,375.05,380.06,2375495.0,902830629.7
2021-07-22,380.3,382.86,377.05,382.16,4228620.0,1616009419.2
2021-07-23,385.09,394.5,385.09,393.26,3770265.0,1482694413.9
2021-07-26,391.67,392.89,388.27,392.8,2343119.0,920377143.2
2021-07-27,390.0,395.28,385.89,390.27,2837019.0,1107203405.13
2021-07-28,391.62,391.73,382.325,383.44,3417023.0,1310223299.12
2021-07-29,387.5,394.74,387.5,388.81,3774017.0,1467375549.77
2021-07-30,389.0,389.0,383.08,385.94,2533294.0,977699486.36
2021-08-02,389.3,389.98,373.8,375.26,3412803.0,1280688453.78
2021-08-03,376.66,376.67,359.57,367.6,6328497.0,2326355497.2000003
2021-08-04,367.28,369.26,363.43,368.01,3203182.0,1178803007.82
2021-08-05,368.2,371.96,367.0,371.94,2562647.0,953150925.18
2021-08-06,371.42,375.5,371.0,374.53,2038730.0,763565546.9
2021-08-09,374.19,374.5,368.89,370.68,2400796.0,889927061.28
2021-08-10,372.29,372.75,364.11,367.84,3225280.0,1186386995.1999998
2021-08-11,368.55,369.96,363.75,364.24,3267708.0,1190229961.92
2021-08-12,362.57,363.22,357.85,361.98,3803216.0,1376688127.68
2021-08-13,362.26,363.4999,360.63,362.75,2304638.0,836007434.5
2021-08-16,360.5,363.81,356.62,363.56,2937742.0,1068045481.52
2021-08-17,362.0,364.46,359.79,363.23,2812781.0,1021686442.63
2021-08-18,361.18,365.6814,360.59,360.95,2774545.0,1001472017.75
2021-08-19,356.9,360.14,354.72,357.31,2700413.0,964884569.03
2021-08-20,357.36,358.32,353.33,354.99,4135879.0,1468195686.21
2021-08-23,357.47,362.24,356.75,361.01,3537868.0,1277205726.68
2021-08-24,363.03,366.1,361.465,361.78,3032033.0,1096928898.74
2021-08-25,361.96,362.4,358.5,359.1,2340361.0,840423635.1
2021-08-26,358.0,358.2,351.7973,352.86,3946332.0,1392502709.52
2021-08-27,352.46,356.5,351.6538,355.73,3698298.0,1315595547.54
2021-08-30,354.8,358.04,352.25,353.05,4011296.0,1416188052.8
2021-08-31,352.94,355.22,344.68,346.23,6780389.0,2347574083.4700003
2021-09-01,347.38,352.045,347.3,349.57,4499639.0,1572938805.23
2021-09-02,350.51,350.535,339.33,341.28,7413609.0,2530116479.52
2021-09-03,339.93,344.14,338.93,340.23,5164360.0,1757070202.8000002
2021-09-07,344.89,348.0,343.02,344.71,4883518.0,1683397489.78
2021-09-08,345.0,352.0,345.0,351.04,5037673.0,1768424729.92
2021-09-09,350.71,353.64,349.92,351.41,3716196.0,1305908436.36
2021-09-10,354.928,355.0,347.02,347.39,3437651.0,1194205580.89
2021-09-13,350.0,351.99,346.36,347.82,3276480.0,1139625273.6
2021-09-14,349.68,349.875,345.25,345.8,3325882.0,1150089995.6
2021-09-15,347.0,347.53,342.76,344.75,3881963.0,1338306744.25
2021-09-16,345.41,347.68,344.69,346.31,3771291.0,1306035786.21
2021-09-17,344.0,345.9999,340.77,343.04,5529826.0,1896951511.04
2021-09-20,338.32,341.11,335.62,339.69,3956645.0,1344032740.05
2021-09-21,342.2,343.18,337.28,337.38,2967251.0,1001091142.38
2021-09-22,339.3,343.87,338.54,343.41,3238824.0,1112244549.8400002
2021-09-23,345.74,354.79,345.2,354.07,4783236.0,1693600370.52
2021-09-24,354.03,359.925,352.7642,358.16,3306211.0,1184152531.76
2021-09-27,357.05,362.5899,355.16,356.77,4157955.0,1483433605.35
2021-09-28,355.5,356.0,349.05,351.18,3266995.0,1147303304.1
2021-09-29,352.81,357.18,352.41,353.19,2808806.0,992042191.14
2021-09-30,354.74,356.0,347.4,347.68,4435001.0,1541961147.68
2021-10-01,349.83,363.18,347.16,360.18,5227260.0,1882754506.8
2021-10-04,359.93,360.65,339.34,344.2,7901488.0,2719692169.6
2021-10-05,347.56,348.565,342.93,343.21,4724056.0,1621343259.76
2021-10-06,340.01,348.88,339.11,348.69,3711983.0,1294331352.27
2021-10-07,349.0,357.9,349.0,353.91,3209227.0,1135777527.5700002
2021-10-08,356.0,360.37,354.21,354.96,2383110.0,845908725.5999999
2021-10-11,353.95,354.88,346.9,347.15,2769768.0,961524961.2
2021-10-12,348.65,350.0,344.62,345.34,3042883.0,1050829215.22
2021-10-13,346.25,349.499,336.98,342.35,3755921.0,1285839554.35
2021-10-14,343.84,345.81,340.83,344.58,4085934.0,1407931137.72
2021-10-15,349.0,356.6068,347.74,356.0,4053607.0,1443084092.0
2021-10-18,353.96,359.94,350.2341,358.44,3280888.0,1176001494.72
2021-10-19,358.4,362.29,357.605,362.1,2835441.0,1026713186.1
2021-10-20,361.7,362.4894,356.0,356.77,2796212.0,997604555.24
2021-10-21,354.6,356.38,347.27,356.21,2516486.0,896397478.06
2021-10-22,356.68,361.64,354.9,358.67,2774368.0,995082570.56
2021-10-25,362.46,364.3,358.7925,360.86,2447944.0,883365071.84
2021-10-26,363.38,367.3499,356.81,357.32,3320059.0,1186323481.88
2021-10-27,348.0,351.12,333.8,335.72,9652748.0,3240620558.5600004
2021-10-28,344.17,350.49,328.87,333.03,9505096.0,3165482120.8799996
2021-10-29,331.24,338.15,331.11,335.52,5843695.0,1960676546.4
2021-11-01,335.25,340.9,332.88,334.05,5126224.0,1712415127.2
2021-11-02,335.13,335.77,326.7,328.48,5375304.0,1765679857.92
2021-11-03,328.5,329.58,323.34,329.43,3952521.0,1302078993.03
2021-11-04,331.07,338.63,329.33,335.43,4819487.0,1616600524.41
2021-11-05,342.44,350.16,341.0,348.79,7195698.0,2509787505.42
2021-11-08,348.01,353.15,347.66,349.67,3862207.0,1350497921.69
2021-11-09,350.0,350.2,339.65,344.65,4248134.0,1464119383.1
2021-11-10,350.096,359.62,349.5,357.94,6329733.0,2265664630.02
2021-11-11,358.38,359.64,352.57,354.34,4472150.0,1584661631.0
2021-11-12,356.06,363.84,355.93,363.5,4724204.0,1717248154.0
2021-11-15,365.14,371.13,360.66,361.36,4693196.0,1695933306.5600002
2021-11-16,364.77,371.07,362.0,369.56,4969009.0,1836346966.04
2021-11-17,359.58,368.0,351.22,359.17,11727269.0,4212083206.73
2021-11-18,360.73,362.48,344.58,348.22,6534921.0,2275590190.6200004
2021-11-19,346.0,346.65,339.13,339.72,6957896.0,2363736429.1200004
2021-11-22,339.8,341.48,319.76,321.3,11380660.0,3656606058.0
2021-11-23,324.96,329.69,321.69,329.0,7117498.0,2341656842.0
2021-11-24,326.95,340.357,325.02,340.0,6414372.0,2180886480.0
2021-11-26,321.585,326.87,319.0,324.17,6613178.0,2143793912.26
2021-11-29,330.005,331.82,318.25,323.01,6362190.0,2055050991.9
2021-11-30,318.0,320.76,310.11,314.92,10237559.0,3224012080.28
2021-12-01,320.78,322.02,306.0,306.28,8001942.0,2450834795.76
2021-12-02,309.59,322.2,308.985,320.2,6717594.0,2150973598.7999997
2021-12-03,320.24,322.685,314.0,322.11,4731890.0,1524189087.9
2021-12-06,324.75,336.76,322.0,333.33,6054959.0,2018299483.47
2021-12-07,337.3,342.42,337.3,339.51,4939515.0,1677014737.65
2021-12-08,339.23,344.025,334.1,342.34,4226942.0,1447051324.28
2021-12-09,340.05,346.53,339.01,344.52,3389627.0,1167794294.04
2021-12-10,347.0,350.25,344.83,349.92,3405910.0,1191796027.2
2021-12-13,349.19,349.53,340.33,345.31,4358322.0,1504972169.82
2021-12-14,345.32,348.21,337.86,340.55,4512177.0,1536621877.35
2021-12-15,340.0,346.59,335.53,346.35,4918678.0,1703584125.3000002
2021-12-16,351.7,353.77,345.12,352.92,5369922.0,1895152872.24
2021-12-17,349.19,352.79,344.12,349.31,5898831.0,2060520656.61
2021-12-20,341.24,343.525,336.23,337.02,5013896.0,1689783229.9199998
2021-12-21,340.33,352.0,339.37,350.74,3105438.0,1089201324.12
2021-12-22,346.58,358.62,346.58,357.48,3456400.0,1235593872.0
2021-12-23,357.54,362.47,355.0,360.58,2626991.0,947240414.78
2021-12-27,360.0,361.081,355.5953,360.31,2679603.0,965487756.93
2021-12-28,358.79,364.1375,358.41,360.78,1920249.0,692787434.2199999
