timestamps,open,high,low,close,volume,amount
2021-05-28,24.84,25.7112,24.16,24.77,12356076.0,306060002.52
2021-06-01,24.544,25.65,24.45,25.2,11830955.0,298140066.0
2021-06-02,25.88,26.3019,24.93,25.24,12685523.0,320182600.52
2021-06-03,25.64,25.72,23.73,23.79,9132907.0,217271857.53
2021-06-04,23.2321,24.75,23.0874,24.35,8142363.0,198266539.05
2021-06-07,24.14,24.615,23.58,24.39,7793052.0,190072538.28
2021-06-08,23.17,23.89,21.54,23.64,13667227.0,323093246.28000003
2021-06-09,23.96,27.24,23.4101,26.14,17945220.0,469088050.8
2021-06-10,26.55,27.45,25.68,26.51,12889445.0,341699186.95000005
2021-06-11,26.5993,27.05,25.83,26.55,7224799.0,191818413.45
2021-06-14,29.0,32.06,28.44,29.94,20040197.0,600003498.1800001
2021-06-15,30.84,31.63,28.95,30.67,14980378.0,459448193.2600001
2021-06-16,29.68,30.44,28.94,29.97,10244924.0,307040372.28
2021-06-17,29.84,32.04,29.84,30.06,11472550.0,344864853.0
2021-06-18,29.72,30.0,28.28,28.92,9796998.0,283329182.16
2021-06-21,27.202,28.5771,27.0148,27.83,10225799.0,284583986.16999996
2021-06-22,25.53,27.82,24.5,27.34,18428415.0,503832866.1
2021-06-23,28.355,29.1,27.42,27.61,9348304.0,258106673.44
2021-06-24,28.116,29.8792,27.75,29.48,10040892.0,296005496.16
2021-06-25,28.5537,28.93,27.664,28.19,22895539.0,645425244.4100001
2021-06-28,29.24,30.77,28.79,30.11,10762589.0,324061554.79
2021-06-29,31.9,33.72,31.3,31.89,14213770.0,453277125.3
2021-06-30,31.12,32.2,30.035,31.37,9633673.0,302208322.01
2021-07-01,31.37,31.55,30.2,30.69,5881742.0,180510661.98
2021-07-02,30.9,31.3,30.16,30.29,4799976.0,145391273.04
2021-07-06,30.83,30.95,29.03,29.72,5946383.0,176726502.76
2021-07-07,30.05,30.25,28.45,28.59,5634109.0,161079176.31
2021-07-08,27.0349,28.12,26.6,27.79,5225883.0,145227288.57
2021-07-09,28.2638,28.6797,27.5208,27.69,4204478.0,116421995.82
2021-07-12,27.8053,28.02,26.2,27.37,4555334.0,124679491.58
2021-07-13,26.83,27.08,25.86,25.96,4209023.0,109266237.08
2021-07-14,26.23,26.62,24.57,24.64,4783978.0,117877217.92
2021-07-15,24.03,25.1642,23.67,24.48,4664959.0,114198196.32
2021-07-16,24.59,24.7999,23.295,23.33,4749051.0,110795359.83
2021-07-19,22.02,23.26,21.67,22.35,5960330.0,133213375.5
2021-07-20,21.945,22.9,20.61,22.63,6292424.0,142397555.12
2021-07-21,24.19,25.7,23.9604,25.06,10684869.0,267762817.14
2021-07-22,25.49,25.64,24.08,25.26,6719750.0,169740885.0
2021-07-23,25.05,25.35,23.8,24.64,5328079.0,131283866.56
2021-07-26,28.2165,29.97,27.2,29.58,18732811.0,554116549.38
2021-07-27,28.2,29.17,26.16,27.02,8900739.0,240497967.78
2021-07-28,28.42,28.752,27.54,28.16,6461752.0,181962936.32
2021-07-29,28.12,29.265,27.47,27.48,6233005.0,171282977.4
2021-07-30,27.21,28.2,27.01,27.63,4791893.0,132400003.59
2021-08-02,27.63,29.14,26.88,28.23,9763683.0,275628771.09000003
2021-08-03,28.0,28.06,26.2,27.13,7987498.0,216700820.74
2021-08-04,27.61,29.57,27.405,28.72,9121667.0,261974276.24
2021-08-05,27.99,31.5,27.62,31.47,11624247.0,365815053.09
2021-08-06,31.98,34.74,30.9012,34.25,17648922.0,604475578.5
2021-08-09,36.22,37.77,35.38,35.98,18631502.0,670361441.9599999
2021-08-10,35.98,36.71,34.3501,35.7,8647741.0,308724353.70000005
2021-08-11,36.31,37.1,34.51,35.18,8581582.0,301900054.76
2021-08-12,33.72,34.16,32.4307,33.84,6185392.0,209313665.28000003
2021-08-13,35.0665,36.25,32.7348,32.88,9910446.0,325855464.48
2021-08-16,32.99,33.77,31.83,33.04,6271298.0,207203685.92
2021-08-17,32.93,33.54,30.03,30.65,7216466.0,221184682.9
2021-08-18,30.5704,32.45,30.25,30.78,6087353.0,187368725.34
2021-08-19,30.3,32.4298,30.1,31.81,8219217.0,261453292.77
2021-08-20,32.57,36.18,32.37,35.26,15533243.0,547702148.18
2021-08-23,37.57,38.79,35.6,36.76,19439807.0,714607305.3199999
2021-08-24,36.47,38.05,35.15,37.98,10997127.0,417670883.46
2021-08-25,37.41,38.99,36.77,38.33,9732360.0,373041358.8
2021-08-26,37.242,38.48,36.02,36.22,7795484.0,282352430.48
2021-08-27,36.6,40.66,36.25,40.2,13083255.0,525946851.00000006
2021-08-30,39.3135,40.79,37.6493,40.54,9673356.0,392157852.24
2021-08-31,39.86,41.5778,39.27,40.59,8161911.0,331291967.49
2021-09-01,41.05,42.8569,40.48,41.18,9554275.0,393445044.5
2021-09-02,43.19,44.515,41.721,42.2,10942958.0,461792827.6
2021-09-03,43.7123,44.97,43.22,43.41,12728286.0,552534895.26
2021-09-07,42.8,43.66,38.66,39.39,15724597.0,619391875.83
2021-09-08,39.125,39.87,37.1,37.29,7771906.0,289814374.74
2021-09-09,38.25,40.3,37.86,38.89,9530899.0,370656662.11
2021-09-10,38.8996,39.18,35.57,35.74,8576182.0,306512744.68
2021-09-13,35.04,36.67,34.2625,35.59,8576701.0,305244788.59000003
2021-09-14,36.6963,37.27,34.41,34.68,7546789.0,261722642.52
2021-09-15,36.09,37.2,35.18,37.05,9616783.0,356301810.15
2021-09-16,36.9028,37.32,35.26,36.34,6203839.0,225447509.26
2021-09-17,36.45,36.5859,35.47,35.84,6082265.0,217988377.6
2021-09-20,32.49,34.5,32.3,33.89,8322062.0,282034681.18
2021-09-21,34.21,34.21,32.45,33.24,6551428.0,217769466.72
2021-09-22,33.34,36.42,33.11,35.7,8110822.0,289556345.40000004
2021-09-23,35.89,37.72,35.54,37.7,7151314.0,269604537.8
2021-09-24,35.0,36.4059,34.64,36.18,8227607.0,297674821.26
2021-09-27,36.28,37.03,35.09,35.17,5463405.0,192147953.85
2021-09-28,34.6,35.25,32.65,32.75,5648323.0,184982578.25
2021-09-29,33.12,33.34,30.5535,30.61,7559722.0,231403090.42
2021-09-30,32.0324,32.44,31.0515,31.58,6436798.0,203274080.84
2021-10-01,34.0343,34.27,32.34,33.17,8287819.0,274906956.23
2021-10-04,32.81,33.8463,31.89,33.63,7866975.0,264566369.25000003
2021-10-05,34.195,37.29,33.88,37.19,11565427.0,430118230.13
2021-10-06,38.49,39.8,37.443,38.96,15438698.0,601491674.08
2021-10-07,38.151,38.59,37.11,38.42,8015072.0,307939066.24
2021-10-08,38.74,39.98,37.98,39.49,7702393.0,304167499.57
2021-10-11,40.56,44.1196,40.43,42.96,14174471.0,608935274.16
2021-10-12,42.88,43.04,39.63,40.86,10236192.0,418250805.12
2021-10-13,40.66,43.88,39.5501,43.79,9918792.0,434343901.68
2021-10-14,44.2955,44.88,42.3033,43.59,10298090.0,448893743.1
2021-10-15,45.5,48.95,45.16,48.89,22547366.0,1102340723.74
2021-10-18,48.39,53.42,48.27,51.45,22345350.0,1149668257.5
2021-10-19,51.6,54.005,48.74,53.91,23597581.0,1272145591.71
2021-10-20,54.11,56.48,52.5,53.07,22137655.0,1174845350.85
2021-10-21,52.67,53.99,49.3962,50.91,15392114.0,783612523.7399999
2021-10-22,50.56,51.13,47.37,49.46,9819511.0,485673014.06
2021-10-25,51.1,55.29,51.01,54.69,14915816.0,815745977.04
2021-10-26,53.88,54.96,52.27,52.86,10082164.0,532943189.04
2021-10-27,50.82,51.3,48.9,50.04,8853311.0,443019682.44
2021-10-28,52.19,53.6799,49.85,50.39,11053583.0,556990047.37
2021-10-29,50.8298,52.75,49.802,52.24,9944611.0,519506478.6400001
2021-11-01,52.34,57.79,52.29,55.51,15363254.0,852814229.54
2021-11-02,58.5,63.3423,58.2,63.34,18599327.0,1178081372.18
2021-11-03,61.6,64.94,58.8,64.66,14060157.0,909129751.62
2021-11-04,63.875,65.69,61.6713,64.29,10292053.0,661676087.37
2021-11-05,65.02,65.77,61.97,63.82,7396919.0,472071370.58
2021-11-08,70.01,77.3274,70.01,75.3,16719504.0,1258978651.2
2021-11-09,81.51,83.45,72.01,76.09,16497792.0,1255316993.28
2021-11-10,79.19,79.19,64.1201,64.84,19254034.0,1248431564.5600002
