timestamps,open,high,low,close,volume,amount
2021-05-28,234.13,234.41,232.45,233.89,2928783.0,685013055.87
2021-06-01,235.98,235.99,232.74,233.24,2635063.0,614602094.12
2021-06-02,233.97,234.33,232.81,233.78,3207358.0,749816153.24
2021-06-03,232.57,232.76,230.15,232.45,3271320.0,760418334.0
2021-06-04,233.44,233.8,232.07,233.38,1646583.0,384279540.54
2021-06-07,234.0,234.07,231.16,231.69,1902222.0,440725815.18
2021-06-08,231.5,233.98,231.34,232.64,2156398.0,501664430.72
2021-06-09,232.98,234.32,231.45,231.47,2011160.0,465523205.2
2021-06-10,232.05,234.9,231.9301,234.59,2562984.0,601250416.5600001
2021-06-11,235.0,237.5,234.71,236.93,2690232.0,637396667.76
2021-06-14,237.18,237.7699,234.8132,236.98,1876964.0,444802928.72
2021-06-15,237.525,237.8099,235.66,236.35,2034577.0,480872273.95
2021-06-16,237.21,237.28,233.78,235.58,2998765.0,706449058.7
2021-06-17,235.08,236.27,233.28,233.88,1926219.0,450504099.72
2021-06-18,231.47,232.89,228.82,229.62,5046981.0,1158887777.22
2021-06-21,230.63,233.225,229.47,232.9,2247603.0,523466738.7
2021-06-22,233.49,234.86,232.43,233.88,1799285.0,420816775.8
2021-06-23,233.3,234.45,232.7,233.24,1760805.0,410690158.2
2021-06-24,234.1,235.1571,232.735,233.33,1879915.0,438640566.9500001
2021-06-25,232.74,233.41,232.34,232.42,3067758.0,713008314.36
2021-06-28,232.67,232.75,230.01,231.09,2956235.0,683156346.15
2021-06-29,231.53,231.71,230.05,230.37,1968399.0,453460077.63
2021-06-30,230.92,232.25,230.6,230.99,2499213.0,577293210.87
2021-07-01,231.41,232.3999,230.75,232.27,2244849.0,521411077.23
2021-07-02,233.08,234.11,232.44,233.63,1898997.0,443662669.11
2021-07-06,233.66,233.9,231.0,232.75,1817168.0,422945852.0
2021-07-07,231.92,234.99,231.72,234.63,2107085.0,494385353.55
2021-07-08,232.95,233.83,231.94,232.84,1983399.0,461814623.16
2021-07-09,234.07,236.23,233.06,235.68,2586521.0,609591269.28
2021-07-12,234.59,236.24,234.5,235.61,2220910.0,523268605.1
2021-07-13,235.66,237.47,235.195,236.17,1913288.0,451861226.96
2021-07-14,237.03,239.05,236.6401,237.13,2027345.0,480744319.85
