timestamps,open,high,low,close,volume,amount
2021-05-28,78.115,78.825,77.66,78.475,2324026.0,182377940.35
2021-06-01,79.0,79.84,77.605,77.66,2633960.0,204553333.6
2021-06-02,77.27,78.185,76.84,77.745,2805102.0,218082654.99
2021-06-03,76.505,76.86,75.3825,75.855,3726204.0,282651204.42
2021-06-04,76.685,77.805,76.3425,77.69,2868424.0,222847860.56
2021-06-07,77.25,77.695,76.515,76.785,2170530.0,166664146.04999998
2021-06-08,77.955,78.025,75.605,76.305,1763638.0,134574397.59
2021-06-09,76.64,76.985,75.735,75.905,2041524.0,154961879.22
2021-06-10,76.215,77.27,75.71,76.72,2365008.0,181443413.76
2021-06-11,77.085,77.105,76.325,77.045,1428134.0,110030584.03
2021-06-14,77.26,77.945,76.13,77.88,2909068.0,226558215.83999997
2021-06-15,77.74,78.235,76.73,76.975,2268418.0,174611475.54999998
2021-06-16,77.32,77.87,75.375,76.195,3248284.0,247502999.37999997
2021-06-17,75.69,76.425,74.23,75.115,4524530.0,339860070.95
2021-06-18,74.4725,74.66,72.035,72.81,7738458.0,563437126.98
2021-06-21,73.305,74.135,72.7175,73.875,3377712.0,249528474.0
2021-06-22,73.85,73.86,72.86,72.94,4633290.0,337952172.59999996
2021-06-23,72.84,73.82,72.735,73.23,1890920.0,138472071.6
2021-06-24,73.925,74.96,73.675,74.56,3971018.0,296079102.08
2021-06-25,74.915,75.625,73.995,74.385,4496644.0,334482863.94
2021-06-28,75.04,76.675,74.89,76.16,3760172.0,286374699.52
2021-06-29,76.01,76.6,75.355,76.41,2174688.0,166167910.07999998
2021-06-30,76.295,76.3675,74.495,74.87,4135512.0,309625783.44
2021-07-01,74.925,75.44,73.735,73.85,2979214.0,220014953.9
2021-07-02,74.43,74.525,73.3701,74.125,3002392.0,222552307.0
2021-07-06,73.6635,74.015,71.8,73.065,4011672.0,293112814.68
2021-07-07,73.69,73.735,70.95,71.755,3721756.0,267054601.77999997
2021-07-08,70.505,71.1125,69.155,70.51,3486774.0,245852434.74
2021-07-09,70.84,72.25,70.15,72.01,3285148.0,236563507.48
2021-07-12,71.84,73.135,71.685,73.095,2808302.0,205272834.69
2021-07-13,72.575,72.9,71.89,71.965,2878310.0,207137579.15
2021-07-14,72.555,73.39,71.625,71.77,4049136.0,290606490.71999997
2021-07-15,70.67,70.855,67.99,68.725,5767250.0,396354256.24999994
2021-07-16,69.05,69.6,66.735,66.88,3635954.0,243172603.52
2021-07-19,65.845,66.0,64.53,65.99,8572512.0,565700066.88
2021-07-20,66.17,69.155,65.915,68.515,6437808.0,441086415.12
2021-07-21,68.855,70.35,68.505,70.33,3573024.0,251290777.92
2021-07-22,69.27,69.45,68.645,69.19,4917520.0,340243208.8
2021-07-23,69.92,70.07,68.69,69.61,2074040.0,144373924.4
2021-07-26,69.195,69.975,69.02,69.695,2309706.0,160974959.67
2021-07-27,69.275,69.48,66.375,67.975,4063560.0,276220491.0
2021-07-28,68.425,69.385,68.055,68.94,3511080.0,242053855.2
2021-07-29,70.0,70.6275,69.335,70.515,2499966.0,176285102.49
2021-07-30,69.88,71.605,69.855,71.56,3442118.0,246317964.08
2021-08-02,73.61,75.8125,72.395,72.495,7295136.0,528860884.32000005
2021-08-03,72.86,73.76,71.485,73.41,4502066.0,330496665.06
2021-08-04,73.955,75.67,73.655,73.755,6037942.0,445328412.21
