timestamps,open,high,low,close,volume,amount
2021-05-28,194.16,196.285,192.3,192.39,1276712.0,245626621.68
2021-06-01,189.12,192.84,188.07,191.83,1121114.0,215063298.62
2021-06-02,191.89,193.03,190.5,191.38,1058684.0,202610943.92
2021-06-03,191.29,194.96,190.54,193.86,1164821.0,225812199.06
2021-06-04,194.38,195.32,192.54,194.94,1131985.0,220669155.9
2021-06-07,195.8,196.63,194.41,195.03,1049721.0,204727086.63
2021-06-08,192.85,195.42,190.69,191.93,1099732.0,211071562.76
2021-06-09,192.48,192.74,190.44,190.55,1060510.0,202080180.5
2021-06-10,191.39,196.0,190.8261,195.51,1252487.0,244873733.36999995
2021-06-11,196.61,197.97,194.44,195.5,946971.0,185132830.5
2021-06-14,195.08,195.08,191.14,192.91,955823.0,184387814.93
2021-06-15,193.43,194.98,192.21,194.26,1108640.0,215364406.4
2021-06-16,194.39,194.75,190.44,191.42,924253.0,176920509.26
2021-06-17,191.71,191.99,187.79,189.4,1162803.0,220234888.2
2021-06-18,187.6,188.48,184.43,184.89,2559158.0,473162722.61999995
2021-06-21,185.51,189.22,185.32,188.72,1330452.0,251082901.44
2021-06-22,188.58,192.34,187.59,190.1,1617791.0,307542069.09999996
2021-06-23,190.0,190.14,188.35,188.83,1144586.0,216132174.38000005
2021-06-24,189.33,189.5152,187.565,188.98,1053166.0,199027310.68
2021-06-25,189.74,192.94,189.16,191.34,4432569.0,848127752.46
2021-06-28,191.39,193.25,190.47,192.06,1174551.0,225584265.06
2021-06-29,193.13,194.54,191.56,191.8,1181621.0,226634907.8
2021-06-30,191.62,192.75,190.44,191.24,1058794.0,202483764.56
2021-07-01,191.91,193.97,191.23,192.67,1078534.0,207801145.78
2021-07-02,192.35,193.4,190.91,192.58,777356.0,149703218.48000002
2021-07-06,191.66,191.86,186.66,189.34,1342309.0,254152786.06
2021-07-07,188.67,190.96,188.67,189.84,1047003.0,198763049.52
2021-07-08,187.99,189.67,186.72,188.57,791873.0,149323491.60999998
2021-07-09,189.98,190.7,188.6,189.1,652655.0,123417060.5
2021-07-12,187.98,190.5,187.91,189.96,924424.0,175603583.04000002
2021-07-13,189.56,190.28,188.58,189.32,1071547.0,202865278.04
2021-07-14,189.04,189.51,187.83,189.1,1060570.0,200553787.0
2021-07-15,188.5,190.87,188.5,189.5,2191294.0,415250213.0
2021-07-16,189.96,190.03,188.85,189.22,1168986.0,221195530.92
2021-07-19,187.37,189.95,186.61,188.42,1818034.0,342553966.28
2021-07-20,198.01,201.625,193.27,194.36,2758207.0,536085112.52
2021-07-21,194.73,198.18,194.0354,197.54,1501152.0,296537566.08
2021-07-22,197.81,199.4,195.85,199.03,1068187.0,212601258.61
2021-07-23,200.0,204.12,199.44,202.63,1376465.0,278913102.95
2021-07-26,202.87,205.36,201.26,202.5,925606.0,187435215.0
2021-07-27,201.62,204.91,200.56,204.12,1004278.0,204993225.36
2021-07-28,204.26,205.25,203.1,204.16,980275.0,200132944.0
2021-07-29,205.32,205.84,204.23,205.22,602370.0,123618371.4
2021-07-30,205.22,206.48,203.57,203.83,878952.0,179156786.16
2021-08-02,203.84,204.93,203.14,203.57,1179207.0,240051168.99
2021-08-03,203.03,206.535,202.145,206.42,1394321.0,287815740.82
2021-08-04,205.12,209.27,204.251,205.37,1280876.0,263053504.12
2021-08-05,207.4,210.0,197.15,199.67,1832461.0,365887487.87
2021-08-06,199.37,201.56,197.36,199.93,925600.0,185055208.0
2021-08-09,199.69,200.8004,196.2,196.83,1000461.0,196920738.63000005
2021-08-10,196.28,196.83,192.38,195.07,954934.0,186278975.38
2021-08-11,195.31,198.02,194.6,197.31,922805.0,182078654.55
2021-08-12,197.02,198.28,196.48,197.99,1148563.0,227403988.37
2021-08-13,198.34,199.41,197.26,198.43,1417685.0,281311234.55
2021-08-16,197.95,200.13,197.0425,199.95,622565.0,124481871.75
2021-08-17,199.2,203.32,198.58,203.12,975544.0,198152497.28
2021-08-18,203.12,203.81,199.66,199.72,750678.0,149925410.16
2021-08-19,199.21,201.37,198.255,199.26,678626.0,135223016.76
2021-08-20,198.82,201.0,198.18,200.41,665308.0,133334376.28
2021-08-23,202.01,203.07,200.595,202.33,723719.0,146430065.27
2021-08-24,202.6,202.61,200.225,200.41,631867.0,126632465.47
2021-08-25,200.19,201.24,197.52,200.3,673810.0,134964143.0
2021-08-26,200.57,200.57,195.64,197.64,832500.0,164535300.0
2021-08-27,198.66,201.73,198.22,201.12,641642.0,129047039.04
2021-08-30,200.96,202.1,199.98,201.17,434132.0,87334334.44
2021-08-31,200.68,204.39,200.3206,204.14,888502.0,181378798.28
2021-09-01,203.55,203.75,199.78,202.99,718892.0,145927887.08
2021-09-02,203.71,207.88,202.95,206.8,823962.0,170395341.60000002
2021-09-03,206.25,207.4372,205.94,206.28,508270.0,104845935.6
2021-09-07,205.52,206.56,203.26,205.49,879757.0,180781265.93
2021-09-08,205.32,206.84,204.65,206.17,602307.0,124177634.19
2021-09-09,205.64,206.91,204.6,204.64,608165.0,124454885.6
2021-09-10,204.22,204.58,201.48,202.73,581926.0,117973857.98
2021-09-13,203.22,206.99,202.28,206.04,996990.0,205419819.6
2021-09-14,206.81,206.9896,203.33,203.99,1147354.0,234048742.46
2021-09-15,203.27,209.1,202.18,208.66,1016638.0,212131685.08
2021-09-16,209.36,209.69,206.02,207.77,919062.0,190953511.74
2021-09-17,206.7,208.89,206.7,207.75,2219165.0,461031528.75
2021-09-20,205.87,205.87,199.775,201.89,933078.0,188379117.42
2021-09-21,203.23,204.75,200.31,201.1,720717.0,144936188.7
2021-09-22,202.43,204.535,201.42,202.63,520509.0,105470738.67
2021-09-23,203.54,205.39,202.59,202.68,609801.0,123594466.68
2021-09-24,202.13,204.34,202.13,203.15,550815.0,111898067.25
2021-09-27,202.67,205.08,202.67,204.47,549218.0,112298604.46
2021-09-28,204.0,205.13,201.88,202.59,676934.0,137140059.06
2021-09-29,202.79,206.285,202.135,205.45,607291.0,124767935.95
2021-09-30,206.73,208.48,199.35,199.38,833056.0,166094705.28
2021-10-01,199.84,200.335,195.31,200.02,774276.0,154870685.52
2021-10-04,200.32,204.21,198.49,199.96,859197.0,171805032.12
2021-10-05,199.82,201.8,198.19,198.22,688335.0,136441763.7
2021-10-06,196.52,198.29,193.89,198.21,678254.0,134436725.34
2021-10-07,198.91,201.33,198.31,199.6,419089.0,83650164.39999999
2021-10-08,199.78,201.095,199.12,200.2,324694.0,65003738.8
2021-10-11,200.65,204.23,200.41,201.78,427604.0,86281935.12
2021-10-12,201.47,202.59,199.64,200.13,833778.0,166863991.14
2021-10-13,199.46,200.18,194.27,199.26,714648.0,142400760.48
2021-10-14,201.62,204.35,200.13,203.06,457749.0,92950511.94
2021-10-15,204.36,205.58,203.0,204.17,689313.0,140737035.20999998
2021-10-18,202.94,203.75,200.74,200.8,427681.0,85878344.80000001
2021-10-19,202.21,203.73,201.59,202.59,356863.0,72296875.17
2021-10-20,202.88,207.43,202.8,206.09,493508.0,101707063.72
2021-10-21,206.0,207.25,204.72,207.19,383560.0,79469796.4
2021-10-22,207.98,209.31,206.85,209.09,339718.0,71031636.62
2021-10-25,209.3,210.17,207.28,207.45,628967.0,130479204.15
2021-10-26,207.76,209.15,206.0,207.97,777808.0,161760729.76
2021-10-27,207.56,208.42,202.61,203.03,713595.0,144881192.85
2021-10-28,203.73,206.0566,203.32,205.02,688132.0,141080822.64000002
2021-10-29,204.11,208.6,203.34,207.88,963473.0,200286767.24
2021-11-01,208.58,210.67,207.74,208.08,1282206.0,266801424.48
2021-11-02,216.2,222.13,212.51,218.93,1910062.0,418169873.66
2021-11-03,218.92,225.295,217.53,224.23,1317604.0,295446344.91999996
2021-11-04,222.65,223.76,218.64,223.09,934260.0,208424063.4
2021-11-05,224.01,227.805,219.92,221.69,954267.0,211551451.23
2021-11-08,221.96,223.42,219.85,220.23,831906.0,183210658.38
2021-11-09,219.98,222.2,218.53,219.46,1069068.0,234617663.28
2021-11-10,220.01,221.92,218.37,219.64,727061.0,159691678.04
2021-11-11,219.03,223.45,219.03,222.86,647050.0,144201563.0
2021-11-12,223.55,226.12,222.39,224.83,666175.0,149776125.25
2021-11-15,224.84,226.23,221.41,221.93,960673.0,213202158.89
2021-11-16,222.13,223.91,220.175,220.61,1679680.0,370554204.8
2021-11-17,220.33,225.3,219.6125,223.82,659107.0,147521328.74
2021-11-18,224.43,225.61,222.72,225.44,1367516.0,308292807.04
2021-11-19,226.0,227.87,220.515,220.9,1077992.0,238128432.8
2021-11-22,220.36,224.42,220.02,222.07,1232854.0,273779887.78
2021-11-23,222.58,226.74,222.36,226.45,1007480.0,228143846.0
2021-11-24,225.54,229.13,225.26,226.02,867876.0,196157333.52
2021-11-26,222.98,225.07,220.55,221.61,504728.0,111852772.08
2021-11-29,222.87,225.62,220.8,223.27,734575.0,164008560.25
2021-11-30,221.91,222.9,216.09,216.76,1348442.0,292288287.92
2021-12-01,219.61,220.06,215.27,215.41,1244235.0,268020661.35
2021-12-02,216.53,223.46,216.38,220.41,1092410.0,240778088.1
2021-12-03,222.6,224.09,217.03,218.66,1426072.0,311824903.52
2021-12-06,221.89,225.25,220.57,224.0,1252328.0,280521472.0
2021-12-07,225.07,226.68,223.245,224.57,1471706.0,330501016.42
2021-12-08,228.5,232.14,219.23,226.68,1912432.0,433510085.76
2021-12-09,227.66,231.85,226.07,230.74,1835258.0,423467430.92
2021-12-10,231.65,233.74,228.73,233.09,934889.0,217913277.01
2021-12-13,233.17,233.46,228.19,230.8,1036595.0,239246126.0
2021-12-14,230.57,235.445,229.19,229.63,955785.0,219476909.55
2021-12-15,229.84,232.5,228.86,232.29,908154.0,210955092.66
2021-12-16,233.02,236.82,232.08,232.45,872463.0,202804024.35
2021-12-17,232.64,235.23,230.75,233.09,1661500.0,387279035.0
2021-12-20,232.22,234.91,229.04,234.27,1088291.0,254953932.57
2021-12-21,235.4,238.65,234.49,236.09,896535.0,211662948.15
2021-12-22,235.89,237.78,234.56,236.48,525748.0,124328887.04
2021-12-23,236.84,241.54,236.84,240.78,639421.0,153959788.38
2021-12-27,241.0,245.46,241.0,245.34,612876.0,150362997.84
2021-12-28,245.51,247.46,245.5001,246.49,460095.0,113408816.55
2021-12-29,246.46,250.34,246.46,248.46,677358.0,168296368.68
2021-12-30,248.65,251.04,248.65,248.9,614723.0,153004554.70000002
2021-12-31,248.23,250.94,248.23,248.57,478789.0,119012581.73
2022-01-03,247.54,248.44,244.065,248.1,643368.0,159619600.79999998
2022-01-04,247.87,249.43,246.1327,248.0,664321.0,164751608.0
2022-01-05,248.38,251.03,246.91,247.31,1087600.0,268974356.0
2022-01-06,246.39,249.81,244.51,244.61,713309.0,174482514.49
2022-01-07,249.0,251.49,245.16,249.76,889892.0,222259425.92
2022-01-10,245.1,251.62,240.42,250.72,1526470.0,382716558.4
2022-01-11,251.29,255.47,248.77,254.83,875822.0,223185720.26
2022-01-12,254.6,255.01,249.905,254.63,652084.0,166040148.92
