timestamps,open,high,low,close,volume,amount
2021-05-28,126.65,128.045,126.37,126.59,5673707.0,718234569.13
2021-06-01,128.07,128.12,124.69,124.79,5742537.0,716611192.23
2021-06-02,124.64,124.99,123.475,123.8,6069732.0,751432821.6
2021-06-03,123.37,123.63,122.28,123.07,4815226.0,592609863.8199999
2021-06-04,123.62,124.39,123.24,123.85,4092737.0,506885477.45
2021-06-07,124.39,125.14,123.88,123.96,5829923.0,722677255.0799999
2021-06-08,124.63,124.75,120.53,121.8,6460879.0,786935062.1999999
2021-06-09,122.18,123.23,121.9762,123.11,3976273.0,489518969.03
2021-06-10,124.01,124.93,123.67,124.74,3572580.0,445643629.2
2021-06-11,124.88,124.9,123.17,123.78,6306067.0,780564973.26
2021-06-14,124.32,124.32,122.96,124.15,3501119.0,434663923.85
2021-06-15,124.47,125.3598,123.95,125.17,4457836.0,557987332.12
2021-06-16,125.26,125.535,124.09,125.02,4743073.0,592978986.46
2021-06-17,124.38,125.39,124.045,125.21,3893325.0,487483223.25
2021-06-18,123.59,124.355,123.19,123.23,6551780.0,807375849.4
2021-06-21,123.5,125.82,123.32,125.54,4685064.0,588162934.5600001
2021-06-22,126.34,127.12,125.68,126.73,4007041.0,507812305.93
2021-06-23,126.74,126.92,125.44,125.49,3635910.0,456270345.9
2021-06-24,125.61,125.8,125.06,125.09,3761625.0,470541671.25
2021-06-25,125.25,125.655,124.5,124.93,4230511.0,528517739.23
2021-06-28,125.29,125.42,122.99,123.74,4618975.0,571551966.5
2021-06-29,123.95,124.68,123.8,124.54,3971051.0,494554691.54
2021-06-30,124.37,124.89,123.595,124.13,3774849.0,468572006.37
2021-07-01,124.46,126.19,124.01,126.13,3231162.0,407546463.06
2021-07-02,125.82,126.86,125.64,126.83,3538146.0,448743057.18
2021-07-06,126.81,127.06,125.61,126.97,3136746.0,398272639.62
2021-07-07,127.0,127.82,126.4873,127.74,3271190.0,417861810.6
2021-07-08,127.57,127.65,125.75,127.44,3909156.0,498182840.64
2021-07-09,127.89,128.61,127.66,128.17,3817232.0,489254625.43999994
2021-07-12,128.2,128.74,127.75,128.2,3222601.0,413137448.2
2021-07-13,127.57,128.05,126.84,127.4,3280294.0,417909455.6
2021-07-14,128.05,128.07,127.04,127.74,3119409.0,398473305.66
2021-07-15,126.46,126.89,124.9895,125.36,5194285.0,651155567.6
2021-07-16,125.65,126.16,125.05,125.8,3790562.0,476852699.6
2021-07-19,124.83,125.14,121.93,122.75,4765764.0,584997531.0
2021-07-20,122.76,126.12,122.76,125.51,5218683.0,654996903.33
2021-07-21,126.66,127.18,126.02,127.05,3482088.0,442399280.4
2021-07-22,127.35,127.73,126.23,127.11,2419521.0,307545314.31
2021-07-23,127.57,128.79,127.57,128.54,3024349.0,388749820.46
2021-07-26,128.29,128.69,127.05,128.07,2483189.0,318022015.22999996
2021-07-27,127.81,130.94,127.66,130.22,4229881.0,550815103.82
2021-07-28,130.22,131.14,129.72,130.52,4392374.0,573292654.48
2021-07-29,130.94,131.24,129.5,130.68,3195648.0,417607280.6400001
2021-07-30,130.54,131.71,130.35,131.31,2740182.0,359813298.42
2021-08-02,131.56,132.39,131.1,131.26,3401066.0,446423923.16
2021-08-03,131.15,131.545,130.475,131.46,3208592.0,421801504.32000005
2021-08-04,130.63,130.97,128.29,128.38,4045149.0,519316228.62
2021-08-05,128.51,128.64,127.12,128.02,3711891.0,475196285.82000005
2021-08-06,128.52,128.79,127.62,128.64,2414741.0,310632282.23999995
2021-08-09,128.67,129.33,126.68,126.92,3411517.0,432989737.64
2021-08-10,126.82,127.2401,123.94,125.3,4123835.0,516716525.5
2021-08-11,126.0,126.41,125.5,126.04,3403848.0,429021001.92
2021-08-12,126.25,127.89,126.08,127.52,2689345.0,342945274.4
2021-08-13,127.84,128.37,127.24,128.34,2552498.0,327587593.32
2021-08-16,128.45,129.66,128.03,129.59,3233925.0,419084340.75
2021-08-17,129.45,130.78,129.0,130.76,3410343.0,445936450.67999995
2021-08-18,130.8,131.17,129.26,129.33,4050502.0,523851423.66
2021-08-19,128.58,129.41,128.0076,128.93,4016665.0,517868618.4500001
2021-08-20,128.83,130.03,128.21,129.9,4496627.0,584111847.3000001
2021-08-23,130.16,130.2,127.59,128.48,5028291.0,646034827.68
2021-08-24,128.78,134.73,128.59,132.57,10269196.0,1361387313.72
2021-08-25,132.67,135.2,132.2,134.55,6484071.0,872431753.0500001
2021-08-26,134.65,134.65,132.79,133.37,4448208.0,593257500.96
2021-08-27,133.73,134.055,133.07,133.81,3801440.0,508670686.4
2021-08-30,134.18,134.58,133.5,133.84,3550285.0,475170144.4
2021-08-31,133.96,134.79,133.025,133.48,4769939.0,636691457.7199999
2021-09-01,134.17,134.27,132.77,134.17,2422424.0,325016628.08
2021-09-02,135.0,135.67,134.235,134.73,4963714.0,668761187.2199999
2021-09-03,134.66,135.13,134.2,134.63,2298422.0,309436553.86
2021-09-07,133.87,134.6611,132.95,134.57,3307831.0,445134817.67
2021-09-08,134.42,135.68,133.85,135.17,2175423.0,294051926.90999997
2021-09-09,135.18,135.89,133.36,133.43,3445274.0,459702909.82000005
2021-09-10,133.77,133.97,130.62,131.14,4278818.0,561124192.52
2021-09-13,132.15,132.19,128.76,130.04,4767518.0,619968040.7199999
2021-09-14,130.8,131.21,129.79,130.58,3385543.0,442084204.94000006
2021-09-15,130.83,132.58,130.0145,131.65,3394885.0,446936610.25
2021-09-16,131.66,132.34,130.16,130.92,3049513.0,399242241.96
2021-09-17,130.36,130.83,129.17,129.7,6833296.0,886278491.1999999
2021-09-20,128.29,129.29,127.51,128.73,3385306.0,435790441.37999994
2021-09-21,129.71,130.05,127.76,127.84,2999442.0,383448665.28
2021-09-22,128.79,129.695,128.17,128.91,3479773.0,448577537.43
2021-09-23,128.56,131.14,128.47,130.64,3890596.0,508267461.43999994
2021-09-24,130.28,131.31,129.63,130.02,2801261.0,364219955.22
2021-09-27,129.75,130.07,128.3035,128.75,2931356.0,377412085.0
2021-09-28,127.81,127.94,125.78,126.0,5964442.0,751519692.0
2021-09-29,126.35,127.16,125.38,126.58,2693847.0,340987153.26
2021-09-30,126.58,127.98,125.32,125.35,5763550.0,722460992.5
2021-10-01,126.0,127.94,125.17,127.31,4042582.0,514661114.42
2021-10-04,127.01,128.56,124.25,125.05,5126094.0,641018054.6999999
2021-10-05,125.7,127.59,124.985,125.8,3853219.0,484734950.2
2021-10-06,124.89,126.15,123.97,126.09,3964491.0,499882670.19
2021-10-07,127.09,128.85,126.62,126.83,3135583.0,397685991.89
2021-10-08,127.0,127.26,125.06,125.27,4164027.0,521627662.29
2021-10-11,124.83,125.52,123.48,123.54,3588593.0,443334779.22
2021-10-12,123.79,124.0,122.335,122.93,4298097.0,528365064.21
2021-10-13,122.83,123.2286,121.96,122.57,4063556.0,498070058.92
2021-10-14,123.45,125.13,123.27,124.8,4658592.0,581392281.6
2021-10-15,126.0,128.32,125.75,127.75,7229918.0,923622024.5
2021-10-18,123.06,123.26,119.5,120.72,10310595.0,1244695028.4
2021-10-19,121.71,122.77,121.17,122.2,5031222.0,614815328.4
2021-10-20,123.0,123.25,121.36,121.79,5138863.0,625862124.77
2021-10-21,121.94,122.03,121.33,121.65,3737329.0,454646072.85
2021-10-22,121.59,123.57,121.51,123.09,3747022.0,461220937.98
2021-10-25,123.12,123.61,122.05,123.56,4182111.0,516741635.16
2021-10-26,124.22,124.8,123.15,124.05,3390884.0,420639160.2
2021-10-27,124.51,124.688,122.05,122.5,3611074.0,442356565.0
2021-10-28,122.3,123.1,120.91,121.27,4242920.0,514538908.4
2021-10-29,120.59,120.62,118.88,119.86,8118734.0,973111457.24
2021-11-01,120.14,121.04,120.0,120.23,3600557.0,432894968.11
2021-11-02,120.76,123.17,120.15,121.3,6909698.0,838146367.4
2021-11-03,121.36,121.81,119.945,121.18,4763001.0,577180461.1800001
2021-11-04,121.6,121.77,119.97,120.69,3928570.0,474139113.3
2021-11-05,121.27,124.63,120.875,122.98,6147573.0,756028527.5400001
2021-11-08,123.03,123.96,122.34,123.02,4183901.0,514703501.02
2021-11-09,123.1,123.87,122.05,122.29,3150724.0,385302037.96
2021-11-10,122.09,122.93,121.61,122.41,3225677.0,394855121.57
2021-11-11,122.39,122.55,118.89,119.58,4046959.0,483935357.22
2021-11-12,120.01,120.1,118.292,119.31,5539462.0,660913211.22
2021-11-15,119.85,119.94,117.46,117.58,5775249.0,679053777.42
2021-11-16,117.3,118.6,116.71,117.99,5283535.0,623404294.65
2021-11-17,117.19,118.3698,116.63,117.83,3976705.0,468575150.15
2021-11-18,117.94,118.05,115.59,117.67,7731843.0,909805965.81
2021-11-19,117.94,118.13,116.73,117.22,7324971.0,858633100.62
2021-11-22,117.79,118.8,116.76,116.89,6813222.0,796397519.58
2021-11-23,112.68,115.61,111.11,113.38,11152112.0,1264426458.56
2021-11-24,113.06,115.28,112.52,114.44,5588711.0,639572086.84
2021-11-26,113.46,113.51,110.78,111.05,5561251.0,617576923.55
2021-11-29,112.0,112.47,110.17,110.28,7026175.0,774846579.0
2021-11-30,109.57,109.88,106.59,106.7,14018750.0,1495800625.0
2021-12-01,108.77,108.92,105.38,105.47,8205379.0,865421323.13
2021-12-02,105.74,107.92,105.02,107.28,7423987.0,796445325.36
2021-12-03,107.62,108.5,105.91,106.87,6923056.0,739866994.72
2021-12-06,108.03,111.23,107.71,110.24,7624800.0,840557952.0
2021-12-07,111.8,114.44,111.64,112.27,9550735.0,1072261018.45
2021-12-08,112.38,112.8969,111.48,112.42,5585337.0,627903585.54
2021-12-09,111.96,113.49,111.47,112.81,6162655.0,695209110.5500001
2021-12-10,113.69,114.15,111.85,112.43,4342720.0,488252009.6
2021-12-13,112.3,113.41,112.16,112.86,4749989.0,536083758.54
2021-12-14,112.27,113.01,111.27,111.69,8183264.0,913988756.16
2021-12-15,105.61,105.78,103.43,104.94,18546516.0,1946271389.04
2021-12-16,103.33,104.37,101.23,102.21,18427436.0,1883468233.56
2021-12-17,100.51,103.94,100.26,100.63,22573449.0,2271566172.87
2021-12-20,99.92,100.4297,98.375,99.53,12699925.0,1264023535.25
2021-12-21,99.975,102.75,99.86,101.65,9610521.0,976909459.65
2021-12-22,101.65,101.82,100.9084,101.34,6690616.0,678027025.44
2021-12-23,102.12,103.4,101.18,102.9,7255507.0,746591670.3000001
2021-12-27,103.29,105.25,102.58,104.43,6593913.0,688602334.59
2021-12-28,104.66,104.77,103.95,104.53,7488212.0,782742800.36
2021-12-29,104.71,104.98,103.93,103.95,3635700.0,377931015.0
2021-12-30,103.88,105.575,103.84,104.47,3519159.0,367646540.73
2021-12-31,104.47,104.88,103.44,103.45,3608935.0,373344325.75
2022-01-03,103.14,106.33,102.77,106.1,7797764.0,827342760.4
2022-01-04,105.73,107.49,105.39,106.39,7680577.0,817136587.03
2022-01-05,107.14,108.99,106.0,106.01,7205966.0,763904455.6600001
2022-01-06,106.29,106.809,104.62,104.97,5207132.0,546592646.04
2022-01-07,104.0,105.83,103.86,105.16,5142285.0,540762690.6
2022-01-10,104.94,105.65,103.62,105.62,6500550.0,686588091.0
2022-01-11,106.08,108.07,106.0,107.89,7217276.0,778671907.64
2022-01-12,107.71,109.23,107.5,108.95,8421709.0,917545195.55
2022-01-13,108.73,110.6,108.45,108.78,5161008.0,561414450.24
2022-01-14,108.09,108.85,107.2416,108.55,6291571.0,682950032.05
2022-01-18,107.01,108.2113,106.32,107.49,8019406.0,862005950.9399999
2022-01-19,107.39,109.09,106.95,107.76,7278842.0,784368013.9200001
2022-01-20,106.66,108.94,105.97,106.11,6110629.0,648398843.1899999
2022-01-21,107.35,107.42,104.465,105.6,6406155.0,676489968.0
2022-01-24,103.61,104.83,100.68,104.21,10362068.0,1079831106.28
2022-01-25,102.65,104.66,101.27,104.17,8577420.0,893509841.4
2022-01-26,104.62,105.84,103.25,104.09,6568212.0,683685187.08
2022-01-27,105.09,105.96,102.82,103.18,5979290.0,616943142.2
2022-01-28,103.45,103.94,101.21,103.13,8459443.0,872422356.5899999
2022-01-31,103.0,103.59,101.81,103.49,9254953.0,957795085.97
2022-02-01,103.69,104.19,102.5,103.59,8114936.0,840626220.24
2022-02-02,102.99,103.49,101.4,103.37,10230153.0,1057490915.61
2022-02-03,102.12,102.93,101.3,102.17,7134199.0,728901111.83
2022-02-04,101.62,103.54,101.57,102.73,4526896.0,465048026.08
2022-02-07,102.65,103.24,101.805,101.99,5258379.0,536302074.21
2022-02-08,102.51,104.6,102.02,104.21,5775471.0,601861832.91
2022-02-09,104.8,106.3,104.8,106.09,7087626.0,751926242.34
2022-02-10,105.53,106.77,104.54,104.88,6516774.0,683479257.12
2022-02-11,104.69,105.83,102.63,102.99,5858994.0,603417792.06
2022-02-14,103.24,103.39,101.69,102.31,7079850.0,724339453.5
2022-02-15,103.37,104.8,103.01,103.91,5325606.0,553383719.46
2022-02-16,103.07,103.52,101.61,103.15,7499428.0,773565998.2
2022-02-17,102.25,103.0,101.385,101.7,5551565.0,564594160.5
2022-02-18,101.5,102.02,100.285,100.58,8364702.0,841321727.16
2022-02-22,100.45,104.68,100.3,103.72,9610036.0,996752933.92
2022-02-23,104.24,104.5,102.55,103.03,6454050.0,664960771.5
2022-02-24,100.97,103.485,100.07,103.33,7617334.0,787099122.22
2022-02-25,103.63,105.91,103.04,105.84,6969300.0,737630712.0
2022-02-28,104.33,105.44,103.5966,104.99,5780752.0,606921152.48
2022-03-01,104.6,105.12,102.82,103.66,4543455.0,470974545.3
2022-03-02,105.09,106.98,104.83,106.38,5919336.0,629698963.68
2022-03-03,107.01,108.49,106.35,107.65,6479973.0,697569093.45
2022-03-04,106.04,108.54,105.92,108.31,5186620.0,561762812.2
2022-03-07,107.75,108.14,106.435,106.64,6556794.0,699216512.16
2022-03-08,106.32,106.98,104.04,104.09,7482696.0,778873826.64
2022-03-09,106.04,106.67,103.35,103.58,9961966.0,1031860438.28
2022-03-10,102.815,104.64,102.4008,104.46,5146890.0,537644129.4
2022-03-11,105.41,106.05,103.6,103.82,5149808.0,534653066.55999994
2022-03-14,104.47,105.07,102.84,103.22,4175599.0,431005328.78
2022-03-15,103.97,105.55,103.74,105.4,5017919.0,528888662.6
2022-03-16,105.97,107.38,105.4,107.3,5255179.0,563880706.6999999
2022-03-17,107.0,109.79,106.66,109.74,5693442.0,624798325.0799999
2022-03-18,109.73,110.39,108.48,110.18,16292911.0,1795152933.98
2022-03-21,109.04,110.6,108.085,108.75,8206071.0,892410221.25
2022-03-22,109.02,109.55,108.77,108.97,5601778.0,610425748.66
2022-03-23,108.33,108.9,105.705,106.16,7002664.0,743402810.24
2022-03-24,106.2,106.55,105.18,106.35,5660463.0,601990240.05
2022-03-25,106.87,108.48,106.775,108.46,5605499.0,607972421.54
2022-03-28,108.94,110.005,108.15,109.93,5687974.0,625278981.82
2022-03-29,111.0,112.47,110.69,112.38,8862182.0,995932013.16
2022-03-30,111.93,112.52,111.26,111.56,4694970.0,523770853.2
2022-03-31,111.27,112.49,110.9,110.95,6899909.0,765544903.5500001
2022-04-01,111.35,112.655,110.84,112.52,4479184.0,503997783.68
2022-04-04,112.0,112.16,110.41,110.88,5099324.0,565413045.12
2022-04-05,110.55,111.85,110.17,110.5,5496095.0,607318497.5
2022-04-06,109.73,112.03,108.9968,111.72,5560691.0,621240398.52
2022-04-07,111.48,113.12,110.89,112.33,6668839.0,749110684.87
2022-04-08,112.06,113.11,111.27,112.47,5230510.0,588275459.7
2022-04-11,112.36,112.74,111.35,111.52,3407109.0,379960795.68
2022-04-12,111.67,112.22,110.15,110.58,4733973.0,523482734.34
2022-04-13,109.66,110.68,109.62,110.46,4791626.0,529283007.96
2022-04-14,110.83,111.11,108.91,109.02,6665823.0,726708023.4599999
2022-04-18,108.53,109.25,107.54,108.08,3418015.0,369419061.2
2022-04-19,108.65,111.655,108.49,110.22,9780326.0,1077987531.72
2022-04-20,110.79,113.49,110.79,113.0,5477689.0,618978857.0
2022-04-21,114.0,114.31,113.03,113.09,5859312.0,662629594.08
2022-04-22,111.75,111.82,107.7,107.8,6351458.0,684687172.4
2022-04-25,107.44,109.67,106.88,109.48,5498176.0,601940308.48
2022-04-26,107.85,109.42,106.76,106.78,5251290.0,560732746.2
2022-04-27,106.78,108.25,106.19,106.63,4757700.0,507313551.0
2022-04-28,107.28,107.64,105.35,107.15,5063221.0,542524130.15
2022-04-29,106.63,106.63,104.12,104.36,5206041.0,543302438.76
2022-05-02,105.17,105.56,101.26,103.14,6104004.0,629566972.5600001
2022-05-03,103.43,104.19,102.66,103.11,3841543.0,396101498.73
2022-05-04,103.09,106.2,102.48,105.83,4258146.0,450639591.18
2022-05-05,104.5,105.666,103.47,104.55,3945375.0,412488956.25
2022-05-06,103.97,104.83,102.715,103.45,5496491.0,568611993.95
2022-05-09,102.28,102.32,99.21,99.58,6593316.0,656562407.28
2022-05-10,100.78,101.33,98.792,100.31,5638885.0,565636554.35
2022-05-11,100.46,102.4599,100.24,100.65,4113575.0,414031323.75
2022-05-12,99.96,101.4,99.49,101.11,4434706.0,448393123.66
2022-05-13,102.36,103.03,101.8,102.67,3525871.0,362001175.57
2022-05-16,102.0,104.33,102.0,103.81,3751212.0,389413317.72
2022-05-17,105.27,106.33,104.99,106.26,3168209.0,336653888.34000003
2022-05-18,105.14,105.9,103.25,103.57,4133787.0,428136319.59
2022-05-19,102.23,103.25,101.25,102.75,4230560.0,434690040.0
2022-05-20,103.53,103.74,100.42,102.53,5335985.0,547098542.05
2022-05-23,103.83,104.44,102.5,104.26,4134411.0,431053690.86
2022-05-24,104.14,105.73,103.76,105.59,4381903.0,462685137.77
2022-05-25,105.26,106.06,104.34,105.54,5495110.0,579953909.4
2022-05-26,98.75,101.39,98.18,99.44,12674273.0,1260329707.12
2022-05-27,99.13,99.18,96.86,99.08,13358747.0,1323584652.76
2022-05-31,98.34,100.615,98.215,100.15,11330493.0,1134748873.95
2022-06-01,100.28,100.32,96.38,97.78,6493675.0,634951541.5
2022-06-02,97.86,98.895,96.12,98.5,6794682.0,669276177.0
2022-06-03,98.77,98.77,95.38,95.48,9097041.0,868585474.6800001
2022-06-06,96.25,96.86,95.19,95.49,5432545.0,518753722.0499999
2022-06-07,95.11,96.55,94.57,96.47,5928990.0,571969665.3
2022-06-08,96.28,96.79,95.81,96.04,5665615.0,544125664.6
2022-06-09,95.0,95.47,93.169,93.2,6008758.0,560016245.6
2022-06-10,91.87,93.775,91.01,92.74,6723909.0,623575320.66
2022-06-13,90.5,91.8,89.74,90.17,8502494.0,766669883.98
2022-06-14,90.04,90.31,87.6872,88.48,7522133.0,665558327.84
2022-06-15,89.21,90.34,88.44,89.35,5236231.0,467857239.85
2022-06-16,87.5,88.055,86.95,87.4,6729959.0,588198416.6
2022-06-17,88.27,89.5099,87.71,88.22,8299306.0,732164775.3199999
2022-06-21,89.65,89.75,88.11,88.71,6520412.0,578425748.52
2022-06-22,88.18,89.8866,88.0511,89.25,7458663.0,665685672.75
2022-06-23,88.37,89.61,88.16,88.67,6823293.0,605021390.3100001
2022-06-24,89.35,90.51,88.245,90.22,7131823.0,643433071.06
2022-06-27,90.36,91.2,89.88,90.47,7237245.0,654753555.15
2022-06-28,90.86,91.96,89.12,89.2,4167035.0,371699522.0
2022-06-29,89.89,90.55,89.07,90.42,4072752.0,368258235.84
2022-06-30,89.42,90.82,88.91,89.75,5206691.0,467300517.25
2022-07-01,89.76,91.54,89.059,91.38,3985095.0,364157981.1
2022-07-05,90.53,90.84,88.81,90.49,3590439.0,324898825.10999995
2022-07-06,90.04,90.48,89.1,89.62,8061917.0,722509001.5400001
2022-07-07,89.37,89.7,88.7,89.5,5581165.0,499514267.5
