timestamps,open,high,low,close,volume,amount
2021-05-28,1378.02,1382.49,1357.005,1358.67,351155.0,477103763.85
2021-06-01,1371.79,1380.005,1341.97,1368.87,437301.0,598608219.87
2021-06-02,1369.51,1378.93,1348.685,1362.45,287509.0,391716637.05
2021-06-03,1341.09,1354.03,1318.87,1324.15,299163.0,396136686.4500001
2021-06-04,1341.88,1349.28,1320.0,1325.42,348277.0,461613301.34
2021-06-07,1320.51,1329.5,1303.47,1325.19,322748.0,427702422.12
2021-06-08,1333.77,1342.81,1300.44,1311.53,486036.0,637450795.08
2021-06-09,1327.83,1343.5,1313.285,1316.66,382948.0,504212313.68
2021-06-10,1314.06,1380.7,1310.62,1373.35,594847.0,816933127.4499999
2021-06-11,1380.0,1406.7,1379.3,1392.75,485391.0,676028315.25
2021-06-14,1396.23,1438.0647,1390.688,1432.63,477809.0,684523507.6700001
2021-06-15,1438.12,1455.83,1400.0,1404.78,482864.0,678317689.92
2021-06-16,1410.54,1438.64,1393.2,1427.23,419874.0,599256769.02
2021-06-17,1410.0,1468.41,1409.01,1462.58,462061.0,675801177.38
2021-06-18,1465.1,1482.73,1460.0,1468.06,529693.0,777621105.5799999
2021-06-21,1468.6,1485.02,1440.35,1476.34,328263.0,484627797.42
2021-06-22,1477.0,1515.1,1474.38,1505.0,375005.0,564382525.0
2021-06-23,1520.45,1535.93,1504.035,1532.76,355038.0,544188044.88
2021-06-24,1550.0,1561.94,1534.745,1542.39,375379.0,578980815.8100001
2021-06-25,1554.1,1576.21,1525.0,1541.72,284362.0,438406582.64
2021-06-28,1551.0,1576.65,1545.0,1570.72,283898.0,445924266.56
2021-06-29,1573.92,1583.94,1544.47,1583.0,226276.0,358194908.0
2021-06-30,1581.0,1584.8722,1552.0101,1557.79,231114.0,360027078.06
2021-07-01,1554.39,1558.82,1516.416,1544.99,244320.0,377471956.8
2021-07-02,1550.48,1570.62,1536.5,1551.96,144105.0,223645195.8
2021-07-06,1557.51,1574.0,1539.11,1553.96,254398.0,395324316.08
2021-07-07,1563.88,1572.32,1534.91,1540.9,255240.0,393299316.0
2021-07-08,1513.66,1529.0,1477.1101,1526.93,337271.0,514989208.03
2021-07-09,1528.05,1561.92,1515.52,1554.97,227025.0,353017064.25
