timestamps,open,high,low,close,volume,amount
2021-06-30,15.08,15.19,15.042,15.12,334935.0,5064217.2
2021-07-01,15.13,15.13,14.84,14.89,241629.0,3597855.81
2021-07-02,15.02,15.1,14.93,15.0,388152.0,5822280.0
2021-07-06,15.08,15.09,14.87,15.01,685094.0,10283260.94
2021-07-07,15.0601,15.15,14.84,14.89,362538.0,5398190.82
2021-07-08,14.58,14.8,14.49,14.74,228021.0,3361029.54
2021-07-09,14.83,14.94,14.74,14.9,180707.0,2692534.3000000003
2021-07-12,15.0,15.03,14.86,14.94,249746.0,3731205.24
2021-07-13,14.97,15.04,14.86,14.9,256051.0,3815159.9
2021-07-14,15.08,15.09,14.72,14.76,196264.0,2896856.64
2021-07-15,14.78,14.81,14.41,14.54,174233.0,2533347.82
2021-07-16,14.58,14.63,14.33,14.38,103993.0,1495419.34
2021-07-19,14.13,14.34,14.031,14.31,111852.0,1600602.12
2021-07-20,14.41,14.5,14.24,14.46,88232.0,1275834.72
2021-07-21,14.49,14.68,14.485,14.67,78115.0,1145947.05
2021-07-22,14.75,14.78,14.64,14.7088,90804.0,1335617.8752
2021-07-23,14.85,14.86,14.71,14.8,167551.0,2479754.8000000003
2021-07-26,14.73,14.73,14.6,14.63,128353.0,1877804.39
2021-07-27,14.56,14.58,14.14,14.36,140729.0,2020868.44
2021-07-28,14.5,14.67,14.38,14.6226,72875.0,1065621.975
2021-07-29,14.75,14.79,14.68,14.7173,92769.0,1365309.2037
2021-07-30,14.56,14.68,14.52,14.62,67276.0,983575.12
2021-08-02,14.72,14.7225,14.55,14.64,87711.0,1284089.04
2021-08-03,14.6,14.62,14.4,14.57,119306.0,1738288.42
2021-08-04,14.61,14.72,14.59,14.72,98578.0,1451068.16
2021-08-05,14.65,14.7499,14.56,14.73,220194.0,3243457.62
2021-08-06,14.7,14.73,14.579,14.65,143659.0,2104604.35
2021-08-09,14.71,14.83,14.63,14.8107,115247.0,1706888.7429000002
2021-08-10,14.89,14.97,14.617,14.67,131568.0,1930102.56
2021-08-11,14.8,14.81,14.59,14.7,260877.0,3834891.9
2021-08-12,14.71,14.75,14.601,14.75,153521.0,2264434.75
2021-08-13,14.77,14.82,14.661,14.74,93899.0,1384071.26
2021-08-16,14.75,14.76,14.42,14.55,194217.0,2825857.35
2021-08-17,14.4,14.4019,14.205,14.31,199607.0,2856376.17
2021-08-18,14.38,14.44,14.26,14.27,222496.0,3175017.92
2021-08-19,14.14,14.3599,14.05,14.23,110171.0,1567733.33
2021-08-20,14.3,14.4699,14.15,14.45,100029.0,1445419.0499999998
2021-08-23,14.6,14.76,14.56,14.7498,161891.0,2387859.8718
2021-08-24,14.88,14.94,14.82,14.91,190996.0,2847750.36
2021-08-25,14.98,15.05,14.9,15.02,171461.0,2575344.2199999997
2021-08-26,15.0,15.01,14.7532,14.81,173937.0,2576006.97
2021-08-27,14.87,14.99,14.81,14.96,122997.0,1840035.12
2021-08-30,15.0,15.08,14.95,15.03,221500.0,3329145.0
2021-08-31,15.06,15.13,15.0315,15.11,155281.0,2346295.9099999997
2021-09-01,15.22,15.32,15.16,15.24,1842013.0,28072278.12
2021-09-02,15.31,15.35,15.17,15.23,301698.0,4594860.54
2021-09-03,15.23,15.36,15.23,15.35,283401.0,4350205.35
2021-09-07,15.43,15.46,15.3221,15.41,311198.0,4795561.18
2021-09-08,15.37,15.3725,15.07,15.21,374614.0,5697878.94
2021-09-09,15.14,15.23,15.1,15.18,217892.0,3307600.56
2021-09-10,15.21,15.27,15.09,15.12,158114.0,2390683.6799999997
2021-09-13,15.18,15.18,14.911,15.03,358894.0,5394176.819999999
2021-09-14,15.07,15.085,14.93,14.99,127496.0,1911165.04
2021-09-15,14.97,15.01,14.82,15.01,174126.0,2613631.26
2021-09-16,14.95,15.0477,14.88,15.03,124712.0,1874421.36
2021-09-17,15.02,15.02,14.855,14.93,98599.0,1472083.07
2021-09-20,14.57,14.63,14.26,14.43,349751.0,5046906.93
2021-09-21,14.52,14.6199,14.43,14.56,140429.0,2044646.24
2021-09-22,14.58,14.75,14.51,14.73,118366.0,1743531.18
2021-09-23,14.81,14.93,14.79,14.93,133193.0,1988571.49
2021-09-24,14.8,14.92,14.77,14.91,143940.0,2146145.4
2021-09-27,14.86,14.86,14.67,14.8,94517.0,1398851.6
2021-09-28,14.58,14.58,14.25,14.27,335011.0,4780606.97
2021-09-29,14.35,14.36,14.11,14.16,383356.0,5428320.96
2021-09-30,14.23,14.26,14.11,14.16,145423.0,2059189.68
2021-10-01,14.24,14.25,14.0,14.25,120143.0,1712037.75
2021-10-04,14.15,14.15,13.75,13.9,211957.0,2946202.3000000003
2021-10-05,13.95,14.1,13.885,14.04,76306.0,1071336.24
2021-10-06,13.89,14.115,13.81,14.1,80926.0,1141056.6
2021-10-07,14.3,14.475,14.27,14.39,154569.0,2224247.91
2021-10-08,14.45,14.45,14.28,14.31,121021.0,1731810.51
2021-10-11,14.22,14.405,14.21,14.23,74377.0,1058384.71
2021-10-12,14.24,14.27,14.17,14.23,80131.0,1140264.13
2021-10-13,14.31,14.44,14.3,14.44,257245.0,3714617.8
2021-10-14,14.6,14.65,14.5324,14.64,103746.0,1518841.44
2021-10-15,14.75,14.78,14.68,14.78,177948.0,2630071.44
2021-10-18,14.73,14.9235,14.73,14.92,145590.0,2172202.8
2021-10-19,15.0,15.16,14.97,15.16,211679.0,3209053.64
2021-10-20,15.17,15.22,15.03,15.12,210689.0,3185617.6799999997
2021-10-21,15.07,15.32,15.06,15.31,277676.0,4251219.5600000005
2021-10-22,15.12,15.16,14.88,14.94,274371.0,4099102.74
2021-10-25,15.03,15.07,14.8301,15.04,410574.0,6175032.96
2021-10-26,15.22,15.24,14.98,15.04,663555.0,9979867.2
2021-10-27,15.06,15.14,14.9,14.93,338916.0,5060015.88
2021-10-28,15.0,15.25,14.92,15.22,2215936.0,33726545.92
2021-10-29,15.18,15.32,15.16,15.32,1734118.0,26566687.76
2021-11-01,15.47,15.5,15.37,15.5,2482332.0,38476146.0
2021-11-02,15.51,15.52,15.36,15.47,1446890.0,22383388.3
2021-11-03,15.5,15.6,15.395,15.6,1428302.0,22281511.2
2021-11-04,15.68,15.875,15.63,15.82,1772318.0,28038070.76
2021-11-05,15.94,16.0,15.7,15.75,2371113.0,37345029.75
2021-11-08,15.91,16.02,15.86,15.99,3610406.0,57730391.94
2021-11-09,16.458,16.55,16.16,16.39,5028837.0,82422638.43
2021-11-10,16.13,16.31,15.7801,15.91,3671280.0,58410064.8
2021-11-11,16.14,16.22,16.0,16.09,2476084.0,39840191.56
2021-11-12,16.19,16.45,16.12,16.45,3764549.0,61926831.05
2021-11-15,16.63,16.6361,16.39,16.53,7582899.0,125345320.47
2021-11-16,16.48,16.8,16.41,16.77,5542536.0,92948328.72
2021-11-17,16.81,16.87,16.65,16.73,6534341.0,109319524.93
2021-11-18,16.97,17.07,16.7,16.84,7976486.0,134324024.24
2021-11-19,16.8801,17.06,16.875,16.9,5918489.0,100022464.1
2021-11-22,17.11,17.11,16.27,16.3,7956088.0,129684234.4
2021-11-23,16.22,16.37,15.83,16.1,4578303.0,73710678.30000001
2021-11-24,15.87,16.28,15.84,16.28,3151818.0,51311597.04000001
2021-11-26,16.18,16.27,15.865,16.01,4101576.0,65666231.760000005
2021-11-29,16.28,16.41,16.07,16.38,4274010.0,70008283.8
2021-11-30,16.33,16.5299,15.9,16.1,4992415.0,80377881.5
2021-12-01,16.37,16.4,15.44,15.47,6225015.0,96300982.05
2021-12-02,15.4153,15.76,15.32,15.6,2956254.0,46117562.4
2021-12-03,15.67,15.7199,14.9,15.19,4098283.0,62252918.77
2021-12-06,15.125,15.29,14.67,15.26,2918764.0,44540338.64
2021-12-07,15.72,15.88,15.615,15.84,2558783.0,40531122.72
2021-12-08,15.84,16.11,15.675,16.04,2932906.0,47043812.239999995
2021-12-09,16.03,16.15,15.5387,15.58,2600902.0,40522053.16
2021-12-10,15.77,15.83,15.39,15.52,1848318.0,28685895.36
2021-12-13,15.53,15.55,15.13,15.24,2178533.0,33200842.92
2021-12-14,15.02,15.17,14.85,15.06,2662945.0,40103951.7
2021-12-15,14.95,15.28,14.615,15.28,2356281.0,36003973.68
2021-12-16,15.45,15.46,14.68,14.79,2511073.0,37138769.669999994
2021-12-17,14.58,15.01,14.525,14.9,2285306.0,34051059.4
2021-12-20,14.53,14.735,14.5,14.65,1757551.0,25748122.15
2021-12-21,14.88,15.17,14.6804,15.17,1606675.0,24373259.75
2021-12-22,15.16,15.31,15.095,15.24,2486958.0,37901239.92
2021-12-23,15.35,15.41,15.14,15.36,1889063.0,29016007.68
2021-12-27,15.43,15.62,15.41,15.6,2088905.0,32586918.0
2021-12-28,15.63,15.65,15.325,15.37,2094794.0,32196983.779999997
2021-12-29,15.39,15.41,15.1,15.25,1754742.0,26759815.5
2021-12-30,15.29,15.46,15.22,15.31,1481543.0,22682423.33
2021-12-31,15.4,15.41,15.17,15.18,1367278.0,20755280.04
2022-01-03,15.36,15.36,15.04,15.25,2271695.0,34643348.75
2022-01-04,15.3,15.3,14.69,14.91,3030653.0,45187036.23
2022-01-05,14.79,14.86,14.24,14.24,3229326.0,45985602.24
2022-01-06,14.19,14.435,13.94,14.28,2934433.0,41903703.239999995
2022-01-07,14.28,14.44,14.01,14.13,1947869.0,27523388.970000003
2022-01-10,13.85,14.13,13.571,14.13,2545030.0,35961273.9
2022-01-11,14.14,14.51,14.04,14.46,1712195.0,24758339.700000003
2022-01-12,14.66,14.72,14.38,14.53,1454029.0,21127041.369999997
2022-01-13,14.59,14.59,13.88,13.9,2161494.0,30044766.6
2022-01-14,13.85,14.0269,13.75,13.97,1682546.0,23505167.62
2022-01-18,13.87,13.87,13.525,13.55,2247109.0,30448326.950000003
2022-01-19,13.65,13.7599,13.4,13.41,1657123.0,22222019.43
2022-01-20,13.62,13.8399,13.2619,13.3,1868892.0,24856263.6
2022-01-21,13.13,13.2499,12.75,12.77,2483983.0,31720462.91
2022-01-24,12.34,12.84,11.88,12.84,4186226.0,53751141.84
2022-01-25,12.48,12.695,12.29,12.43,1801800.0,22396374.0
2022-01-26,12.8,12.8426,12.14,12.28,2167547.0,26617477.16
2022-01-27,12.43,12.45,11.93,11.95,1300741.0,15543854.95
2022-01-28,11.9979,12.31,11.73,12.31,1571954.0,19350753.74
