timestamps,open,high,low,close,volume,amount
2021-05-28,49.3,49.71,49.17,49.22,7637949.0,375939849.78
2021-06-01,49.58,49.85,49.25,49.36,5717193.0,282200646.48
2021-06-02,49.5,49.74,49.25,49.51,5652977.0,279878891.27
2021-06-03,49.46,49.905,49.29,49.78,4754941.0,236700962.98
2021-06-04,49.95,50.0758,49.57,49.77,6576618.0,327318277.86
2021-06-07,50.0,50.52,50.0,50.49,6489726.0,327666265.74
2021-06-08,50.55,50.55,49.74,49.88,7216444.0,359956226.72
2021-06-09,49.98,50.3562,49.785,49.9,6487264.0,323714473.59999996
2021-06-10,50.23,50.53,50.09,50.14,6135202.0,307619028.28000003
2021-06-11,50.25,50.36,49.33,49.76,14559658.0,724488582.0799999
2021-06-14,48.81,48.95,47.43,48.08,14256903.0,685471896.24
2021-06-15,48.2,48.44,47.75,47.9,7024557.0,336476280.3
2021-06-16,47.91,48.01,47.19,47.37,8358661.0,395949771.57
2021-06-17,47.24,47.55,46.76,46.87,7943143.0,372295112.41
2021-06-18,46.52,46.63,45.94,46.31,25595350.0,1185320658.5
2021-06-21,46.75,47.48,46.73,47.29,8196149.0,387595886.21
2021-06-22,47.19,47.535,47.14,47.24,5146733.0,243131666.92
2021-06-23,47.24,47.43,46.96,47.02,4935243.0,232055125.86
2021-06-24,47.01,47.547,46.97,47.43,4581192.0,217285936.56
2021-06-25,47.38,47.64,47.3,47.62,10031271.0,477689125.02
2021-06-28,47.67,47.7,47.11,47.18,4959586.0,233993267.48
2021-06-29,47.18,47.26,46.66,46.78,5034714.0,235523920.92
2021-06-30,46.85,47.79,46.84,47.68,8054920.0,384058585.6
2021-07-01,47.67,48.195,47.67,47.83,5975051.0,285786689.33
2021-07-02,47.83,47.8561,47.4,47.53,5594164.0,265890614.92
2021-07-06,47.44,47.44,46.33,46.67,7922576.0,369746621.92
2021-07-07,46.59,47.1467,46.54,46.79,5220831.0,244282682.49
2021-07-08,46.3,46.825,46.125,46.43,6970462.0,323638550.66
2021-07-09,47.25,47.91,47.0,47.4,10526050.0,498934770.0
2021-07-12,47.01,47.7,46.72,47.49,7577866.0,359872856.34000003
