timestamps,open,high,low,close,volume,amount
2021-05-28,61.59,61.97,61.18,61.8,9007443.0,556659977.4
2021-06-01,62.5,63.05,62.09,62.5,6484288.0,405268000.0
2021-06-02,63.0,63.38,62.14,62.98,7627273.0,480365653.54
2021-06-03,62.9,63.698,62.47,63.26,7667703.0,485058891.78
2021-06-04,63.69,63.875,62.81,63.67,5781494.0,368107722.98
2021-06-07,63.62,64.025,63.02,63.34,5978844.0,378699978.96
2021-06-08,63.26,64.17,62.79,64.09,9906566.0,634911814.94
2021-06-09,64.29,64.7,63.55,63.61,13238704.0,842113961.4399999
2021-06-10,64.66,64.84,63.05,63.44,6564445.0,416448390.8
2021-06-11,63.7,64.0,63.16,63.18,3672677.0,232039732.86
2021-06-14,63.38,63.71,62.77,62.99,8805312.0,554646602.88
2021-06-15,63.3,64.285,63.065,63.67,6293589.0,400712811.63
2021-06-16,63.47,63.815,62.7,63.28,4962712.0,314040415.36
2021-06-17,63.27,63.76,60.43,60.96,7247516.0,441808575.36
2021-06-18,60.17,60.51,58.86,58.87,9925270.0,584300644.9
2021-06-21,59.33,61.17,59.15,61.05,4703170.0,287128528.5
2021-06-22,60.74,61.685,60.38,61.34,4273705.0,262149064.7
2021-06-23,62.06,62.85,61.53,61.55,3587255.0,220795545.25
2021-06-24,62.0,62.5,61.44,62.34,2683408.0,167283654.72
2021-06-25,62.48,62.73,61.71,62.55,9646262.0,603373688.1
2021-06-28,62.4,62.53,60.41,60.5,6061980.0,366749790.0
2021-06-29,60.92,61.12,60.01,60.08,3673130.0,220681650.4
2021-06-30,60.3,60.85,60.04,60.42,3853008.0,232798743.36
2021-07-01,61.45,61.78,60.82,61.27,4054151.0,248397831.77
2021-07-02,61.5,61.5,60.385,61.07,4364543.0,266542641.01
2021-07-06,60.81,60.98,58.8,58.97,9450148.0,557275227.56
2021-07-07,58.8,59.18,57.32,57.95,4231622.0,245222494.9
2021-07-08,56.75,57.91,56.3766,57.45,6882834.0,395418813.3
2021-07-09,58.07,58.745,57.18,58.68,5829476.0,342073651.68
2021-07-12,58.14,59.17,57.62,58.33,4990658.0,291105081.14
2021-07-13,57.97,58.16,57.16,57.4,4983758.0,286067709.2
2021-07-14,57.22,57.84,55.015,55.12,7845262.0,432430841.44
2021-07-15,54.6,55.17,54.02,54.25,7417211.0,402383696.75
2021-07-16,54.675,54.83,53.14,53.26,6842030.0,364406517.8
2021-07-19,51.37,51.79,50.19,50.88,10838613.0,551468629.44
2021-07-20,51.07,52.27,50.46,52.12,5733309.0,298820065.08
2021-07-21,52.96,54.51,52.93,54.08,5845365.0,316117339.2
2021-07-22,53.82,53.82,52.79,53.39,3216978.0,171754455.42000002
2021-07-23,53.2,53.7,52.64,53.43,3122491.0,166834694.13
2021-07-26,53.83,54.74,53.782,54.66,3982841.0,217702089.05999997
2021-07-27,53.99,54.48,53.61,54.34,3684151.0,200196765.34
2021-07-28,54.65,55.81,54.14,55.28,3232113.0,178671206.64000002
2021-07-29,56.11,56.465,55.47,55.93,3210835.0,179582001.55
2021-07-30,55.5,56.09,54.78,55.22,3635659.0,200761089.98
2021-08-02,55.29,56.41,54.235,54.46,5258615.0,286384172.9
2021-08-03,54.28,55.95,53.66,55.94,4892466.0,273684548.03999996
2021-08-04,54.75,55.915,54.185,54.38,6117996.0,332696622.48
2021-08-05,55.16,57.33,55.02,56.49,7163170.0,404647473.3
2021-08-06,57.34,57.77,56.45,57.41,6352480.0,364695876.7999999
2021-08-09,56.53,57.88,56.45,57.22,5451672.0,311944671.84
2021-08-10,57.7,58.665,57.46,58.48,6051609.0,353898094.32
2021-08-11,58.3,59.22,58.08,59.14,4856562.0,287217076.68
2021-08-12,58.94,59.58,58.44,59.54,4951460.0,294809928.4
2021-08-13,59.58,59.91,59.08,59.15,3639809.0,215294702.35
2021-08-16,58.31,58.98,57.88,58.38,5633228.0,328867850.64
2021-08-17,57.42,58.27,56.73,57.1,5789055.0,330555040.5
2021-08-18,56.98,57.84,56.21,56.28,4413998.0,248419807.44
2021-08-19,55.44,55.92,53.55,54.23,7965144.0,431949759.12
2021-08-20,53.64,54.9,53.47,54.77,5964061.0,326651620.97
2021-08-23,55.94,56.98,55.79,56.82,4499584.0,255666362.88
2021-08-24,57.3,58.36,57.04,57.96,4597434.0,266467274.64
2021-08-25,57.91,59.2,57.5,58.63,5268758.0,308907281.54
2021-08-26,58.74,58.89,58.01,58.09,4982566.0,289437258.94
2021-08-27,58.79,60.5266,58.79,60.02,6556036.0,393493280.72
2021-08-30,60.33,60.49,58.87,58.93,6139022.0,361772566.46
2021-08-31,58.58,59.82,58.58,59.27,6464059.0,383124776.93
2021-09-01,59.1,59.41,57.02,57.25,6489310.0,371512997.5
2021-09-02,57.84,58.67,57.37,57.9,5338409.0,309093881.09999996
2021-09-03,57.72,58.49,57.5,58.24,5010211.0,291794688.64
2021-09-07,58.28,59.715,58.06,58.57,4995148.0,292565818.36
2021-09-08,58.86,59.25,57.06,57.11,7366249.0,420686480.39
2021-09-09,56.67,58.14,56.51,57.25,5004928.0,286532128.0
2021-09-10,58.19,58.23,56.53,56.87,4866452.0,276755125.24
2021-09-13,57.63,58.64,57.58,58.61,5915346.0,346698429.06
