timestamps,open,high,low,close,volume,amount
2021-05-28,345.22,346.87,341.97,343.12,252850.0,86757892.0
2021-06-01,345.45,350.91,339.3,342.44,278797.0,95471244.68
2021-06-02,342.56,345.66,339.411,343.63,365055.0,125443849.65
2021-06-03,339.38,342.12,333.44,335.94,335651.0,112758596.94
2021-06-04,339.0,347.51,339.0,347.03,267696.0,92898542.88
2021-06-07,343.05,344.85,339.76,342.64,225716.0,77339330.24
2021-06-08,347.28,347.61,336.025,338.66,222109.0,75219433.94000001
2021-06-09,340.95,344.98,337.115,340.51,184766.0,62914670.66
2021-06-10,341.3,345.53,339.23,343.4,233527.0,80193171.8
2021-06-11,344.87,347.66,340.93,347.16,220700.0,76618212.0
2021-06-14,348.18,353.04,345.53,351.79,254498.0,89529851.42
2021-06-15,350.14,352.07,344.6,345.41,197400.0,68183934.0
2021-06-16,345.4,348.89,340.47,343.68,280416.0,96373370.88
2021-06-17,342.9,358.93,342.9,356.08,367890.0,130998271.2
2021-06-18,352.77,357.13,350.07,353.96,625887.0,221538962.52
2021-06-21,353.17,355.31,349.43,354.11,236751.0,83835896.61
2021-06-22,353.72,355.24,349.55,353.72,213520.0,75526294.4
2021-06-23,353.73,355.03,349.78,350.08,490750.0,171801760.0
2021-06-24,353.57,360.21,352.31,359.35,198396.0,71293602.60000001
2021-06-25,362.16,367.62,358.86,365.68,518837.0,189728314.16
2021-06-28,367.65,377.6,367.65,374.48,298777.0,111886010.96
2021-06-29,373.85,378.7,369.71,377.4,239438.0,90363901.2
2021-06-30,377.13,378.6,371.74,373.45,234061.0,87410080.45
2021-07-01,376.2151,376.2151,368.13,370.18,376552.0,139392019.36
2021-07-02,374.04,376.6599,371.73,376.31,223369.0,84055988.39
2021-07-06,376.43,384.15,375.08,383.46,541304.0,207568431.84
2021-07-07,387.27,387.27,371.495,376.92,440322.0,165966168.24
2021-07-08,370.41,373.44,363.45,373.0,353979.0,132034167.0
2021-07-09,373.96,383.36,370.21,382.6,272081.0,104098190.6
2021-07-12,385.65,387.33,381.15,386.95,340331.0,131691080.45
2021-07-13,384.67,388.75,381.94,387.45,328747.0,127373025.15
2021-07-14,390.32,396.32,381.33,382.87,572588.0,219226767.56
2021-07-15,382.67,382.75,373.56,379.51,529489.0,200946370.39
2021-07-16,381.11,384.115,378.6375,379.46,852168.0,323363669.28
2021-07-19,374.28,381.34,370.085,380.74,383573.0,146041584.02
2021-07-20,382.77,394.35,379.895,392.36,368474.0,144574458.64000002
2021-07-21,392.56,405.55,392.395,405.3,319277.0,129402968.1
2021-07-22,403.84,407.27,399.66,405.0,311753.0,126259965.0
2021-07-23,407.13,415.85,404.49,414.26,292430.0,121142051.8
2021-07-26,411.27,417.31,409.42,412.94,335125.0,138386517.5
2021-07-27,411.39,411.39,395.49,407.26,515617.0,209990179.42
2021-07-28,410.0,432.01,405.13,431.0,581713.0,250718303.0
2021-07-29,429.22,440.98,427.98,440.06,798545.0,351407712.7
2021-07-30,435.62,450.98,433.995,449.26,462237.0,207664594.62
2021-08-02,451.84,457.6,450.46,454.46,497865.0,226259727.9
2021-08-03,456.82,460.0,446.89,456.54,287225.0,131129701.5
2021-08-04,457.85,470.335,457.85,466.43,231264.0,107868467.52
2021-08-05,467.37,470.74,459.62,463.48,362376.0,167954028.48000002
2021-08-06,458.38,462.78,455.53,461.79,218451.0,100878487.29
2021-08-09,461.79,464.36,454.38,459.77,203478.0,93553080.06
2021-08-10,462.94,462.94,452.99,458.38,255587.0,117155969.06
2021-08-11,459.45,460.77,450.83,459.23,187508.0,86109298.84
2021-08-12,456.08,463.33,450.41,462.34,270075.0,124866475.5
2021-08-13,460.8,468.09,460.407,464.85,168551.0,78350932.35000001
2021-08-16,462.1,465.01,454.15,458.53,265152.0,121580146.56
2021-08-17,453.84,455.35,443.31,452.67,332441.0,150486067.47
2021-08-18,452.82,462.96,449.0,457.91,336384.0,154033597.44
2021-08-19,453.16,472.34,452.51,467.22,274831.0,128406539.82
2021-08-20,469.24,477.63,467.57,476.17,356479.0,169744605.43
2021-08-23,478.37,486.671,478.15,485.18,388287.0,188389086.66
2021-08-24,487.16,491.33,484.52,485.33,240186.0,116569471.38
2021-08-25,485.11,490.9799,476.66,483.27,353726.0,170945164.01999998
2021-08-26,482.6,490.79,481.135,487.22,394743.0,192326684.46
2021-08-27,486.91,496.81,484.93,494.96,280062.0,138619487.51999998
2021-08-30,498.46,504.545,492.575,502.94,233875.0,117625092.5
2021-08-31,504.11,504.11,492.89,494.93,390184.0,193113767.12
2021-09-01,498.51,501.55,494.17,496.09,256211.0,127103714.99
2021-09-02,499.9,504.03,496.99,498.015,297181.0,148000595.715
2021-09-03,497.82,503.775,496.55,502.13,243976.0,122507668.88
2021-09-07,501.13,505.82,495.68,497.36,310829.0,154593911.44
2021-09-08,495.46,496.51,488.95,492.06,279432.0,137497309.92
2021-09-09,492.75,495.275,487.68,488.33,438512.0,214138564.96
2021-09-10,493.99,505.14,490.185,494.02,304725.0,150540244.5
2021-09-13,497.13,497.5514,482.47,489.38,304756.0,149141491.28
2021-09-14,491.88,497.13,486.82,495.46,287340.0,142365476.4
2021-09-15,495.63,497.4445,489.93,495.99,395491.0,196159581.09
2021-09-16,491.08,500.76,490.62,498.83,411773.0,205404725.59
2021-09-17,496.09,503.46,488.64,497.52,811319.0,403647428.88
2021-09-20,487.04,489.95,480.17,488.62,500221.0,244417985.02
2021-09-21,492.21,495.95,485.57,492.67,328332.0,161759326.44
2021-09-22,495.79,508.48,493.23,507.93,339279.0,172329982.47
2021-09-23,507.93,521.67,504.21,517.75,374361.0,193825407.75
2021-09-24,518.6,521.4,512.21,517.92,201268.0,104240722.56
