timestamps,open,high,low,close,volume,amount
2021-05-28,76.02,76.4,75.8,75.89,13565740.0,1029504008.6
2021-06-01,76.06,76.14,75.03,75.18,15327253.0,1152302880.5400002
2021-06-02,75.31,76.09,75.27,75.87,11423612.0,866709442.44
2021-06-03,73.22,74.0,72.9,73.91,16294975.0,1204361602.25
2021-06-04,74.2,74.48,73.9,74.11,13035392.0,966052901.12
2021-06-07,74.14,74.2,72.78,72.8,16968758.0,1235325582.4
2021-06-08,72.95,73.17,72.075,72.4,13864271.0,1003773220.4
2021-06-09,73.0,74.3,72.95,74.04,12465690.0,922959687.6
2021-06-10,75.23,76.47,74.74,76.14,17529305.0,1334681282.7
2021-06-11,76.71,76.86,75.6,76.27,14178681.0,1081407999.87
2021-06-14,75.74,75.8,74.88,75.45,8019746.0,605089835.7
2021-06-15,75.5,75.77,74.72,75.7,14351930.0,1086441101.0
2021-06-16,76.22,77.55,76.19,76.61,17846338.0,1367207954.18
2021-06-17,76.34,77.465,75.985,77.23,14367758.0,1109621950.3400002
2021-06-18,76.74,77.22,76.155,76.61,21005328.0,1609218178.08
2021-06-21,76.89,77.285,76.55,76.75,10788066.0,827984065.5
2021-06-22,76.59,76.74,76.01,76.19,11109648.0,846444081.12
2021-06-23,75.85,76.26,75.55,75.58,9740371.0,736177240.18
2021-06-24,75.73,76.635,75.73,76.36,8723217.0,666104850.12
2021-06-25,76.06,77.97,76.05,77.2,50442338.0,3894148493.6
2021-06-28,77.25,77.74,76.79,76.86,9038128.0,694670518.08
2021-06-29,77.0,77.33,76.82,77.21,7812642.0,603214088.8199999
2021-06-30,77.4,78.09,77.23,77.77,14007035.0,1089327111.95
2021-07-01,77.65,78.15,77.51,77.99,9392046.0,732485667.54
2021-07-02,78.04,78.77,77.76,78.6,7845140.0,616628004.0
2021-07-06,78.14,78.35,77.56,78.11,6915332.0,540156582.52
2021-07-07,78.41,78.61,78.13,78.56,8501063.0,667843509.28
2021-07-08,77.77,78.3,77.305,78.12,8658566.0,676407175.9200001
2021-07-09,78.42,78.69,77.94,77.99,6125664.0,477740535.3599999
2021-07-12,77.55,78.43,77.39,77.55,11340912.0,879487725.6
2021-07-13,77.4,77.77,77.24,77.61,6704729.0,520354017.69
2021-07-14,77.6,77.715,76.88,77.62,7211417.0,559750187.5400001
2021-07-15,77.62,78.04,77.21,77.9,7221437.0,562549942.3000001
2021-07-16,78.01,78.38,77.63,78.02,7908705.0,617037164.1
2021-07-19,77.81,78.3384,76.15,77.05,9996884.0,770259912.1999999
2021-07-20,77.19,78.13,75.9532,76.17,11761222.0,895852279.74
2021-07-21,76.32,76.46,75.64,76.39,7593051.0,580033165.89
2021-07-22,76.6,76.79,76.08,76.53,8829328.0,675708471.84
2021-07-23,76.8,77.675,76.73,77.54,6668018.0,517038115.72
2021-07-26,77.46,77.605,76.955,77.24,5165775.0,399004461.0
2021-07-27,77.17,78.125,76.74,77.85,8300800.0,646217280.0
2021-07-28,77.86,78.665,77.47,78.33,11193042.0,876750979.86
2021-07-29,77.55,77.92,76.81,76.93,11583017.0,891081497.8100001
2021-07-30,77.12,77.76,76.77,76.87,13004468.0,999653455.16
2021-08-02,76.93,77.26,76.14,76.18,9083431.0,691975773.58
2021-08-03,76.36,76.81,76.19,76.41,9952401.0,760462960.41
2021-08-04,76.49,76.49,75.46,75.48,10893437.0,822236624.76
2021-08-05,75.52,75.69,74.9314,75.59,8701587.0,657752961.33
2021-08-06,75.62,75.66,74.992,75.44,8670675.0,654115722.0
2021-08-09,75.85,76.22,75.0,75.32,7866983.0,592541159.56
2021-08-10,75.15,75.36,74.815,75.19,11243130.0,845370944.6999999
2021-08-11,75.58,75.765,75.135,75.21,6952193.0,522874435.53
2021-08-12,75.12,76.06,75.06,76.04,6078793.0,462231419.72
2021-08-13,76.36,76.77,76.22,76.72,6775908.0,519847661.76
2021-08-16,76.73,78.01,76.635,77.93,9372238.0,730378507.34
2021-08-17,77.9,79.06,77.83,78.83,10311636.0,812866265.88
2021-08-18,78.88,79.07,77.745,77.79,7459063.0,580240510.7700001
2021-08-19,77.71,79.14,77.71,78.46,8865607.0,695595525.2199999
2021-08-20,78.53,79.2,78.22,78.68,6284199.0,494440777.32000005
2021-08-23,79.11,79.23,78.34,78.38,6492550.0,508886069.0
2021-08-24,78.27,78.27,77.54,77.72,8698105.0,676016720.6
2021-08-25,77.81,77.81,76.4,77.07,7045832.0,543022272.24
2021-08-26,77.11,77.32,76.505,76.57,6640397.0,508455198.29
2021-08-27,76.81,76.97,76.165,76.3,6010006.0,458563457.8
2021-08-30,76.3,76.84,76.21,76.5,7339727.0,561489115.5
2021-08-31,76.79,77.1,76.03,76.29,10949502.0,835337507.58
2021-09-01,76.22,76.8,75.835,76.18,9187160.0,699877848.8000001
2021-09-02,76.48,77.14,76.17,77.12,6560377.0,505936274.24
2021-09-03,77.26,77.38,76.695,77.26,6630368.0,512262231.68
2021-09-07,76.59,76.87,75.17,75.98,14285311.0,1085397929.78
2021-09-08,75.97,75.97,74.8,75.36,8243029.0,621194665.4399999
2021-09-09,75.19,75.19,73.6,73.82,14628701.0,1079890707.82
2021-09-10,73.98,74.21,73.12,73.45,11084528.0,814158581.6
2021-09-13,73.77,73.83,72.865,73.18,11422938.0,835930602.84
2021-09-14,73.05,73.14,72.06,72.11,15384624.0,1109385236.64
2021-09-15,72.075,73.15,71.88,72.81,12743845.0,927879354.45
2021-09-16,73.02,73.02,71.69,71.97,14818920.0,1066517672.4
2021-09-17,71.19,72.0,70.89,71.68,43419639.0,3112319723.5200005
2021-09-20,71.16,72.615,71.12,71.93,15989368.0,1150115240.24
2021-09-21,72.48,72.68,71.77,71.97,11990654.0,862967368.38
2021-09-22,72.33,72.4106,71.86,72.04,9028738.0,650430285.5200001
2021-09-23,72.68,74.04,72.57,73.05,12813485.0,936025079.25
2021-09-24,73.59,74.63,73.35,73.61,14714660.0,1083146122.6
2021-09-27,73.51,74.2661,73.34,73.36,8630563.0,633138101.68
2021-09-28,73.55,73.82,72.66,73.32,11836180.0,867828717.5999999
2021-09-29,73.61,75.7,73.575,75.09,16054522.0,1205534056.98
2021-09-30,75.58,76.65,75.1,75.11,16493874.0,1238854876.14
2021-10-01,81.56,84.34,80.63,81.4,102497262.0,8343277126.8
2021-10-04,84.17,84.56,82.42,83.1,53453286.0,4441968066.599999
2021-10-05,82.78,83.39,81.3,81.6,28977813.0,2364589540.7999997
2021-10-06,81.5,81.68,80.15,80.66,17607984.0,1420259989.44
