timestamps,open,high,low,close,volume,amount
2021-05-28,48.65,49.21,48.2,48.3,4169014.0,201363376.2
2021-06-01,48.74,48.95,47.57,47.75,5225364.0,249511131.0
2021-06-02,47.71,48.03,47.26,47.52,4922321.0,233908693.92
2021-06-03,47.0,47.9,46.77,47.18,6664516.0,314431864.88
2021-06-04,47.63,48.79,47.62,48.7,7265857.0,353847235.90000004
2021-06-07,48.91,48.9192,48.13,48.27,10989152.0,530446367.04
2021-06-08,51.18,52.65,49.4,50.73,20539056.0,1041946310.88
2021-06-09,50.55,51.3,50.12,50.35,8731642.0,439638174.7
2021-06-10,50.32,51.9197,50.27,51.8,9481769.0,491155634.2
2021-06-11,51.65,52.11,51.22,52.1,7416162.0,386382040.2
2021-06-14,52.3,54.0,52.15,53.8,9430550.0,507363590.0
2021-06-15,53.69,53.88,53.1,53.59,7409004.0,397048524.36
2021-06-16,53.87,54.53,53.21,54.11,7507046.0,406206259.06
2021-06-17,53.85,55.405,53.81,55.12,8071483.0,444900142.96
2021-06-18,54.58,55.33,53.96,54.27,18784115.0,1019413921.05
2021-06-21,54.3,55.34,53.7,54.82,6748767.0,369967406.94
2021-06-22,55.095,55.095,53.94,54.36,6423691.0,349191842.76
2021-06-23,54.23,54.84,54.23,54.53,3685950.0,200994853.5
2021-06-24,55.03,56.3,54.77,56.14,6387322.0,358584257.08
2021-06-25,56.3,56.54,55.86,56.3,8969292.0,504971139.6
2021-06-28,57.295,58.88,57.12,58.6,9568075.0,560689195.0
2021-06-29,58.545,58.95,57.84,58.76,5511975.0,323883651.0
2021-06-30,58.76,58.88,58.07,58.33,5264969.0,307105641.77
2021-07-01,57.97,57.975,56.79,57.39,6112875.0,350817896.25
2021-07-02,57.4,57.705,56.65,57.42,5437561.0,312224752.62
2021-07-06,57.96,57.99,56.81,57.5,5932175.0,341100062.5
2021-07-07,58.12,58.2,56.09,56.68,5527888.0,313320691.84
2021-07-08,55.25,56.64,55.0,56.27,6320449.0,355651665.23
2021-07-09,56.38,57.32,55.84,57.0,4665422.0,265929054.0
2021-07-12,56.6425,57.42,56.52,57.33,4069387.0,233297956.71
2021-07-13,57.0935,57.49,56.51,56.77,4304690.0,244377251.3
2021-07-14,57.58,57.58,55.91,56.01,4629423.0,259293982.23
2021-07-15,56.49,57.06,55.35,55.7,6740122.0,375424795.4
2021-07-16,55.9,56.19,53.77,53.97,6684912.0,360784700.64
2021-07-19,53.35,54.96,52.79,54.8,7771927.0,425901599.6
2021-07-20,54.85,57.03,54.45,56.56,7876075.0,445470802.0
2021-07-21,56.61,58.38,56.24,58.33,5839615.0,340624742.95
2021-07-22,57.57,58.0668,57.39,57.98,3278462.0,190085226.76
2021-07-23,58.45,59.27,57.81,58.92,4406569.0,259635045.48
2021-07-26,58.63,59.2399,58.45,58.95,3516282.0,207284823.9
2021-07-27,58.96,58.96,56.48,57.98,6082352.0,352654768.96
2021-07-28,58.07,59.13,57.97,58.99,5229420.0,308483485.8
2021-07-29,59.15,60.385,59.1,60.31,5502172.0,331835993.32
2021-07-30,59.792,60.6,59.51,60.51,4456525.0,269664327.75
2021-08-02,61.0,61.48,60.4,60.57,4456129.0,269907733.53000003
2021-08-03,60.214,61.43,59.345,61.34,6253348.0,383580366.32
2021-08-04,61.55,62.62,61.3531,61.89,8185217.0,506583080.13
2021-08-05,62.14,62.71,60.82,61.05,5940945.0,362694692.25
2021-08-06,60.49,61.06,60.38,60.54,3807131.0,230483710.74
