timestamps,open,high,low,close,volume,amount
2021-05-28,48.2,48.292,46.764,47.0,4858770.0,228362190.0
2021-06-01,47.124,48.466,46.898,47.776,4324700.0,206616867.2
2021-06-02,48.3,50.13,47.872,49.85,3529700.0,175955545.0
2021-06-03,50.12,50.198,48.4,48.864,3954760.0,193245392.64
2021-06-04,48.17,48.599,47.4,48.467,3171760.0,153725691.92
2021-06-07,48.25,48.855,46.407,46.981,6103930.0,286768735.33
2021-06-08,45.8,46.189,42.793,45.938,10917020.0,501506064.7600001
2021-06-09,47.0,51.567,45.559,51.299,14822300.0,760369167.7
2021-06-10,51.239,52.987,49.591,50.865,9537150.0,485107134.75
2021-06-11,51.3,52.097,50.4,51.644,5003710.0,258411599.24
2021-06-14,54.4,60.569,54.4,59.849,15572850.0,932019499.65
2021-06-15,60.205,63.582,58.917,63.054,13100270.0,826024424.58
2021-06-16,61.665,63.988,60.884,61.982,10394960.0,644300410.72
2021-06-17,61.74,64.2,61.255,63.081,8847590.0,558114824.7900001
2021-06-18,61.6,64.765,61.552,64.646,15437170.0,997951291.82
2021-06-21,59.917,61.4,57.7,58.367,13780560.0,804329945.52
2021-06-22,53.501,56.42,51.302,55.372,25669870.0,1421392041.64
2021-06-23,57.948,58.656,55.1225,55.3,10557510.0,583830303.0
2021-06-24,57.0,59.0,56.1,58.188,7934570.0,461696759.16
2021-06-25,56.746,57.121,53.981,55.005,10046650.0,552615983.25
2021-06-28,57.033,62.951,56.5867,62.417,17297750.0,1079673661.75
2021-06-29,65.0,69.299,64.7,66.899,16136250.0,1079498988.75
2021-06-30,64.501,66.9,63.743,66.45,8589180.0,570751011.0
2021-07-01,65.059,65.724,63.712,65.086,5873530.0,382284573.58
2021-07-02,65.897,66.192,63.426,63.561,5286080.0,335988530.88
2021-07-06,65.208,65.352,62.129,63.429,4862190.0,308403849.51
2021-07-07,64.5,64.717,62.3213,63.986,4511020.0,288642125.71999997
2021-07-08,60.3,62.5272,59.469,61.844,5180280.0,320369236.32
2021-07-09,62.19,63.593,61.52,62.866,3939610.0,247667522.26
2021-07-12,63.225,63.242,58.521,58.869,8262540.0,486407467.26
2021-07-13,58.557,59.7,57.295,57.988,7175620.0,416099852.56
2021-07-14,58.5,59.044,56.041,56.043,6274620.0,351648528.65999997
2021-07-15,54.7,55.995,52.507,54.104,7337780.0,397003249.12
2021-07-16,54.39,54.638,52.052,52.309,6090550.0,318590579.95
2021-07-19,50.766,52.249,49.2,49.872,7287290.0,363431726.88
2021-07-20,48.799,50.5875,47.238,50.178,7345010.0,368557911.78
2021-07-21,54.0,56.9812,52.827,55.694,10994450.0,612324898.3000001
2021-07-22,55.542,56.806,53.501,55.594,7111990.0,395383972.06
2021-07-23,55.842,56.589,53.3391,53.971,5748900.0,310273881.9
2021-07-26,62.1,69.5,62.026,68.25,20169070.0,1376539027.5
2021-07-27,66.375,67.751,62.227,63.061,9698650.0,611606567.65
2021-07-28,66.395,67.7,63.2195,64.665,10824590.0,699972112.35
2021-07-29,64.193,64.86,61.937,62.501,5795460.0,362222045.46
2021-07-30,61.557,63.548,60.691,62.601,6325980.0,396012673.98
2021-08-02,62.259,65.9,61.509,63.779,12550560.0,800462166.24
2021-08-03,63.462,63.462,60.513,62.506,8444240.0,527815665.44
2021-08-04,63.028,67.5,63.001,67.093,10014610.0,671910228.73
2021-08-05,64.3585,72.968,63.3704,71.562,11665390.0,834798639.18
2021-08-06,72.0,75.099,70.13,74.872,13120310.0,982343850.32
2021-08-09,79.6311,79.8,76.27,76.773,14213490.0,1091212267.77
2021-08-10,76.663,77.7015,74.418,75.049,7967180.0,597928891.82
2021-08-11,76.224,77.088,74.011,74.749,7282940.0,544392482.06
2021-08-12,72.472,73.08,71.24,72.099,7207110.0,519625423.8900001
2021-08-13,74.5,75.389,72.61,72.8,6573570.0,478555896.0
2021-08-16,74.0,74.1,69.221,69.751,6727850.0,469274265.35
2021-08-17,69.107,70.0,65.748,66.369,6615120.0,439038899.28
2021-08-18,65.912,67.8,65.268,65.505,5472690.0,358488558.45
2021-08-19,64.634,67.86,64.143,67.626,6727260.0,454937684.7600001
2021-08-20,68.617,72.799,68.301,71.656,9820610.0,703705630.1600001
2021-08-23,74.19,74.778,71.006,71.851,8138490.0,584758644.99
2021-08-24,71.793,71.793,69.122,71.55,8113500.0,580520925.0
2021-08-25,71.465,73.51,70.5,72.671,6648690.0,483166950.99000007
2021-08-26,71.2,71.45,69.155,69.366,5714500.0,396392007.0
2021-08-27,69.95,72.109,69.505,70.72,8108760.0,573451507.2
2021-08-30,70.259,70.832,69.397,70.299,5287620.0,371714398.38000005
2021-08-31,70.233,70.5,68.709,69.43,5307240.0,368481673.2000001
2021-09-01,70.0,71.7,69.101,70.25,8252350.0,579727587.5
2021-09-02,72.289,73.266,69.5,69.571,7360010.0,512043255.71
2021-09-03,71.61,72.8,70.35,71.226,7380230.0,525664261.98
2021-09-07,69.9,70.2,64.478,64.801,18873440.0,1223017785.44
2021-09-08,64.81,65.894,63.063,63.862,8206440.0,524079671.28
2021-09-09,64.51,65.3821,63.238,64.062,6506990.0,416850793.38
2021-09-10,63.815,64.436,61.203,61.557,6829420.0,420398606.94
2021-09-13,60.9,64.273,60.0311,64.27,9419180.0,605370698.5999999
2021-09-14,64.5,65.1014,61.292,61.848,5778400.0,357382483.2
2021-09-15,62.8,64.237,62.0511,63.3,5708550.0,361351215.0
2021-09-16,63.212,63.323,61.148,63.3,5106760.0,323257908.0
2021-09-17,63.3,63.453,61.203,61.429,21566330.0,1324798085.57
2021-09-20,57.442,59.31,56.829,58.839,7755170.0,456306447.63
2021-09-21,58.887,59.422,57.6,58.102,4633140.0,269194700.28
2021-09-22,58.935,60.497,58.4797,59.961,3781060.0,226716138.66
2021-09-23,60.673,61.776,59.8666,61.657,3975870.0,245140216.58999997
2021-09-24,58.0,60.233,57.5,59.939,4683390.0,280717713.21
2021-09-27,60.325,60.6,58.973,59.475,2755580.0,163888120.5
2021-09-28,58.525,59.0,57.158,57.351,3382430.0,193985742.93
2021-09-29,58.071,58.647,56.526,56.632,2928430.0,165842847.76
2021-09-30,58.212,59.735,57.44,57.84,3207210.0,185505026.4
2021-10-01,61.561,61.561,59.226,61.246,5111670.0,313069340.82
2021-10-04,61.148,61.363,58.279,60.725,4355210.0,264470127.25
2021-10-05,62.032,65.251,61.28,65.101,4490270.0,292321067.27
2021-10-06,67.0,68.239,65.0,67.381,7123120.0,479962948.72
2021-10-07,66.5,69.3835,66.368,69.279,5028590.0,348375686.60999995
2021-10-08,69.917,71.279,69.049,70.882,7094410.0,502865969.62000006
2021-10-11,72.0,75.1992,71.825,73.18,5771430.0,422353247.4
2021-10-12,72.844,73.9623,70.194,71.065,4133090.0,293718040.84999996
2021-10-13,71.0,72.741,70.349,72.63,2921190.0,212166029.7
2021-10-14,73.867,74.0916,71.854,72.395,2798690.0,202611162.55
2021-10-15,73.999,76.198,73.4,74.985,7322730.0,549094909.05
2021-10-18,74.8,75.738,73.8079,73.964,5830250.0,431228611.0
2021-10-19,74.2248,75.0699,70.101,72.725,7485910.0,544412804.75
2021-10-20,73.5,77.707,73.157,75.818,7379360.0,559488316.48
2021-10-21,75.287,75.9526,72.957,73.543,4652960.0,342192637.28000003
2021-10-22,73.143,73.85,70.7,71.852,3685640.0,264820605.28
2021-10-25,73.645,75.5485,73.3,74.602,3807340.0,284035178.68
2021-10-26,74.032,75.4714,73.246,73.486,3231860.0,237496463.96
2021-10-27,72.0,72.882,70.958,71.502,3647300.0,260789244.6
2021-10-28,72.894,74.802,70.8,71.713,6713850.0,481470325.0499999
2021-10-29,72.41,73.718,69.141,71.506,6983120.0,499334978.72
2021-11-01,72.1,74.5265,71.119,73.612,4407710.0,324460348.52
2021-11-02,75.696,84.1,74.1,79.414,14874270.0,1181225277.78
2021-11-03,78.159,81.7634,77.817,81.025,6658760.0,539526029.0
2021-11-04,81.0,82.8742,79.0,80.0,3768490.0,301479200.0
2021-11-05,80.387,81.205,77.91,79.751,6187970.0,493496795.47
2021-11-08,84.199,87.3185,84.028,86.0,7177970.0,617305420.0
2021-11-09,88.45,89.138,83.501,85.901,5312120.0,456316420.12
2021-11-10,88.0,88.0,80.368,81.634,5571660.0,454836892.44
2021-11-11,81.233,83.704,80.7,81.836,2881250.0,235789975.0
2021-11-12,81.102,81.258,78.5857,81.173,4632420.0,376027428.66
2021-11-15,81.996,81.996,78.134,79.5,3914780.0,311225010.0
2021-11-16,76.85,77.9998,74.8413,75.202,4937230.0,371289570.46
2021-11-17,76.36,76.5,73.7,75.3,3575580.0,269241174.0
2021-11-18,75.051,75.051,71.697,72.736,5013420.0,364656117.12
2021-11-19,73.512,73.9,71.8,71.831,4345930.0,312172497.83000004
2021-11-22,72.471,72.581,68.839,69.002,4001950.0,276142553.9
2021-11-23,69.427,70.899,68.073,69.677,3462660.0,241267760.82
2021-11-24,68.8,70.399,68.1,70.09,5555000.0,389349950.0
2021-11-26,68.129,68.129,65.5,66.3,3722110.0,246775893.0
2021-11-29,69.0,70.452,67.132,69.548,5869580.0,408217549.84
2021-11-30,69.825,72.66,69.0,72.143,6640030.0,479031684.29
