timestamps,open,high,low,close,volume,amount
2021-05-28,84.22,84.725,83.22,84.14,11330310.0,953332283.4
2021-06-01,84.92,85.755,83.62,84.15,11067180.0,931303197.0
2021-06-02,84.39,84.82,83.45,84.34,10314162.0,869896423.08
2021-06-03,83.68,84.07,81.89,82.03,14742130.0,1209296923.9
2021-06-04,82.97,84.37,82.85,83.76,12591138.0,1054633718.88
2021-06-07,83.19,84.23,82.65,84.04,9006393.0,756897267.72
2021-06-08,84.97,84.975,80.01,80.53,29666509.0,2389043969.77
2021-06-09,80.17,80.56,78.52,78.66,21434898.0,1686069076.6799998
2021-06-10,79.4,80.84,78.525,79.28,22683299.0,1798331944.72
2021-06-11,80.07,80.76,79.21,79.34,12675698.0,1005689879.32
2021-06-14,79.5,80.94,79.3683,80.49,14285457.0,1149836433.9299998
2021-06-15,80.64,82.91,79.92,82.18,22267634.0,1829954162.12
2021-06-16,82.73,83.11,80.1201,80.49,18116431.0,1458191531.1899998
2021-06-17,79.7,81.44,79.365,80.64,15991384.0,1289545205.76
2021-06-18,78.9,79.2835,76.13,76.95,39781533.0,3061188964.35
2021-06-21,76.85,77.29,75.71,77.07,19810069.0,1526762017.83
2021-06-22,77.61,78.28,77.045,77.66,16771830.0,1302500317.8
2021-06-23,78.1,79.87,78.07,79.02,16662234.0,1316649730.6799998
2021-06-24,80.43,80.8986,79.92,80.58,15705264.0,1265530173.12
2021-06-25,81.57,82.84,81.09,82.03,19603797.0,1608099467.91
2021-06-28,82.63,83.6,82.16,83.38,18365547.0,1531319308.86
2021-06-29,83.54,83.84,81.87,82.93,18530826.0,1536761400.18
2021-06-30,84.85,85.4,83.43,84.98,40624274.0,3452250804.52
2021-07-01,82.24,82.25,79.91,80.11,53298989.0,4269782008.79
2021-07-02,80.61,80.8899,78.89,80.33,22695197.0,1823105175.01
2021-07-06,80.79,81.5398,79.76,81.08,20976480.0,1700772998.4
2021-07-07,81.69,81.81,77.95,78.22,23026891.0,1801163414.02
2021-07-08,76.25,77.875,75.961,77.11,23114480.0,1782357552.8
2021-07-09,77.41,78.9499,76.73,78.74,15441108.0,1215832843.9199998
2021-07-12,78.75,79.73,77.71,79.56,12584295.0,1001206510.2
2021-07-13,79.28,79.5,78.1,78.45,14263435.0,1118966475.75
2021-07-14,79.35,80.76,78.32,78.49,15952277.0,1252094221.73
2021-07-15,78.34,78.4625,76.34,76.92,16616848.0,1278167948.16
2021-07-16,77.155,77.605,74.84,75.01,19132117.0,1435100096.17
2021-07-19,73.84,74.68,73.2,74.58,23408873.0,1745833748.34
2021-07-20,74.66,75.92,73.77,75.39,14855755.0,1119975369.45
2021-07-21,75.345,77.24,75.34,77.19,15945835.0,1230859003.65
2021-07-22,76.23,76.25,74.46,75.53,19042218.0,1438258725.54
2021-07-23,75.925,76.04,74.895,75.94,11145102.0,846359045.88
2021-07-26,75.81,77.48,75.51,76.3,12023894.0,917423112.2
2021-07-27,74.79,74.79,72.51,74.22,23940464.0,1776861238.08
2021-07-28,74.55,76.01,74.38,75.55,14333299.0,1082880739.45
2021-07-29,76.08,77.12,75.95,77.08,14529403.0,1119926383.24
2021-07-30,76.13,78.115,76.0602,77.58,12528854.0,971988493.32
2021-08-02,79.04,79.4915,77.47,77.64,14897334.0,1156629011.76
2021-08-03,78.873,81.07,77.94,80.86,25807609.0,2086803263.74
2021-08-04,80.45,83.09,79.54,81.98,29149037.0,2389638053.26
2021-08-05,82.14,83.07,81.16,81.49,14820989.0,1207762393.61
2021-08-06,81.2,82.88,81.05,82.0,14612555.0,1198229510.0
2021-08-09,81.73,82.04,80.08,80.21,13363279.0,1071868608.59
2021-08-10,79.82,79.82,75.77,75.91,40705022.0,3089918220.02
2021-08-11,76.04,76.05,73.72,75.03,31621853.0,2372587630.59
2021-08-12,72.18,72.2,68.81,70.25,72213554.0,5073002168.5
2021-08-13,70.05,71.24,69.88,70.92,25301392.0,1794374720.64
2021-08-16,70.2,71.76,69.92,70.93,18131946.0,1286098929.7800002
