timestamps,open,high,low,close,volume,amount
2024-10-10,25.98,27.64,25.98,26.972,50807.0,1370366.404
2024-10-11,26.86,27.92,26.86,27.5875,57268.0,1579880.95
2024-10-14,28.371,28.424,27.6,28.28,102443.0,2897088.04
2024-10-15,28.37,28.6599,25.4108,26.73,25213.0,673943.49
2024-10-16,27.101,29.04,27.101,28.36,16525.0,468649.0
2024-10-17,29.68,31.04,29.68,30.13,24163.0,728031.19
2024-10-18,29.95,30.26,28.95,29.82,21297.0,635076.54
2024-10-21,29.0,29.23,27.855,28.51,46110.0,1314596.1
2024-10-22,28.0,28.0,27.125,27.8,50083.0,1392307.4
2024-10-23,27.2,27.2369,25.63,26.36,18071.0,476351.56
2024-10-24,27.23,27.346,26.83,27.26,11479.0,312917.54000000004
2024-10-25,28.1,28.6684,27.731,27.8,46617.0,1295952.6
2024-10-28,27.2181,27.44,26.92,27.02,7848.0,212052.96
2024-10-29,27.27,28.12,26.71,28.12,10663.0,299843.56
2024-10-30,26.53,26.98,25.669,25.79,18187.0,469042.73
2024-10-31,24.94,24.94,23.349,23.57,15482.0,364910.74
2024-11-01,23.704,23.82,23.5,23.58,3048.0,71871.84
2024-11-04,24.34,25.4167,24.34,24.53,13727.0,336723.31
2024-11-05,24.57,26.36,24.57,26.36,18968.0,499996.48
2024-11-06,27.66,29.56,27.14,29.41,25583.0,752396.03
2024-11-07,29.9,30.49,29.36,30.2502,27240.0,824015.448
2024-11-08,29.53,30.35,28.81,29.49,24187.0,713274.63
2024-11-11,29.1,29.1,26.7787,27.69,40162.0,1112085.78
2024-11-12,25.05,25.6,24.559,25.41,40824.0,1037337.84
2024-11-13,24.66,24.861,23.32,23.32,74515.0,1737689.8
2024-11-14,23.85,24.21,22.72,23.02,28920.0,665738.4
2024-11-15,22.0,22.29,21.4601,21.68,40312.0,873964.16
2024-11-18,21.61,22.399,21.389,22.19,29593.0,656668.67
2024-11-19,22.01,22.409,21.75,22.29,19811.0,441587.19
2024-11-20,22.4,22.58,21.8566,22.58,46745.0,1055502.1
2024-11-21,23.3,24.8,22.51,24.58,148370.0,3646934.6
2024-11-22,24.32,24.925,24.03,24.49,35167.0,861239.83
2024-11-25,25.16,26.1625,25.12,25.31,46313.0,1172182.03
2024-11-26,24.92,24.92,23.32,24.0,172838.0,4148112.0
2024-11-27,23.261,23.41,21.649,22.34,54408.0,1215474.72
2024-11-29,21.9,22.225,21.3989,22.19,40029.0,888243.51
2024-12-02,22.11,23.09,22.04,22.46,54084.0,1214726.64
2024-12-03,23.68,24.72,22.94,23.05,86407.0,1991681.35
2024-12-04,23.43,24.6278,23.164,24.6,82491.0,2029278.6
2024-12-05,24.78,25.05,23.34,23.48,75832.0,1780535.36
2024-12-06,23.46,23.99,23.08,23.61,39405.0,930352.05
2024-12-09,23.5,25.06,23.5,24.35,117824.0,2869014.4000000004
2024-12-10,25.28,25.28,21.75,22.12,379970.0,8404936.4
2024-12-11,22.76,24.082,22.1843,23.85,209253.0,4990684.050000001
2024-12-12,23.66,23.66,21.865,22.1,261770.0,5785117.0
2024-12-13,23.14,24.2299,22.75,23.99,456821.0,10959135.79
2024-12-16,25.52,27.99,24.9718,26.63,1341815.0,35732533.449999996
2024-12-17,27.34,27.71,26.34,26.82,922748.0,24748101.36
2024-12-18,27.6,28.48,23.9501,24.54,2012775.0,49393498.5
2024-12-19,18.11,18.28,15.3636,16.55,1588835.0,26295219.25
2024-12-20,15.75,17.66,15.2082,17.63,642544.0,11328050.72
2024-12-23,17.6,17.97,16.96,17.5,324391.0,5676842.5
2024-12-24,17.35,17.4,16.91,17.26,212349.0,3665143.74
2024-12-26,16.93,17.7931,16.85,17.45,240988.0,4205240.6
2024-12-27,17.13,17.31,16.59,16.98,214664.0,3644994.72
2024-12-30,16.33,16.33,15.48,15.79,273728.0,4322165.12
2024-12-31,15.84,16.1532,15.31,15.31,199477.0,3053992.87
2025-01-02,15.65,16.6,15.55,16.46,160952.0,2649269.92
2025-01-03,16.67,17.5108,16.56,17.41,235488.0,4099846.08
2025-01-06,19.56,21.905,19.56,21.03,551526.0,11598591.78
2025-01-07,22.87,24.19,21.85,22.19,798502.0,17718759.380000003
2025-01-08,22.67,22.78,20.61,21.09,388495.0,8193359.55
2025-01-10,20.55,21.5539,20.0,21.0,264294.0,5550174.0
2025-01-13,19.42,19.52,18.32,19.19,211041.0,4049876.79
2025-01-14,19.95,20.15,19.33,20.15,128632.0,2591934.8
2025-01-15,21.03,22.8,21.01,22.53,332393.0,7488814.29
2025-01-16,23.0,23.14,21.9501,22.23,252111.0,5604427.53
2025-01-17,23.25,23.62,22.2413,23.57,221099.0,5211303.43
2025-01-21,23.4,25.59,23.4,25.18,319453.0,8043826.54
2025-01-22,25.13,25.79,24.46,25.13,355434.0,8932056.42
2025-01-23,23.06,23.6816,22.45,23.09,343605.0,7933839.45
2025-01-24,23.35,23.43,22.1888,22.34,157699.0,3522995.66
2025-01-27,18.82,19.205,15.955,17.14,510672.0,8752918.08
2025-01-28,17.62,17.95,15.98,16.06,415043.0,6665590.579999999
2025-01-29,16.5689,16.77,15.89,16.36,310232.0,5075395.52
2025-01-30,16.87,17.83,16.8,17.64,397233.0,7007190.12
2025-01-31,17.14,18.23,17.0642,17.13,306655.0,5253000.149999999
