timestamps,open,high,low,close,volume,amount
2024-10-21,14.29,20.36,14.09,20.0,13616749.0,272334980.0
2024-10-22,19.79,20.0,17.7601,18.73,6443964.0,120695445.72
2024-10-23,18.0,18.43,17.1,17.16,9849849.0,169023408.84
2024-10-24,16.8,17.75,16.71,17.63,7851777.0,138426828.51
2024-10-25,17.27,19.58,17.27,19.57,6748210.0,132062469.7
2024-10-28,20.0,24.27,20.0,23.75,13233147.0,314287241.25
2024-10-29,22.9,24.5,22.5,23.65,7398169.0,174966696.85
2024-10-30,23.0,23.19,20.75,22.06,22991974.0,507202946.44
2024-10-31,22.6,22.6,20.0,21.38,4580792.0,97937332.96
2024-11-01,21.7,21.7,19.57,20.14,3981548.0,80188376.72
2024-11-04,19.62,21.72,19.21,20.75,4185001.0,86838770.75
2024-11-05,20.74,21.2,18.51,19.0,12434671.0,236258749.0
2024-11-06,19.93,19.93,17.5,19.3,4144060.0,79980358.0
2024-11-07,19.08,20.9,19.08,20.68,2570089.0,53149440.52
2024-11-08,20.98,21.0,19.5,19.92,2356030.0,46932117.6
2024-11-11,19.8,21.3,19.18,20.94,2907456.0,60882128.64
2024-11-12,20.5,20.93,19.5,19.6,2125500.0,41659800.0
2024-11-13,19.43,20.0,18.42,18.57,2088897.0,38790817.29
2024-11-14,19.0,19.0,17.51,18.09,2164529.0,39156329.61
2024-11-15,18.0,18.41,17.385,17.6,2010824.0,35390502.400000006
2024-11-18,17.73,18.74,17.66,18.52,1782325.0,33008659.0
2024-11-19,19.1,20.82,18.645,20.65,4774009.0,98583285.85
2024-11-20,20.53,20.75,19.46,20.58,3861686.0,79473497.88
2024-11-21,20.65,22.0,19.64,22.0,3639761.0,80074742.0
2024-11-22,21.56,23.8208,21.56,23.49,4336851.0,101872629.99
2024-11-25,24.0,26.0,23.25,23.49,6115766.0,143659343.34
2024-11-26,23.16,23.6,22.0,22.12,2444576.0,54074021.120000005
2024-11-27,22.01,22.8,21.0,21.43,2595079.0,55612542.97
2024-11-29,22.0,22.92,21.25,21.99,2856209.0,62808035.91
2024-12-02,26.12,27.9,24.76,25.75,17142170.0,441410877.5
2024-12-03,25.8,30.0,25.43,29.33,22322055.0,654705873.15
2024-12-04,30.5,33.15,30.075,32.31,23832678.0,770033826.1800001
2024-12-05,33.94,34.6,30.54,31.16,10374685.0,323275184.6
2024-12-06,31.98,36.84,31.75,36.77,14708327.0,540825183.7900001
2024-12-09,38.57,38.69,31.53,31.96,16659004.0,532421767.84
2024-12-10,32.71,35.25,31.53,33.7,9979131.0,336296714.70000005
2024-12-11,34.4,34.95,31.95,32.78,6029906.0,197660318.68
2024-12-12,32.36,33.0,31.12,31.33,5684664.0,178100523.12
2024-12-13,31.63,31.7,29.95,30.75,7228792.0,222285354.0
2024-12-16,30.78,34.43,30.49,33.4,7562032.0,252571868.8
2024-12-17,33.0,33.0,29.14,29.34,7593474.0,222792527.16
2024-12-18,28.94,30.0,26.99,27.09,8765094.0,237446396.46
2024-12-19,27.74,28.16,25.98,27.05,6797748.0,183879083.4
2024-12-20,26.49,28.76,26.0003,26.71,5560013.0,148507947.23000002
2024-12-23,27.04,28.735,25.77,28.64,5598973.0,160354586.72
2024-12-24,28.77,28.96,27.37,28.245,2971650.0,83934254.25
2024-12-26,28.3,29.39,27.32,28.06,3024481.0,84866936.86
2024-12-27,27.94,28.0,25.53,27.31,5407527.0,147679562.37
2024-12-30,26.95,27.2,25.9,26.92,3108440.0,83679204.80000001
2024-12-31,27.39,28.68,26.79,27.7,3810398.0,105548024.6
2025-01-02,28.13,30.58,28.13,30.51,6758876.0,206213306.76
2025-01-03,30.52,31.54,29.103,31.18,4399814.0,137186200.52
2025-01-06,31.9639,33.18,30.7,31.22,5761491.0,179873749.01999998
2025-01-07,32.37,34.1,30.58,31.54,8432299.0,265954710.46
2025-01-08,31.35,31.7399,29.58,30.74,4187126.0,128712253.24
2025-01-10,29.9,33.98,29.01,33.18,7197793.0,238822771.74
2025-01-13,32.26,36.0,31.1,35.72,11185495.0,399545881.4
2025-01-14,35.27,37.33,34.7293,36.89,10025461.0,369839256.29
2025-01-15,37.53,39.38,35.58,37.02,10053286.0,372172647.72
2025-01-16,37.1,38.47,35.8,37.59,5614892.0,211063790.28000003
2025-01-17,38.35,38.39,35.61,36.04,4959412.0,178737208.48
2025-01-21,36.14,37.8,34.6,37.6,6532179.0,245609930.4
2025-01-22,38.4,40.96,37.9,39.52,10290132.0,406666016.6400001
2025-01-23,38.37,40.04,37.62,38.64,7608877.0,294007007.28000003
2025-01-24,39.37,43.66,39.25,41.69,14055909.0,585990846.2099999
2025-01-27,33.5,33.59,24.41,26.08,44540490.0,1161615979.1999998
2025-01-28,28.2,30.24,26.7,30.09,22143820.0,666307543.8
2025-01-29,29.55,31.3399,28.96,29.73,12971489.0,385642367.97
2025-01-30,31.2,33.4,30.6602,31.8,11796622.0,375132579.6
2025-01-31,32.41,34.59,31.92,32.66,11648141.0,380428285.05999994
2025-02-03,29.972,34.13,29.6,33.31,11380034.0,379068932.54
2025-02-04,34.1,34.97,33.01,34.5,7675034.0,264788673.0
2025-02-05,34.8,35.51,33.57,33.93,6648700.0,225590391.0
2025-02-06,34.0,34.86,32.63,34.55,8747396.0,302222531.79999995
2025-02-07,35.34,39.5,34.91,38.13,17526616.0,668289868.08
2025-02-10,38.815,41.3,38.7,40.97,12583276.0,515536817.72
2025-02-11,40.11,42.44,39.96,41.42,9458545.0,391772933.9
2025-02-12,39.66,40.63,38.92,39.3,9121613.0,358479390.9
2025-02-13,40.19,41.83,38.68,41.7,8181320.0,341161044.0
2025-02-14,45.0,47.68,41.6524,44.49,35111374.0,1562105029.26
2025-02-18,47.27,50.87,46.74,48.07,28138365.0,1352611205.55
2025-02-19,47.2,47.93,44.5,44.83,18331342.0,821794061.86
2025-02-20,40.04,48.63,38.5,46.25,36538275.0,1689895218.75
2025-02-21,45.48,45.8,39.5,39.835,22146998.0,882225665.33
2025-02-24,37.9,38.18,34.0305,36.22,21806763.0,789840955.86
2025-02-25,35.2,36.4775,32.73,34.21,14778951.0,505587913.71
2025-02-26,35.98,37.92,35.13,35.98,12421155.0,446913156.9
2025-02-27,37.695,38.05,31.71,32.05,16716347.0,535758921.35
2025-02-28,30.87,33.57,30.25,32.49,11659643.0,378821801.07000005
2025-03-03,32.805,33.18,27.585,28.1,18060713.0,507506035.3
2025-03-04,27.505,30.92,26.21,29.61,18510264.0,548088917.04
2025-03-05,30.96,31.18,29.32,30.17,12909233.0,389471559.61
2025-03-06,27.77,28.47,26.25,26.8,17638076.0,472700436.8
