timestamps,open,high,low,close,volume,amount
2021-05-28,73.6,74.23,73.195,73.22,9341245.0,683965958.9
2021-06-01,73.4,73.4,72.04,72.12,9229742.0,665648993.0400001
2021-06-02,72.08,73.17,71.82,72.71,6542348.0,475694123.08
2021-06-03,72.02,72.98,72.02,72.37,8974553.0,649488400.61
2021-06-04,72.68,72.89,72.26,72.34,6654462.0,481383781.08
2021-06-07,72.57,72.95,72.11,72.47,6101746.0,442193532.62
2021-06-08,72.92,73.11,71.71,72.14,5927218.0,427589506.52
2021-06-09,72.37,72.9,72.065,72.45,6726975.0,487369338.75
2021-06-10,72.34,73.55,72.17,73.51,8272117.0,608083320.6700001
2021-06-11,73.6,73.6,72.9238,73.49,4631386.0,340360557.14
2021-06-14,73.61,73.94,73.025,73.31,5084111.0,372716177.41
2021-06-15,73.42,74.07,73.065,73.43,7973119.0,585466128.1700001
2021-06-16,74.0,74.59,73.11,73.3,9818367.0,719686301.1
2021-06-17,73.34,74.97,73.02,74.58,10647138.0,794063552.04
2021-06-18,74.445,74.92,73.03,73.28,19339705.0,1417213582.4
2021-06-21,73.69,74.53,72.6183,74.33,6639885.0,493542652.05
2021-06-22,74.18,74.74,74.08,74.11,5600664.0,415065209.04
2021-06-23,74.12,74.305,73.01,73.35,6260816.0,459230853.6
2021-06-24,73.48,73.59,72.59,72.88,8051745.0,586811175.5999999
2021-06-25,73.22,73.955,73.21,73.86,6864713.0,507027702.18
2021-06-28,74.77,75.845,74.63,75.15,8703968.0,654103195.2
2021-06-29,74.75,75.65,74.025,74.08,6607172.0,489459301.76
2021-06-30,74.27,74.485,73.07,73.28,8761483.0,642041474.24
2021-07-01,73.3,74.48,73.08,74.19,6512767.0,483182183.73
2021-07-02,74.33,74.44,73.725,74.28,4377254.0,325142427.12
2021-07-06,74.51,75.17,74.04,75.13,7083030.0,532148043.9
2021-07-07,75.26,75.61,74.85,75.33,5739642.0,432367231.86
2021-07-08,74.62,76.02,74.42,75.13,5985410.0,449683853.2999999
2021-07-09,75.0,75.42,74.28,74.99,5674935.0,425563375.65
2021-07-12,75.2,75.49,74.38,75.09,5885076.0,441910356.84
2021-07-13,75.1,75.76,74.63,74.86,5252874.0,393230147.64
2021-07-14,75.0,76.1699,74.64,75.7,7049074.0,533614901.8
2021-07-15,75.66,76.88,75.19,76.82,7753897.0,595654367.54
2021-07-16,76.87,78.35,76.87,77.92,9299689.0,724631766.88
2021-07-19,77.43,78.38,76.02,76.99,10065579.0,774948927.2099999
2021-07-20,77.02,77.698,76.855,77.17,6656723.0,513699313.91
2021-07-21,77.17,77.28,75.805,75.88,9018907.0,684354663.16
2021-07-22,75.99,76.65,75.89,76.12,5648916.0,429995485.92
2021-07-23,76.53,77.41,75.92,77.2,5060435.0,390665582.0
2021-07-26,76.79,77.14,76.435,76.91,6122605.0,470889550.5499999
2021-07-27,76.88,77.98,76.112,77.86,7709008.0,600223362.88
2021-07-28,77.89,78.33,77.22,77.85,5291582.0,411949658.7
2021-07-29,78.0,78.4,77.62,78.16,4141909.0,323731607.44
2021-07-30,77.98,78.85,77.74,77.9,5489214.0,427609770.6
2021-08-02,78.47,78.91,78.13,78.81,7520735.0,592709125.35
2021-08-03,78.75,79.85,78.37,79.42,6249519.0,496336798.98
2021-08-04,79.36,80.0,78.77,79.87,8050180.0,642967876.6
2021-08-05,79.79,80.62,79.53,80.49,6283837.0,505786040.13
2021-08-06,80.49,81.0,80.06,80.61,4634514.0,373588173.54
2021-08-09,80.96,81.14,80.12,80.56,5621878.0,452898491.68
2021-08-10,80.68,80.8108,80.2,80.53,4506801.0,362932684.53
2021-08-11,81.14,83.41,80.97,82.37,9419301.0,775867823.37
2021-08-12,82.02,83.125,81.83,83.0,6763081.0,561335723.0
2021-08-13,83.25,83.545,82.83,83.45,3999620.0,333768289.0
2021-08-16,83.45,84.43,83.145,83.95,8579942.0,720286130.9
2021-08-17,83.6,84.0,83.12,83.96,5257074.0,441383933.04
2021-08-18,84.23,84.96,83.89,84.42,9511749.0,802981850.58
2021-08-19,83.97,85.1,83.92,84.55,6968132.0,589155560.6
2021-08-20,84.54,86.43,84.02,86.28,7589673.0,654836986.44
2021-08-23,85.81,86.08,84.01,84.4,8837088.0,745850227.2
2021-08-24,84.23,84.48,83.41,84.14,5786105.0,486842874.7
2021-08-25,84.14,84.86,83.58,84.53,5930314.0,501289442.42
2021-08-26,84.11,84.19,83.67,83.81,5294036.0,443693157.16
2021-08-27,83.94,84.19,83.34,83.41,5974286.0,498315195.26
2021-08-30,83.26,84.25,83.01,83.95,6001736.0,503845737.2
