timestamps,open,high,low,close,volume,amount
2021-05-28,73.3,73.77,72.99,73.48,5466512.0,401679301.7600001
2021-06-01,73.6,74.23,73.09,73.95,6083809.0,449897675.55
2021-06-02,73.45,73.78,72.57,72.7,6329239.0,460135675.3
2021-06-03,71.27,71.38,70.42,71.06,7739621.0,549977468.26
2021-06-04,71.49,72.18,71.14,71.45,5123984.0,366108656.8
2021-06-07,70.93,71.72,70.52,71.51,4620347.0,330401013.97
2021-06-08,71.33,71.42,69.89,69.93,6818671.0,476829663.03
2021-06-09,70.02,70.755,69.98,69.99,4159383.0,291115216.16999996
2021-06-10,70.25,71.2,70.02,71.06,4949456.0,351708343.36
2021-06-11,70.92,71.0,69.92,70.31,4850790.0,341059044.90000004
2021-06-14,69.39,70.181,69.071,69.83,5751509.0,401627873.47
2021-06-15,69.95,70.12,68.75,69.08,4939556.0,341224528.48
2021-06-16,69.0,69.67,67.89,68.45,9360388.0,640718558.6
2021-06-17,66.82,67.05,63.395,63.67,20570753.0,1309739843.51
2021-06-18,63.43,63.87,62.535,62.62,17821627.0,1115990282.74
2021-06-21,63.24,63.75,62.3,63.43,10935164.0,693617452.52
2021-06-22,63.4,63.75,62.77,62.92,9026875.0,567970975.0
2021-06-23,63.45,63.88,62.62,62.66,5341217.0,334680657.21999997
2021-06-24,63.06,63.22,62.265,62.3,5383010.0,335361523.0
2021-06-25,62.94,63.11,62.545,62.68,6236318.0,390892412.24
2021-06-28,62.74,63.01,62.14,62.65,4555931.0,285429077.15
2021-06-29,61.85,62.85,61.63,62.58,5657453.0,354043408.74
2021-06-30,62.84,63.7754,62.65,63.38,5689357.0,360591446.66
2021-07-01,64.0,64.07,62.76,62.86,5660319.0,355807652.34
2021-07-02,63.76,64.11,63.02,63.36,5442498.0,344836673.28
2021-07-06,64.38,64.415,63.2,63.89,5597120.0,357599996.8
2021-07-07,64.04,64.31,63.25,63.63,4060598.0,258375850.74
2021-07-08,63.88,64.29,62.24,62.76,5641805.0,354079681.8
2021-07-09,63.16,64.22,63.12,63.98,4746201.0,303661939.97999996
2021-07-12,63.57,64.12,62.9885,63.19,4385174.0,277099145.06
2021-07-13,63.27,64.4,63.1825,63.37,5156686.0,326779191.82
2021-07-14,64.08,64.71,63.29,63.36,4888094.0,309709635.84
2021-07-15,63.44,63.81,63.085,63.49,4449143.0,282476089.07
2021-07-16,63.22,63.22,61.37,61.73,6425531.0,396648028.63
2021-07-19,61.04,61.43,59.92,60.69,8146231.0,494394759.39
2021-07-20,61.0,61.88,60.01,60.44,5874922.0,355080285.68
2021-07-21,59.82,60.68,59.6,60.36,5962828.0,359916298.08
2021-07-22,60.6,60.64,59.16,60.21,4721592.0,284287054.32
2021-07-23,59.5,60.21,59.03,60.11,7652593.0,459997365.23
2021-07-26,60.11,61.31,59.86,60.39,4689964.0,283226925.96
2021-07-27,60.37,61.42,59.86,61.32,4227067.0,259203748.44
2021-07-28,61.18,61.97,61.01,61.88,4471399.0,276690170.12
2021-07-29,62.93,63.45,62.51,62.72,5209358.0,326730933.76
2021-07-30,62.43,63.33,62.36,62.82,5480789.0,344303164.98
2021-08-02,62.56,62.7185,61.905,61.98,3723798.0,230801000.04
2021-08-03,62.13,63.0825,62.02,62.65,3866279.0,242222379.35
2021-08-04,63.12,63.46,61.83,61.86,4036577.0,249702653.22
2021-08-05,61.89,62.08,61.115,61.25,3376029.0,206781776.25
2021-08-06,60.07,60.44,59.16,59.82,8796018.0,526177796.76
2021-08-09,59.16,59.72,58.82,58.84,5862091.0,344925434.44
2021-08-10,58.84,59.06,57.96,58.05,7730661.0,448764871.0499999
2021-08-11,58.75,59.9,58.73,59.26,6051922.0,358636897.71999997
2021-08-12,59.13,59.13,58.0,58.35,4131613.0,241079618.55
2021-08-13,58.99,59.17,58.47,58.84,4673205.0,274971382.2
2021-08-16,58.84,59.2699,58.55,58.88,3974976.0,234046586.88000005
2021-08-17,58.6,59.21,58.37,58.86,4816333.0,283489360.38
2021-08-18,58.67,58.83,56.87,56.91,8108915.0,461478352.65
2021-08-19,56.86,57.095,56.355,56.52,5593031.0,316118112.12
2021-08-20,56.39,56.95,56.15,56.35,4083149.0,230085446.15
2021-08-23,57.16,58.17,56.75,57.78,5288753.0,305584148.34000003
2021-08-24,58.14,58.18,57.43,57.48,3143760.0,180703324.8
