timestamps,open,high,low,close,volume,amount
2021-05-28,82.42,83.8,81.96,82.06,2454005.0,201375650.3
2021-06-01,82.33,83.36,80.32,83.07,3022868.0,251109644.76
2021-06-02,83.13,84.12,82.5,83.86,2036656.0,170793972.16
2021-06-03,83.24,83.38,80.45,81.92,1612269.0,132077076.48
2021-06-04,82.81,84.1,82.7238,83.08,1515654.0,125920534.32
2021-06-07,83.07,86.15,82.2,85.84,3207262.0,275311370.08
2021-06-08,86.84,90.84,86.84,89.78,4746011.0,426096867.58
2021-06-09,89.78,90.8,87.71,90.13,2830711.0,255131982.43
2021-06-10,90.0,93.645,88.81,93.47,3415235.0,319222015.45
2021-06-11,92.94,94.4,92.21,94.0,2768120.0,260203280.0
2021-06-14,94.7,97.325,93.67,95.64,4356440.0,416649921.6
2021-06-15,94.33,95.84,92.82,93.4,3178723.0,296892728.20000005
2021-06-16,92.71,95.21,92.0,94.76,3704880.0,351074428.8
2021-06-17,94.41,101.29,94.0,100.69,6687326.0,673346854.9399999
2021-06-18,102.3,102.4464,98.8,101.68,7434665.0,755956737.2
2021-06-21,100.98,101.85,96.61,101.08,4285676.0,433196130.08
2021-06-22,101.0,103.24,100.66,102.57,4105229.0,421073338.53
2021-06-23,102.79,104.17,102.13,103.74,3093302.0,320899149.47999996
2021-06-24,104.74,109.98,103.87,104.57,5273364.0,551435673.48
2021-06-25,105.0,106.22,102.53,104.84,10561711.0,1107289781.24
2021-06-28,105.78,106.6352,104.12,106.04,2465325.0,261423063.00000003
2021-06-29,105.33,108.0,104.85,107.6,1889124.0,203269742.4
2021-06-30,107.04,107.45,105.76,105.84,2309772.0,244466268.48
2021-07-01,106.0,106.47,103.28,104.39,2554548.0,266669265.72
2021-07-02,105.85,107.6,105.3,106.02,1496149.0,158621716.98
2021-07-06,106.41,109.2,106.02,108.93,3318903.0,361528103.79
2021-07-07,109.92,110.9441,106.8,108.35,2755923.0,298604257.05
2021-07-08,103.77,109.68,101.7001,108.78,2697717.0,293457655.26
2021-07-09,108.39,109.4699,105.66,108.97,1943051.0,211734267.47
2021-07-12,110.3,111.9699,106.06,107.28,2862197.0,307056494.16
2021-07-13,107.68,108.92,105.95,106.51,1530538.0,163017602.38
2021-07-14,107.68,108.78,103.7,104.38,2718696.0,283777488.47999996
2021-07-15,104.07,106.0,101.39,102.67,2393422.0,245732636.74
2021-07-16,103.6,104.2581,101.35,102.66,1975771.0,202832650.86
2021-07-19,101.0,106.63,99.5138,105.52,2902739.0,306297019.28
2021-07-20,104.49,108.66,102.3,107.68,2676952.0,288254191.36
2021-07-21,107.01,109.78,105.61,109.52,1770611.0,193917316.72
2021-07-22,110.16,115.38,109.76,113.77,2927130.0,333019580.09999996
2021-07-23,114.05,117.4,112.53,117.24,2415105.0,283146910.2
2021-07-26,116.93,117.49,115.25,116.73,1814193.0,211770748.89
2021-07-27,116.57,116.9922,112.27,115.47,2208217.0,254982816.99
2021-07-28,116.39,119.93,115.87,119.75,2559616.0,306514016.0
2021-07-29,119.39,122.77,119.11,120.39,2455689.0,295640398.71
2021-07-30,119.38,122.08,117.99,118.63,2546536.0,302095565.68
2021-08-02,119.27,120.45,114.84,118.59,1983659.0,235242120.81
