timestamps,open,high,low,close,volume,amount
2021-05-28,50.44,51.176,50.253,50.281,29112970.0,1463829244.57
2021-06-01,50.401,50.541,49.7744,49.908,24825550.0,1238993549.4
2021-06-02,49.982,50.322,49.582,49.924,22689790.0,1132765075.96
2021-06-03,49.519,49.666,48.725,48.943,37789150.0,1849514368.45
2021-06-04,49.2,50.186,49.095,49.474,31604870.0,1563619338.38
2021-06-07,49.2917,49.67,49.055,49.466,27919320.0,1381057083.12
2021-06-08,49.7,49.882,48.937,49.239,23740370.0,1168952078.4299998
2021-06-09,49.45,49.609,48.465,48.581,30550290.0,1484163638.49
2021-06-10,48.7165,49.021,48.214,48.727,43534280.0,2121294861.56
2021-06-11,49.0,49.141,48.778,48.877,31239690.0,1526902328.13
2021-06-14,48.968,50.35,48.691,49.989,44002220.0,2199626975.58
2021-06-15,50.123,50.123,49.04,49.19,30995230.0,1524655363.7
2021-06-16,49.5,49.646,48.628,49.241,34582060.0,1702855216.46
2021-06-17,49.025,50.18,49.015,49.834,31956730.0,1592531682.8200002
2021-06-18,49.64,50.449,49.524,50.077,51975760.0,2602790133.52
2021-06-21,50.164,50.205,49.228,49.7,52772970.0,2622816609.0
2021-06-22,49.854,51.355,49.5795,50.882,58092710.0,2955873270.22
2021-06-23,50.848,51.663,50.82,51.274,39357520.0,2018017480.48
2021-06-24,51.796,52.096,51.44,51.806,33255020.0,1722809566.12
2021-06-25,52.884,53.306,52.5,52.707,52990720.0,2792981879.04
2021-06-28,52.812,53.394,52.456,53.303,28202270.0,1503265597.81
2021-06-29,53.355,53.613,52.857,53.35,23146470.0,1234864174.5
2021-06-30,53.4055,53.438,52.682,52.821,27734450.0,1464961383.45
2021-07-01,52.572,53.704,52.572,53.354,28054020.0,1496794183.08
2021-07-02,53.55,53.8535,52.939,53.398,19803160.0,1057449137.68
2021-07-06,53.3,54.286,53.3,54.164,27742260.0,1502631770.64
2021-07-07,54.424,54.464,53.166,53.596,27224980.0,1459150028.08
2021-07-08,53.093,53.55,52.909,53.076,32664280.0,1733689325.28
2021-07-09,53.1,53.826,52.858,53.598,27772310.0,1488540271.38
2021-07-12,54.03,54.065,53.292,53.731,17807380.0,956808334.78
2021-07-13,53.576,54.533,53.576,54.068,27515930.0,1487731303.24
2021-07-14,54.101,55.41,54.101,54.795,46595350.0,2553192203.25
2021-07-15,55.397,55.754,53.82,54.295,57138730.0,3102347345.35
2021-07-16,54.181,54.406,52.705,53.031,34421010.0,1825380581.31
2021-07-19,52.605,53.4913,52.224,53.228,38857640.0,2068314461.92
2021-07-20,52.607,53.664,52.03,53.105,69304400.0,3680410162.0
2021-07-21,52.613,53.099,50.561,51.363,119067930.0,6115686088.59
2021-07-22,51.0206,51.368,50.7,51.177,43208250.0,2211268610.25
2021-07-23,51.216,51.741,50.466,51.541,38204780.0,1969112565.98
2021-07-26,51.438,52.113,50.901,51.649,22545380.0,1164446331.62
2021-07-27,51.808,52.195,51.205,51.891,27590370.0,1431691889.6699998
