timestamps,open,high,low,close,volume,amount
2021-05-28,136.24,137.355,136.09,136.46,4271526.0,582892437.96
2021-06-01,137.85,138.05,134.21,134.51,5744429.0,772683144.79
2021-06-02,134.59,135.49,133.53,134.17,5320370.0,713834042.9
2021-06-03,133.2,134.69,132.51,134.17,5125545.0,687694372.65
2021-06-04,134.5,134.9399,132.28,133.74,5279810.0,706121789.4000001
2021-06-07,134.0,135.2036,133.445,133.95,3856693.0,516604027.35
2021-06-08,134.69,134.72,132.4096,133.35,4985355.0,664797089.25
2021-06-09,133.62,134.9,131.45,131.84,6661869.0,878300808.96
2021-06-10,131.5,132.57,130.19,130.98,6690479.0,876318939.42
2021-06-11,131.5,131.99,130.53,131.94,5505510.0,726396989.4
2021-06-14,131.7,132.05,130.125,131.36,5832246.0,766123834.5600001
2021-06-15,131.54,131.75,129.83,130.29,5267894.0,686353909.26
2021-06-16,130.3,131.172,129.6,130.4,8027040.0,1046726016.0
2021-06-17,129.24,129.88,127.86,128.92,8761666.0,1129553980.7199998
2021-06-18,126.68,129.03,126.68,128.41,10744037.0,1379641791.17
2021-06-21,129.24,130.765,128.7,130.08,6398585.0,832327936.8000001
2021-06-22,130.83,132.69,130.13,132.48,6183663.0,819211674.2399999
2021-06-23,132.81,133.7,132.214,133.1,4763769.0,634057653.9
2021-06-24,133.9,134.815,132.9,133.6,11553537.0,1543552543.2
2021-06-25,152.41,154.59,150.48,154.35,47789019.0,7376235082.65
2021-06-28,153.918,154.05,151.51,152.36,13624858.0,2075883364.88
2021-06-29,153.26,156.4,152.91,155.95,10486964.0,1635442035.8
2021-06-30,154.79,155.3361,153.52,154.49,10456737.0,1615461299.13
2021-07-01,154.07,158.21,153.89,158.0,9156049.0,1446655742.0
2021-07-02,158.21,159.97,157.64,159.74,6535635.0,1044002334.9
2021-07-06,159.92,160.44,157.86,160.11,6913052.0,1106848755.72
2021-07-07,160.16,161.5,158.28,160.16,5542490.0,887685198.4
2021-07-08,158.17,160.82,157.35,160.63,6214283.0,998200278.29
2021-07-09,161.69,161.9619,160.51,161.0,5092435.0,819882035.0
2021-07-12,161.64,162.4276,160.71,161.82,5147857.0,833026219.74
2021-07-13,161.35,162.31,161.01,161.59,5864966.0,947719855.94
2021-07-14,161.87,162.73,161.34,161.54,5086187.0,821622647.98
2021-07-15,160.86,162.2,160.3935,161.69,6589390.0,1065438469.1
2021-07-16,161.62,161.7,159.64,159.85,6752098.0,1079322865.3
2021-07-19,158.15,158.82,156.6,157.87,7505905.0,1184957222.35
2021-07-20,157.26,160.43,156.58,159.74,4772591.0,762373686.34
2021-07-21,160.5,161.425,160.01,161.08,5499312.0,885829176.96
2021-07-22,161.11,163.75,160.93,163.68,4967883.0,813143089.44
2021-07-23,164.35,166.45,163.73,166.36,4362756.0,725788088.1600001
2021-07-26,165.71,166.53,163.82,165.09,3966375.0,654808848.75
2021-07-27,164.82,165.61,162.58,164.57,4449375.0,732233643.75
2021-07-28,164.49,165.9,164.08,165.46,4189504.0,693195331.84
2021-07-29,165.9,167.03,165.39,166.99,3605614.0,602101481.86
2021-07-30,166.59,167.87,166.35,167.51,5364522.0,898611080.2199999
2021-08-02,169.06,169.98,168.03,168.75,5532475.0,933605156.25
2021-08-03,169.22,171.5,168.49,171.23,5718127.0,979114886.21
2021-08-04,171.36,172.34,170.96,171.91,4646201.0,798728413.91
2021-08-05,171.41,174.0,171.18,173.85,3823951.0,664793881.35
2021-08-06,174.36,174.38,172.7,172.8,4088665.0,706521312.0
2021-08-09,172.5,173.06,171.6165,171.77,3612846.0,620578557.4200001
2021-08-10,171.56,173.96,171.43,172.27,3747136.0,645519118.72
