timestamps,open,high,low,close,volume,amount
2021-05-28,5.2,5.29,5.14,5.16,70119740.0,361817858.4
2021-06-01,5.21,5.25,5.15,5.19,30289721.0,157203651.99
2021-06-02,5.25,5.55,5.24,5.45,122825121.0,669396909.45
2021-06-03,5.6,5.685,5.41,5.48,102390941.0,561102356.6800001
2021-06-04,5.5,5.567,5.45,5.48,32163444.0,176255673.12
2021-06-07,5.48,5.63,5.45,5.61,46837456.0,262758128.16000003
2021-06-08,5.57,5.69,5.54,5.58,49448038.0,275920052.04
2021-06-09,5.55,5.61,5.47,5.49,46289282.0,254128158.18
2021-06-10,5.44,5.49,5.39,5.44,26906447.0,146371071.68
2021-06-11,5.48,5.5,5.39,5.43,20609221.0,111908070.03
2021-06-14,5.47,5.48,5.42,5.45,18343783.0,99973617.35
2021-06-15,5.43,5.4355,5.28,5.29,29231887.0,154636682.23
2021-06-16,5.25,5.27,5.16,5.22,27621039.0,144181823.57999998
2021-06-17,5.15,5.25,5.1217,5.16,22315768.0,115149362.88
2021-06-18,5.12,5.16,5.07,5.1,32874102.0,167657920.2
2021-06-21,5.12,5.14,5.09,5.1,17649758.0,90013765.8
2021-06-22,5.14,5.14,5.08,5.11,20672478.0,105636362.58
2021-06-23,5.11,5.14,5.05,5.05,19382172.0,97879968.6
2021-06-24,5.17,5.1769,5.11,5.14,22823230.0,117311402.2
2021-06-25,5.3,5.65,5.3,5.45,80782657.0,440265480.65
2021-06-28,5.45,5.5,5.39,5.4,32878894.0,177546027.60000002
2021-06-29,5.4,5.42,5.32,5.36,25061278.0,134328450.08
2021-06-30,5.34,5.35,5.29,5.32,22965083.0,122174241.56
2021-07-01,5.39,5.41,5.33,5.37,20657370.0,110930076.9
2021-07-02,5.37,5.4,5.32,5.39,16614190.0,89550484.1
2021-07-06,5.48,5.48,5.33,5.42,22992448.0,124619068.16
2021-07-07,5.46,5.48,5.36,5.39,23561609.0,126997072.51
2021-07-08,5.32,5.42,5.28,5.41,28281261.0,153001622.01
2021-07-09,5.46,5.51,5.45,5.47,17161277.0,93872185.19
2021-07-12,5.46,5.47,5.36,5.37,17731467.0,95217977.79
2021-07-13,5.8,6.0,5.78,5.88,114993977.0,676164584.76
2021-07-14,5.97,6.0,5.84,5.84,53974266.0,315209713.44
2021-07-15,5.76,5.805,5.655,5.75,35988011.0,206931063.25
2021-07-16,5.76,5.79,5.67,5.68,24723581.0,140429940.07999998
2021-07-19,5.64,5.65,5.53,5.6,37386082.0,209362059.2
2021-07-20,5.65,5.825,5.64,5.81,33972131.0,197378081.11
2021-07-21,5.86,5.96,5.77,5.8,32209113.0,186812855.4
2021-07-22,5.81,5.8165,5.74,5.75,20060748.0,115349301.0
2021-07-23,5.78,5.81,5.73,5.75,16261611.0,93504263.25
2021-07-26,5.81,5.89,5.8,5.84,21408446.0,125025324.64
2021-07-27,5.84,5.85,5.71,5.75,28917470.0,166275452.5
2021-07-28,5.76,5.85,5.715,5.81,25201095.0,146418361.95
2021-07-29,6.14,6.23,6.02,6.05,71235011.0,430971816.55
2021-07-30,6.07,6.14,6.01,6.08,33579118.0,204161037.44
2021-08-02,6.12,6.18,6.03,6.13,35358504.0,216747629.52
2021-08-03,6.22,6.29,6.18,6.29,31755652.0,199743051.08
2021-08-04,6.28,6.29,6.22,6.23,21965648.0,136845987.04000002
2021-08-05,6.25,6.26,6.17,6.19,15594650.0,96530883.5
2021-08-06,6.16,6.19,6.06,6.1,19933493.0,121594307.3
2021-08-09,6.08,6.14,6.07,6.1,15932758.0,97189823.8
2021-08-10,6.1,6.11,6.01,6.02,18532234.0,111564048.68
2021-08-11,6.01,6.03,5.97,6.02,19023613.0,114522150.26
2021-08-12,6.01,6.03,5.93,6.02,22001165.0,132447013.3
2021-08-13,6.06,6.1475,6.04,6.12,13796072.0,84431960.64
2021-08-16,6.04,6.07,6.02,6.07,11398390.0,69188227.3
2021-08-17,6.03,6.06,5.9,5.94,22073180.0,131114689.2
2021-08-18,5.98,6.02,5.95,5.95,14948448.0,88943265.60000001
2021-08-19,5.82,5.91,5.78,5.89,24224849.0,142684360.60999998
2021-08-20,5.88,5.94,5.87,5.9,12266066.0,72369789.4
2021-08-23,5.94,6.05,5.94,6.02,17737884.0,106782061.68
2021-08-24,6.02,6.09,5.99,6.05,17137725.0,103683236.25
2021-08-25,6.05,6.08,6.02,6.03,11193486.0,67496720.58
2021-08-26,6.06,6.1,5.99,5.99,15142978.0,90706438.22
2021-08-27,5.97,6.06,5.97,6.03,14302396.0,86243447.88000001
2021-08-30,6.04,6.09,6.02,6.04,12747549.0,76995195.96
2021-08-31,6.02,6.03,5.95,5.96,16860498.0,100488568.08
2021-09-01,5.99,6.02,5.95,5.95,11898770.0,70797681.5
2021-09-02,6.03,6.07,6.01,6.06,13777369.0,83490856.14
2021-09-03,6.04,6.05,6.02,6.04,9899627.0,59793747.08
2021-09-07,5.99,6.04,5.98,5.98,15641404.0,93535595.92
2021-09-08,5.98,6.0,5.89,5.89,15242887.0,89780604.42999999
2021-09-09,5.88,5.98,5.88,5.91,17186438.0,101571848.58
2021-09-10,5.93,5.97,5.82,5.83,23802654.0,138769472.82
2021-09-13,5.84,5.85,5.73,5.76,26226772.0,151066206.72
