timestamps,open,high,low,close,volume,amount
2021-05-28,96.0,96.414,94.11,94.776,9594240.0,909303690.24
2021-06-01,95.52,95.528,93.408,93.834,8574135.0,804545383.59
2021-06-02,92.914,94.52,92.382,93.402,5275665.0,492757662.33
2021-06-03,92.862,93.036,91.2,91.84,4904170.0,450398972.8
2021-06-04,92.0,93.062,91.744,92.13,7974515.0,734692066.9499999
2021-06-07,92.004,92.548,91.4,91.892,6128115.0,563124743.5799999
2021-06-08,92.794,94.22,91.884,92.152,5431880.0,500558605.76
2021-06-09,92.992,93.522,92.144,92.942,5212740.0,484482481.08
2021-06-10,97.142,98.158,95.8026,97.826,15355150.0,1502132903.9
2021-06-11,98.0,99.902,97.6,99.602,10584850.0,1054272229.7
2021-06-14,100.0,102.224,99.644,101.868,9285035.0,945847945.38
2021-06-15,102.104,102.51,100.824,101.086,8015750.0,810280104.5
2021-06-16,101.54,104.3,100.4302,102.016,10388240.0,1059766691.84
2021-06-17,101.16,106.2,101.16,106.08,9644535.0,1023092272.8
2021-06-18,105.764,107.544,105.056,106.748,11768790.0,1256294794.92
2021-06-21,106.264,107.6,105.004,106.95,5687350.0,608262082.5
2021-06-22,107.2,109.4,107.0,109.206,6487575.0,708482115.45
2021-06-23,109.0,110.1991,108.546,110.04,4542040.0,499806081.6
2021-06-24,110.4,111.75,110.162,110.414,5084470.0,561396670.58
2021-06-25,111.052,111.052,108.398,108.998,7669885.0,836002125.23
2021-06-28,109.6,110.542,109.35,110.434,4176150.0,461188949.1
2021-06-29,111.048,112.378,110.506,111.718,5356040.0,598366076.72
2021-06-30,111.378,111.592,109.522,109.91,4292740.0,471815053.4
2021-07-01,109.0,110.026,107.949,109.034,5897770.0,643057454.1800001
2021-07-02,109.65,110.948,109.4407,110.366,3477785.0,383829219.31
2021-07-06,110.858,112.758,110.438,111.698,4076205.0,455303946.09
2021-07-07,112.18,112.652,110.614,112.356,5569800.0,625800448.8
2021-07-08,110.55,112.458,109.39,112.094,4795030.0,537494092.8199999
2021-07-09,111.944,113.466,111.174,113.274,4967495.0,562688028.63
2021-07-12,114.0,114.734,112.25,112.386,6499460.0,730448311.56
2021-07-13,112.2,113.27,111.0,111.866,4396510.0,491819987.66
2021-07-14,112.792,113.46,111.756,112.588,5765170.0,649088959.9599999
2021-07-15,112.676,113.344,110.91,111.656,4206485.0,469679289.16
2021-07-16,112.304,112.925,110.992,111.272,4826350.0,537037617.2
2021-07-19,110.348,111.078,109.0,111.018,5598760.0,621563137.68
2021-07-20,112.0,113.832,110.922,113.05,4441020.0,502057311.0
2021-07-21,112.498,113.426,111.708,113.426,3819460.0,433226069.96
2021-07-22,114.416,115.88,114.09,115.34,4764060.0,549486680.4
2021-07-23,116.0,117.696,115.564,117.236,4525595.0,530562655.42
2021-07-26,116.96,116.97,115.002,116.84,5314085.0,620897691.4
2021-07-27,116.8,117.374,114.934,116.458,7388560.0,860456920.48
2021-07-28,116.4,117.4005,115.202,116.67,6214190.0,725009547.3
2021-07-29,116.92,121.756,116.92,117.286,12698070.0,1489305838.02
2021-07-30,115.942,119.178,115.1874,117.578,7831115.0,920766839.47
2021-08-02,117.578,118.343,115.802,116.934,4506435.0,526955470.29
2021-08-03,116.978,118.162,115.468,116.932,4024415.0,470582894.78
2021-08-04,117.0,118.938,116.6345,118.694,3848665.0,456813443.51
2021-08-05,119.0,119.4,117.876,119.1,2380955.0,283571740.5
2021-08-06,118.8,119.12,117.886,118.136,3546240.0,418938608.64
2021-08-09,117.99,118.46,117.0593,117.592,4004660.0,470915978.72
2021-08-10,117.6,117.888,114.556,115.16,4148190.0,477705560.4
2021-08-11,115.688,116.228,113.318,114.04,4541100.0,517867044.0
2021-08-12,113.854,116.398,113.398,116.314,4333220.0,504014151.08
2021-08-13,115.808,117.596,115.507,117.566,3194420.0,375555181.72
2021-08-16,117.2,118.336,115.264,116.044,4078900.0,473331871.6
2021-08-17,115.89,116.82,114.876,116.448,3549215.0,413298988.32
2021-08-18,116.094,117.72,115.696,116.39,3709410.0,431738229.9
2021-08-19,115.9,118.26,115.55,117.384,3841720.0,450956460.48
2021-08-20,118.21,120.282,117.714,120.104,5017345.0,602603203.88
2021-08-23,120.4,124.2,120.4,123.886,7882915.0,976582807.69
2021-08-24,124.0,125.306,124.0,124.37,5031815.0,625806831.5500001
2021-08-25,124.6,125.554,123.332,124.214,4548735.0,565016569.29
2021-08-26,124.524,126.046,124.22,124.806,5481590.0,684135321.54
2021-08-27,125.0,127.124,124.809,126.48,4106055.0,519333836.4
2021-08-30,126.8,128.656,126.697,128.33,3987930.0,511771056.9
2021-08-31,129.0,129.54,127.912,128.728,6233410.0,802414402.48
2021-09-01,128.72,130.512,128.5,130.17,4684060.0,609724090.1999999
2021-09-02,130.8,132.356,130.478,132.062,6771445.0,894250569.59
2021-09-03,132.0,136.22,131.81,135.726,5729765.0,777678084.39
2021-09-07,135.726,135.8,132.041,132.218,7687520.0,1016428519.36
2021-09-08,132.062,132.062,130.126,130.76,5564865.0,727661747.4
2021-09-09,131.156,131.274,129.8,130.038,4011815.0,521688398.97
2021-09-10,130.622,131.152,129.348,129.596,3771615.0,488786217.54
2021-09-13,129.8,129.816,126.134,127.816,6359805.0,812884835.88
