timestamps,open,high,low,close,volume,amount
2021-12-09,11.25,12.24,10.01,10.33,90160804.0,931361105.32
2021-12-10,11.45,11.85,9.8,11.85,50077329.0,593416348.65
2021-12-13,11.1,11.29,10.31,10.81,19658350.0,212506763.5
2021-12-14,10.55,10.58,9.27,9.92,22728085.0,225462603.2
2021-12-15,9.63,10.29,9.42,10.01,12663878.0,126765418.78
2021-12-16,10.45,10.49,9.56,10.0,13981345.0,139813450.0
2021-12-17,9.925,10.17,9.14,9.8,21560828.0,211296114.4
2021-12-20,9.2,9.35,8.75,8.94,15772460.0,141005792.4
2021-12-21,9.02,9.24,8.84,9.23,8402568.0,77555702.64
2021-12-22,9.12,9.18,8.99,9.12,7094954.0,64705980.48
2021-12-23,9.13,10.0,9.11,9.83,5794458.0,56959522.14
2021-12-27,9.79,9.89,9.46,9.74,2501410.0,24363733.4
2021-12-28,9.68,9.7,9.36,9.4,2217737.0,20846727.8
2021-12-29,9.37,9.46,9.25,9.32,2965757.0,27640855.24
2021-12-30,9.37,9.63,9.37,9.4,2375196.0,22326842.4
2021-12-31,9.37,9.47,9.28,9.38,1619840.0,15194099.2
2022-01-03,9.6,10.0,9.55,9.98,6901698.0,68878946.04
2022-01-04,10.15,10.22,9.48,9.74,8551827.0,83294794.98
2022-01-05,9.68,9.71,8.92,9.04,13773449.0,124511978.96
2022-01-06,9.01,9.53,8.46,9.52,11014161.0,104854812.72
2022-01-07,9.5,9.68,9.14,9.36,4784699.0,44784782.64
2022-01-10,9.02,9.1,8.67,9.0,7856859.0,70711731.0
2022-01-11,8.97,9.45,8.8,9.34,7733439.0,72230320.26
2022-01-12,9.33,9.38,8.73,9.0,13579880.0,122218920.0
2022-01-13,9.0,9.0399,8.67,8.67,7173746.0,62196377.82
2022-01-14,8.66,8.7,8.11,8.12,7739356.0,62843570.71999999
2022-01-18,8.0,8.0,7.42,7.69,9855698.0,75790317.62
2022-01-19,7.69,7.92,7.54,7.83,10589420.0,82915158.6
2022-01-20,7.81,8.55,7.81,7.95,12447622.0,98958594.9
2022-01-21,7.83,7.92,7.32,7.54,7828850.0,59029529.0
2022-01-24,7.14,7.37,6.75,7.26,11497553.0,83472234.78
2022-01-25,7.12,7.42,6.96,7.42,8139549.0,60395453.58
2022-01-26,7.52,7.96,6.95,7.07,9131853.0,64562200.71
2022-01-27,7.19,7.29,6.89,6.89,10494897.0,72309840.33
2022-01-28,6.78,6.88,6.4,6.75,5673633.0,38297022.75
2022-01-31,6.75,7.43,6.7,7.42,7854116.0,58277540.72
2022-02-01,7.49,7.63,7.285,7.56,4675630.0,35347762.8
2022-02-02,7.55,7.6,6.96,6.99,6674296.0,46653329.04
2022-02-03,6.84,6.94,6.68,6.79,4783061.0,32476984.19
2022-02-04,6.67,7.42,6.65,7.36,6178084.0,45470698.24
2022-02-07,7.22,7.9,7.16,7.77,9050120.0,70319432.39999999
2022-02-08,7.56,8.92,7.55,8.9,17254266.0,153562967.4
2022-02-09,9.07,10.28,8.84,10.2,34903535.0,356016057.0
2022-02-10,9.33,9.94,9.26,9.28,19203864.0,178211857.92
2022-02-11,9.43,9.49,8.455,8.54,13349954.0,114008607.15999998
2022-02-14,8.57,9.07,8.45,8.68,6393397.0,55494685.96
2022-02-15,9.26,9.285,8.8558,9.15,7194546.0,65830095.900000006
