timestamps,open,high,low,close,volume,amount
2021-05-28,15.501,16.2775,15.501,16.2445,642535600.0,10437669554.2
2021-06-01,16.27,16.3881,15.9033,16.2645,472803000.0,7689904393.500001
2021-06-02,16.2523,16.9189,16.2355,16.7783,593807560.0,9963081383.948002
2021-06-03,16.7008,17.259,16.583,16.9698,580006800.0,9842599394.64
2021-06-04,17.1125,17.661,17.0955,17.5783,606320280.0,10658079777.924
2021-06-07,17.5712,17.8125,17.1928,17.619,572014920.0,10078330875.48
2021-06-08,17.5273,17.6216,17.251,17.457,323846760.0,5653392889.320001
2021-06-09,17.5158,17.575,17.2558,17.3583,381630080.0,6624449417.664
2021-06-10,17.35,17.492,17.176,17.425,287770440.0,5014399917.0
2021-06-11,17.4795,17.9392,17.4438,17.8253,415178640.0,7400683811.591999
2021-06-14,17.906,18.0395,17.6628,18.0188,321270280.0,5788904921.264
2021-06-15,17.915,18.0163,17.728,17.7885,243030440.0,4323146981.94
2021-06-16,17.7908,17.9547,17.5844,17.8103,307122600.0,5469945642.780001
2021-06-17,17.7746,18.835,17.7563,18.6573,809635680.0,15105615772.464
2021-06-18,18.784,19.375,18.584,18.6388,968854280.0,18058281154.064
2021-06-21,18.4353,18.5365,17.8227,18.4273,670230360.0,12350535912.828
2021-06-22,18.4715,18.9638,18.3859,18.8868,570145560.0,10768225162.608
2021-06-23,19.0078,19.1528,18.9078,19.0573,332213040.0,6331083567.192
2021-06-24,19.2278,19.42,19.0883,19.2055,320922400.0,6163475153.2
2021-06-25,19.2805,19.3455,18.8944,19.031,278365920.0,5297581823.5199995
2021-06-28,19.3612,20.0788,19.319,19.985,495436560.0,9901299651.6
2021-06-29,19.8825,20.0988,19.6569,20.0268,367633840.0,7362529386.912001
2021-06-30,19.9991,20.1625,19.8638,20.0025,326566160.0,6532139615.400001
2021-07-01,20.125,20.456,20.019,20.212,480134960.0,9704487811.52
2021-07-02,20.4401,20.5053,20.2878,20.487,343396680.0,7035167783.16
2021-07-06,20.7375,20.842,20.3503,20.6985,446688920.0,9245790610.62
2021-07-07,20.8535,20.875,20.3321,20.3718,418427240.0,8524116047.832
2021-07-08,19.8565,20.133,19.7008,19.9028,503299240.0,10017064113.872
2021-07-09,19.9625,20.0801,19.7543,20.0502,296190680.0,5938682372.136
2021-07-12,20.24,20.5328,20.1878,20.5125,321984760.0,6604712389.5
2021-07-13,20.4005,20.4613,20.114,20.25,290706320.0,5886802980.0
2021-07-14,20.3578,20.4178,19.7528,19.8415,380099200.0,7541738276.8
2021-07-15,19.8118,19.847,18.8585,18.9663,550564520.0,10442171855.676
2021-07-16,19.0305,19.1571,18.073,18.161,688222640.0,12498811365.04
2021-07-19,17.9153,19.042,17.8655,18.7798,749058160.0,14067162433.168
2021-07-20,18.73,18.838,18.164,18.612,426886540.0,7945212282.48
2021-07-21,18.882,19.527,18.742,19.41,371017360.0,7201446957.6
2021-07-22,19.642,19.887,19.276,19.594,323825950.0,6345045664.3
2021-07-23,19.6564,19.7,19.25,19.558,195671980.0,3826952584.84
2021-07-26,19.311,19.442,18.914,19.294,203943160.0,3934879329.04
2021-07-27,19.265,19.622,18.741,19.208,248862580.0,4780152436.639999
2021-07-28,19.3192,19.646,18.995,19.503,202191150.0,3943333998.45
2021-07-29,19.519,19.853,19.328,19.662,190780880.0,3751133662.56
2021-07-30,19.418,19.63,19.263,19.499,183497460.0,3578016972.54
2021-08-02,19.7,19.961,19.361,19.75,217147930.0,4288671617.5
2021-08-03,19.74,20.222,19.22,19.815,301810740.0,5980379813.1
2021-08-04,19.99,20.318,19.828,20.274,231309390.0,4689566572.860001
2021-08-05,20.5,20.733,20.342,20.637,211282870.0,4360244588.190001
2021-08-06,20.524,20.57,20.21,20.366,178104610.0,3627278487.26
2021-08-09,20.446,20.508,20.143,20.295,146443100.0,2972062714.5000005
2021-08-10,20.322,20.43,19.8345,19.936,179237780.0,3573284382.08
2021-08-11,20.043,20.049,19.43,19.699,185924840.0,3662533423.16
2021-08-12,19.87,20.029,19.62,19.905,151861550.0,3022804152.75
2021-08-13,19.905,20.2138,19.851,20.188,183062860.0,3695673017.68
2021-08-16,20.135,20.287,19.453,19.95,211152800.0,4212498360.0
2021-08-17,19.685,19.77,19.267,19.458,204418950.0,3977583929.1
2021-08-18,19.5,19.6337,19.0,19.04,285913480.0,5443792659.2
2021-08-19,19.494,20.495,18.762,19.798,754554770.0,14938675336.46
2021-08-20,19.991,20.8651,19.933,20.816,669426310.0,13934778068.96
2021-08-23,20.971,21.997,20.95,21.958,575806580.0,12643560883.64
2021-08-24,21.753,21.959,21.535,21.793,297298920.0,6479035363.559999
2021-08-25,21.737,22.47,21.722,22.213,346951040.0,7706823451.52
2021-08-26,22.2,22.34,21.79,22.068,237940420.0,5250869188.56
2021-08-27,22.184,22.722,22.167,22.636,304637190.0,6895767432.84
2021-08-30,22.83,23.043,22.551,22.688,262579900.0,5957412771.2
2021-08-31,22.695,22.695,22.12,22.385,259849680.0,5816735086.8
2021-09-01,22.485,22.697,22.3565,22.441,201647950.0,4525181645.95
2021-09-02,22.518,22.593,22.2945,22.396,188109570.0,4212901929.72
2021-09-03,22.325,22.986,22.2,22.843,280831980.0,6415044919.14
2021-09-07,22.833,22.899,22.5224,22.662,200102850.0,4534730786.7
2021-09-08,22.513,22.61,21.977,22.339,254098210.0,5676299913.19
2021-09-09,22.312,22.538,22.131,22.177,196856010.0,4365675733.7699995
2021-09-10,22.3483,22.626,22.27,22.478,248375740.0,5582989883.72
2021-09-13,22.684,22.964,21.858,22.152,300996430.0,6667672917.360001
2021-09-14,22.275,22.41,22.086,22.242,202471980.0,4503381779.16
2021-09-15,22.309,22.367,21.966,22.341,168887960.0,3773125914.36
2021-09-16,22.1835,22.277,21.927,22.242,156033440.0,3470495772.48
2021-09-17,22.3,22.321,21.83,21.9,294502840.0,6449612196.0
2021-09-20,21.146,21.433,20.662,21.113,349440450.0,7377736220.849999
2021-09-21,21.4165,21.425,20.95,21.246,204688100.0,4348803372.599999
2021-09-22,21.3655,21.96,21.196,21.941,268725560.0,5896107511.96
2021-09-23,22.14,22.5345,21.89,22.482,247904910.0,5573398186.62
2021-09-24,22.07,22.149,21.861,22.081,217655450.0,4806049991.45
2021-09-27,21.7104,21.799,21.325,21.66,245215140.0,5311359932.4
2021-09-28,21.2135,21.419,20.651,20.699,343068950.0,7101184196.05
2021-09-29,20.9395,21.017,20.467,20.517,218393630.0,4480782106.71
2021-09-30,20.7684,21.066,20.688,20.716,224085700.0,4642159361.2
2021-10-01,20.75,20.859,20.203,20.742,240896960.0,4996684744.320001
2021-10-04,20.504,20.5418,19.555,19.732,345634970.0,6820069228.04
2021-10-05,19.95,20.648,19.854,20.451,279281650.0,5711589024.150001
2021-10-06,20.12,20.72,20.08,20.7,297201750.0,6152076225.0
2021-10-07,21.092,21.322,20.972,21.075,256918930.0,5414566449.75
2021-10-08,21.101,21.206,20.775,20.831,153247300.0,3192294506.2999997
2021-10-11,20.575,21.063,20.511,20.695,163387540.0,3381305140.3
2021-10-12,20.8275,21.057,20.528,20.671,162029540.0,3349312621.3399997
2021-10-13,20.918,20.99,20.713,20.939,172651880.0,3615157715.32
2021-10-14,21.288,21.755,21.122,21.746,243588810.0,5297082262.259999
2021-10-15,21.81,21.931,21.662,21.862,221094010.0,4833557246.62
2021-10-18,21.749,22.291,21.644,22.222,189493560.0,4210925890.32
2021-10-19,22.276,22.379,22.037,22.29,161369290.0,3596921474.1
2021-10-20,22.3045,22.433,21.982,22.103,146275940.0,3233137101.82
2021-10-21,22.097,22.711,22.083,22.692,187590320.0,4256799541.44
2021-10-22,22.823,23.13,22.561,22.726,249343790.0,5666586971.54
2021-10-25,22.973,23.355,22.77,23.166,229029830.0,5305705041.78
2021-10-26,23.989,25.259,23.924,24.717,485833850.0,12008355270.45
