timestamps,open,high,low,close,volume,amount
2022-12-13,4.3833,4.4327,4.3217,4.3596,7236.0,31546.0656
2022-12-14,4.355,4.355,4.1833,4.2224,2778.0,11729.827200000002
2022-12-15,3.935,3.9556,3.87,3.9556,13116.0,51881.6496
2022-12-16,3.885,3.9025,3.815,3.8209,14268.0,54516.6012
2022-12-19,3.713,3.713,3.713,3.713,3852.0,14302.476
2022-12-20,4.125,4.125,3.6475,3.6475,12738.0,46461.855
2022-12-21,3.7683,3.7683,3.7683,3.7683,936.0,3527.1288
2022-12-22,3.3917,3.3917,3.2967,3.3845,7620.0,25789.89
2022-12-23,3.3333,3.3333,3.3327,3.3327,2652.0,8838.3204
2022-12-27,3.2333,3.2333,2.9819,2.9819,17520.0,52242.888
2022-12-28,2.9617,2.9733,2.953,2.953,16260.0,48015.78
2022-12-29,3.075,3.1358,3.075,3.1358,4482.0,14054.6556
2022-12-30,3.0433,3.125,3.0433,3.125,38898.0,121556.25
2023-01-03,3.2267,3.2267,2.9883,3.2133,16248.0,52209.698399999994
2023-01-04,3.1617,3.1783,3.0856,3.1657,44124.0,139683.3468
2023-01-05,3.0416,3.0517,3.0044,3.0199,26148.0,78964.3452
2023-01-06,3.1575,3.2015,3.15,3.2015,2868.0,9181.902
2023-01-09,3.5533,3.5533,3.465,3.465,16122.0,55862.73
2023-01-10,3.475,3.5479,3.44,3.5479,5832.0,20691.3528
2023-01-11,3.4942,3.5983,3.4942,3.5983,6138.0,22086.3654
2023-01-12,3.5817,3.7477,3.5817,3.7477,8946.0,33526.9242
2023-01-13,3.75,3.8739,3.75,3.8739,4254.0,16479.5706
2023-01-17,4.0175,4.1333,3.9967,4.1333,13236.0,54708.3588
2023-01-18,4.08,4.08,4.0348,4.0348,9450.0,38128.86
2023-01-19,3.875,3.8883,3.8222,3.8222,12306.0,47035.9932
2023-01-20,3.8683,4.179,3.8562,4.179,35046.0,146457.234
2023-01-23,4.2225,4.675,4.2225,4.6067,44652.0,205698.3684
2023-01-24,4.6183,4.6967,4.6183,4.6849,27342.0,128094.5358
2023-01-25,4.505,4.7117,4.505,4.7117,35604.0,167755.36680000002
2023-01-26,4.8767,4.8767,4.75,4.8633,45138.0,219519.6354
2023-01-27,4.8217,5.1933,4.8217,5.0915,67668.0,344531.622
2023-01-30,4.9067,4.9533,4.6167,4.6717,56790.0,265305.84300000005
2023-01-31,4.6633,4.7592,4.6,4.7566,45810.0,217899.846
2023-02-01,4.8333,5.35,4.8333,5.2795,82104.0,433468.068
2023-02-02,5.35,5.6083,5.35,5.5609,72828.0,404989.2252
2023-02-03,5.37,5.5917,5.2583,5.3424,130182.0,695484.3167999999
2023-02-06,5.215,5.5167,5.215,5.3332,77484.0,413237.6688
2023-02-07,5.4183,5.7617,5.375,5.7445,158778.0,912100.221
2023-02-08,5.8883,5.9885,5.67,5.7523,163338.0,939569.1774
2023-02-09,5.9783,6.3017,5.7283,5.8155,279996.0,1628316.738
2023-02-10,5.4633,5.6442,5.2233,5.3633,281118.0,1507720.1694
2023-02-13,5.3967,5.6588,5.3558,5.585,130818.0,730618.53
2023-02-14,5.4817,6.065,5.422,6.0407,380130.0,2296251.291
2023-02-15,5.88,5.9713,5.7017,5.9317,237450.0,1408482.165
2023-02-16,5.7717,5.855,5.6333,5.6633,178290.0,1009709.757
2023-02-17,5.445,5.5117,5.2533,5.42,129432.0,701521.44
2023-02-21,5.35,5.4208,5.1233,5.1383,90648.0,465776.6184
2023-02-22,5.1083,5.2783,5.0467,5.1717,262188.0,1355957.6796
2023-02-23,6.1833,6.3175,6.0433,6.2383,1194558.0,7452011.171399999
2023-02-24,6.03,6.135,5.9567,6.1017,291912.0,1781159.4504
2023-02-27,6.2683,6.3217,6.1517,6.1658,346002.0,2133379.1316
2023-02-28,6.1283,6.2933,6.0583,6.0583,195702.0,1185621.4266
2023-03-01,6.0667,6.0667,5.7833,5.86,160230.0,938947.8
2023-03-02,5.785,6.115,5.7683,6.0983,242562.0,1479215.8446
2023-03-03,6.09,6.3067,6.0333,6.3067,164214.0,1035648.4338
2023-03-06,6.36,6.4533,6.16,6.1867,224958.0,1391747.6586
2023-03-07,6.24,6.395,6.0795,6.09,170076.0,1035762.84
2023-03-08,6.2083,6.4316,6.1733,6.43,302280.0,1943660.4
2023-03-09,6.4067,6.5317,6.1167,6.1433,273096.0,1677710.6568
2023-03-10,6.0983,6.1633,5.8661,5.925,194784.0,1154095.2
2023-03-13,5.8575,6.0367,5.69,5.9233,259932.0,1539655.2156
2023-03-14,6.1567,6.4167,6.1433,6.3529,301842.0,1917572.0418
2023-03-15,6.265,6.4483,6.0783,6.3838,271974.0,1736227.6212
2023-03-16,6.3617,6.9567,6.2967,6.9433,464814.0,3227343.0461999997
2023-03-17,7.0617,7.2933,6.9933,7.03,602484.0,4235462.5200000005
2023-03-20,7.0717,7.1167,6.79,7.0722,340746.0,2409823.8611999997
2023-03-21,7.2233,7.2767,6.9,7.185,457128.0,3284464.6799999997
2023-03-22,7.3033,7.7783,7.2233,7.3183,1177350.0,8616200.504999999
2023-03-23,7.6033,7.7383,7.4083,7.6233,977454.0,7451425.0782
2023-03-24,7.5567,7.6033,7.27,7.465,475068.0,3546382.62
2023-03-27,7.58,7.58,7.2525,7.3433,801684.0,5887006.1172
2023-03-28,7.29,7.3067,7.0162,7.275,347262.0,2526331.0500000003
2023-03-29,7.4117,7.55,7.3783,7.51,477012.0,3582360.12
2023-03-30,7.6,7.7233,7.5767,7.675,350520.0,2690241.0
2023-03-31,7.6017,7.86,7.5867,7.8467,449406.0,3526354.0602
2023-04-03,7.745,7.9417,7.6646,7.9283,610728.0,4842034.8024
2023-04-04,7.9367,7.9383,7.6517,7.73,285060.0,2203513.8000000003
2023-04-05,7.4817,7.585,7.2689,7.4583,892362.0,6655503.504600001
2023-04-06,7.32,7.5407,7.2708,7.5117,314832.0,2364923.5344
2023-04-10,7.4433,7.7583,7.3944,7.7583,472764.0,3667844.9412
2023-04-11,7.8258,7.8258,7.5553,7.58,117690.0,892090.2
2023-04-12,7.62,7.6879,7.2517,7.275,282858.0,2057791.95
2023-04-13,7.3817,7.6033,7.2125,7.2717,374286.0,2721695.5062
2023-04-14,7.2917,7.4233,7.1717,7.3867,437142.0,3229036.8114
2023-04-17,7.3417,7.4867,7.2717,7.4867,130188.0,974678.4996
2023-04-18,7.7333,7.9417,7.6467,7.7633,665652.0,5167656.1716
2023-04-19,7.62,7.8958,7.61,7.8617,294936.0,2318698.3512
2023-04-20,7.7617,7.8944,7.47,7.5082,430026.0,3228721.2132
2023-04-21,7.4383,7.5433,7.385,7.5167,267300.0,2009213.91
2023-04-24,7.485,7.6117,7.3508,7.4733,639594.0,4779877.8402
2023-04-25,7.4767,7.5483,7.1433,7.1433,348372.0,2488525.7076
2023-04-26,7.45,7.5933,7.3436,7.4317,385500.0,2864920.35
2023-04-27,7.6167,7.6333,7.305,7.5517,415800.0,3139996.8600000003
2023-04-28,7.5667,7.77,7.3992,7.77,295146.0,2293284.42
2023-05-01,7.8083,8.3009,7.77,8.2383,891198.0,7341956.4834
2023-05-02,8.1367,8.1967,7.8983,7.9383,542532.0,4306781.7756
2023-05-03,7.8583,8.01,7.635,7.7733,453114.0,3522191.0562
2023-05-04,7.695,7.7833,7.5617,7.6767,274578.0,2107852.9326
2023-05-05,7.765,8.1537,7.7317,8.1217,300540.0,2440895.7180000003
2023-05-08,8.12,8.3533,8.0,8.3283,325452.0,2710461.8916
2023-05-09,8.265,8.265,8.03,8.08,446664.0,3609045.12
2023-05-10,8.255,8.305,8.0317,8.2033,324750.0,2664021.6750000003
2023-05-11,8.24,8.24,7.9483,8.0817,155490.0,1256623.533
2023-05-12,8.0733,8.1367,7.8417,7.9617,204942.0,1631686.7214000002
2023-05-15,8.02,8.23,7.8967,8.23,257142.0,2116278.66
2023-05-16,8.1667,8.6217,8.1667,8.32,445662.0,3707907.84
2023-05-17,8.47,8.7504,8.4283,8.745,609576.0,5330742.119999999
2023-05-18,8.9067,9.4417,8.8133,9.3833,1216236.0,11412307.2588
2023-05-19,9.2883,9.3358,9.0507,9.1983,683088.0,6283248.3504
2023-05-22,9.0833,9.3,8.9625,9.1483,452298.0,4137757.7934
2023-05-23,9.0967,9.2083,8.9167,8.9533,514944.0,4610448.1152
2023-05-24,8.725,8.9033,8.5583,8.8983,1629024.0,14495544.2592
2023-05-25,12.6667,12.7567,11.5317,12.1183,3913482.0,47424748.9206
2023-05-26,12.0967,12.6854,11.9153,12.5667,1278330.0,16064389.611
2023-05-30,13.3917,14.0,13.0717,13.1683,2462052.0,32421039.3516
2023-05-31,12.7667,13.19,12.0133,12.0917,2042772.0,24700586.192399997
2023-06-01,12.3333,13.0733,12.28,12.9433,1793808.0,23217795.0864
2023-06-02,13.1667,13.2917,12.6084,12.7467,1171806.0,14936659.5402
2023-06-05,12.46,12.8333,12.4402,12.575,926802.0,11654535.15
2023-06-06,12.4267,12.6267,12.1517,12.3833,943320.0,11681414.556
2023-06-07,12.5317,12.795,11.7833,11.82,1640268.0,19387967.76
2023-06-08,11.9117,12.465,11.8383,12.2767,1439466.0,17671892.2422
2023-06-09,12.575,12.86,12.3333,12.4217,1427064.0,17726560.8888
2023-06-12,12.6967,12.7767,12.35,12.7633,843390.0,10764439.587
2023-06-13,13.0867,13.5433,12.89,13.5133,2472144.0,33406823.515199997
2023-06-14,13.395,14.5,13.3067,14.49,2545554.0,36885077.46
2023-06-15,14.2767,14.6083,14.0492,14.2833,2125866.0,30364381.8378
2023-06-16,14.6767,14.8267,14.295,14.3417,1666860.0,23905606.062
2023-06-20,14.4767,14.9567,14.2833,14.8883,1773744.0,26408032.7952
2023-06-21,14.6833,14.7517,13.9817,14.4617,2744910.0,39696064.947
2023-06-22,14.0533,14.65,14.0533,14.4167,1328448.0,19151836.2816
2023-06-23,14.0883,14.3326,13.9433,14.0433,1224012.0,17189167.7196
2023-06-26,14.145,14.3033,12.985,13.235,3370722.0,44611505.67
2023-06-27,13.3433,13.88,13.1633,13.8483,1926198.0,26674567.7634
2023-06-28,13.2,13.8217,13.18,13.4967,2179842.0,29420673.5214
2023-06-29,13.6783,13.6967,13.22,13.31,2619354.0,34863601.74
2023-06-30,13.7483,14.165,13.655,14.0433,1506552.0,21156961.7016
2023-07-03,14.16,14.3334,14.0,14.1283,1013166.0,14314313.1978
2023-07-05,13.9783,14.4817,13.9783,14.06,1472076.0,20697388.56
2023-07-06,13.8317,13.9763,13.565,13.9417,1617858.0,22555690.8786
2023-07-07,14.015,14.4783,13.97,14.1167,1538652.0,21720688.6884
2023-07-10,14.22,14.2667,13.7,13.975,1274622.0,17812842.45
2023-07-11,14.0833,14.2433,13.9,14.0833,1219698.0,17177372.843399998
2023-07-12,14.3583,14.8274,14.27,14.8233,2408154.0,35696789.1882
2023-07-13,15.1283,15.9183,15.1017,15.88,2739360.0,43501036.8
2023-07-14,16.1783,16.9033,15.4,15.5783,3436422.0,53533612.8426
2023-07-17,16.0017,16.095,15.475,16.0833,2446272.0,39344126.457600005
2023-07-18,16.2117,16.8133,15.7117,16.6183,2478654.0,41191015.7682
2023-07-19,16.6633,16.7833,16.2167,16.3783,2486688.0,40727722.0704
2023-07-20,16.0717,16.385,15.3392,15.5767,3065718.0,47753769.5706
2023-07-21,15.8167,15.8167,14.8967,14.9517,2143344.0,32046636.4848
2023-07-24,15.1683,15.3367,14.8068,15.1,1391670.0,21014217.0
2023-07-25,15.2533,15.8833,15.25,15.6267,2565414.0,40088954.9538
2023-07-26,15.82,15.82,15.085,15.505,2589456.0,40149515.28
2023-07-27,16.0067,16.4817,15.6533,15.7417,3783942.0,59565679.7814
2023-07-28,16.13,16.2983,15.985,16.1617,2206890.0,35667094.113
2023-07-31,16.17,16.34,16.0352,16.16,1985058.0,32078537.28
2023-08-01,15.9633,16.25,15.8067,16.035,1388082.0,22257894.87
2023-08-02,15.6883,15.6883,14.4433,14.8983,7050762.0,105044367.5046
2023-08-03,14.6333,15.295,14.6333,14.985,2838564.0,42535881.54
2023-08-04,15.23,15.555,14.9583,15.085,2884848.0,43517932.080000006
2023-08-07,15.3017,15.4917,15.015,15.4283,2272290.0,35057571.807000004
2023-08-08,15.1433,15.3333,14.755,15.0383,1537098.0,23115340.8534
2023-08-09,14.8683,14.8683,13.7853,13.9933,3665196.0,51288187.1868
2023-08-10,13.7917,14.4667,13.6517,13.89,3552474.0,49343863.86
2023-08-11,13.5483,13.6867,13.0233,13.1217,3678498.0,48268147.2066
2023-08-14,12.945,14.5417,12.8683,14.52,7863876.0,114183479.52
2023-08-15,14.9567,15.28,14.525,14.6233,5640000.0,82475412.0
2023-08-16,14.9283,14.9833,14.3534,14.39,5841738.0,84062609.82000001
2023-08-17,14.665,14.6983,14.1483,14.3133,2778870.0,39774799.971
2023-08-18,13.9333,14.4132,13.4684,14.29,4345608.0,62098738.31999999
2023-08-21,14.8367,16.1343,14.7417,16.0983,7276536.0,117139859.4888
2023-08-22,16.68,16.6917,15.25,15.4183,7390860.0,113954496.738
2023-08-23,15.5383,16.1983,15.196,16.1667,8895192.0,143805900.5064
2023-08-24,17.8333,17.8333,16.1683,16.1683,12132120.0,196155755.79599997
2023-08-25,16.0883,16.49,15.0633,15.555,14750262.0,229440325.41
2023-08-28,15.8,16.0558,14.9967,15.9817,6464286.0,103310279.5662
2023-08-29,15.9067,17.115,15.76,16.96,7769658.0,131773399.68
2023-08-30,17.125,17.5667,16.7983,17.2367,7660320.0,132038637.744
2023-08-31,17.2817,17.4648,17.0567,17.2683,6120252.0,105686347.6116
2023-09-01,17.4633,17.4633,16.6202,16.8183,7751010.0,130358811.483
2023-09-05,16.5933,16.9667,16.0,16.8283,3292740.0,55411216.542
2023-09-06,16.795,16.8167,15.7967,16.0483,7480500.0,120049308.15
2023-09-07,15.2033,15.6617,15.0833,15.5983,5362518.0,83646164.5194
2023-09-08,15.485,15.7867,15.115,15.2583,4854126.0,74065710.7458
2023-09-11,15.5717,15.5717,14.6367,15.0583,6259098.0,94251375.4134
2023-09-12,14.845,15.3075,14.7446,14.9167,3967944.0,59188630.264800005
2023-09-13,14.82,15.43,14.735,15.21,4376454.0,66565865.34
2023-09-14,15.4167,15.4458,15.04,15.265,5313180.0,81105692.7
2023-09-15,15.1067,15.2417,14.3567,14.4033,6491118.0,93493519.8894
2023-09-18,13.83,14.5667,13.61,14.4367,3111966.0,44926519.5522
2023-09-19,14.3383,14.4233,13.9517,14.2117,3250266.0,46191805.3122
2023-09-20,14.2417,14.3917,13.565,13.5667,6337896.0,85984333.6632
2023-09-21,13.2467,13.4917,12.9533,12.9667,5292090.0,68620943.403
2023-09-22,13.2583,13.4833,13.0738,13.2617,2965110.0,39322399.287
2023-09-25,13.255,13.6878,13.0247,13.545,2551080.0,34554378.6
2023-09-26,13.4367,13.8167,13.2623,13.39,2264946.0,30327626.94
2023-09-27,13.5683,13.8333,13.2667,13.65,2931588.0,40016176.2
2023-09-28,13.645,14.1083,13.48,13.935,3397212.0,47340149.22
2023-09-29,14.3017,14.4467,14.0435,14.1417,2031114.0,28723404.8538
2023-10-02,14.2483,14.95,14.2483,14.765,2552154.0,37682553.81
2023-10-03,14.8317,14.9167,14.0,14.1383,2908332.0,41118870.3156
2023-10-04,14.2083,14.4267,14.0167,14.3583,2302308.0,33057228.9564
2023-10-05,14.3917,14.7917,14.2867,14.6833,3104526.0,45584686.6158
2023-10-06,14.4333,15.2182,14.36,15.2083,3288384.0,50010730.3872
2023-10-09,14.75,15.1267,14.5105,14.955,3493476.0,52244933.58
2023-10-10,14.975,15.4467,14.865,15.21,2390418.0,36358257.78
2023-10-11,15.4133,15.74,15.3517,15.7167,2964036.0,46584864.6012
2023-10-12,15.7,16.1049,15.4667,15.7667,3764058.0,59346773.2686
2023-10-13,15.7733,15.8333,14.9467,15.035,2556636.0,38439022.26
2023-10-16,14.8133,15.39,14.775,15.3233,3137184.0,48072011.5872
2023-10-17,14.29,14.665,13.5417,14.2683,7163940.0,102217245.102
2023-10-18,13.5717,13.905,13.2358,13.3983,5292720.0,70913450.376
2023-10-19,13.7017,13.91,13.25,13.3467,6205848.0,82827591.5016
2023-10-20,13.23,13.5214,12.86,12.9933,3429006.0,44554103.6598
2023-10-23,12.92,13.8717,12.795,13.7567,3680232.0,50627847.5544
2023-10-24,13.795,14.0935,13.6233,14.0833,2969976.0,41827063.0008
2023-10-25,13.96,14.0467,13.0575,13.1517,3301062.0,43414577.1054
2023-10-26,13.2117,13.3817,12.275,12.44,5399616.0,67171223.03999999
2023-10-27,12.8,12.8733,12.32,12.55,3175020.0,39846501.0
2023-10-30,12.7967,13.1233,12.555,12.85,3006018.0,38627331.3
2023-10-31,12.515,12.6917,11.9433,12.655,5336544.0,67533964.32
2023-11-01,12.6767,13.415,12.6767,13.39,3148068.0,42152630.52
