timestamps,open,high,low,close,volume,amount
2021-05-28,39.405,39.7703,39.355,39.45,1508590.0,59513875.50000001
2021-06-01,40.1,40.1,39.495,39.595,1746212.0,69141264.14
2021-06-02,39.425,39.595,39.37,39.425,831760.0,32792137.999999996
2021-06-03,39.405,39.84,39.355,39.84,896328.0,35709707.52
2021-06-04,40.075,40.6291,39.92,40.475,1830932.0,74106972.7
2021-06-07,40.715,40.955,40.56,40.6,5147586.0,208991991.6
2021-06-08,41.205,41.225,40.87,41.14,2326656.0,95718627.84
2021-06-09,41.555,41.79,41.55,41.745,2900720.0,121090556.4
2021-06-10,41.875,42.47,41.82,42.38,2358276.0,99943736.88
2021-06-11,42.13,42.245,41.93,42.225,1622658.0,68516734.05
2021-06-14,42.02,42.22,42.005,42.215,1752658.0,73988457.47
2021-06-15,42.295,42.365,42.025,42.285,1275328.0,53927244.48
2021-06-16,42.2,42.405,41.705,41.815,2313430.0,96736075.45
2021-06-17,41.075,41.45,41.055,41.385,2030252.0,84021979.02
2021-06-18,41.105,41.245,40.9725,41.14,1827368.0,75177919.52
2021-06-21,41.11,41.49,41.05,41.325,1419316.0,58653233.7
2021-06-22,41.165,41.275,41.02,41.08,1648750.0,67730650.0
2021-06-23,41.285,41.285,40.825,40.825,1189660.0,48567869.5
2021-06-24,41.145,41.445,41.0734,41.1,901760.0,37062336.0
2021-06-25,41.18,41.44,41.055,41.4,1595160.0,66039624.0
2021-06-28,41.48,41.795,41.41,41.63,1170056.0,48709431.28
2021-06-29,41.93,42.025,41.7167,41.9,1355632.0,56800980.8
2021-06-30,41.935,42.295,41.785,41.885,1530404.0,64100971.54
2021-07-01,42.095,42.3,41.97,42.21,1353564.0,57133936.44
2021-07-02,41.955,42.405,41.93,42.405,949450.0,40261427.25
2021-07-06,42.625,42.6375,42.275,42.525,1570182.0,66771989.55
2021-07-07,42.905,43.15,42.715,43.13,1405460.0,60617489.8
2021-07-08,43.395,43.56,43.055,43.55,1995540.0,86905767.0
2021-07-09,42.89,43.61,42.865,43.27,2115544.0,91539588.88
2021-07-12,43.405,43.58,43.225,43.3,1117966.0,48407927.8
2021-07-13,43.1775,43.475,43.165,43.33,829220.0,35930102.6
