timestamps,open,high,low,close,volume,amount
2021-10-20,13.98,14.08,11.73,12.8,1220376.0,15620812.8
2021-10-21,13.2,13.2,12.635,12.78,714979.0,9137431.62
2021-10-22,12.665,12.93,12.1,12.18,594353.0,7239219.54
2021-10-25,12.52,12.67,12.2,12.23,593738.0,7261415.74
2021-10-26,12.2,12.3,11.9,11.99,530613.0,6362049.87
2021-10-27,11.93,12.1,11.9,12.01,293723.0,3527613.23
2021-10-28,12.01,12.195,11.9,12.01,398571.0,4786837.71
2021-10-29,12.04,12.13,11.9548,12.08,540074.0,6524093.92
2021-11-01,12.17,13.29,12.12,13.0,2093746.0,27218698.0
2021-11-02,13.4,16.0,13.4,14.0,2709320.0,37930480.0
2021-11-03,14.56,14.6,14.0,14.53,1123352.0,16322304.56
2021-11-04,14.8,15.2,14.7,15.02,1206506.0,18121720.12
2021-11-05,15.55,15.59,14.8,15.01,816997.0,12263124.97
2021-11-08,15.05,15.23,14.91,15.05,1101789.0,16581924.45
2021-11-09,15.54,16.0996,15.31,15.71,1672583.0,26276278.93
2021-11-10,15.0,17.8,14.1,16.51,9327458.0,153996331.58
2021-11-11,17.02,17.9,16.2,17.6,2902384.0,51081958.400000006
2021-11-12,18.4,19.08,18.17,18.56,2480321.0,46034757.76
2021-11-15,19.57,22.19,19.14,20.16,3984503.0,80327580.48
2021-11-16,20.16,20.35,18.1,19.76,2915695.0,57614133.2
2021-11-17,19.63,20.07,18.05,18.7,2125306.0,39743222.2
2021-11-18,18.7,19.18,16.91,17.03,2224396.0,37881463.88
2021-11-19,17.09,17.51,15.58,16.01,2262056.0,36215516.56
2021-11-22,16.99,19.56,16.86,18.04,3522380.0,63543735.2
2021-11-23,19.28,19.5,16.88,17.96,2120526.0,38084646.96
2021-11-24,17.86,18.65,17.6801,17.83,1247267.0,22238770.61
2021-11-26,17.3,18.55,17.2,18.1,1082908.0,19600634.8
2021-11-29,18.9703,19.39,18.22,18.28,1837738.0,33593850.64
2021-11-30,18.3071,19.75,18.3071,19.61,4489024.0,88029760.64
2021-12-01,20.1,20.1,18.9,19.0,1795509.0,34114671.0
2021-12-02,19.2,19.24,18.0,18.52,1548170.0,28672108.4
2021-12-03,18.75,19.18,16.52,17.88,2193947.0,39227772.36
2021-12-06,16.9447,17.9,16.5,17.45,1857536.0,32414003.2
2021-12-07,17.65,18.99,17.3,18.88,2476794.0,46761870.72
2021-12-08,19.215,19.215,17.16,17.73,3426510.0,60752022.3
2021-12-09,17.79,18.22,16.8,16.98,1499034.0,25453597.32
2021-12-10,17.11,17.56,16.83,17.34,946360.0,16409882.4
2021-12-13,17.34,17.9,16.9,17.1,910124.0,15563120.4
2021-12-14,16.8965,17.0,15.4,15.94,2138345.0,34085219.3
