timestamps,open,high,low,close,volume,amount
2021-05-28,40.4,40.525,39.84,40.04,5287188.0,211699007.52
2021-06-01,40.48,40.79,39.56,39.91,3615820.0,144307376.2
2021-06-02,39.8,39.84,39.23,39.39,3819264.0,150440808.96
2021-06-03,38.685,38.97,37.68,37.74,5372534.0,202759433.16
2021-06-04,38.17,38.515,37.96,38.21,5550120.0,212070085.2
2021-06-07,38.16,38.2,37.635,37.97,3493633.0,132653245.01
2021-06-08,38.34,38.49,37.05,37.59,3972365.0,149321200.35000002
2021-06-09,37.8,37.84,37.21,37.24,4355127.0,162184929.48000002
2021-06-10,37.28,38.255,37.215,37.77,6965694.0,263094262.38000005
2021-06-11,38.11,38.28,37.495,37.78,4232072.0,159887680.16
2021-06-14,37.86,38.58,37.47,38.32,8941891.0,342653263.12
2021-06-15,38.05,38.52,37.4,37.44,5318397.0,199120783.68
2021-06-16,37.56,37.92,36.885,37.29,4940481.0,184230536.49
2021-06-17,37.16,37.545,36.16,37.0,4238768.0,156834416.0
2021-06-18,36.35,36.47,35.17,35.78,8732060.0,312433106.8
2021-06-21,35.92,36.74,35.745,36.49,5839963.0,213100249.87
2021-06-22,36.43,36.91,35.97,36.84,5144309.0,189516343.56000003
2021-06-23,36.81,37.33,36.7,36.9,4975627.0,183600636.3
2021-06-24,37.14,37.835,37.14,37.76,3463005.0,130763068.8
2021-06-25,38.0,38.2,37.18,37.51,8988114.0,337144156.14
2021-06-28,37.86,38.76,37.6316,38.66,3916477.0,151411000.82
2021-06-29,38.65,38.96,38.44,38.76,3879763.0,150379613.88
2021-06-30,38.7,38.7426,37.95,38.28,4814225.0,184288533.0
2021-07-01,38.4,38.66,37.765,37.91,3678578.0,139454891.98
2021-07-02,38.27,38.46,37.96,38.4,3410072.0,130946764.8
2021-07-06,38.42,38.655,37.65,38.23,4612823.0,176348223.29
2021-07-07,38.56,38.56,36.97,37.07,3655537.0,135510756.59
2021-07-08,35.93,37.07,35.59,36.72,4988160.0,183165235.2
2021-07-09,37.11,37.855,36.56,37.75,2892447.0,109189874.25
2021-07-12,37.89,38.46,37.66,38.44,4250235.0,163379033.39999998
2021-07-13,38.31,38.3599,37.85,37.92,2840971.0,107729620.32
2021-07-14,38.42,39.1,37.6,37.66,3711669.0,139781454.54
2021-07-15,37.355,37.47,35.665,36.3,7195401.0,261193056.3
2021-07-16,36.79,36.79,35.055,35.15,5537717.0,194650752.55
2021-07-19,34.56,35.0499,34.01,34.79,5578112.0,194062516.48
2021-07-20,34.88,35.935,34.37,35.51,7289047.0,258834058.97
2021-07-21,35.92,37.035,35.8628,36.87,7055793.0,260147087.91
2021-07-22,36.39,36.59,35.77,35.87,3397249.0,121859321.63
2021-07-23,36.3,36.45,35.555,36.35,3666674.0,133283599.9
2021-07-26,36.0,36.755,35.99,36.69,3783054.0,138800251.26
2021-07-27,36.31,36.46,34.81,35.82,4434377.0,158839384.14000002
2021-07-28,36.08,37.37,35.97,37.06,5288184.0,195980099.04
2021-07-29,37.47,38.89,37.41,38.61,7263047.0,280426244.67
2021-07-30,38.0,39.47,38.0,39.06,7539990.0,294512009.40000004
2021-08-02,42.9347,45.179,42.29,43.64,17480179.0,762835011.5600001
2021-08-03,43.87,45.42,43.65,45.38,13185550.0,598360259.0
2021-08-04,45.25,46.29,45.25,45.67,7843404.0,358208260.68
2021-08-05,45.82,46.01,44.345,44.82,10222181.0,458158152.42
2021-08-06,45.23,45.6,44.49,45.28,6067452.0,274734226.56
2021-08-09,45.34,45.58,44.57,45.41,4751075.0,215746315.74999997
2021-08-10,45.42,45.5,44.1336,44.39,5634027.0,250094458.53
2021-08-11,44.31,44.84,43.86,44.79,3936850.0,176331511.5
2021-08-12,44.5,44.5,43.23,43.4,7309221.0,317220191.4
2021-08-13,43.26,43.53,42.86,43.45,6034407.0,262194984.15
2021-08-16,43.2,43.48,42.63,43.41,4012380.0,174177415.79999998
2021-08-17,42.98,42.98,41.35,41.98,5589317.0,234639527.66
2021-08-18,41.69,42.93,41.405,41.75,6442326.0,268967110.5
2021-08-19,41.25,41.8,40.85,40.98,7146900.0,292879962.0
2021-08-20,41.08,42.015,41.08,41.5,5450655.0,226202182.5
2021-08-23,42.16,42.87,41.76,42.43,4309507.0,182852382.01
2021-08-24,42.74,43.95,42.7,43.6,5570087.0,242855793.2
2021-08-25,43.71,44.18,43.362,43.51,5358233.0,233136717.83
