timestamps,open,high,low,close,volume,amount
2021-05-28,8.61,9.2302,8.53,8.9,598689.0,5328332.100000001
2021-06-01,9.02,9.2096,8.15,8.65,567097.0,4905389.05
2021-06-02,8.68,8.86,8.3,8.73,224772.0,1962259.56
2021-06-03,8.63,9.5,8.27,9.4,322530.0,3031782.0
2021-06-04,9.4,9.5,8.9101,9.05,189925.0,1718821.2500000002
2021-06-07,9.21,9.4,8.8,9.05,240298.0,2174696.9000000004
2021-06-08,9.2,9.36,8.84,8.95,454786.0,4070334.7
2021-06-09,7.7723,8.91,7.57,8.3,5669070.0,47053281.00000001
2021-06-10,8.1306,8.49,7.8101,8.05,1354501.0,10903733.05
2021-06-11,8.16,8.34,7.95,8.18,886971.0,7255422.779999999
2021-06-14,8.15,8.541,8.04,8.39,596313.0,5003066.07
2021-06-15,8.38,8.4918,7.66,7.78,644442.0,5013758.76
2021-06-16,7.75,7.91,7.41,7.77,571443.0,4440112.109999999
2021-06-17,7.72,8.1802,7.69,8.08,634873.0,5129773.84
2021-06-18,8.05,8.3,7.83,7.97,521941.0,4159869.77
2021-06-21,8.25,8.25,7.62,7.7,467783.0,3601929.1
2021-06-22,8.4541,8.4541,7.67,8.05,803727.0,6470002.350000001
2021-06-23,8.11,8.11,7.72,7.92,421139.0,3335420.88
2021-06-24,8.0,8.44,7.85,8.39,693621.0,5819480.19
2021-06-25,8.37,8.4299,7.9,8.03,454060.0,3646101.8
2021-06-28,8.04,8.205,7.7533,7.97,433815.0,3457505.55
2021-06-29,8.0,8.15,7.65,7.9,486467.0,3843089.3
2021-06-30,7.86,8.12,7.73,7.94,253392.0,2011932.48
2021-07-01,7.86,7.94,7.71,7.88,261548.0,2060998.24
2021-07-02,7.92,7.95,7.18,7.4,568339.0,4205708.600000001
2021-07-06,7.45,7.46,7.15,7.18,227632.0,1634397.76
2021-07-07,7.16,7.28,6.66,7.01,649579.0,4553548.79
2021-07-08,6.6669,7.3289,6.6669,7.19,535985.0,3853732.15
2021-07-09,7.31,7.77,7.1,7.43,441580.0,3280939.4
2021-07-12,7.36,7.64,7.04,7.49,320326.0,2399241.74
2021-07-13,7.325,7.6791,7.3,7.32,142586.0,1043729.52
2021-07-14,7.54,8.1556,7.33,7.83,846941.0,6631548.03
2021-07-15,7.91,7.98,7.31,7.48,619235.0,4631877.8
2021-07-16,7.59,7.59,7.16,7.55,331103.0,2499827.65
2021-07-19,7.39,7.84,7.1,7.71,379941.0,2929345.11
2021-07-20,7.82,8.51,7.63,8.19,517782.0,4240634.58
2021-07-21,8.15,8.3599,7.94,8.08,387916.0,3134361.28
2021-07-22,8.02,8.1691,7.79,8.09,313392.0,2535341.28
2021-07-23,8.1,8.19,7.69,8.05,255852.0,2059608.6
2021-07-26,8.11,8.3,7.85,7.93,259115.0,2054781.95
2021-07-27,7.94,8.0,7.6001,7.98,190419.0,1519543.62
2021-07-28,7.95,8.08,7.65,7.99,322844.0,2579523.56
2021-07-29,8.05,8.18,7.8908,8.04,135673.0,1090810.92
2021-07-30,8.0,8.07,7.9,7.93,92229.0,731375.97
2021-08-02,8.02,8.07,7.835,7.96,86693.0,690076.28
2021-08-03,7.98,8.0763,7.67,8.0,158505.0,1268040.0
2021-08-04,8.0,8.07,7.701,7.8,122935.0,958893.0
2021-08-05,7.72,7.85,7.5406,7.78,302715.0,2355122.7
2021-08-06,8.01,8.4,7.875,8.11,609450.0,4942639.5
2021-08-09,8.41,8.82,8.05,8.68,485295.0,4212360.6
2021-08-10,8.71,8.71,7.8442,8.02,535744.0,4296666.88
2021-08-11,7.96,8.08,7.72,7.99,279526.0,2233412.74
2021-08-12,7.975,8.06,7.7,7.88,220243.0,1735514.84
2021-08-13,7.82,7.8599,7.5,7.62,313127.0,2386027.74
2021-08-16,7.31,7.4,6.47,6.59,1150551.0,7582131.09
2021-08-17,6.59,6.7547,6.29,6.52,575088.0,3749573.76
2021-08-18,6.49,6.49,6.06,6.3,657471.0,4142067.3
2021-08-19,6.13,6.39,6.09,6.14,356929.0,2191544.06
2021-08-20,6.1,6.28,5.86,6.25,546902.0,3418137.5
2021-08-23,6.24,6.86,6.24,6.79,359716.0,2442471.64
2021-08-24,6.78,6.89,6.61,6.75,302718.0,2043346.5
2021-08-25,6.79,6.84,6.5,6.53,223848.0,1461727.44
2021-08-26,6.5,6.56,6.12,6.39,395112.0,2524765.6799999997
2021-08-27,6.44,7.02,6.39,6.95,520111.0,3614771.45
2021-08-30,7.15,7.29,6.71,7.07,452078.0,3196191.46
2021-08-31,7.1,7.19,6.95,7.15,248669.0,1777983.35
2021-09-01,7.19,7.23,6.855,7.08,213919.0,1514546.52
2021-09-02,7.14,7.1439,6.92,6.98,191359.0,1335685.82
2021-09-03,6.95,7.74,6.95,7.71,460204.0,3548172.84
2021-09-07,7.77,8.47,7.6764,8.03,770198.0,6184689.9399999995
2021-09-08,7.94,8.39,7.56,7.63,421796.0,3218303.48
2021-09-09,7.57,7.99,7.43,7.69,309970.0,2383669.3000000003
2021-09-10,7.68,7.7912,7.37,7.41,181787.0,1347041.67
2021-09-13,7.4,7.7,7.0,7.5,447084.0,3353130.0
2021-09-14,7.57,7.6,7.12,7.21,369656.0,2665219.76
2021-09-15,7.14,7.48,7.12,7.35,224832.0,1652515.2
2021-09-16,7.41,8.5499,7.41,8.26,1420204.0,11730885.04
2021-09-17,8.22,8.4,7.78,7.8,942176.0,7348972.8
2021-09-20,7.44,7.78,7.2501,7.35,460062.0,3381455.6999999997
2021-09-21,7.54,7.7903,7.35,7.41,280515.0,2078616.15
2021-09-22,7.43,7.6999,7.34,7.59,357615.0,2714297.85
2021-09-23,7.69,7.75,7.42,7.64,192038.0,1467170.3199999998
2021-09-24,7.6,8.25,7.578,8.02,297525.0,2386150.5
2021-09-27,8.07,8.43,7.92,8.19,909063.0,7445225.97
