timestamps,open,high,low,close,volume,amount
2021-05-28,26.11,26.251,25.7834,25.96,10260581.0,266364682.76
2021-06-01,26.67,28.49,26.66,28.47,28029849.0,798009801.03
2021-06-02,28.68,29.88,28.02,29.23,28419580.0,830704323.4
2021-06-03,29.21,30.05,28.735,29.28,19672639.0,576014869.9200001
2021-06-04,29.4395,29.905,28.61,29.14,16328418.0,475810100.52
2021-06-07,29.32,29.79,28.98,29.16,10199449.0,297415932.84
2021-06-08,29.09,29.49,28.48,29.19,12266672.0,358064155.68
2021-06-09,29.49,29.69,28.34,28.35,15478129.0,438804957.15
2021-06-10,29.05,29.285,27.915,28.33,14373784.0,407209300.72
2021-06-11,28.52,28.96,28.21,28.33,10993286.0,311439792.38
2021-06-14,28.66,29.38,27.9828,28.28,14025962.0,396654205.36
2021-06-15,28.52,29.275,28.35,29.2,13197424.0,385364780.8
2021-06-16,28.92,30.7,28.49,30.54,42892569.0,1309939057.26
2021-06-17,30.22,30.72,27.82,28.22,39392370.0,1111652681.4
2021-06-18,28.165,28.84,27.85,27.99,25723979.0,720014172.2099999
2021-06-21,28.16,29.59,28.16,29.5,18825209.0,555343665.5
2021-06-22,29.44,30.07,29.0,30.01,15276117.0,458436271.17
2021-06-23,30.66,31.85,30.56,30.96,24315583.0,752810449.6800001
2021-06-24,30.66,31.78,30.4099,31.74,15380149.0,488165929.26
2021-06-25,31.9,33.01,31.55,32.91,25336686.0,833830336.2599999
2021-06-28,32.61,32.65,31.04,31.24,17661992.0,551760630.0799999
2021-06-29,31.5,32.37,31.1,31.3,15892617.0,497438912.1
2021-06-30,31.67,31.895,30.99,31.27,12996867.0,406412031.09
2021-07-01,32.85,33.5,32.2,32.86,23404961.0,769087018.46
2021-07-02,32.42,32.86,32.03,32.58,10831232.0,352881538.56
2021-07-06,32.51,32.57,30.35,30.51,21592342.0,658782354.4200001
2021-07-07,30.8,31.19,29.01,29.48,20447421.0,602789971.08
2021-07-08,28.5,29.92,28.5,29.66,16651315.0,493878002.9
2021-07-09,30.22,30.4,29.57,30.24,13315784.0,402669308.16
2021-07-12,29.63,30.31,29.3062,29.99,11353402.0,340488525.97999996
2021-07-13,29.83,30.27,29.495,30.08,11136292.0,334979663.35999995
2021-07-14,30.21,30.63,27.635,27.83,22982848.0,639612659.8399999
2021-07-15,27.69,28.26,26.93,27.23,18617999.0,506968112.77
2021-07-16,27.5,27.59,25.87,25.94,18689705.0,484810947.7000001
2021-07-19,24.39,25.11,23.9,24.82,28908976.0,717520784.32
2021-07-20,24.8,25.8,24.52,25.37,17257397.0,437820161.8900001
2021-07-21,25.87,27.55,25.87,27.18,19949367.0,542223795.06
2021-07-22,27.14,27.345,26.44,27.01,12631884.0,341187186.84000003
2021-07-23,27.04,27.07,26.2475,26.58,9659748.0,256756101.83999997
2021-07-26,26.69,27.6,26.69,27.12,11207374.0,303943982.88
2021-07-27,26.75,26.84,25.89,26.26,12989761.0,341111123.86
2021-07-28,26.55,27.22,26.06,26.9,11886470.0,319746043.0
2021-07-29,27.3,27.415,26.675,26.78,11718236.0,313814360.08000004
2021-07-30,26.51,26.81,25.915,26.1,15123264.0,394717190.4
2021-08-02,26.1,27.055,25.72,25.79,13879968.0,357964374.71999997
2021-08-03,25.49,26.5,25.22,26.43,15215289.0,402140088.27
2021-08-04,25.98,26.89,25.44,25.69,20780168.0,533842515.92
2021-08-05,25.94,26.825,25.88,26.19,12976216.0,339847097.04
2021-08-06,26.68,27.08,26.23,26.39,12862475.0,339440715.25
2021-08-09,25.62,26.14,25.34,25.61,12029116.0,308065660.76
2021-08-10,25.705,26.42,25.65,26.26,13269637.0,348460667.62
2021-08-11,26.33,26.84,26.0,26.84,15265573.0,409727979.32
2021-08-12,26.77,26.975,26.28,26.87,9253552.0,248642942.24
2021-08-13,26.755,26.8699,25.745,25.79,12000881.0,309502720.99
2021-08-16,25.2,25.26,24.415,24.79,16371446.0,405848146.34
2021-08-17,24.59,24.89,23.915,24.08,15987819.0,384986681.52
2021-08-18,24.29,24.58,23.43,23.45,15233183.0,357218141.34999996
2021-08-19,22.88,23.21,21.83,22.09,26408141.0,583355834.6899999
2021-08-20,21.79,22.11,21.62,21.95,18519024.0,406492576.8
2021-08-23,22.875,23.55,22.8,23.47,17577571.0,412545591.37
2021-08-24,23.82,24.7399,23.74,24.38,15360034.0,374477628.92
2021-08-25,24.3,24.865,23.91,24.63,10024451.0,246902228.13
2021-08-26,24.3,24.72,23.91,24.0,11491018.0,275784432.0
2021-08-27,24.45,25.79,24.45,25.66,17295256.0,443796268.96
2021-08-30,25.83,26.19,25.22,25.25,10804446.0,272812261.5
2021-08-31,25.51,26.14,25.15,25.69,17367683.0,446175776.27
2021-09-01,25.6,25.86,24.855,25.08,14779525.0,370670487.0
2021-09-02,25.56,26.93,25.495,26.58,21151865.0,562216571.6999999
