timestamps,open,high,low,close,volume,amount
2021-05-28,120.9,127.6,119.35,124.88,8840366.0,1103984906.08
2021-06-01,132.545,143.11,132.37,139.34,20848695.0,2905057161.3
2021-06-02,137.63,140.11,136.2,139.9,6041489.0,845204311.1
2021-06-03,135.29,136.7398,131.51,133.45,7189353.0,959419157.85
2021-06-04,134.7,136.37,131.65,132.17,4380806.0,579011129.02
2021-06-07,130.01,131.69,126.81,127.93,6099474.0,780305708.82
2021-06-08,128.205,128.76,124.94,127.0,5268654.0,669119058.0
2021-06-09,128.08,130.93,125.19,125.52,5134634.0,644499259.68
2021-06-10,125.52,126.205,121.94,123.2,5806795.0,715397144.0
2021-06-11,123.0035,123.6,120.96,121.97,4581377.0,558790552.6899999
2021-06-14,122.01,122.15,119.15,121.61,4547814.0,553059660.54
2021-06-15,121.87,125.7,121.64,121.91,4128525.0,503308482.75
2021-06-16,120.93,123.93,120.4,122.82,3492833.0,428989749.06
2021-06-17,122.82,125.91,121.6,125.79,5061290.0,636659669.1
2021-06-18,125.3,128.67,124.26,125.03,13217835.0,1652625910.05
2021-06-21,124.43,124.71,119.25,120.78,5513532.0,665924394.96
2021-06-22,120.0,122.3599,116.97,118.3,6294770.0,744671291.0
2021-06-23,120.25,122.67,118.36,121.61,7042523.0,856441222.03
2021-06-24,122.8,129.2,122.0,127.72,8397125.0,1072480805.0
2021-06-25,129.985,130.47,125.06,127.6,5738849.0,732277132.4
2021-06-28,127.32,130.45,124.05,124.91,7866009.0,982543184.19
2021-06-29,124.7327,133.81,122.56,133.55,9966907.0,1331080429.85
2021-06-30,132.14,132.5,126.92,127.02,7401065.0,940083276.3
2021-07-01,128.02,128.6,121.61,121.84,6320443.0,770082775.12
2021-07-02,121.31,123.31,118.03,119.2,6586017.0,785053226.4
2021-07-06,115.44,115.44,111.25,113.1,12071182.0,1365250684.2
2021-07-07,113.9313,114.12,109.02,110.29,7894632.0,870698963.2800001
2021-07-08,103.72,109.9,103.3,108.77,7344054.0,798812753.5799999
2021-07-09,110.55,111.58,107.17,111.07,6203979.0,689075947.53
2021-07-12,110.52,111.24,108.5,110.52,3955984.0,437215351.68
2021-07-13,111.69,114.88,109.35,112.07,5587310.0,626169831.6999999
2021-07-14,109.72,109.82,105.46,108.94,7577560.0,825499386.4
2021-07-15,108.94,112.66,108.9,110.74,6195898.0,686133744.52
2021-07-16,110.75,111.5266,106.5601,107.45,7207975.0,774496913.75
2021-07-19,105.7338,106.25,102.71,104.69,10106771.0,1058077855.99
2021-07-20,104.46,104.8445,101.095,102.25,7033533.0,719178749.25
2021-07-21,102.0,105.34,101.3,104.52,5439909.0,568579288.68
2021-07-22,105.72,106.0,103.68,104.96,3569087.0,374611371.52
2021-07-23,100.23,100.58,95.97,97.31,11854592.0,1153570347.52
2021-07-26,89.74,95.33,87.35,88.71,16249427.0,1441486669.1699998
2021-07-27,84.3,87.63,77.66,79.53,27902662.0,2219098708.86
2021-07-28,86.39,92.77,85.15,91.89,21776219.0,2001016763.91
2021-07-29,95.8,96.38,89.071,92.1,10934232.0,1007042767.2
2021-07-30,89.5211,92.4399,88.84,91.61,6002308.0,549871435.88
2021-08-02,91.72,92.21,87.62,91.48,5807252.0,531247412.96
2021-08-03,89.31,90.7843,87.44,88.91,5399086.0,480032736.26
2021-08-04,90.0,93.19,89.0,89.28,8212622.0,733222892.16
2021-08-05,88.65,90.34,86.36,88.74,4362982.0,387171022.68
2021-08-06,90.0,90.79,86.06,87.46,4860657.0,425113061.22
2021-08-09,88.4,93.81,87.58,92.71,4938086.0,457809953.05999994
2021-08-10,95.0,95.51,91.32,91.59,4303811.0,394186049.49
2021-08-11,92.8215,93.28,89.38,89.61,3486994.0,312469532.34
2021-08-12,87.93,88.29,85.3,87.42,4198719.0,367052014.98
2021-08-13,87.2671,87.29,83.68,84.38,4678274.0,394752760.12
2021-08-16,82.64,83.07,80.93,82.22,6486533.0,533322743.26
2021-08-17,79.0,82.64,77.01,79.45,9349717.0,742835015.65
2021-08-18,80.98,82.26,78.29,80.96,5596533.0,453095311.67999995
2021-08-19,76.08,76.84,74.12,74.69,10034339.0,749464779.91
2021-08-20,77.69,81.4,76.3,77.29,9950775.0,769095399.7500001
2021-08-23,79.0,81.68,76.38,81.08,10744201.0,871139817.0799999
2021-08-24,90.94,99.77,90.93,99.12,42178179.0,4180701102.48
2021-08-25,97.47,98.93,95.85,97.84,10592115.0,1036332531.6
2021-08-26,96.975,99.0,94.6,95.86,7467142.0,715800232.12
2021-08-27,96.5,97.25,93.01,94.63,6822643.0,645626707.0899999
2021-08-30,94.3,95.86,90.17,94.98,7790197.0,739912911.0600001
2021-08-31,99.1,101.17,95.28,100.02,14928660.0,1493164573.2
2021-09-01,100.3,109.79,100.2,106.83,15615770.0,1668232709.1
2021-09-02,103.77,105.45,100.0,102.76,11398160.0,1171274921.6
2021-09-03,100.53,103.81,100.46,102.23,6570936.0,671746787.28
2021-09-07,106.29,109.0,104.23,107.74,17941495.0,1933016671.3
2021-09-08,107.2,108.11,102.53,104.72,7374211.0,772227375.92
2021-09-09,101.9,105.36,101.26,104.28,4966103.0,517865220.84
2021-09-10,106.46,107.61,103.095,103.75,4806586.0,498683297.5
2021-09-13,102.1512,104.86,99.1,104.16,8323993.0,867027110.88
2021-09-14,102.15,103.6,100.9701,101.78,4120585.0,419393141.3
2021-09-15,99.7,99.83,96.78,99.3,9320895.0,925564873.5
2021-09-16,97.55,100.65,96.645,99.89,4958822.0,495336729.58
2021-09-17,101.66,102.0,99.04,100.73,6701612.0,675053376.76
2021-09-20,96.89,97.65,91.61,94.18,8953083.0,843201356.94
2021-09-21,94.94,96.24,93.89,95.1,4317341.0,410579129.1
2021-09-22,95.24,99.68,95.2,97.6,4950350.0,483154160.0
2021-09-23,96.86,98.68,95.28,98.28,3708876.0,364508333.28
2021-09-24,96.22,96.3,93.55,94.55,4619520.0,436775616.0
2021-09-27,92.86,96.55,91.0,96.32,6246201.0,601634080.3199999
2021-09-28,93.08,93.8399,88.1,89.0,11708283.0,1042037187.0
2021-09-29,89.12,91.86,87.55,89.06,7138572.0,635761222.32
2021-09-30,89.06,91.64,88.51,90.67,6352687.0,575998130.29
2021-10-01,90.54,91.53,87.58,88.15,4471435.0,394156995.25
2021-10-04,85.876,86.27,83.75,85.08,7907996.0,672812299.68
2021-10-05,85.5,88.65,85.5,87.42,5037004.0,440334889.68
2021-10-06,85.27,90.3,84.82,89.32,4397836.0,392814711.52
2021-10-07,93.995,95.87,92.17,94.95,9282723.0,881394548.85
2021-10-08,95.73,97.0,94.32,96.22,7513672.0,722965519.84
2021-10-11,99.82,100.29,94.83,94.83,6910339.0,655307447.37
2021-10-12,94.5,97.11,93.24,93.52,4443684.0,415573327.68
2021-10-13,95.82,99.19,95.19,97.58,5332600.0,520355108.0
2021-10-14,96.99,97.9999,92.31,94.03,7433369.0,698959687.07
2021-10-15,94.38,95.92,92.54,94.01,5988482.0,562977192.82
2021-10-18,93.25,97.5,92.85,97.0,4444757.0,431141429.0
2021-10-19,99.87,100.39,96.21,97.52,6886127.0,671535105.04
2021-10-20,100.29,102.51,97.34,99.4,6847865.0,680677781.0
2021-10-21,98.74,99.59,96.345,97.15,6101526.0,592763250.9
2021-10-22,99.85,104.3,98.62,99.05,10357227.0,1025883334.35
2021-10-25,99.55,102.02,98.5,100.64,4643065.0,467278061.6
2021-10-26,101.6,101.64,92.8,93.19,6410572.0,597401204.68
2021-10-27,93.22,95.23,91.45,92.29,4745336.0,437947059.44000006
2021-10-28,90.02,92.61,88.946,92.45,4898621.0,452877511.45
2021-10-29,91.1,91.98,88.5,88.92,4527730.0,402605751.6
2021-11-01,89.05,93.72,88.75,93.48,5392762.0,504115391.7600001
2021-11-02,91.07,92.78,90.82,92.28,3136369.0,289424131.32
2021-11-03,93.03,93.15,91.37,92.39,2671304.0,246801776.56
2021-11-04,94.01,94.29,86.03,86.67,7127209.0,617715204.03
2021-11-05,86.97,86.97,83.06,83.67,5510360.0,461051821.2
2021-11-08,84.06,84.6499,83.16,83.24,4780111.0,397896439.64
2021-11-09,83.1476,85.1,82.1326,83.24,4494884.0,374154144.16
2021-11-10,84.34,90.64,83.6,86.51,7486848.0,647687220.48
2021-11-11,89.81,93.2,88.95,92.87,6800732.0,631583980.84
2021-11-12,91.74,95.58,91.22,95.0,6465793.0,614250335.0
2021-11-15,94.76,95.02,90.39,91.37,6164991.0,563295227.6700001
2021-11-16,93.33,95.1,92.32,93.96,3867178.0,363360044.88
2021-11-17,93.21,93.4,89.1,89.77,4450806.0,399548854.62
2021-11-18,86.75,86.76,84.12,85.08,7267038.0,618279593.04
2021-11-19,85.69,86.45,81.37,81.87,7266599.0,594916460.13
2021-11-22,81.93,84.06,78.02,79.52,9651467.0,767484655.8399999
2021-11-23,78.95,81.79,78.2481,79.27,5969337.0,473189343.9899999
2021-11-24,79.9,82.1,79.06,81.36,6420086.0,522338196.96
2021-11-26,73.91,74.84,65.51,68.46,23275797.0,1593461062.62
2021-11-29,68.17,72.38,67.45,71.96,13258162.0,954057337.52
2021-11-30,70.015,70.74,65.9,66.5,11687086.0,777191219.0
2021-12-01,68.42,68.84,61.86,62.11,12972706.0,805734769.66
2021-12-02,60.0,61.15,57.36,59.28,12814514.0,759644389.92
2021-12-03,55.17,57.0,51.91,54.44,21941310.0,1194484916.4
2021-12-06,54.73,56.16,52.0,56.01,12952723.0,725482015.23
2021-12-07,62.18,64.19,60.805,63.03,17348321.0,1093464672.63
2021-12-08,61.0,64.7,60.0,62.43,8321721.0,519525042.03
2021-12-09,62.56,65.27,61.9,62.18,6437569.0,400288040.42
2021-12-10,63.39,64.54,62.475,63.62,10152350.0,645892507.0
2021-12-13,62.855,63.01,59.56,61.61,6695895.0,412534090.95
2021-12-14,59.5,62.63,58.86,61.62,5196239.0,320192247.18
2021-12-15,60.08,60.16,55.838,59.13,8243398.0,487432123.74
2021-12-16,59.78,60.37,56.02,57.09,7565798.0,431931407.82000005
2021-12-17,55.35,58.49,54.07,58.06,8273368.0,480351746.08
2021-12-20,56.12,56.18,54.0,54.78,7913001.0,433474194.78
2021-12-21,56.0,59.73,55.7713,59.31,6944318.0,411867500.58
2021-12-22,57.09,58.793,56.29,58.44,4413863.0,257946153.72
2021-12-23,56.7,58.33,55.06,57.71,4918204.0,283829552.84000003
2021-12-27,57.45,59.93,56.75,56.96,3464286.0,197325730.56
2021-12-28,56.66,56.7,55.11,56.04,4033674.0,226047090.96
2021-12-29,55.472,55.8,53.66,54.01,4812788.0,259938679.88
2021-12-30,53.38,60.49,52.53,59.45,8479958.0,504133503.1
2021-12-31,57.93,59.96,57.31,58.3,5673042.0,330738348.59999996
2022-01-03,58.35,58.87,55.03,56.1,6946807.0,389715872.7
2022-01-04,54.11,54.11,49.04,49.82,16363978.0,815253383.96
2022-01-05,48.98,51.88,48.05,48.53,9639011.0,467781203.83
2022-01-06,49.045,53.68,47.67,52.13,14510272.0,756420479.36
