timestamps,open,high,low,close,volume,amount
2021-05-28,147.41,148.5,147.235,147.94,4913671.0,726928487.74
2021-06-01,148.78,148.85,147.09,147.63,5530380.0,816449999.4
2021-06-02,148.2,148.53,147.23,148.22,4546892.0,673940332.24
2021-06-03,146.71,147.76,146.16,147.67,4651603.0,686902215.01
2021-06-04,148.0,148.59,147.47,147.84,4427418.0,654549477.12
2021-06-07,147.76,148.2499,146.71,147.75,4724137.0,697991241.75
2021-06-08,147.7,147.87,145.915,146.37,5997199.0,877810017.63
2021-06-09,147.25,147.59,146.02,146.1,3961976.0,578844693.6
2021-06-10,146.31,148.015,146.13,147.6,4698243.0,693460666.8
2021-06-11,148.05,148.12,146.79,147.69,4364644.0,644614272.36
2021-06-14,147.47,148.63,146.79,148.57,3831939.0,569311177.23
2021-06-15,148.9,149.17,148.075,148.58,4237333.0,629582937.1400001
2021-06-16,148.86,149.27,146.75,147.1,5492088.0,807886144.8
2021-06-17,147.25,149.0,146.91,148.52,5316467.0,789601678.84
2021-06-18,147.98,147.98,145.23,145.42,10661672.0,1550420342.2399998
2021-06-21,145.7527,146.74,145.45,146.56,4904511.0,718805132.16
2021-06-22,146.73,147.5032,146.285,146.78,3517987.0,516370131.86
2021-06-23,146.06,146.125,144.83,144.85,3901698.0,565160955.3
2021-06-24,144.86,145.94,144.61,145.67,3818927.0,556303096.0899999
2021-06-25,145.76,146.79,145.239,146.41,6387907.0,935253463.87
2021-06-28,146.76,147.5901,146.62,147.04,4282905.0,629758351.1999999
2021-06-29,147.445,147.7,146.4,146.94,3197991.0,469912797.54
2021-06-30,147.43,148.31,147.2,148.17,4943688.0,732506250.9599999
2021-07-01,148.08,149.08,147.935,148.2,3997616.0,592446691.1999999
2021-07-02,148.9,149.78,148.56,148.91,3835526.0,571148176.66
2021-07-06,149.07,149.415,147.77,149.13,4313848.0,643324152.24
2021-07-07,149.29,150.695,149.0,149.79,4224975.0,632859005.25
2021-07-08,149.42,150.67,149.19,149.86,4215959.0,631803615.74
2021-07-09,149.41,150.31,149.17,149.48,4088587.0,611161984.76
2021-07-12,149.49,149.795,148.78,149.51,4873671.0,728662551.2099999
2021-07-13,151.15,153.9116,150.75,152.96,8750828.0,1338526650.88
2021-07-14,152.89,155.14,152.8,154.54,6390323.0,987560516.42
2021-07-15,154.07,155.36,153.26,155.25,4920713.0,763940693.25
2021-07-16,155.68,156.835,155.11,155.82,5852919.0,912001838.58
2021-07-19,155.99,157.54,154.76,155.8,5750370.0,895907646.0000001
2021-07-20,156.2,157.33,155.56,155.82,5213868.0,812424911.76
2021-07-21,155.3,156.12,154.575,155.24,4906123.0,761626534.5200001
2021-07-22,155.19,155.76,153.972,155.19,3333589.0,517339676.91
2021-07-23,155.56,157.79,155.24,157.18,3588671.0,564067307.78
2021-07-26,156.79,157.47,156.03,157.07,2999894.0,471193350.58
2021-07-27,157.31,158.66,157.03,157.94,4043897.0,638693092.18
2021-07-28,157.6,157.96,155.909,156.49,3556918.0,556622097.82
2021-07-29,157.23,157.43,156.2,156.81,3055728.0,479168707.68
2021-07-30,157.37,157.6,156.62,156.95,3757332.0,589713257.4
2021-08-02,157.0,157.11,155.51,156.32,3426099.0,535567795.67999995
2021-08-03,157.0,157.15,156.31,156.67,3359870.0,526390832.9
2021-08-04,156.19,156.66,153.87,154.05,4846333.0,746577598.6500001
2021-08-05,154.98,155.19,153.87,154.31,3733574.0,576127803.94
2021-08-06,153.77,154.76,153.64,154.33,3430902.0,529491105.66
2021-08-09,154.64,154.79,153.71,154.35,2636653.0,406967390.55
2021-08-10,154.31,155.31,153.81,154.43,2670440.0,412396049.2000001
2021-08-11,154.71,156.02,154.47,155.04,3058025.0,474116196.0
2021-08-12,155.23,155.3,154.6,155.07,1958683.0,303732972.81
2021-08-13,155.1,156.67,154.9,156.52,2113883.0,330864967.16
2021-08-16,156.93,158.12,156.7301,158.05,3224020.0,509556361.00000006
2021-08-17,157.9091,158.45,157.24,157.9,3736382.0,589974717.8000001
2021-08-18,157.68,158.2,156.2,156.28,3419286.0,534366016.08
2021-08-19,155.82,159.42,155.78,158.91,4745624.0,754127109.84
