timestamps,open,high,low,close,volume,amount
2021-05-28,135.15,136.13,134.64,134.85,10719747.0,1445557882.95
2021-06-01,135.79,136.0,132.48,132.88,10197553.0,1355050842.64
2021-06-02,133.0,133.63,132.52,133.46,8346816.0,1113966063.36
2021-06-03,133.23,135.91,133.2,135.85,11365870.0,1544053439.5
2021-06-04,135.7,136.62,135.4,135.95,7005161.0,952351637.95
2021-06-07,136.36,136.84,135.675,136.42,8512042.0,1161212769.64
2021-06-08,136.68,136.75,134.75,134.84,7001714.0,944111115.76
2021-06-09,135.55,136.4384,134.74,134.79,6316937.0,851459938.2299999
2021-06-10,135.02,136.35,134.62,135.79,6598782.0,896048607.78
2021-06-11,135.75,135.87,133.9,134.86,10724039.0,1446243899.5400002
2021-06-14,134.98,135.03,133.96,134.91,6398931.0,863279781.2099999
2021-06-15,135.2,135.64,134.55,134.65,5616036.0,756199247.4
2021-06-16,135.18,135.58,132.65,132.78,9062959.0,1203379696.02
2021-06-17,132.82,134.155,132.65,133.99,7972020.0,1068170959.8
2021-06-18,133.34,133.35,131.94,132.03,16104991.0,2126341961.73
2021-06-21,132.69,133.26,132.4,133.07,8123783.0,1081031803.81
2021-06-22,133.04,134.02,132.88,133.12,6642658.0,884270632.96
2021-06-23,132.95,133.36,132.315,132.93,5914834.0,786258883.62
2021-06-24,132.95,133.305,132.7,133.02,6206400.0,825575328.0000001
2021-06-25,133.26,135.54,132.95,134.92,24635171.0,3323777271.3199997
2021-06-28,134.9,136.16,134.76,135.32,6164883.0,834231967.56
2021-06-29,135.51,135.83,133.82,134.4,5910569.0,794380473.6
2021-06-30,134.58,135.29,134.29,134.93,5884207.0,793956050.51
2021-07-01,135.43,136.14,134.92,135.24,6024270.0,814722274.8000001
2021-07-02,135.6,136.635,135.42,135.9,5647045.0,767433415.5
2021-07-06,135.52,136.3,135.36,135.98,6673416.0,907451107.68
2021-07-07,136.03,137.59,136.03,137.0,5622201.0,770241537.0
2021-07-08,136.99,137.396,135.89,136.98,7738453.0,1060013291.94
2021-07-09,137.24,137.65,136.84,137.03,6026018.0,825745246.54
2021-07-12,136.9,137.465,136.43,137.14,6968700.0,955687518.0
2021-07-13,136.39,137.57,136.39,136.97,5780042.0,791692352.74
2021-07-14,137.01,138.225,136.37,137.98,6013501.0,829742867.9799999
2021-07-15,138.01,139.26,137.7,139.16,7476274.0,1040398289.84
2021-07-16,139.3,140.78,139.11,140.51,9700264.0,1362984094.64
2021-07-19,140.32,141.87,138.81,140.44,9772790.0,1372490627.6
2021-07-20,140.44,141.98,139.64,139.69,8256828.0,1153396303.32
2021-07-21,139.95,140.2,138.99,139.2,7052378.0,981691017.6
2021-07-22,137.29,138.33,136.71,137.8,6133955.0,845258999.0000001
2021-07-23,137.48,139.98,137.08,139.79,8010937.0,1119848883.23
2021-07-26,139.62,140.82,139.2215,140.28,6039585.0,847232983.8
2021-07-27,140.15,141.62,140.0,140.85,7206988.0,1015104259.8
2021-07-28,140.67,140.67,138.71,138.76,8627600.0,1197165776.0
2021-07-29,139.76,140.18,138.73,139.48,5430499.0,757446000.52
2021-07-30,142.0,144.54,141.55,142.23,14394251.0,2047294319.73
2021-08-02,141.77,142.425,140.8,141.88,7009458.0,994501901.04
2021-08-03,141.86,144.21,141.52,143.95,8456036.0,1217246382.1999998
2021-08-04,143.04,144.09,142.35,142.43,6628299.0,944068626.57
2021-08-05,143.35,143.55,141.47,142.5,5363444.0,764290770.0
2021-08-06,143.03,143.12,141.22,141.41,6030208.0,852731713.28
2021-08-09,141.95,142.59,141.7,142.18,4743859.0,674481872.62
2021-08-10,141.91,142.51,141.66,142.27,5253709.0,747445179.4300001
2021-08-11,142.74,143.24,142.47,142.62,4205314.0,599761882.6800001
2021-08-12,143.15,143.15,142.355,142.95,4956225.0,708492363.75
2021-08-13,142.95,143.99,142.69,143.64,4888836.0,702232403.04
2021-08-16,143.67,144.69,143.375,144.64,6041066.0,873779786.2399999
2021-08-17,144.4,145.6,143.89,144.88,7577047.0,1097762569.36
2021-08-18,144.7,144.88,143.18,143.3,7161992.0,1026313453.6
2021-08-19,143.16,145.28,143.16,144.99,5787162.0,839080618.38
2021-08-20,145.25,145.98,144.78,145.09,5273873.0,765186233.57
2021-08-23,144.29,145.34,144.23,144.35,4515661.0,651835665.35
2021-08-24,144.01,144.15,142.98,143.18,4560484.0,652970099.12
2021-08-25,143.07,143.13,142.25,142.67,3861614.0,550936469.38
2021-08-26,142.56,142.71,141.47,142.42,4749426.0,676413250.92
2021-08-27,142.48,142.77,141.64,142.31,4741264.0,674729279.84
2021-08-30,142.6,142.99,142.05,142.93,3845772.0,549676191.96
2021-08-31,143.04,143.53,142.05,142.39,9642489.0,1372994008.7099998
2021-09-01,142.33,144.185,142.23,143.84,6214198.0,893850240.32
2021-09-02,143.97,144.73,143.58,143.95,5393716.0,776425418.1999999
2021-09-03,143.76,144.365,143.52,144.05,5466418.0,787437512.9000001
2021-09-07,144.32,144.5,143.29,143.51,6678185.0,958386329.35
2021-09-08,143.08,144.94,143.01,144.6,6897784.0,997419566.4
2021-09-09,144.57,144.88,143.65,143.99,6354834.0,915032547.66
2021-09-10,144.06,144.46,143.32,144.13,5750027.0,828751391.51
2021-09-13,144.85,147.23,144.85,145.68,10055101.0,1464827113.68
2021-09-14,146.13,146.36,144.95,145.43,5965427.0,867552048.61
2021-09-15,145.35,145.77,144.74,145.12,6352826.0,921922109.12
2021-09-16,144.84,145.19,142.82,144.11,6142295.0,885166132.45
2021-09-17,144.37,146.28,144.23,144.34,18738769.0,2704753917.46
2021-09-20,144.22,144.85,141.97,142.89,10225121.0,1461067539.6899998
2021-09-21,142.98,144.525,142.88,143.11,6651313.0,951869403.43
2021-09-22,143.82,144.35,142.86,143.6,6332652.0,909368827.2
2021-09-23,144.06,144.685,143.49,144.19,5171154.0,745628695.26
2021-09-24,143.8,144.45,143.09,143.55,5009363.0,719094058.6500001
2021-09-27,143.15,143.17,141.52,141.66,5749826.0,814520351.16
2021-09-28,141.05,141.37,139.56,140.59,7015310.0,986282432.9
2021-09-29,140.27,142.68,140.18,142.02,5459953.0,775422525.0600001
2021-09-30,142.64,142.74,139.53,139.8,7009178.0,979883084.4
2021-10-01,139.93,140.23,138.32,139.58,5587249.0,779868215.4200001
2021-10-04,139.39,140.4,137.605,138.79,5816039.0,807208052.81
2021-10-05,138.8,140.52,138.72,139.33,6902715.0,961755280.95
2021-10-06,138.99,141.26,138.62,141.19,5333051.0,752973470.6899999
2021-10-07,141.75,143.03,141.75,142.32,5334558.0,759214294.56
2021-10-08,142.29,142.62,141.04,141.73,6208502.0,879930988.4599999
2021-10-11,142.37,142.77,141.77,142.32,5995591.0,853292511.12
2021-10-12,142.6,143.04,141.7,142.11,6734918.0,957099196.98
2021-10-13,142.4,142.76,141.025,142.44,5689846.0,810461664.24
2021-10-14,142.83,144.31,142.81,144.05,6778788.0,976484411.4
2021-10-15,144.52,144.87,143.675,144.42,6923850.0,999942417.0
2021-10-18,143.55,143.7,142.095,142.34,9111605.0,1296945855.7
2021-10-19,139.08,140.82,138.8,140.66,9555253.0,1344041886.98
2021-10-20,140.15,141.96,139.85,141.21,7352748.0,1038281545.08
2021-10-21,140.86,141.16,139.18,139.33,6545835.0,912031190.55
2021-10-22,139.39,141.01,139.32,140.83,5265015.0,741472062.45
2021-10-25,140.41,140.92,139.05,140.85,5382085.0,758066672.25
2021-10-26,141.62,143.18,141.24,142.85,6234859.0,890649608.15
2021-10-27,143.14,143.68,141.69,141.83,9643487.0,1367735761.21
2021-10-28,141.89,142.88,141.71,142.68,4538687.0,647579861.1600001
2021-10-29,142.16,143.48,142.02,142.99,6239699.0,892214560.0100001
2021-11-01,143.36,143.8,142.49,142.64,5038861.0,718743133.04
2021-11-02,142.72,144.58,142.28,144.06,9954302.0,1434016746.12
2021-11-03,144.13,145.11,143.52,145.05,7620097.0,1105295069.85
2021-11-04,142.84,145.39,142.335,145.32,6402451.0,930404179.32
2021-11-05,145.44,146.37,144.8,146.04,6062769.0,885406784.76
2021-11-08,145.5,146.1,144.02,144.95,5854501.0,848609919.9499999
2021-11-09,145.03,145.83,144.58,145.39,4873235.0,708519636.65
2021-11-10,145.74,147.31,145.59,146.82,7334936.0,1076915303.52
2021-11-11,146.86,146.97,146.21,146.4,4096274.0,599694513.6
2021-11-12,146.74,147.08,145.98,146.56,5687659.0,833583303.04
2021-11-15,147.03,147.75,146.47,147.4,5510265.0,812213061.0
2021-11-16,147.39,148.59,147.01,147.19,7603940.0,1119223928.6
2021-11-17,146.97,147.78,146.42,147.1,4900232.0,720824127.1999999
2021-11-18,147.04,148.0751,146.51,147.12,5509373.0,810538955.76
2021-11-19,147.95,148.23,146.79,146.82,6274297.0,921192285.54
2021-11-22,146.97,148.94,146.83,147.8,6625408.0,979235302.4
2021-11-23,147.83,149.5,147.67,149.44,7913048.0,1182525893.12
2021-11-24,148.77,148.88,147.68,148.66,5665173.0,842184618.18
2021-11-26,148.58,149.715,147.31,147.47,6299783.0,929028999.01
2021-11-29,147.79,149.66,146.79,149.02,7113503.0,1060054217.06
2021-11-30,147.81,148.54,144.12,144.58,11696448.0,1691072451.8400002
2021-12-01,144.85,147.87,144.85,146.4,8313557.0,1217104744.8
2021-12-02,147.01,148.46,146.94,147.26,9468906.0,1394391097.56
2021-12-03,148.02,150.0,147.659,149.88,11200808.0,1678777103.04
2021-12-06,150.19,152.385,150.19,152.15,11935078.0,1815922117.7
2021-12-07,151.945,152.58,151.27,151.75,7913393.0,1200857387.75
2021-12-08,151.67,152.66,150.28,152.43,8329342.0,1269641601.06
2021-12-09,152.31,154.19,151.6,153.32,8334318.0,1277817635.76
2021-12-10,153.855,155.8,153.43,155.46,7172321.0,1115009022.66
2021-12-13,155.3,158.33,154.91,157.67,8944147.0,1410223657.4899998
2021-12-14,157.9,158.6284,156.66,158.25,8677544.0,1373221338.0
2021-12-15,157.64,159.64,157.64,158.86,9152566.0,1453976634.7600002
2021-12-16,158.73,161.32,158.42,161.11,10852862.0,1748504596.8200002
2021-12-17,160.66,161.72,157.31,157.46,24329824.0,3830974087.04
2021-12-20,156.6,158.46,156.568,157.86,9202608.0,1452723698.88
2021-12-21,157.65,158.15,156.79,157.76,6946009.0,1095802379.84
2021-12-22,157.77,159.58,157.27,159.32,6626414.0,1055720278.48
2021-12-23,159.5,160.92,159.44,160.1,5640972.0,903119617.2
2021-12-27,160.67,161.99,160.61,161.97,4548828.0,736773671.16
2021-12-28,161.96,163.38,161.94,162.84,5929835.0,965614331.4
2021-12-29,163.21,164.98,163.08,164.19,5346427.0,877829849.13
2021-12-30,164.4,164.59,162.61,162.77,5911500.0,962214855.0
2021-12-31,162.86,163.73,162.46,163.58,5327027.0,871395076.6600001
2022-01-03,161.69,162.94,159.88,162.9,9317892.0,1517884606.8
2022-01-04,162.29,164.39,162.18,163.47,9253753.0,1512711002.91
2022-01-05,163.44,165.32,163.4,164.21,9320345.0,1530493852.45
2022-01-06,164.34,165.2,162.61,162.83,7555999.0,1230343317.17
2022-01-07,163.13,163.53,161.95,162.74,6098455.0,992462566.7
2022-01-10,162.51,163.12,160.17,160.52,8054984.0,1292986031.68
2022-01-11,160.22,160.22,156.91,158.66,11957885.0,1897238034.1
2022-01-12,158.26,159.36,157.83,159.01,7126650.0,1133208616.5
2022-01-13,159.31,159.45,157.7819,158.29,6551083.0,1036970928.07
2022-01-14,158.07,160.49,157.56,159.81,10708197.0,1711276962.57
2022-01-18,158.53,158.53,156.04,156.73,10991410.0,1722683689.3
2022-01-19,157.61,164.19,156.97,162.0,14088282.0,2282301684.0
2022-01-20,160.12,164.33,160.12,162.0,10799065.0,1749448530.0
2022-01-21,163.0,165.35,162.1,162.62,10900398.0,1772622722.76
2022-01-24,163.43,164.12,158.72,161.3,14846686.0,2394770451.8
2022-01-25,160.45,161.3,157.885,159.54,9369589.0,1494824229.06
2022-01-26,157.34,159.57,156.38,158.15,10707105.0,1693328655.75
2022-01-27,158.73,161.345,158.58,159.13,9084347.0,1445592138.11
2022-01-28,158.61,160.95,157.32,160.5,9494403.0,1523851681.5
2022-01-31,159.35,160.65,158.87,160.45,8550094.0,1371862582.3
2022-02-01,160.79,161.3,157.73,159.74,6284069.0,1003817182.06
2022-02-02,160.14,162.84,159.47,162.6,7558750.0,1229052750.0
2022-02-03,161.98,164.98,161.62,164.14,10474542.0,1719291323.88
2022-02-04,163.13,164.49,161.41,161.53,8960135.0,1447330606.55
2022-02-07,161.87,162.265,159.67,160.32,6430488.0,1030935836.16
2022-02-08,161.12,161.27,159.65,159.96,5048797.0,807605568.12
2022-02-09,160.36,160.635,159.27,159.6,8074050.0,1288618380.0
2022-02-10,159.09,159.5,156.6513,157.17,7032976.0,1105372837.9199998
2022-02-11,158.01,158.5798,155.58,156.29,9332336.0,1458550793.4399998
2022-02-14,156.14,157.06,153.3589,156.74,9472171.0,1484668082.5400002
2022-02-15,157.77,159.32,156.11,156.82,6659367.0,1044321932.94
2022-02-16,156.83,158.78,156.27,158.01,9315668.0,1471968700.6799998
2022-02-17,158.38,160.375,157.35,159.82,7925454.0,1266646058.28
2022-02-18,159.5,161.06,158.82,159.9,8062919.0,1289260748.1
