timestamps,open,high,low,close,volume,amount
2021-05-28,99.71,100.06,99.04,99.08,2153344.0,213353323.52
2021-06-01,99.46,100.32,98.52,99.31,2107452.0,209291058.12
2021-06-02,99.58,100.66,98.35,100.47,2464493.0,247607611.71
2021-06-03,100.24,101.14,99.955,99.96,2077343.0,207651206.28
2021-06-04,100.26,100.56,99.555,100.36,1334908.0,133971366.88
2021-06-07,98.75,98.75,95.9,96.39,4995750.0,481540342.5
2021-06-08,96.41,96.65,95.43,95.86,3227929.0,309429273.94
2021-06-09,95.88,96.25,94.79,94.82,2654464.0,251696276.48
2021-06-10,95.06,95.74,93.41,94.02,3297258.0,310008197.15999997
2021-06-11,94.29,94.425,93.25,93.6,2669761.0,249889629.6
2021-06-14,93.24,93.4,92.3,93.12,3679039.0,342592111.68
2021-06-15,93.28,94.085,92.27,93.76,3475157.0,325830720.32
2021-06-16,93.21,94.48,92.1301,92.92,4478820.0,416171954.4
2021-06-17,92.86,93.2392,91.02,91.84,4455945.0,409233988.8
2021-06-18,90.78,92.48,90.215,92.31,9672320.0,892851859.2
2021-06-21,92.71,94.79,92.7,94.6,4796871.0,453783996.6
2021-06-22,94.56,95.41,94.385,94.95,2411633.0,228984553.35
2021-06-23,94.91,95.59,94.6,94.92,1967167.0,186723491.64
2021-06-24,95.32,95.85,94.9,95.69,2675041.0,255974673.29
2021-06-25,95.88,96.98,95.46,96.85,5411073.0,524062420.0499999
2021-06-28,96.77,97.94,96.38,97.33,2449975.0,238456066.75
2021-06-29,97.7,98.765,97.65,98.44,2599646.0,255909152.24
2021-06-30,98.49,98.86,98.02,98.21,2598922.0,255240129.61999995
2021-07-01,98.52,99.49,97.93,98.84,2464223.0,243563801.32
2021-07-02,98.97,99.23,98.44,98.97,1896617.0,187708184.49
2021-07-06,98.86,98.9,97.03,97.86,2695404.0,263772235.44
2021-07-07,97.64,99.52,97.46,99.11,2315418.0,229481077.98
2021-07-08,98.21,99.45,97.925,98.49,3602939.0,354853462.10999995
2021-07-09,99.9,101.37,98.98,99.63,3469568.0,345673059.84
2021-07-12,99.5,100.35,98.92,99.88,2551961.0,254889864.68
2021-07-13,99.55,99.65,97.72,97.79,3277981.0,320553761.99
2021-07-14,98.0,98.62,96.6444,97.45,2415352.0,235376052.4
2021-07-15,90.0,95.5,89.6,94.95,7133886.0,677362475.7
2021-07-16,93.41,96.31,92.9675,96.18,4668184.0,448985937.12
2021-07-19,95.29,95.7,93.66,94.57,4017143.0,379901213.51
2021-07-20,94.83,96.0,94.04,94.42,3234388.0,305390914.96
