timestamps,open,high,low,close,volume,amount
2021-05-28,309.15,309.56,306.485,308.15,725122.0,223446344.3
2021-06-01,312.37,314.64,310.36,313.25,678948.0,212680461.0
2021-06-02,314.15,314.5692,309.71,310.47,567501.0,176192035.47000003
2021-06-03,308.92,311.1226,306.09,309.25,516028.0,159581659.0
2021-06-04,309.22,310.6836,306.51,309.04,607817.0,187839765.68
2021-06-07,309.59,310.18,305.03,307.38,462600.0,142193988.0
2021-06-08,307.95,312.18,305.19,310.98,530627.0,165014384.46
2021-06-09,309.63,309.63,305.0,305.4,621786.0,189893444.4
2021-06-10,308.21,308.39,302.13,303.16,725017.0,219796153.72000003
2021-06-11,305.54,306.75,300.69,301.98,775280.0,234119054.4
2021-06-14,301.46,301.95,295.14,296.91,1124369.0,333836399.79
2021-06-15,298.12,298.205,294.02,295.89,1751468.0,518241866.52
2021-06-16,295.34,298.48,291.7,295.95,873145.0,258407262.75
2021-06-17,295.87,296.98,281.98,285.25,1244379.0,354959109.75
2021-06-18,280.94,285.81,280.5,280.99,1616380.0,454186616.2
2021-06-21,284.89,288.93,282.56,288.05,854011.0,245997868.55
2021-06-22,287.2,290.65,285.23,289.29,789540.0,228406026.6
2021-06-23,292.95,297.89,290.58,295.24,1318486.0,389269806.64
2021-06-24,296.43,299.72,294.76,298.87,1118074.0,334158776.38
2021-06-25,300.35,303.81,299.83,301.74,1406571.0,424418733.54
2021-06-28,300.85,305.0,297.07,303.82,1175422.0,357116712.04
2021-06-29,306.22,307.85,302.43,302.65,992377.0,300342899.04999995
2021-06-30,301.13,307.67,301.13,307.11,966263.0,296749029.93
2021-07-01,309.78,310.0,306.0,307.03,1003210.0,308015566.29999995
2021-07-02,307.46,309.75,305.88,308.27,713089.0,219823946.03
2021-07-06,306.82,307.4,301.53,303.92,1182581.0,359410017.52000004
2021-07-07,303.29,310.62,303.29,308.24,884535.0,272649068.40000004
2021-07-08,303.34,311.775,301.205,306.88,1163905.0,357179166.4
2021-07-09,311.35,313.61,310.355,311.57,656025.0,204397709.25
2021-07-12,309.0,313.53,308.6513,313.39,905694.0,283835442.65999997
2021-07-13,313.38,313.61,309.26,309.8,682537.0,211449962.6
2021-07-14,311.73,311.99,304.74,306.83,661687.0,203025422.21
2021-07-15,304.75,310.53,304.18,306.24,710411.0,217556264.64
2021-07-16,307.4,308.12,299.5,300.0,673388.0,202016400.0
2021-07-19,293.86,293.86,286.23,289.93,917122.0,265901181.46
2021-07-20,290.2,300.29,289.355,299.53,1070498.0,320646265.94
2021-07-21,302.03,307.05,300.52,305.18,609371.0,185967841.78
2021-07-22,305.94,305.94,301.955,302.91,430459.0,130390335.69
2021-07-23,306.15,307.72,303.54,306.68,453481.0,139073553.08
2021-07-26,306.91,309.36,305.8,309.23,454494.0,140543179.62
2021-07-27,307.39,312.075,305.55,309.18,521749.0,161314355.82
2021-07-28,310.13,310.55,305.41,306.32,520956.0,159579241.92
2021-07-29,309.0,310.93,306.75,309.34,519087.0,160574372.57999998
2021-07-30,308.38,312.16,308.0,312.03,491337.0,153311884.10999998
2021-08-02,306.0,318.5,305.25,305.46,1355867.0,414163133.82
2021-08-03,304.16,310.32,301.33,309.43,772399.0,239003422.57
2021-08-04,306.34,310.31,303.23,303.35,830939.0,252065345.65
2021-08-05,302.89,305.48,298.77,300.23,1172340.0,351971638.20000005
2021-08-06,293.49,302.06,292.85,298.53,1413426.0,421950063.78
2021-08-09,298.68,299.73,294.39,297.15,1110972.0,330125329.79999995
2021-08-10,296.89,301.32,295.5,298.65,1528578.0,456509819.7
2021-08-11,300.62,301.91,294.47,296.0,2338276.0,692129696.0
2021-08-12,295.19,297.0,294.22,294.63,1644423.0,484496348.49
2021-08-13,295.63,296.55,290.2,293.0,1191544.0,349122392.0
2021-08-16,291.72,302.2,291.26,299.0,1846658.0,552150742.0
2021-08-17,296.89,298.355,293.64,296.34,1290093.0,382306159.61999995
2021-08-18,294.84,296.0,292.7,293.06,985490.0,288807699.4
2021-08-19,291.02,294.97,285.77,287.33,744727.0,213982408.91
2021-08-20,286.77,289.75,285.5,287.85,625702.0,180108320.70000002
2021-08-23,289.88,295.97,288.74,294.56,828279.0,243977862.24
2021-08-24,295.12,301.26,295.08,298.97,1007973.0,301353687.81
2021-08-25,299.67,305.19,298.0,303.51,844966.0,256455630.66
2021-08-26,303.25,305.9,301.5258,304.01,741679.0,225477832.79
2021-08-27,305.76,308.36,304.23,304.53,783029.0,238455821.36999995
2021-08-30,304.79,304.79,300.98,301.55,555671.0,167562590.05
2021-08-31,302.18,302.18,296.29,296.67,1452181.0,430818537.27
2021-09-01,296.71,297.15,291.26,293.96,751756.0,220986193.76
2021-09-02,295.33,297.235,293.68,294.88,811743.0,239366775.84
2021-09-03,293.76,294.53,289.25,289.91,770398.0,223346084.18
2021-09-07,289.37,293.76,288.16,289.9,1236646.0,358503675.4
2021-09-08,289.16,289.415,283.14,287.76,1043712.0,300338565.12
2021-09-09,287.76,289.44,284.38,288.02,741744.0,213637106.88
2021-09-10,289.65,291.05,283.4,284.05,799741.0,227166431.05
2021-09-13,287.58,291.27,284.16,289.52,915128.0,264947858.55999997
2021-09-14,291.62,291.7,284.83,285.71,649485.0,185564359.35
2021-09-15,286.09,290.57,285.2,290.19,581518.0,168750708.42
2021-09-16,289.24,291.41,286.945,289.54,640382.0,185416204.28
2021-09-17,293.82,293.855,284.89,287.63,1302201.0,374552073.63
2021-09-20,280.99,285.17,279.12,284.74,1003614.0,285769050.36
2021-09-21,286.2,286.275,279.35,279.47,894888.0,250094349.36
2021-09-22,283.24,287.26,281.72,285.4,652886.0,186333664.4
2021-09-23,287.02,293.62,286.96,291.1,1032589.0,300586657.90000004
2021-09-24,291.05,291.97,287.7,287.84,644989.0,185653633.76
2021-09-27,288.98,296.15,288.4122,291.03,706970.0,205749479.1
2021-09-28,290.38,291.0,284.85,285.96,917110.0,262256775.6
2021-09-29,287.39,290.55,285.47,288.59,777311.0,224324181.49
2021-09-30,289.55,290.14,279.46,279.62,924876.0,258613827.12
2021-10-01,282.48,292.78,280.745,291.69,1090500.0,318087945.0
2021-10-04,290.35,292.31,286.66,288.95,962736.0,278182567.2
2021-10-05,289.15,295.59,288.08,291.94,940874.0,274678755.56
2021-10-06,288.67,293.945,284.7,293.58,995584.0,292283550.71999997
2021-10-07,296.39,298.24,288.97,289.76,835450.0,242079992.0
2021-10-08,290.8,292.39,287.68,290.95,477705.0,138988269.75
2021-10-11,291.49,292.835,287.15,287.43,584134.0,167897635.62
2021-10-12,288.66,290.16,283.89,284.71,416082.0,118462706.22
2021-10-13,284.74,287.79,283.0,285.82,510210.0,145828222.2
2021-10-14,289.05,295.515,288.2558,294.5,454622.0,133886179.0
2021-10-15,297.7,301.65,296.4569,297.95,431863.0,128673580.85
2021-10-18,294.67,297.21,293.64,295.78,469377.0,138832329.05999997
2021-10-19,296.72,297.5,294.19,296.24,359482.0,106492947.68
2021-10-20,296.0,301.21,295.09,300.34,479933.0,144143077.22
2021-10-21,299.44,299.47,296.65,299.2,318246.0,95219203.2
2021-10-22,300.03,302.545,298.86,299.25,325340.0,97357995.0
2021-10-25,298.89,304.605,297.86,303.9,738633.0,224470568.7
2021-10-26,304.43,308.0,302.58,304.2,720664.0,219225988.8
2021-10-27,304.49,305.54,297.67,297.98,869603.0,259124301.94000003
2021-10-28,298.27,304.46,297.94,301.68,774595.0,233679819.6
2021-10-29,300.11,302.71,296.25,296.59,713213.0,211531843.67
2021-11-01,297.34,302.475,295.97,300.82,613938.0,184684829.16
2021-11-02,302.26,303.91,300.91,301.93,1119850.0,338116310.5
2021-11-03,299.57,304.36,298.17,304.08,850583.0,258645278.64
2021-11-04,320.0,329.93,318.6757,325.64,1617594.0,526753310.16
2021-11-05,330.12,330.6,322.375,325.75,940550.0,306384162.5
2021-11-08,328.84,332.61,326.61,329.47,883290.0,291017556.3
2021-11-09,330.29,333.0,327.8838,329.57,554255.0,182665820.35
2021-11-10,328.51,328.99,324.76,326.79,557965.0,182337382.35
2021-11-11,327.1,328.69,324.3,326.9,419295.0,137067535.5
2021-11-12,329.09,334.34,326.735,334.0,920335.0,307391890.0
2021-11-15,334.74,334.98,327.8,328.33,689795.0,226480392.35
2021-11-16,330.04,334.78,328.86,332.48,790469.0,262815133.12
2021-11-17,330.81,332.55,328.08,329.32,446423.0,147016022.35999998
2021-11-18,329.7,332.5,327.62,332.3,761946.0,253194655.8
2021-11-19,333.29,334.82,329.73,329.75,865516.0,285403901.0
2021-11-22,330.94,332.33,326.48,326.59,547645.0,178855380.54999998
2021-11-23,328.3,329.65,325.44,329.02,697070.0,229349971.4
2021-11-24,326.91,328.19,324.78,325.04,499037.0,162206986.48000002
2021-11-26,316.06,316.06,307.03,309.64,684574.0,211971493.36
2021-11-29,313.56,314.56,304.865,309.14,716578.0,221522922.92
2021-11-30,305.67,309.44,299.92,302.06,1397804.0,422220676.24
2021-12-01,308.08,309.36,293.06,293.1,801156.0,234818823.6
