timestamps,open,high,low,close,volume,amount
2021-05-28,23.0,24.75,22.76,22.95,112775179.0,2588190358.0499997
2021-06-01,23.19,23.3499,22.36,23.06,53465569.0,1232916021.14
2021-06-02,23.02,24.84,22.82,24.45,86996445.0,2127063080.25
2021-06-03,24.14,24.26,23.34,23.63,48762057.0,1152247406.9099998
2021-06-04,23.71,24.49,23.5,24.03,42865515.0,1030058325.45
2021-06-07,24.0,24.76,23.79,24.46,50042601.0,1224042020.46
2021-06-08,24.85,25.23,23.93,24.38,54068228.0,1318183398.64
2021-06-09,24.45,24.74,24.17,24.17,36349053.0,878556611.0100001
2021-06-10,24.0,24.39,23.44,24.14,35901102.0,866652602.28
2021-06-11,24.12,24.71,24.03,24.67,33403258.0,824058374.86
2021-06-14,24.73,25.15,24.47,25.0,52163099.0,1304077475.0
2021-06-15,25.03,25.55,24.39,24.41,47062777.0,1148802386.57
2021-06-16,24.09,24.94,23.86,24.8,57382668.0,1423090166.4
2021-06-17,24.68,25.46,24.55,25.45,64694885.0,1646484823.25
2021-06-18,25.59,25.94,25.02,25.37,66482972.0,1686672999.64
2021-06-21,25.1,25.55,24.51,25.42,55336374.0,1406650627.0800002
2021-06-22,25.39,25.52,24.96,25.4,46553117.0,1182449171.8
2021-06-23,25.46,26.35,25.34,26.27,53700013.0,1410699341.51
2021-06-24,26.49,26.71,26.17,26.53,49042923.0,1301108747.19
2021-06-25,26.58,27.01,26.245,26.78,141168351.0,3780488439.78
2021-06-28,26.98,27.5,26.86,27.38,42645936.0,1167645727.68
2021-06-29,27.38,27.44,26.44,26.63,38858737.0,1034808166.31
2021-06-30,26.48,26.92,26.21,26.36,29399829.0,774979492.4399999
2021-07-01,26.1,26.13,24.59,24.72,55956752.0,1383250909.4399998
2021-07-02,25.0,25.34,24.33,24.44,29979403.0,732696609.32
2021-07-06,24.6,25.2,24.47,24.68,28894411.0,713114063.48
2021-07-07,24.23,24.26,22.72,22.89,67420641.0,1543258472.49
2021-07-08,22.43,23.21,22.25,23.08,35421100.0,817518987.9999999
2021-07-09,22.96,23.39,22.76,23.29,22926950.0,533968665.5
2021-07-12,23.26,23.495,22.88,22.95,23922022.0,549010404.9
2021-07-13,22.98,22.99,22.42,22.45,25016631.0,561623365.9499999
2021-07-14,22.49,22.62,21.51,21.56,34072936.0,734612500.16
2021-07-15,21.72,22.055,21.01,21.47,32342676.0,694397253.7199999
2021-07-16,21.6,21.71,21.24,21.37,19745398.0,421959155.26
2021-07-19,20.97,21.69,20.55,21.54,31019389.0,668157639.06
2021-07-20,21.63,22.35,21.22,22.18,23287310.0,516512535.8
2021-07-21,22.27,22.68,22.12,22.52,20737073.0,466998883.96
2021-07-22,22.55,22.67,21.88,22.07,17763644.0,392043623.08
2021-07-23,22.01,22.08,21.51,21.81,17830854.0,388890925.7399999
2021-07-26,21.8,22.3,21.48,22.13,16511113.0,365390930.69
2021-07-27,21.96,22.11,21.09,21.68,23292433.0,504979947.44
2021-07-28,21.75,22.615,21.69,22.56,25276982.0,570248713.92
2021-07-29,22.78,22.85,22.14,22.18,19219083.0,426279260.94
2021-07-30,21.85,22.406,21.71,21.71,15889153.0,344953511.63
2021-08-02,21.91,22.37,21.48,22.1,21372877.0,472340581.7000001
2021-08-03,22.03,22.27,21.71,22.24,17040068.0,378971112.32
2021-08-04,22.2,22.54,22.07,22.3,15537433.0,346484755.90000004
2021-08-05,22.22,22.77,22.02,22.52,18575248.0,418314584.96
2021-08-06,22.64,22.69,21.79,21.82,24200671.0,528058641.22
2021-08-09,21.85,23.28,21.8,22.93,35611060.0,816561605.8
2021-08-10,23.01,23.52,22.78,22.92,25947920.0,594726326.4000001
2021-08-11,23.07,23.19,22.09,22.35,34532770.0,771807409.5
2021-08-12,24.45,25.76,23.585,24.89,189542237.0,4717706278.93
2021-08-13,25.0,25.1,24.31,24.9,52395086.0,1304637641.4
2021-08-16,24.9,24.9,23.77,24.5,46189789.0,1131649830.5
2021-08-17,23.9,24.59,23.74,23.97,35348320.0,847299230.4
2021-08-18,24.07,25.94,23.68,25.28,91850280.0,2321975078.4
2021-08-19,25.01,25.64,24.14,24.16,67605646.0,1633352407.36
2021-08-20,24.22,24.48,23.66,24.01,52062313.0,1250016135.13
2021-08-23,24.02,24.93,23.9,24.82,35705261.0,886204578.02
2021-08-24,25.0,25.35,24.76,25.1,37227370.0,934406987.0
2021-08-25,25.12,25.19,24.07,24.35,54678454.0,1331420354.9
2021-08-26,24.4,25.41,24.36,24.87,46179423.0,1148482250.01
2021-08-27,25.05,26.09,24.91,25.71,52255503.0,1343488982.13
2021-08-30,25.74,26.6,25.62,25.76,44076329.0,1135406235.04
2021-08-31,25.79,26.36,25.66,26.34,93168646.0,2454062135.64
2021-09-01,26.46,26.51,26.03,26.2,34417234.0,901731530.8
2021-09-02,26.21,26.87,26.09,26.51,38507376.0,1020830537.76
2021-09-03,26.49,26.75,26.22,26.64,26652612.0,710025583.6800001
2021-09-07,26.79,26.88,26.2701,26.7,36433628.0,972777867.6
2021-09-08,26.6,26.61,24.96,25.58,54394364.0,1391407831.12
2021-09-09,25.39,26.24,25.29,26.13,34162214.0,892658651.8199999
2021-09-10,26.18,26.73,26.17,26.28,37307791.0,980448747.48
2021-09-13,26.15,26.239,25.03,25.83,42722710.0,1103527599.3
2021-09-14,25.97,26.7,25.9,26.26,34910131.0,916740040.06
2021-09-15,26.3,27.15,26.03,27.08,49963824.0,1353020353.9199998
2021-09-16,27.2,28.79,27.02,28.63,109991984.0,3149070501.92
2021-09-17,28.66,29.29,28.07,28.71,182214590.0,5231380878.900001
2021-09-20,27.57,28.0999,26.06,26.55,89413466.0,2373927522.3
2021-09-21,26.89,27.149,26.08,26.62,50933596.0,1355852325.52
2021-09-22,26.61,27.77,26.5822,27.43,44308146.0,1215372444.78
2021-09-23,27.71,29.19,27.67,28.77,60028602.0,1727022879.54
2021-09-24,28.27,28.76,27.9014,28.56,40309743.0,1151246260.08
2021-09-27,28.23,28.38,27.23,27.47,44102849.0,1211505262.03
2021-09-28,27.02,27.13,25.21,25.34,64206202.0,1626985158.68
2021-09-29,25.61,25.7,24.42,24.52,46148663.0,1131565216.76
2021-09-30,24.69,25.05,23.88,24.04,59849663.0,1438785898.52
2021-10-01,24.21,24.36,23.72,24.33,32777971.0,797488034.43
2021-10-04,24.01,24.05,23.02,23.17,46789720.0,1084117812.4
2021-10-05,23.21,23.88,23.07,23.21,55924824.0,1298015165.04
2021-10-06,24.91,25.01,23.35,23.58,125175676.0,2951642440.08
2021-10-07,23.71,24.13,23.54,23.73,38873699.0,922472877.27
2021-10-08,23.86,24.0955,23.11,23.5,40109349.0,942569701.5
2021-10-11,23.26,23.98,23.26,23.53,23971679.0,564053606.87
2021-10-12,23.55,23.81,23.29,23.69,26280035.0,622574029.15
2021-10-13,23.83,24.31,23.79,24.13,28494029.0,687560919.77
2021-10-14,24.43,24.71,24.205,24.35,26106710.0,635698388.5
2021-10-15,24.5,24.52,23.83,24.0,24340936.0,584182464.0
2021-10-18,24.0,24.39,23.92,24.26,25609889.0,621295907.14
2021-10-19,24.5,25.2,24.36,24.69,29393871.0,725734674.99
2021-10-20,24.79,24.96,24.17,24.22,24248046.0,587287674.12
2021-10-21,24.13,24.93,24.08,24.78,23976568.0,594139355.0400001
2021-10-22,24.49,24.85,24.25,24.43,20166825.0,492675534.75
2021-10-25,24.5,25.54,24.48,25.41,33962065.0,862976071.65
2021-10-26,25.99,26.75,25.25,25.52,56767030.0,1448694605.6
2021-10-27,25.64,25.9,25.02,25.06,24157199.0,605379406.9399999
2021-10-28,25.3,25.795,25.12,25.64,21203027.0,543645612.28
2021-10-29,25.5,26.12,25.45,25.88,21910308.0,567038771.04
2021-11-01,26.11,26.645,25.8828,26.56,26670459.0,708367391.04
2021-11-02,26.56,26.72,25.555,25.92,30794632.0,798196861.44
2021-11-03,25.89,26.235,25.17,26.12,25244192.0,659378295.0400001
2021-11-04,26.26,26.57,25.87,26.47,25029657.0,662535020.79
2021-11-05,26.45,26.63,25.72,26.0,26004970.0,676129220.0
2021-11-08,26.25,27.11,26.12,26.75,41359562.0,1106368283.5
2021-11-09,25.9,25.98,23.95,24.25,117540155.0,2850348758.75
2021-11-10,23.6,23.64,22.12,22.52,94809499.0,2135109917.48
2021-11-11,23.04,23.1299,22.665,22.99,43381487.0,997340386.13
2021-11-12,23.02,23.225,22.38,22.83,53516196.0,1221774754.6799998
2021-11-15,23.0,23.52,22.95,23.41,33225734.0,777814432.94
2021-11-16,23.29,23.29,22.61,23.13,31574786.0,730324800.18
2021-11-17,23.05,23.2189,22.4,22.49,27994121.0,629587781.29
2021-11-18,22.5,22.55,21.342,21.5,51039943.0,1097358774.5
2021-11-19,21.6,21.96,21.3,21.41,30013125.0,642581006.25
2021-11-22,21.53,21.57,20.18,20.65,59867106.0,1236255738.9
2021-11-23,20.59,21.05,20.05,20.59,44587969.0,918066281.71
2021-11-24,20.35,21.2,20.06,21.11,35233903.0,743787692.3299999
2021-11-26,20.41,21.09,20.3485,21.03,20691212.0,435136188.36
2021-11-29,21.19,21.4,20.56,21.07,29113989.0,613431748.23
2021-11-30,20.95,21.25,20.11,20.65,38196416.0,788755990.4
2021-12-01,20.53,20.89,19.29,19.38,48488718.0,939711354.84
2021-12-02,19.3,19.91,19.06,19.69,45802940.0,901859888.6
2021-12-03,19.5,19.53,18.4,18.98,56039602.0,1063631645.96
2021-12-06,18.54,18.97,18.075,18.8,56459758.0,1061443450.4
2021-12-07,19.26,19.855,19.07,19.46,35128988.0,683610106.48
2021-12-08,19.51,19.825,19.03,19.82,28425939.0,563402110.98
2021-12-09,19.95,20.15,19.04,19.21,30354670.0,583113210.7
2021-12-10,19.28,19.58,18.7,18.94,27594490.0,522639640.6
2021-12-13,18.8,19.075,18.17,18.4,38376018.0,706118731.1999999
2021-12-14,18.0,18.859,17.91,18.64,38864751.0,724438958.64
2021-12-15,18.37,18.94,17.995,18.86,39361880.0,742365056.8
2021-12-16,18.96,19.12,18.15,18.34,33949973.0,622642504.82
2021-12-17,18.03,19.1,17.81,19.06,44495175.0,848078035.5
2021-12-20,18.59,18.67,17.835,17.96,42265899.0,759095546.0400001
2021-12-21,18.16,18.98,18.1,18.9,33878598.0,640305502.1999999
2021-12-22,18.65,19.45,18.65,18.88,33894183.0,639922175.04
2021-12-23,18.85,19.135,18.72,18.93,24758314.0,468674884.02
2021-12-27,18.78,19.25,18.78,18.94,21782025.0,412551553.5
2021-12-28,18.89,19.0701,18.44,18.57,20518849.0,381035025.93
2021-12-29,18.53,18.6,17.91,18.17,28217548.0,512712847.16
2021-12-30,18.1,18.995,18.07,18.69,29285189.0,547340182.4100001
2021-12-31,18.61,18.92,18.21,18.21,23555998.0,428954723.58
2022-01-03,18.36,18.5687,17.86,18.53,34386628.0,637184216.84
2022-01-04,18.61,18.84,17.79,18.17,39643168.0,720316362.5600001
2022-01-05,18.03,18.5678,16.87,16.96,58220207.0,987414710.72
2022-01-06,16.87,17.18,16.055,16.74,49737071.0,832598568.54
2022-01-07,16.7,17.33,16.475,16.56,37989265.0,629102228.4
2022-01-10,16.19,16.57,15.35,16.5,74141930.0,1223341845.0
2022-01-11,16.4,17.25,16.32,16.89,47410086.0,800756352.5400001
2022-01-12,17.16,17.46,16.4,16.72,39784185.0,665191573.1999999
2022-01-13,16.8,16.82,15.94,16.01,35492186.0,568229897.86
2022-01-14,15.94,16.2485,15.62,16.01,35424310.0,567143203.1
2022-01-18,15.45,15.75,14.9201,14.97,49275074.0,737647857.7800001
2022-01-19,14.9,15.25,14.54,14.56,48015566.0,699106640.96
2022-01-20,14.89,15.5499,14.57,14.62,44690391.0,653373516.42
2022-01-21,14.25,14.478,13.5,13.53,73031305.0,988113556.65
2022-01-24,12.79,13.41,11.75,13.4,110640165.0,1482578211.0
2022-01-25,13.12,13.6,12.83,13.06,47456624.0,619783509.44
2022-01-26,13.6,13.82,12.68,12.75,69949711.0,891858815.25
2022-01-27,13.01,13.06,12.2,12.28,52622863.0,646208757.64
2022-01-28,12.3,12.88,11.89,12.71,54887541.0,697620646.11
2022-01-31,12.77,13.74,12.76,13.71,51039253.0,699748158.63
2022-02-01,14.23,14.37,13.56,14.2,69012946.0,979983833.2
2022-02-02,14.09,14.2,13.19,13.32,47183312.0,628481715.84
2022-02-03,12.95,13.32,12.42,12.45,47171335.0,587283120.75
2022-02-04,12.47,13.09,12.265,12.94,38951576.0,504033393.44
2022-02-07,13.025,13.6,12.94,12.98,45646074.0,592486040.52
2022-02-08,12.75,13.1885,12.62,13.15,30065109.0,395356183.35
2022-02-09,13.29,13.89,13.26,13.87,34451922.0,477848158.14
2022-02-10,13.5,14.165,13.37,13.56,41998243.0,569496175.08
2022-02-11,13.45,13.92,12.97,13.13,41831569.0,549248500.97
