timestamps,open,high,low,close,volume,amount
2021-05-28,96.5,97.21,96.38,96.43,3809546.0,367354520.78
2021-06-01,97.01,97.59,96.535,96.78,2794711.0,270472130.58
2021-06-02,97.21,97.37,96.405,96.81,4433324.0,429190096.44
2021-06-03,96.27,97.51,96.08,97.37,3414418.0,332461880.66
2021-06-04,98.0,98.13,97.47,97.9,4540875.0,444551662.5
2021-06-07,98.09,98.68,97.8,98.56,4419232.0,435559505.92
2021-06-08,98.7,98.95,96.21,96.4,5499927.0,530192962.8
2021-06-09,96.41,97.3081,96.24,96.75,2593055.0,250878071.25
2021-06-10,96.81,97.6,96.81,97.55,3101576.0,302558738.8
2021-06-11,98.1,98.86,97.805,98.84,5586847.0,552203957.48
2021-06-14,99.2,100.62,98.78,100.5,9401524.0,944853162.0
2021-06-15,100.41,100.87,100.045,100.46,4317790.0,433765183.4
2021-06-16,100.87,100.95,99.51,99.92,7509729.0,750372121.6800001
2021-06-17,100.0,100.66,99.67,100.0,6851850.0,685185000.0
2021-06-18,99.18,99.87,98.21,99.5,16631591.0,1654843304.5
2021-06-21,100.0,100.5605,99.725,100.16,11608474.0,1162704755.84
2021-06-22,100.0,100.79,99.84,100.0,3832680.0,383268000.0
2021-06-23,100.02,100.68,99.94,100.05,10273150.0,1027828657.5
2021-06-24,97.92,99.18,97.915,99.03,5293163.0,524181931.89
2021-06-25,99.03,99.145,98.71,99.04,5991364.0,593384690.5600001
2021-06-28,99.35,99.45,98.47,98.67,4004081.0,395082672.27
2021-06-29,98.95,98.95,97.505,97.94,3274285.0,320683472.9
2021-06-30,98.2,99.3025,98.03,99.11,3901638.0,386691342.18
2021-07-01,99.21,100.4827,99.16,99.89,3690611.0,368655132.79
2021-07-02,100.0,100.53,99.72,100.3,2812893.0,282133167.9
2021-07-06,99.89,100.055,98.2,98.65,3583866.0,353548380.90000004
2021-07-07,98.65,99.1,98.24,98.79,3610980.0,356728714.20000005
2021-07-08,98.17,98.99,98.09,98.37,3585205.0,352676615.85
2021-07-09,99.37,100.2,98.93,99.4,5096065.0,506548861.0
2021-07-12,98.89,99.37,98.2,98.55,5143388.0,506880887.4
2021-07-13,98.31,98.55,97.37,97.71,5180003.0,506138093.13
2021-07-14,98.0,99.62,97.82,99.56,2911028.0,289821947.68
2021-07-15,98.79,99.53,98.79,99.31,2993558.0,297290244.98
2021-07-16,99.53,99.76,98.83,98.9,3240717.0,320506911.3
2021-07-19,98.68,98.82,96.68,97.93,4732888.0,463491721.84
2021-07-20,96.01,96.96,93.94,94.93,6977407.0,662365246.51
2021-07-21,95.65,96.78,95.2119,96.54,4198895.0,405361323.3
2021-07-22,96.19,97.28,95.7,97.24,4022083.0,391107350.92
2021-07-23,97.76,98.7322,97.34,98.4,2246889.0,221093877.6
2021-07-26,98.08,99.23,98.05,99.04,3631472.0,359660986.88
2021-07-27,99.19,100.31,98.88,99.84,2962453.0,295771307.52
2021-07-28,99.88,99.97,98.85,98.94,3079116.0,304647737.04
2021-07-29,99.3,100.63,99.1,100.29,3274026.0,328352067.54
2021-07-30,100.09,100.45,99.515,100.09,3523142.0,352631282.78000003
2021-08-02,100.64,101.52,99.81,100.03,3327456.0,332845423.68
2021-08-03,100.24,100.85,99.6277,100.44,3052653.0,306608467.32
2021-08-04,100.44,100.66,99.09,99.49,2591736.0,257851814.64
2021-08-05,99.87,100.13,99.2,99.59,1945126.0,193715098.34
2021-08-06,99.88,100.015,98.98,99.21,2515827.0,249595196.67
2021-08-09,99.05,99.43,98.58,99.2,2029896.0,201365683.2
2021-08-10,99.52,100.51,99.145,99.96,2146983.0,214612420.68
2021-08-11,100.41,100.55,99.72,99.76,2915253.0,290825639.28000003
2021-08-12,99.73,100.15,99.275,100.01,2899889.0,290017898.89
2021-08-13,100.33,101.83,100.03,101.59,2215008.0,225022662.72
2021-08-16,101.83,102.43,101.41,102.39,3047570.0,312040692.3
2021-08-17,102.3,103.0,101.7529,102.5,3911363.0,400914707.5
2021-08-18,101.83,102.235,100.85,100.95,2559695.0,258401210.25
2021-08-19,100.3,101.65,100.01,101.42,2996885.0,303944076.7
2021-08-20,101.21,101.95,100.86,101.42,2114600.0,214462732.0
2021-08-23,101.72,102.08,100.77,100.85,2782537.0,280618856.45
2021-08-24,100.61,100.76,99.652,100.63,2627720.0,264427463.6
2021-08-25,100.79,101.73,100.26,101.24,2213621.0,224106990.04
2021-08-26,101.27,101.64,100.81,101.25,1723756.0,174530295.0
2021-08-27,101.81,102.405,101.345,102.1,2994392.0,305727423.2
2021-08-30,102.1,103.1799,101.8,103.07,2371325.0,244412467.74999997
2021-08-31,103.03,103.63,102.69,103.0,3876917.0,399322451.0
2021-09-01,103.15,103.61,102.28,103.56,3051467.0,316009922.52
2021-09-02,104.0,105.65,103.895,105.64,4367099.0,461340338.36
2021-09-03,105.44,106.25,104.975,106.1,2961354.0,314199659.4
2021-09-07,105.3,106.51,105.0902,106.06,6464401.0,685614370.0600001
2021-09-08,104.98,105.28,102.35,103.68,6060236.0,628325268.48
2021-09-09,103.28,103.67,102.23,102.58,4824564.0,494903775.12
2021-09-10,103.15,104.96,103.01,103.57,3944039.0,408484119.23
2021-09-13,103.8,104.34,102.08,102.59,3813275.0,391203882.25
2021-09-14,102.59,102.9958,101.77,101.96,3183112.0,324550099.52
2021-09-15,102.11,104.05,101.95,104.0,5228095.0,543721880.0
2021-09-16,103.62,104.0,102.04,102.83,4113777.0,423019688.91
2021-09-17,102.12,102.7,101.75,101.86,8749080.0,891181288.8
2021-09-20,100.67,101.3,99.83,100.99,6580144.0,664528742.56
2021-09-21,101.47,102.18,100.29,100.51,3893853.0,391371165.03
2021-09-22,101.36,101.39,100.31,100.51,3768058.0,378727509.58
2021-09-23,100.97,102.03,100.5,101.45,4029275.0,408769948.75
2021-09-24,101.35,102.0798,101.1,101.82,3523788.0,358792094.15999997
2021-09-27,101.62,103.04,101.62,102.51,4414898.0,452571193.98
2021-09-28,101.3,101.3,98.121,98.42,6281714.0,618246291.88
2021-09-29,98.53,99.75,98.32,99.49,3172740.0,315655902.59999996
2021-09-30,99.17,99.28,94.37,94.79,7308726.0,692794137.5400001
2021-10-01,95.17,96.3,94.83,96.08,4585064.0,440532949.12
2021-10-04,96.2,96.95,95.4148,96.19,4082770.0,392721646.3
2021-10-05,96.61,96.95,95.77,96.39,4250211.0,409677838.29
2021-10-06,95.52,96.89,95.11,96.64,3309017.0,319783402.88
2021-10-07,97.42,97.911,95.435,95.65,4343750.0,415479687.5
2021-10-08,95.91,96.25,95.18,95.35,4011874.0,382532185.9
2021-10-11,95.3,95.7,94.85,95.12,2840223.0,270162011.76
2021-10-12,95.49,96.27,95.346,95.58,3168768.0,302870845.44
2021-10-13,95.58,97.66,95.2,97.47,4997584.0,487114512.48
2021-10-14,98.32,99.3611,97.79,98.85,4477835.0,442633989.75
2021-10-15,99.4,99.7299,98.06,98.37,3971024.0,390629630.88
2021-10-18,97.34,97.745,96.55,97.45,3826892.0,372930625.4
2021-10-19,96.2,97.53,95.71,95.79,4223860.0,404603549.4
2021-10-20,95.91,97.55,95.7,97.02,3778873.0,366626258.46
2021-10-21,96.62,96.91,96.165,96.52,3601977.0,347662820.03999996
2021-10-22,96.54,97.29,96.22,96.88,3310160.0,320688300.8
2021-10-25,97.47,97.47,96.2,96.54,3934970.0,379882003.8
2021-10-26,96.3,96.67,95.625,96.2,3150905.0,303117061.0
2021-10-27,96.675,96.75,94.732,94.87,3537266.0,335580425.42
2021-10-28,94.45,96.02,94.45,95.97,4754519.0,456291188.43
2021-10-29,95.79,96.0699,94.31,94.54,5260721.0,497348563.34
2021-11-01,94.64,94.64,93.4,93.42,3513352.0,328217343.84000003
2021-11-02,93.62,94.215,92.9,94.02,3479992.0,327188847.84
2021-11-03,93.91,94.81,93.52,94.73,2463537.0,233370860.01
2021-11-04,94.41,94.51,93.31,93.72,2332583.0,218609678.76
2021-11-05,94.25,95.25,94.13,94.3,2784350.0,262564205.0
2021-11-08,94.58,94.83,92.79,92.89,4623856.0,429509983.84
2021-11-09,93.27,94.348,92.58,93.67,4050829.0,379441152.43
2021-11-10,94.19,94.57,93.86,94.38,3450368.0,325645731.84
2021-11-11,94.65,95.165,94.41,95.0,3580660.0,340162700.0
2021-11-12,95.46,95.94,94.72,94.76,3110238.0,294726152.88
2021-11-15,95.0,95.53,94.83,95.36,2543064.0,242506583.04
2021-11-16,95.13,95.3399,92.98,93.07,3959977.0,368555059.39
2021-11-17,93.05,93.9,92.85,93.59,5320315.0,497928280.85
2021-11-18,93.26,93.4152,90.98,91.55,5611825.0,513762578.75
2021-11-19,91.84,91.84,89.47,90.4,5700909.0,515362173.6
2021-11-22,90.79,91.41,89.095,89.78,8059145.0,723550038.1
2021-11-23,90.0,90.235,89.36,89.65,6103365.0,547166672.25
2021-11-24,89.81,91.11,89.61,90.03,5066513.0,456138165.39
2021-11-26,88.91,89.0,88.03,88.68,2668775.0,236666967.00000003
2021-11-29,88.11,88.71,86.72,87.35,7245604.0,632903509.4
2021-11-30,86.28,86.96,85.64,85.94,7378479.0,634106485.26
2021-12-01,86.98,88.81,86.66,86.87,6109916.0,530768402.92
2021-12-02,87.64,88.88,87.32,87.84,5763092.0,506230001.28
2021-12-03,88.63,89.51,87.95,89.38,7368226.0,658572039.88
2021-12-06,90.06,91.795,90.0101,91.39,6774302.0,619103459.78
2021-12-07,91.36,92.23,90.27,90.41,6150957.0,556108022.37
2021-12-08,90.82,91.025,89.55,89.89,5111119.0,459438486.91
2021-12-09,89.54,90.17,89.21,89.5,4594053.0,411167743.5
2021-12-10,89.85,90.57,89.85,90.04,4886134.0,439947505.36
2021-12-13,89.86,92.31,89.67,91.67,8055657.0,738462077.19
2021-12-14,91.43,92.6,90.75,91.92,10371670.0,953363906.4
2021-12-15,92.0,93.2,91.8065,92.73,6460817.0,599111560.41
2021-12-16,92.83,94.57,92.75,94.38,6832450.0,644846631.0
2021-12-17,93.92,94.65,92.95,93.45,10281289.0,960786457.05
2021-12-20,92.81,92.97,91.77,92.86,4284486.0,397857369.96
2021-12-21,93.51,93.78,92.88,93.04,4583522.0,426450886.88000005
2021-12-22,91.61,92.95,91.4163,92.91,4877602.0,453178001.82
2021-12-23,93.0,93.5,92.64,92.93,2926795.0,271987059.35
2021-12-27,92.87,93.56,92.61,93.54,2036604.0,190503938.16000003
2021-12-28,93.39,94.15,93.29,93.86,2622446.0,246142781.56
2021-12-29,93.95,94.69,93.75,94.3,3238647.0,305404412.09999996
2021-12-30,94.46,94.72,94.21,94.26,2973831.0,280313310.06
2021-12-31,94.21,95.185,94.05,95.0,3219472.0,305849840.0
2022-01-03,94.89,95.8,94.44,95.73,4790351.0,458580301.23
2022-01-04,95.77,96.94,95.53,96.34,5372424.0,517579328.16
2022-01-05,96.0,97.07,95.4857,95.95,7180704.0,688988548.8000001
2022-01-06,96.97,97.64,96.12,97.41,6279573.0,611693205.93
2022-01-07,97.39,99.73,97.07,99.14,4764557.0,472358180.98
2022-01-10,99.7,100.4,98.742,100.28,7067358.0,708714660.24
2022-01-11,100.12,101.02,99.085,100.99,6473462.0,653754927.38
2022-01-12,100.96,101.91,100.16,101.44,4812218.0,488151393.92
2022-01-13,101.33,102.13,100.8,102.1,6696796.0,683742871.5999999
2022-01-14,102.1,103.54,101.44,103.38,5576146.0,576461973.48
2022-01-18,103.22,103.6,101.4669,101.73,7123466.0,724670196.1800001
2022-01-19,101.81,102.33,101.42,101.49,6510625.0,660763331.25
2022-01-20,101.06,102.78,100.68,102.02,5589711.0,570262316.22
