timestamps,open,high,low,close,volume,amount
2022-03-14,11.0,11.0,8.65,8.85,100137.0,886212.45
2022-03-15,8.84,8.85,7.75,8.13,85542.0,695456.4600000001
2022-03-16,8.06,8.65,7.935,8.09,33657.0,272285.13
2022-03-17,8.1,8.16,7.86,8.1,27094.0,219461.4
2022-03-18,8.1,8.2,7.88,8.0,51945.0,415560.0
2022-03-21,8.0,8.0,7.48,7.48,27225.0,203643.0
2022-03-22,7.4,7.85,7.28,7.58,24918.0,188878.44
2022-03-23,7.6,7.83,7.38,7.5,30525.0,228937.5
2022-03-24,7.74,7.74,7.2,7.2799,97238.0,707882.9162
2022-03-25,7.58,7.6,7.19,7.51,38054.0,285785.54
2022-03-28,7.23,7.355,6.9,7.01,44151.0,309498.51
2022-03-29,6.9,7.3499,6.86,7.2,47726.0,343627.2
2022-03-30,7.2,7.33,6.9801,7.135,72487.0,517194.745
2022-03-31,7.2,7.83,7.2,7.26,269955.0,1959873.3
2022-04-01,7.2,7.25,6.86,6.9,32512.0,224332.8
2022-04-04,6.82,7.0102,6.66,6.91,31160.0,215315.6
2022-04-05,6.9201,7.0,6.86,6.87,8716.0,59878.92
2022-04-06,6.89,7.0,6.81,6.98,11330.0,79083.40000000001
2022-04-07,6.77,6.9958,6.6,6.89,21474.0,147955.86
2022-04-08,6.91,6.93,6.6725,6.79,6584.0,44705.36
2022-04-11,6.78,6.79,6.61,6.66,8380.0,55810.8
2022-04-12,6.7,6.7,6.0847,6.35,45513.0,289007.55
2022-04-13,6.4,6.505,6.2401,6.3,16713.0,105291.9
2022-04-14,6.25,6.25,5.84,6.03,32402.0,195384.06
2022-04-18,6.12,6.39,5.8895,5.99,27801.0,166527.99000000002
2022-04-19,6.1429,6.25,6.0,6.12,21761.0,133177.32
2022-04-20,6.0681,6.4499,6.0681,6.36,15097.0,96016.92
2022-04-21,6.3285,6.35,6.14,6.14,18899.0,116039.86
2022-04-22,6.14,6.41,6.14,6.33,7706.0,48778.98
2022-04-25,6.45,7.38,6.27,7.16,106424.0,761995.84
2022-04-26,7.2,7.2,6.68,7.08,36206.0,256338.48
2022-04-27,7.01,7.12,6.36,6.46,36663.0,236842.98
2022-04-28,6.5992,6.77,6.28,6.53,10109.0,66011.77
2022-04-29,6.44,6.72,6.42,6.56,15164.0,99475.84
2022-05-02,6.5,6.5,6.28,6.33,19174.0,121371.42
2022-05-03,6.28,6.51,6.28,6.42,9845.0,63204.9
2022-05-04,6.4,6.61,6.4,6.56,22577.0,148105.12
2022-05-05,6.61,6.71,6.56,6.6,11980.0,79068.0
2022-05-06,6.5,6.6005,6.32,6.32,7246.0,45794.72
2022-05-09,6.3,6.31,5.93,6.04,19178.0,115835.12
2022-05-10,6.38,6.38,5.95,6.09,12677.0,77202.93
2022-05-11,5.96,6.19,5.82,5.82,30542.0,177754.44
2022-05-12,5.82,5.82,5.48,5.48,27325.0,149741.0
2022-05-13,5.4,5.97,5.3406,5.97,17428.0,104045.16
2022-05-16,6.25,6.25,5.865,6.0,6441.0,38646.0
2022-05-17,6.0,6.19,5.87,6.19,8626.0,53394.94
2022-05-18,5.9901,6.0999,5.97,5.98,5967.0,35682.66
2022-05-19,5.85,6.17,5.85,6.13,15759.0,96602.67
2022-05-20,5.96,6.19,5.96,6.03,8883.0,53564.490000000005
2022-05-23,6.1,6.19,6.0,6.05,4106.0,24841.3
2022-05-24,6.0373,6.0373,5.64,5.67,8327.0,47214.09
2022-05-25,5.96,5.96,5.67,5.72,31070.0,177720.4
2022-05-26,5.77,5.7866,5.6,5.67,12259.0,69508.53
2022-05-27,5.701,5.75,5.57,5.645,13624.0,76907.48
2022-05-31,5.55,5.69,5.54,5.69,9714.0,55272.66
2022-06-01,5.6296,5.66,5.3323,5.4199,15289.0,82864.8511
2022-06-02,5.91,5.91,5.319,5.505,14856.0,81782.28
2022-06-03,5.51,5.54,5.34,5.3964,7105.0,38341.422
2022-06-06,5.41,5.5,5.28,5.28,11749.0,62034.72
2022-06-07,5.35,5.37,5.28,5.35,12245.0,65510.74999999999
2022-06-08,5.4042,5.41,5.29,5.36,19150.0,102644.0
2022-06-09,5.3499,5.7,5.28,5.63,12501.0,70380.63
2022-06-10,5.63,5.69,5.3793,5.52,13080.0,72201.59999999999
2022-06-13,5.66,5.66,4.81,5.12,43785.0,224179.2
2022-06-14,5.12,5.29,4.8167,4.97,26783.0,133111.50999999998
2022-06-15,5.0495,5.44,4.95,5.1,45785.0,233503.49999999997
2022-06-16,5.1,5.21,5.01,5.15,33175.0,170851.25
2022-06-17,5.1389,5.2,5.07,5.19,13730.0,71258.70000000001
2022-06-21,5.3,5.3,5.1,5.14,7792.0,40050.88
2022-06-22,5.13,5.18,5.04,5.07,2785.0,14119.95
2022-06-23,5.05,5.1036,4.99,5.0,8991.0,44955.0
2022-06-24,5.0001,5.38,5.0001,5.2575,9018.0,47412.135
2022-06-27,5.26,5.28,5.15,5.28,7850.0,41448.0
2022-06-28,5.2399,5.25,5.0,5.0862,4179.0,21255.2298
2022-06-29,5.25,5.37,5.2,5.2,6088.0,31657.6
2022-06-30,5.22,5.34,5.1499,5.22,2755.0,14381.1
2022-07-01,5.3871,5.3871,5.2238,5.2238,3168.0,16548.9984
2022-07-05,5.23,5.23,5.1083,5.1812,6257.0,32418.768399999997
2022-07-06,5.38,5.38,5.11,5.2199,26645.0,139084.2355
2022-07-07,5.209,5.35,5.19,5.27,6074.0,32009.979999999996
2022-07-08,5.32,5.33,5.15,5.1601,8578.0,44263.3378
2022-07-11,5.12,5.1399,4.76,5.0,47961.0,239805.0
2022-07-12,4.85,4.99,4.83,4.9,12266.0,60103.4
2022-07-13,5.03,5.035,4.89,4.92,11606.0,57101.52
2022-07-14,4.9,4.9999,4.7,4.7,16848.0,79185.6
2022-07-15,4.7602,4.8999,4.7,4.7,22176.0,104227.2
2022-07-18,4.8,5.26,4.7,4.77,76430.0,364571.1
2022-07-19,4.9,5.21,4.8999,5.0,31375.0,156875.0
2022-07-20,5.07,5.1599,4.73,4.87,30095.0,146562.65
2022-07-21,4.915,4.915,4.7801,4.8399,19845.0,96047.8155
2022-07-22,4.99,5.01,4.74,4.75,32956.0,156541.0
2022-07-25,4.85,4.9337,4.73,4.73,10055.0,47560.15
2022-07-26,4.73,4.73,4.35,4.54,42532.0,193095.28
2022-07-27,4.5,4.65,4.4,4.4,19737.0,86842.8
2022-07-28,4.6,4.65,4.3773,4.3814,15761.0,69055.2454
2022-07-29,4.419,4.4999,4.03,4.45,38737.0,172379.65
2022-08-01,4.33,4.87,4.1,4.77,9181.0,43793.369999999995
2022-08-02,4.73,4.73,4.26,4.34,10847.0,47075.98
2022-08-03,4.39,4.5098,4.28,4.3099,25598.0,110324.8202
2022-08-04,4.3,4.4299,4.235,4.3599,18582.0,81015.66179999999
2022-08-05,4.4353,4.4353,4.19,4.29,17665.0,75782.85
2022-08-08,4.47,4.49,4.1974,4.325,13679.0,59161.675
2022-08-09,4.31,4.31,3.755,3.83,79596.0,304852.68
2022-08-10,3.83,4.42,3.69,3.87,99319.0,384364.53
2022-08-11,3.79,4.0,3.56,3.56,181789.0,647168.84
2022-08-12,3.58,3.95,3.39,3.6,117325.0,422370.0
2022-08-15,3.6,3.6192,3.03,3.4999,72640.0,254232.736
2022-08-16,3.45,3.45,3.22,3.3459,68131.0,227959.5129
2022-08-17,3.35,3.49,3.16,3.3,35001.0,115503.3
2022-08-18,3.31,3.44,3.2507,3.38,25935.0,87660.3
2022-08-19,3.33,3.41,3.3,3.38,47577.0,160810.26
2022-08-22,3.3,3.83,3.3,3.74,52996.0,198205.04
2022-08-23,3.99,4.4199,3.885,4.4,39710.0,174724.0
2022-08-24,4.42,4.675,4.3281,4.46,32094.0,143139.24
2022-08-25,4.4,4.4699,4.28,4.38,24621.0,107839.98
2022-08-26,4.39,4.4,4.16,4.16,26939.0,112066.24
2022-08-29,3.99,4.09,3.71,3.8,51000.0,193800.0
2022-08-30,3.8,3.82,3.5801,3.81,23342.0,88933.02
2022-08-31,4.02,4.0933,3.81,3.9997,6866.0,27461.940199999997
2022-09-01,3.98,4.0927,3.82,3.9,8823.0,34409.7
2022-09-02,3.84,4.0299,3.84,3.86,2690.0,10383.4
2022-09-06,3.945,4.0,3.77,3.77,8096.0,30521.92
2022-09-07,3.69,3.85,3.69,3.7108,10287.0,38172.9996
2022-09-08,3.6832,4.0999,3.6832,3.92,56336.0,220837.12
2022-09-09,4.11,4.11,3.71,4.0,32573.0,130292.0
2022-09-12,4.0,4.0,3.76,3.89,4526.0,17606.14
2022-09-13,3.96,3.9899,3.62,3.75,35705.0,133893.75
2022-09-14,3.65,3.79,3.54,3.74,8390.0,31378.6
2022-09-15,3.7,3.8408,3.6494,3.7,9872.0,36526.4
2022-09-16,3.64,3.7399,3.64,3.72,11006.0,40942.32
2022-09-19,3.7,3.89,3.61,3.61,19350.0,69853.5
2022-09-20,3.7,3.8125,3.61,3.61,3360.0,12129.6
2022-09-21,3.72,3.72,3.38,3.38,12349.0,41739.619999999995
2022-09-22,3.43,3.47,3.25,3.29,20337.0,66908.73
2022-09-23,3.24,3.24,3.0,3.0,36820.0,110460.0
2022-09-26,3.08,3.2,3.0,3.02,30612.0,92448.24
2022-09-27,3.05,3.21,2.87,2.88,45048.0,129738.24
2022-09-28,2.91,3.02,2.65,2.85,89367.0,254695.95
2022-09-29,2.77,2.8,2.66,2.7,19506.0,52666.2
2022-09-30,2.7,2.7301,2.46,2.5616,103958.0,266298.8128
2022-10-03,2.51,2.8799,2.51,2.85,35092.0,100012.2
2022-10-04,2.83,2.9779,2.83,2.92,11740.0,34280.799999999996
2022-10-05,2.92,2.92,2.75,2.88,9458.0,27239.039999999997
2022-10-06,2.79,2.88,2.72,2.88,8447.0,24327.36
2022-10-07,2.97,3.06,2.81,2.93,50453.0,147827.29
2022-10-10,3.17,3.2199,2.86,2.9684,1778.0,5277.8152
2022-10-11,2.9899,2.9899,2.86,2.862,13274.0,37990.188
2022-10-12,2.8717,2.9114,2.8137,2.9,20766.0,60221.4
2022-10-13,2.9,2.91,2.76,2.802,19200.0,53798.4
2022-10-14,2.91,2.9196,2.34,2.41,140622.0,338899.02
2022-10-17,2.56,2.7999,2.51,2.73,22154.0,60480.42
2022-10-18,2.71,2.8,2.6,2.77,12500.0,34625.0
2022-10-19,2.7,2.88,2.69,2.87,8848.0,25393.76
2022-10-20,2.72,2.78,2.72,2.78,1758.0,4887.24
2022-10-21,2.78,2.78,2.65,2.65,18035.0,47792.75
2022-10-24,2.69,2.69,2.5,2.5,7478.0,18695.0
2022-10-25,2.5,2.57,2.41,2.46,29157.0,71726.22
2022-10-26,2.4638,2.49,2.39,2.46,5356.0,13175.76
2022-10-27,2.58,2.68,2.48,2.61,13736.0,35850.96
2022-10-28,2.55,2.65,2.5,2.62,25608.0,67092.96
2022-10-31,2.67,2.69,2.55,2.56,22981.0,58831.36
2022-11-01,2.58,2.63,2.54,2.55,6704.0,17095.199999999997
2022-11-02,2.5999,2.6,2.51,2.56,11646.0,29813.76
2022-11-03,2.59,2.59,2.45,2.46,7199.0,17709.54
2022-11-04,2.56,2.6,2.51,2.55,10427.0,26588.85
2022-11-07,2.5899,2.81,2.5899,2.66,108698.0,289136.68
2022-11-08,2.765,2.765,2.61,2.631,9091.0,23918.421
2022-11-09,2.6905,2.6905,2.56,2.565,10886.0,27922.59
2022-11-10,2.6301,2.6701,2.61,2.62,4267.0,11179.54
2022-11-11,2.68,2.71,2.62,2.62,17161.0,44961.82
2022-11-14,2.61,3.0,2.61,2.845,42234.0,120155.73
2022-11-15,3.0,3.42,2.95,3.0,48002.0,144006.0
2022-11-16,3.13,3.15,2.9,3.06,19439.0,59483.34
2022-11-17,3.14,3.14,2.811,2.85,19871.0,56632.35
2022-11-18,2.92,2.9748,2.75,2.785,68462.0,190666.67
2022-11-21,2.84,2.8717,2.67,2.7799,9578.0,26625.8822
2022-11-22,2.8435,3.0399,2.79,2.9,9800.0,28420.0
2022-11-23,2.9,2.9,2.75,2.78,4278.0,11892.839999999998
2022-11-25,2.86,2.938,2.8,2.85,12720.0,36252.0
2022-11-28,2.99,3.18,2.86,3.07,25870.0,79420.9
2022-11-29,3.1,3.15,2.92,2.92,14420.0,42106.4
2022-11-30,2.92,3.11,2.92,3.11,3818.0,11873.98
2022-12-01,3.11,3.11,2.9,3.0,8923.0,26769.0
2022-12-02,2.99,3.03,2.96,3.01,16983.0,51118.829999999994
2022-12-05,3.04,3.2,3.02,3.16,17109.0,54064.44
2022-12-06,3.18,3.18,3.11,3.13,9456.0,29597.28
2022-12-07,3.24,3.24,3.1492,3.21,16017.0,51414.57
2022-12-08,3.17,3.28,3.14,3.2,27404.0,87692.8
2022-12-09,3.2964,3.32,3.18,3.22,5983.0,19265.26
2022-12-12,3.21,3.25,3.2,3.23,11822.0,38185.06
2022-12-13,3.3699,3.3699,3.01,3.1,9343.0,28963.3
2022-12-14,3.1012,3.11,2.99,3.02,19986.0,60357.72
2022-12-15,3.04,3.04,2.91,2.96,24859.0,73582.64
2022-12-16,2.9701,2.9819,2.86,2.96,36082.0,106802.72
2022-12-19,2.9871,3.11,2.89,3.11,40330.0,125426.3
2022-12-20,3.1,3.1107,3.05,3.05,9482.0,28920.1
2022-12-21,3.07,3.08,3.01,3.0579,5441.0,16638.0339
2022-12-22,3.1,3.1,2.94,2.99,9438.0,28219.620000000003
2022-12-23,2.9676,2.99,2.93,2.97,4415.0,13112.55
2022-12-27,2.9,2.9267,2.85,2.87,12887.0,36985.69
2022-12-28,2.84,2.92,2.81,2.85,5775.0,16458.75
2022-12-29,2.85,3.05,2.85,3.05,13975.0,42623.75
2022-12-30,2.96,3.03,2.89,3.02,15480.0,46749.6
2023-01-03,3.05,3.28,3.04,3.08,20951.0,64529.08
2023-01-04,3.11,3.16,3.025,3.06,13480.0,41248.8
2023-01-05,3.02,3.14,3.02,3.14,5848.0,18362.72
2023-01-06,3.1415,3.2,3.14,3.14,10115.0,31761.1
2023-01-09,3.1989,3.2875,3.1989,3.26,8022.0,26151.72
2023-01-10,3.41,4.7942,3.3279,4.58,300832.0,1377810.56
2023-01-11,4.79,5.64,4.42,4.5,320801.0,1443604.5
2023-01-12,4.49,4.56,4.09,4.18,83175.0,347671.5
2023-01-13,4.24,4.35,4.1101,4.3,75429.0,324344.7
2023-01-17,4.5,5.2,4.5,5.08,62616.0,318089.28
2023-01-18,5.61,6.23,5.45,5.51,298582.0,1645186.8199999998
2023-01-19,5.53,5.64,5.26,5.62,58396.0,328185.52
2023-01-20,5.77,5.77,5.4016,5.59,69045.0,385961.55
2023-01-23,5.64,5.64,5.13,5.14,55837.0,287002.18
2023-01-24,5.19,5.32,5.02,5.2,56324.0,292884.8
2023-01-25,5.16,5.348,5.07,5.16,24266.0,125212.56
2023-01-26,5.47,5.49,5.2,5.34,20501.0,109475.34
2023-01-27,5.41,5.4462,5.09,5.18,31510.0,163221.8
2023-01-30,5.3,5.39,4.755,4.85,46206.0,224099.1
2023-01-31,4.85,4.865,4.59,4.64,32530.0,150939.19999999998
2023-02-01,4.75,4.94,4.44,4.44,40735.0,180863.4
