timestamps,open,high,low,close,volume,amount
2021-05-28,95.66,95.82,94.5271,95.35,659713.0,62903634.55
2021-06-01,97.36,97.99,96.12,96.45,1039206.0,100231418.7
2021-06-02,96.56,96.675,92.94,93.55,1506967.0,140976762.85
2021-06-03,93.07,93.83,91.25,93.46,816375.0,76298407.5
2021-06-04,93.64,94.255,91.975,93.16,860591.0,80172657.56
2021-06-07,92.96,93.32,91.68,92.24,1099855.0,101450625.2
2021-06-08,93.25,94.875,92.5,94.52,997114.0,94247215.28
2021-06-09,94.04,94.48,92.78,92.84,777145.0,72150141.8
2021-06-10,93.77,93.98,91.425,91.67,1747959.0,160235401.53
2021-06-11,92.32,93.06,91.4,92.12,1613941.0,148676244.92000002
2021-06-14,92.82,93.63,91.17,91.71,851422.0,78083911.61999999
2021-06-15,91.5,92.4,91.1,92.05,700856.0,64513794.8
2021-06-16,91.87,92.11,90.41,91.1,1093204.0,99590884.4
2021-06-17,91.1,91.6599,87.11,87.15,1832987.0,159744817.05
2021-06-18,85.61,86.67,85.231,85.91,2287780.0,196543179.8
2021-06-21,86.78,88.91,86.78,88.21,1795376.0,158370116.95999998
2021-06-22,88.33,89.4,87.28,88.94,1299249.0,115555206.06
2021-06-23,89.44,90.7,88.8,89.82,1075195.0,96574014.9
2021-06-24,90.5,92.52,89.7148,92.06,1421312.0,130845982.72
2021-06-25,92.49,93.14,92.11,92.31,2028257.0,187228403.67
2021-06-28,92.24,92.8,90.0401,91.19,749082.0,68308787.58
2021-06-29,91.71,92.15,90.43,90.71,718688.0,65192188.48
2021-06-30,90.27,91.2,89.799,90.57,1048620.0,94973513.4
2021-07-01,91.86,91.86,90.36,90.76,738359.0,67013462.84
2021-07-02,90.75,90.87,89.05,89.53,808118.0,72350804.54
2021-07-06,89.64,89.64,86.94,87.99,924263.0,81325901.36999999
2021-07-07,86.98,88.88,86.941,87.97,1643986.0,144621448.42
2021-07-08,86.45,88.56,85.06,87.26,1419891.0,123899688.66
2021-07-09,88.68,90.14,88.4,89.79,916466.0,82289482.14
2021-07-12,89.69,91.0,88.68,90.63,742484.0,67291324.92
2021-07-13,90.02,90.41,89.34,89.74,698412.0,62675492.879999995
2021-07-14,90.41,91.39,88.34,88.81,636218.0,56502520.58
2021-07-15,87.76,89.76,87.44,88.33,811879.0,71713272.07
2021-07-16,88.87,89.42,87.57,87.94,946528.0,83237672.32
2021-07-19,86.44,86.63,84.4,85.44,897147.0,76652239.67999999
2021-07-20,85.3,88.84,84.93,88.3,957673.0,84562525.89999999
2021-07-21,89.5,90.575,89.24,89.55,613681.0,54955133.55
2021-07-22,89.41,89.89,88.58,89.22,608341.0,54276184.02
2021-07-23,89.71,89.93,88.735,89.77,549164.0,49298452.28
2021-07-26,89.94,90.638,87.82,88.18,688795.0,60737943.1
2021-07-27,87.55,88.75,87.09,88.09,649018.0,57171995.620000005
2021-07-28,88.32,90.5734,86.94,89.66,761990.0,68320023.39999999
2021-07-29,90.89,91.9,90.07,91.45,637417.0,58291784.65
2021-07-30,90.88,91.86,90.53,90.9,630401.0,57303450.900000006
2021-08-02,91.86,93.42,89.02,89.1,688420.0,61338221.99999999
2021-08-03,89.58,91.3,88.31,91.18,870008.0,79327329.44000001
2021-08-04,90.53,90.97,89.02,89.04,1054392.0,93883063.68
2021-08-05,88.31,94.2618,88.31,92.53,1216274.0,112541833.22
