timestamps,open,high,low,close,volume,amount
2021-05-28,261.07,263.15,259.87,260.02,4206832.0,1093860456.64
2021-06-01,261.08,263.42,256.52,259.27,5869632.0,1521819488.64
2021-06-02,260.48,264.7799,259.58,262.17,6777808.0,1776937923.36
2021-06-03,258.4,260.98,256.15,257.79,4947147.0,1275325025.13
2021-06-04,259.5138,263.46,259.15,263.04,4086113.0,1074811163.52
2021-06-07,262.48,262.94,260.19,260.6,3979778.0,1037130146.8
2021-06-08,261.5741,264.55,260.565,263.15,4415016.0,1161811460.4
2021-06-09,265.0,268.1994,263.26,263.6,4652997.0,1226530009.2
2021-06-10,263.07,269.65,261.69,269.47,6055717.0,1631834059.9900002
2021-06-11,268.75,271.8999,268.4,271.45,4494584.0,1220054826.8
2021-06-14,271.9,274.97,270.6,274.93,5174233.0,1422551878.69
2021-06-15,274.73,274.73,270.68,271.89,5371069.0,1460339950.4099998
2021-06-16,271.4502,275.1603,265.3099,268.82,6874616.0,1848034273.12
2021-06-17,268.5,279.3718,268.46,278.11,8071052.0,2244640271.7200003
2021-06-18,275.3,286.38,274.86,283.38,14703402.0,4166650058.76
2021-06-21,283.2788,284.305,276.725,283.1,7287754.0,2063163157.4
2021-06-22,281.7,287.46,280.22,286.75,6049410.0,1734668317.5
2021-06-23,285.94,288.55,284.78,288.12,4966741.0,1431017416.92
2021-06-24,290.18,296.01,289.64,293.21,7140286.0,2093603258.06
2021-06-25,292.6,292.87,287.8,289.6,6616873.0,1916246420.8
2021-06-28,290.8502,294.26,289.78,293.65,5058605.0,1485459358.25
2021-06-29,292.97,295.18,291.53,292.76,4333201.0,1268587924.76
2021-06-30,291.53,292.6999,289.51,291.48,4235243.0,1234488629.64
2021-07-01,290.33,291.9,285.76,289.0,5652486.0,1633568454.0
2021-07-02,290.94,292.4299,288.92,290.24,4171502.0,1210736740.48
2021-07-06,290.035,294.526,289.52,292.64,5043522.0,1475936278.08
2021-07-07,294.9,299.3087,291.91,297.13,6713925.0,1994908535.25
2021-07-08,292.1,295.8651,289.46,295.05,5911952.0,1744321437.6
2021-07-09,296.41,300.83,295.0,300.21,5543262.0,1664142685.02
2021-07-12,302.37,303.5,298.56,302.97,5455983.0,1652999169.5100002
2021-07-13,302.19,307.82,298.75,301.19,7235032.0,2179119288.08
2021-07-14,303.01,304.81,299.3301,300.75,4848213.0,1458100059.75
2021-07-15,300.86,301.18,294.14,296.51,4943528.0,1465805487.28
2021-07-16,297.23,298.75,294.44,294.63,4268899.0,1257745712.37
2021-07-19,292.35,295.0693,288.81,294.85,5681478.0,1675183788.3000002
2021-07-20,295.515,300.03,291.57,298.07,5419296.0,1615329558.72
2021-07-21,296.49,301.83,296.2,301.77,5473740.0,1651810519.8
2021-07-22,302.0207,304.57,301.87,303.69,3601476.0,1093732246.44
2021-07-23,305.76,309.475,304.2,308.53,4231088.0,1305417580.64
2021-07-26,309.66,310.16,305.23,306.8,3805925.0,1167657790.0
2021-07-27,305.5,306.34,294.89,300.48,6938396.0,2084849230.08
2021-07-28,300.74,302.43,296.78,301.98,9169458.0,2768992926.84
2021-07-29,285.37,289.0,281.6,283.17,18236974.0,5164163927.58
2021-07-30,280.245,280.5,274.21,275.53,11689377.0,3220774044.8099995
2021-08-02,276.885,276.885,270.4302,270.99,10069821.0,2728820792.79
2021-08-03,272.06,274.54,269.57,273.5,8323049.0,2276353901.5
2021-08-04,274.0711,276.0931,270.67,275.5,6616877.0,1822949613.5
2021-08-05,277.1,280.96,275.82,280.67,7354195.0,2064101910.65
2021-08-06,280.0,282.3699,276.87,279.54,6086327.0,1701371849.5800002
2021-08-09,280.22,281.1,277.46,278.15,3817596.0,1061864327.4
2021-08-10,278.94,280.49,272.5,274.37,6264118.0,1718686055.66
2021-08-11,277.4418,278.235,273.13,276.41,5785928.0,1599288358.4800005
2021-08-12,274.25,276.805,273.06,274.59,4513787.0,1239440772.33
2021-08-13,276.17,276.81,274.61,274.91,4082809.0,1122405022.19
2021-08-16,273.73,279.19,273.56,278.28,5285791.0,1470929919.4799998
2021-08-17,275.25,275.545,269.08,271.1,7966077.0,2159603474.7000003
2021-08-18,271.01,272.77,268.48,268.84,4830905.0,1298740500.1999998
2021-08-19,267.19,272.0099,266.6033,270.58,5069910.0,1371816247.8
2021-08-20,269.54,273.935,269.54,272.96,4179531.0,1140844781.76
2021-08-23,275.75,278.29,273.02,276.98,5507500.0,1525467350.0
2021-08-24,278.93,279.58,276.5086,279.51,3542641.0,990203585.91
2021-08-25,279.8157,279.8296,276.77,277.69,4392583.0,1219776373.27
2021-08-26,277.89,278.68,273.52,273.62,3626405.0,992256936.1
2021-08-27,274.03,278.89,273.67,278.33,3916952.0,1090205250.1599998
2021-08-30,279.61,290.406,279.08,288.47,14631047.0,4220618128.0900006
2021-08-31,290.93,292.65,284.34,288.66,8880653.0,2563489294.98
2021-09-01,290.1,290.9,286.36,286.75,5539281.0,1588388826.75
2021-09-02,288.9,288.9,285.25,285.53,4647112.0,1326889889.36
2021-09-03,285.03,290.38,284.4,289.13,5287970.0,1528910766.1
2021-09-07,290.41,293.68,288.04,293.26,6876110.0,2016488018.6
2021-09-08,296.55,296.7,283.33,285.23,11039278.0,3148733263.94
2021-09-09,287.45,289.37,285.08,286.88,4169970.0,1196280993.6
2021-09-10,288.6,289.0,284.11,284.32,3816588.0,1085132300.16
2021-09-13,286.72,287.19,277.8,280.49,4925080.0,1381435689.2
2021-09-14,281.8444,283.17,279.71,282.24,4291145.0,1211132764.8
2021-09-15,284.21,285.75,279.5,282.43,4109407.0,1160619819.01
2021-09-16,281.04,283.69,280.39,282.97,3606742.0,1020599783.74
2021-09-17,282.18,282.5,275.92,276.34,7914126.0,2186989578.8399997
2021-09-20,271.55,273.0,265.68,269.91,7728307.0,2085947342.37
2021-09-21,271.75,272.2986,267.8,269.49,4326076.0,1165834221.24
2021-09-22,270.46,273.47,266.5,272.34,5574070.0,1518042223.8
2021-09-23,274.45,279.95,273.78,279.1,5409581.0,1509814057.1
2021-09-24,276.02,278.33,274.69,278.11,3985813.0,1108494453.43
2021-09-27,274.78,276.78,272.1855,273.39,4614852.0,1261654388.28
2021-09-28,269.895,271.44,261.68,262.19,8352372.0,2189908414.68
2021-09-29,263.51,264.46,256.89,259.0,6829064.0,1768727576.0
2021-09-30,259.65,263.47,258.73,260.21,5412158.0,1408297633.1799998
2021-10-01,261.4548,265.82,260.11,264.65,4560448.0,1206922563.1999998
2021-10-04,261.8378,262.57,251.59,255.01,7267168.0,1853200511.68
2021-10-05,255.22,262.77,253.59,260.15,6317587.0,1643520258.05
2021-10-06,256.29,264.39,256.03,264.06,4615285.0,1218712157.1
2021-10-07,265.95,268.6933,263.07,263.54,5276445.0,1390554315.3000002
2021-10-08,264.955,265.47,259.8,260.06,4161857.0,1082332531.42
2021-10-11,257.93,260.66,254.69,255.05,5031650.0,1283322332.5
2021-10-12,256.0,257.97,253.78,255.85,4289324.0,1097423545.4
2021-10-13,258.73,261.24,254.245,256.36,6024050.0,1544325458.0
2021-10-14,261.5,267.41,260.2,266.45,7855106.0,2092992993.7
2021-10-15,268.7006,269.7209,265.44,268.35,4987867.0,1338494109.45
2021-10-18,266.39,270.44,264.71,270.33,4367137.0,1180568145.21
2021-10-19,271.01,273.27,269.835,271.7,3985909.0,1082971475.3
2021-10-20,273.0,273.51,253.1,258.36,31271743.0,8079367521.48
2021-10-21,258.61,258.96,242.98,243.21,42499925.0,10336406759.25
2021-10-22,243.73,246.66,239.75,240.4,24168917.0,5810207646.8
2021-10-25,254.955,255.52,245.82,246.88,23045333.0,5689431811.04
2021-10-26,249.45,249.88,241.01,243.0,14304294.0,3475943442.0
2021-10-27,243.85,244.6899,233.92,234.94,18543914.0,4356707155.16
