timestamps,open,high,low,close,volume,amount
2022-08-08,8.98,13.1175,8.75,10.0,1461459.0,14614590.0
2022-08-09,10.43,12.5,7.5,12.4,940281.0,11659484.4
2022-08-10,11.71,13.23,10.5,12.11,827034.0,10015381.74
2022-08-11,12.1,12.6999,11.35,11.86,282018.0,3344733.48
2022-08-12,11.36,11.5999,10.23,10.86,234128.0,2542630.08
2022-08-15,11.0,11.5,10.6,10.7,90663.0,970094.1
2022-08-16,10.78,11.15,10.28,10.46,136806.0,1430990.76
2022-08-17,9.75,10.8,9.75,10.37,257256.0,2667744.7199999997
2022-08-18,10.39,10.64,9.89,10.07,187632.0,1889454.24
2022-08-19,10.0,10.4,8.66,8.95,184006.0,1646853.7
2022-08-22,8.97,8.97,8.13,8.22,150113.0,1233928.86
2022-08-23,8.3,8.88,7.38,8.12,395447.0,3211029.6399999997
2022-08-24,8.6,9.5,8.2,8.4,191871.0,1611716.4
2022-08-25,8.43,9.19,8.21,8.53,97396.0,830787.8799999999
2022-08-26,9.11,9.44,8.5401,9.08,124839.0,1133538.12
2022-08-29,9.11,9.15,7.59,7.8,108077.0,843000.6
2022-08-30,8.57,8.68,7.0,7.05,184528.0,1300922.4
2022-08-31,7.01,7.15,6.35,6.68,198634.0,1326875.12
2022-09-01,6.33,6.61,5.98,6.09,78642.0,478929.78
2022-09-02,6.35,6.42,6.03,6.1,90680.0,553148.0
2022-09-06,6.0,6.2,5.4,5.63,161552.0,909537.76
2022-09-07,5.67,6.35,5.53,6.06,122185.0,740441.1
2022-09-08,6.65,7.1236,6.21,6.87,84506.0,580556.22
2022-09-09,7.16,7.21,6.7,6.78,126183.0,855520.74
2022-09-12,7.3,7.3,6.84,6.92,99641.0,689515.72
2022-09-13,7.23,7.23,6.39,6.6,92851.0,612816.6
2022-09-14,6.6,8.5,6.6,7.8,193200.0,1506960.0
2022-09-15,8.28,8.35,7.5912,8.32,283042.0,2354909.44
2022-09-16,8.18,8.3,6.55,6.64,229067.0,1521004.88
2022-09-19,7.2,7.85,5.63,5.74,165676.0,950980.24
2022-09-20,5.79,6.85,5.7012,6.56,305989.0,2007287.84
2022-09-21,6.97,7.4344,5.9,6.04,197604.0,1193528.16
2022-09-22,5.95,6.58,5.78,5.78,120714.0,697726.92
2022-09-23,5.77,6.4999,5.6858,6.43,94238.0,605950.34
2022-09-26,6.27,7.415,6.04,7.06,129097.0,911424.82
2022-09-27,7.06,7.86,7.0,7.3,114424.0,835295.2
2022-09-28,7.3,7.7899,6.58,6.77,102887.0,696544.99
2022-09-29,6.7,7.58,6.7,7.46,96152.0,717293.92
2022-09-30,7.6,8.3,7.51,7.87,127028.0,999710.36
2022-10-03,7.84,7.84,7.05,7.21,72871.0,525399.91
2022-10-04,7.19,7.98,7.19,7.26,47825.0,347209.5
2022-10-05,7.47,7.775,7.2256,7.63,60796.0,463873.48
2022-10-06,7.42,8.08,7.34,7.95,25776.0,204919.2
2022-10-07,7.89,8.29,7.8538,8.18,53574.0,438235.32
2022-10-10,8.03,8.15,7.5,7.99,42217.0,337313.83
2022-10-11,7.76,7.9999,7.44,7.55,17447.0,131724.85
