timestamps,open,high,low,close,volume,amount
2021-05-28,134.1541,135.64,133.95,134.54,7044084.0,947711061.36
2021-06-01,135.1036,136.07,133.53,133.94,7043214.0,943368083.16
2021-06-02,133.18,134.73,132.47,133.82,6025988.0,806397714.16
2021-06-03,132.65,133.39,131.42,131.78,6643997.0,875545924.66
2021-06-04,132.525,135.05,132.2,134.34,7416675.0,996356119.5
2021-06-07,133.7,133.77,132.64,133.32,5563253.0,741692889.9599999
2021-06-08,134.06,135.3895,133.0,134.2,9657889.0,1296088703.8
2021-06-09,135.1048,135.35,132.79,132.89,6711743.0,891923527.2699999
2021-06-10,133.05,135.1,132.58,134.22,5522273.0,741199482.06
2021-06-11,133.8,134.65,133.65,134.62,6166494.0,830133422.28
2021-06-14,135.195,137.31,134.7869,137.31,7912621.0,1086481989.51
2021-06-15,137.14,137.38,135.23,135.58,5723574.0,776002162.9200001
2021-06-16,136.47,137.05,133.66,134.95,7404737.0,999269258.15
2021-06-17,134.31,136.62,134.09,135.35,6618346.0,895793131.0999999
2021-06-18,134.55,134.58,132.24,133.0,12753569.0,1696224677.0
2021-06-21,133.05,135.1,132.66,133.96,6371423.0,853515825.08
2021-06-22,134.22,135.31,133.29,135.08,5976376.0,807288870.08
2021-06-23,134.89,136.23,134.81,135.52,6613763.0,896297161.7600001
2021-06-24,136.6191,138.51,136.35,137.92,7929060.0,1093575955.1999998
2021-06-25,138.45,139.47,136.97,137.65,7949190.0,1094206003.5
2021-06-28,138.23,140.17,137.98,139.72,6645474.0,928505627.28
2021-06-29,139.632,142.95,139.25,142.62,6885355.0,981989330.1
2021-06-30,142.35,143.628,141.84,142.93,6449659.0,921849760.87
2021-07-01,142.91,143.02,140.35,140.8,6094085.0,858047168.0000001
2021-07-02,141.99,142.68,141.25,142.58,5399720.0,769892077.6
2021-07-06,143.0,143.18,139.68,141.19,7095210.0,1001772699.9
2021-07-07,142.24,142.36,139.0612,139.97,5034862.0,704729634.14
2021-07-08,137.72,138.87,135.6,138.29,7501092.0,1037326012.68
2021-07-09,137.89,141.73,137.81,141.43,7356808.0,1040473355.44
2021-07-12,141.4,143.02,141.2,142.47,6786522.0,966875789.34
2021-07-13,142.44,142.66,140.42,141.18,5657645.0,798746321.1
2021-07-14,143.5,146.34,142.5,143.75,11305730.0,1625198687.5
2021-07-15,144.12,144.14,140.72,141.46,6667440.0,943176062.4
2021-07-16,141.87,142.51,139.53,139.71,5666425.0,791656236.75
2021-07-19,138.3245,138.895,136.81,138.79,9371342.0,1300648556.1799998
