timestamps,open,high,low,close,volume,amount
2021-05-28,334.12,335.5699,333.6,333.93,29927449.0,9993673044.57
2021-06-01,335.3,335.785,331.43,332.82,30916778.0,10289722053.96
2021-06-02,333.25,334.34,331.695,333.47,22044340.0,7351126059.8
2021-06-03,330.55,331.86,328.28,330.0,36765825.0,12132722250.0
2021-06-04,331.85,336.0582,331.78,335.6,38697195.0,12986778642.0
2021-06-07,335.05,336.66,334.34,336.6,32496902.0,10938457213.2
2021-06-08,338.395,339.29,335.03,336.76,27282819.0,9187762126.44
2021-06-09,338.17,338.97,336.651,336.84,21485319.0,7237114851.959999
2021-06-10,337.19,340.46,336.73,340.35,33702067.0,11470498503.45
2021-06-11,340.36,341.25,339.69,341.24,21142830.0,7214779309.2
2021-06-14,341.68,344.52,340.46,344.51,27827716.0,9586926439.16
2021-06-15,344.15,344.47,341.52,342.26,35963780.0,12308963342.8
2021-06-16,342.74,343.84,337.45,341.01,55354045.0,18876282885.45
2021-06-17,339.97,346.38,339.92,345.34,59582100.0,20576082414.0
2021-06-18,343.63,344.8082,341.86,342.63,55176712.0,18905196832.56
2021-06-21,342.43,344.69,340.15,344.36,32915249.0,11334695145.64
2021-06-22,344.15,348.03,343.84,347.57,28833626.0,10021703388.82
2021-06-23,347.51,348.92,346.88,347.74,27188454.0,9454512993.96
2021-06-24,349.73,351.46,349.17,349.89,32565105.0,11394204588.45
2021-06-25,350.47,350.72,348.84,349.46,28646601.0,10010841185.46
2021-06-28,350.78,353.85,350.72,353.71,39130305.0,13840780181.55
2021-06-29,353.53,355.0199,352.67,354.99,29426039.0,10445949584.61
2021-06-30,354.83,355.23,353.83,354.43,32723964.0,11598354560.52
2021-07-01,354.07,355.09,352.68,354.57,29262128.0,10375472724.96
2021-07-02,356.52,358.97,356.28,358.64,32727244.0,11737298788.16
2021-07-06,359.26,360.48,356.49,360.19,38842394.0,13990641894.86
2021-07-07,362.45,362.76,358.94,360.95,35249642.0,12723358279.9
2021-07-08,355.74,359.65,354.42,358.77,50676771.0,18181305131.67
2021-07-09,358.17,361.5,357.57,361.01,35184534.0,12701968619.34
2021-07-12,362.45,362.89,360.83,362.42,25690477.0,9310742674.34
2021-07-13,362.03,365.465,361.54,362.42,39655565.0,14371969867.3
