timestamps,open,high,low,close,volume,amount
2021-05-28,137.47,137.909,137.12,137.23,193932.0,26613288.36
2021-06-01,137.85,137.96,136.3201,136.81,118867.0,16262194.27
2021-06-02,136.94,137.4015,136.33,137.03,93112.0,12759137.36
2021-06-03,135.89,136.2927,135.0,135.59,83491.0,11320544.69
2021-06-04,136.42,138.11,136.42,137.95,93103.0,12843558.85
2021-06-07,137.77,138.36,137.52,138.33,100025.0,13836458.250000002
2021-06-08,139.04,139.415,137.72,138.35,69611.0,9630681.85
2021-06-09,139.0,139.29,138.386,138.47,138712.0,19207450.64
2021-06-10,138.7,139.88,138.47,139.875,90797.0,12700230.375
2021-06-11,140.0,140.224,139.7,140.22,71372.0,10007781.84
2021-06-14,140.45,141.503,140.0595,141.503,60683.0,8586826.548999999
2021-06-15,141.61,141.61,140.45,140.73,60415.0,8502202.95
2021-06-16,140.96,141.3,138.7001,140.17,134324.0,18828195.08
2021-06-17,139.83,142.33,139.83,141.94,136478.0,19371687.32
2021-06-18,141.43,141.61,140.58,140.79,94446.0,13297052.34
2021-06-21,140.8,141.58,139.81,141.51,99820.0,14125528.2
2021-06-22,141.55,143.0,141.41,142.84,95718.0,13672359.12
2021-06-23,142.94,143.3699,142.7273,142.84,106497.0,15212031.48
2021-06-24,143.76,144.38,143.48,143.72,252048.0,36224338.56
2021-06-25,144.1,144.1,143.4,143.62,70332.0,10101081.84
2021-06-28,144.22,145.4035,144.22,145.38,159905.0,23246988.9
2021-06-29,145.4,145.89,145.0,145.85,85603.0,12485197.55
2021-06-30,145.89,145.95,145.4801,145.73,88107.0,12839833.11
2021-07-01,145.59,145.85,145.0,145.73,278316.0,40558990.68
2021-07-02,146.56,147.51,146.47,147.37,148498.0,21884150.26
2021-07-06,147.73,148.099,146.52,147.96,104119.0,15405447.24
2021-07-07,149.14,149.14,147.57,148.25,214453.0,31792657.25
2021-07-08,146.13,147.78,145.69,147.44,288682.0,42563274.08
2021-07-09,147.22,148.5201,146.955,148.34,191272.0,28373288.48
2021-07-12,149.01,149.1201,148.29,148.95,162834.0,24254124.299999997
2021-07-13,148.78,150.15,148.6859,148.94,259634.0,38669887.96
2021-07-14,149.91,150.18,148.95,149.18,258815.0,38610021.7
2021-07-15,149.15,149.21,147.355,148.14,281060.0,41636228.4
2021-07-16,148.5,148.92,146.83,146.96,207885.0,30550779.6
2021-07-19,145.52,145.92,144.75,145.78,329937.0,48098215.86
2021-07-20,146.19,148.06,145.46,147.46,195796.0,28872078.16
2021-07-21,147.33,148.55,147.29,148.52,204018.0,30300753.360000003
2021-07-22,148.72,149.57,148.72,149.57,171851.0,25703754.07
2021-07-23,150.21,151.42,149.71,151.22,190053.0,28739814.66
2021-07-26,151.03,151.5899,150.7267,151.43,288574.0,43698760.82
2021-07-27,151.32,151.32,148.04,149.8,321599.0,48175530.2
2021-07-28,150.23,150.97,149.33,150.34,328114.0,49328658.76
2021-07-29,150.21,151.07,150.1563,150.6,197816.0,29791089.6
2021-07-30,148.97,150.06,148.94,149.84,202876.0,30398939.84
2021-08-02,150.57,150.73,149.6,149.83,257581.0,38593361.23
2021-08-03,150.19,150.78,148.83,150.74,446304.0,67275864.96000001
2021-08-04,150.75,151.35,150.335,150.97,287924.0,43467886.28
2021-08-05,151.34,152.0,151.05,151.92,176984.0,26887409.279999997
2021-08-06,151.45,151.76,150.86,151.26,186723.0,28243720.979999997
2021-08-09,151.5,151.75,151.0,151.54,135447.0,20525638.38
2021-08-10,151.76,151.8687,150.27,150.77,255329.0,38495953.330000006
2021-08-11,151.29,151.45,149.9498,150.5,190244.0,28631722.0
2021-08-12,150.28,151.18,149.73,151.05,173899.0,26267443.950000003
2021-08-13,151.21,151.7,150.99,151.57,161054.0,24410954.779999997
2021-08-16,151.15,151.66,149.46,151.65,346376.0,52527920.4
2021-08-17,150.4933,150.885,149.29,150.31,381175.0,57294414.25
2021-08-18,150.01,150.6317,148.73,148.87,207686.0,30918214.82
2021-08-19,148.03,150.225,147.94,149.57,344514.0,51528958.98
2021-08-20,150.07,151.29,149.94,151.12,224849.0,33979180.88
2021-08-23,151.57,153.655,151.57,153.36,409045.0,62731141.2
2021-08-24,153.64,154.1037,153.45,153.87,208295.0,32050351.65
2021-08-25,154.01,154.27,153.67,153.96,296166.0,45597717.36
2021-08-26,153.75,153.96,152.9,153.07,341453.0,52266210.71
2021-08-27,153.3,154.73,153.12,154.53,224402.0,34676841.06
2021-08-30,154.88,156.4745,154.88,156.28,822991.0,128617033.48
2021-08-31,156.38,156.38,155.5,156.13,277780.0,43369791.4
2021-09-01,156.63,157.27,156.34,156.41,377030.0,58971262.3
2021-09-02,156.98,157.12,155.86,156.35,330790.0,51719016.5
2021-09-03,155.93,156.95,155.93,156.82,214520.0,33641026.4
2021-09-07,156.86,157.3098,156.38,157.04,297040.0,46647161.599999994
2021-09-08,156.95,156.95,155.55,156.51,348201.0,54496938.51
2021-09-09,156.58,157.03,155.87,155.96,317078.0,49451484.88
2021-09-10,156.71,156.97,154.6502,154.8,344403.0,53313584.400000006
2021-09-13,155.77,155.93,153.8,154.68,344654.0,53311080.72
2021-09-14,155.31,155.57,153.84,154.24,343201.0,52935322.24
2021-09-15,154.43,155.51,153.5,155.36,454271.0,70575542.56
2021-09-16,154.83,155.71,154.01,155.47,446273.0,69382063.31
2021-09-17,155.16,155.16,153.23,153.67,358255.0,55053045.849999994
2021-09-20,151.09,151.9,148.35,150.4,1770022.0,266211308.8
2021-09-21,151.26,151.55,150.06,150.45,993004.0,149397451.79999998
2021-09-22,150.95,152.5,150.45,151.87,403790.0,61323587.3
2021-09-23,152.4,153.72,152.19,153.25,319186.0,48915254.5
2021-09-24,152.33,153.6,152.2,153.44,330309.0,50682612.96
2021-09-27,152.11,152.56,151.17,152.22,488580.0,74371647.6
2021-09-28,150.27,150.527,147.75,148.05,844093.0,124967968.65
2021-09-29,148.43,149.2902,147.46,147.67,666835.0,98471524.45
2021-09-30,148.38,149.04,147.0,147.11,1069313.0,157306635.43
2021-10-01,147.4,148.46,145.68,148.03,786487.0,116423670.61
2021-10-04,147.31,147.4,143.98,145.01,1071916.0,155438539.16
2021-10-05,145.39,147.8,145.29,146.88,1172971.0,172285980.48
2021-10-06,145.49,147.94,145.17,147.88,729989.0,107950773.32
2021-10-07,149.17,150.29,148.9,149.18,369176.0,55073675.68
2021-10-08,149.72,149.72,148.23,148.45,461252.0,68472859.39999999
2021-10-11,147.79,149.26,147.29,147.32,498108.0,73381270.56
2021-10-12,147.9,148.07,146.54,146.82,307733.0,45181359.059999995
2021-10-13,147.8,148.2,146.92,147.95,302061.0,44689924.95
2021-10-14,149.49,150.75,149.23,150.69,232368.0,35015533.92
2021-10-15,151.3,151.69,150.77,151.66,201414.0,30546447.24
2021-10-18,151.12,153.25,150.91,153.17,314630.0,48191877.099999994
2021-10-19,153.69,154.34,153.35,154.26,306495.0,47279918.7
2021-10-20,154.53,154.75,153.55,154.11,241354.0,37195064.940000005
2021-10-21,153.8,155.15,153.8,155.08,217227.0,33687563.160000004
2021-10-22,154.5,154.919,153.15,153.76,201323.0,30955424.479999997
2021-10-25,154.37,155.7,153.65,155.35,269191.0,41818821.85
2021-10-26,156.31,157.27,155.38,155.77,269866.0,42037026.82
2021-10-27,156.01,157.4698,155.91,156.21,332480.0,51936700.8
2021-10-28,156.94,158.01,156.74,157.91,261626.0,41313361.66
2021-10-29,156.55,158.76,156.47,158.75,302854.0,48078072.5
2021-11-01,158.97,159.287,158.04,159.22,406487.0,64720860.14
2021-11-02,159.04,160.11,158.98,159.89,299779.0,47931664.309999995
2021-11-03,160.16,161.78,159.71,161.63,340690.0,55065724.7
2021-11-04,162.15,164.06,161.96,163.68,837938.0,137153691.84
2021-11-05,164.4,164.78,163.32,163.83,522563.0,85611496.29
2021-11-08,163.85,164.24,163.35,163.62,265175.0,43387933.5
2021-11-09,164.13,164.23,161.92,162.51,527127.0,85663408.77
2021-11-10,161.3,162.48,159.32,160.12,553574.0,88638268.88
2021-11-11,161.41,161.41,160.4,160.55,268691.0,43138340.05
2021-11-12,161.04,162.439,160.39,162.23,264285.0,42874955.55
2021-11-15,162.74,162.86,161.17,162.2,333071.0,54024116.2
2021-11-16,161.94,163.5499,161.92,163.38,237831.0,38856828.78
2021-11-17,163.53,164.27,163.08,163.43,374209.0,61156976.870000005
2021-11-18,164.34,165.34,163.39,165.11,358049.0,59117470.39000001
2021-11-19,165.87,166.58,165.5,166.07,3670732.0,609598463.24
2021-11-22,166.82,167.91,164.1,164.18,2196705.0,360655026.9
2021-11-23,163.65,164.49,161.53,163.39,658583.0,107605876.37
2021-11-24,162.35,164.03,161.4,163.9,499277.0,81831500.3
2021-11-26,162.85,163.4,160.27,160.8,421481.0,67774144.80000001
2021-11-29,162.73,164.69,162.45,164.26,457482.0,75145993.32
2021-11-30,163.88,164.84,161.11,161.89,929947.0,150549119.82999998
2021-12-01,163.78,164.6,158.97,159.22,1009730.0,160769210.6
2021-12-02,158.64,161.02,157.99,160.31,1156177.0,185346734.87
2021-12-03,160.92,161.24,155.7899,157.54,1172452.0,184708088.08
2021-12-06,157.6,159.3,155.99,158.76,757190.0,120211484.4
2021-12-07,161.63,163.78,161.5913,163.62,504969.0,82623027.78
2021-12-08,163.71,164.35,162.92,164.3,507005.0,83300921.5
2021-12-09,163.8,164.4963,161.79,161.96,522379.0,84604502.84
2021-12-10,163.11,163.74,161.72,163.65,562365.0,92031032.25
2021-12-13,163.67,163.71,161.12,161.27,389348.0,62790151.96
2021-12-14,159.22,160.36,157.78,159.67,525164.0,83852935.88
2021-12-15,159.56,163.3462,157.85,163.12,497888.0,81215490.56
2021-12-16,163.7,163.82,158.36,159.12,620939.0,98803813.68
2021-12-17,157.54,159.93,156.9563,158.25,526131.0,83260230.75
2021-12-20,156.19,156.81,155.26,156.59,768445.0,120330802.55
