timestamps,open,high,low,close,volume,amount
2021-05-28,96.85,98.95,92.53,93.77,13633314.0,1278395853.78
2021-06-01,94.77,97.93,93.22,96.89,13763977.0,1333591731.53
2021-06-02,96.88,103.29,95.39,99.86,16787792.0,1676428909.12
2021-06-03,98.83,102.05,96.27,96.5,11013047.0,1062759035.5
2021-06-04,100.68,103.8661,98.52,99.57,14786808.0,1472322472.56
2021-06-07,99.34,100.9498,93.28,93.44,15354410.0,1434716070.4
2021-06-08,93.61,94.225,88.89,91.41,14534859.0,1328631461.19
2021-06-09,91.79,95.99,90.65,91.04,12802807.0,1165567549.28
2021-06-10,91.2,91.8219,86.83,91.0,12362374.0,1124976034.0
2021-06-11,91.97,94.77,91.15,92.82,8759207.0,813029593.7399999
2021-06-14,93.26,93.26,87.57,87.8,11718294.0,1028866213.2
2021-06-15,87.71,90.76,86.84,89.8,10913031.0,979990183.8
2021-06-16,82.88,86.42,79.88,82.59,44245897.0,3654268633.23
2021-06-17,84.76,86.335,82.0,82.98,12433312.0,1031716229.76
2021-06-18,82.97,83.4,80.08,81.14,11258198.0,913490185.72
2021-06-21,80.57,83.36,78.56,82.51,11360510.0,937355680.1
2021-06-22,83.07,83.86,80.5,82.44,10183180.0,839501359.1999999
2021-06-23,83.2,85.45,82.0,84.86,8071786.0,684971759.96
2021-06-24,83.5,87.7,83.36,87.34,9006398.0,786618801.32
2021-06-25,88.0,88.94,85.07,87.0,7665458.0,666894846.0
2021-06-28,86.99,94.39,86.99,93.04,14110346.0,1312826591.8400002
2021-06-29,91.55,93.31,89.8,92.6,8003575.0,741131045.0
2021-06-30,92.56,92.9,89.91,89.98,4459592.0,401274088.16
2021-07-01,89.89,89.99,84.2069,85.82,10393445.0,891965449.9
2021-07-02,87.16,87.24,84.89,86.2,5866402.0,505683852.4
2021-07-06,87.32,88.75,85.32,86.98,6387794.0,555610322.12
2021-07-07,87.85,89.3483,85.65,86.4,6194545.0,535208688.00000006
2021-07-08,83.28,88.05,82.515,86.88,6825980.0,593041142.4
2021-07-09,87.29,87.3,85.12,86.26,3977627.0,343110105.02000004
2021-07-12,87.1,89.87,84.85,86.54,6797425.0,588249159.5
2021-07-13,86.34,86.45,83.15,84.02,9263300.0,778302466.0
2021-07-14,84.04,84.24,79.0701,79.17,10527072.0,833428290.24
2021-07-15,79.06,80.29,75.59,77.28,10638685.0,822157576.8000001
2021-07-16,78.46,79.11,76.99,77.56,4743519.0,367907333.64
2021-07-19,75.85,79.98,74.78,79.24,5473324.0,433706193.76
2021-07-20,80.78,80.98,77.45,79.86,4854899.0,387712234.14
2021-07-21,79.66,80.57,78.48,79.91,4115384.0,328860335.44
2021-07-22,80.67,82.1803,80.1095,82.03,4402461.0,361133875.83
2021-07-23,82.32,83.25,80.354,81.83,3186137.0,260721590.71
2021-07-26,80.1,81.25,77.0,77.63,6594796.0,511954013.48
2021-07-27,77.63,78.28,71.96,76.19,12380226.0,943249418.94
2021-07-28,77.0,79.2,76.15,79.13,5008178.0,396297125.14
2021-07-29,79.15,79.19,76.73,76.85,3941159.0,302878069.15
2021-07-30,76.32,77.55,75.83,76.98,3262409.0,251140244.82
2021-08-02,77.0,79.0,76.11,78.31,3971314.0,310993599.34000003
2021-08-03,77.11,77.5,73.46,77.49,9686315.0,750592549.3499999
2021-08-04,77.04,81.93,76.55,81.65,9308878.0,760069888.7
2021-08-05,79.74,81.04,78.6974,80.57,4354514.0,350843192.97999996
2021-08-06,79.92,82.4772,77.65,77.92,4681577.0,364788479.84
2021-08-09,79.09,86.74,78.47,85.51,16103445.0,1377005581.95
2021-08-10,85.44,85.67,83.1,85.08,8272858.0,703854758.64
2021-08-11,85.78,87.515,82.89,84.69,6531469.0,553150109.61
2021-08-12,84.04,84.71,81.21,82.65,3995602.0,330236505.3
2021-08-13,83.018,84.1791,81.5,83.96,4218819.0,354212043.23999995
2021-08-16,83.7,84.19,79.14,79.57,13256293.0,1054803234.01
2021-08-17,74.894,81.3,73.9,78.68,21772252.0,1713040787.36
2021-08-18,79.22,84.4,79.0,83.46,13036262.0,1088006426.52
2021-08-19,81.67,82.5,79.85,81.35,7561791.0,615151697.8499999
