timestamps,open,high,low,close,volume,amount
2021-05-28,94.73,94.73,92.13,93.27,3850092.0,359098080.84
2021-06-01,94.95,97.535,94.905,96.25,3943029.0,379516541.25
2021-06-02,96.5,97.72,95.35,96.98,3619227.0,350992634.46000004
2021-06-03,96.0,96.11,93.92,94.72,3492441.0,330804011.52
2021-06-04,95.75,95.83,93.3,94.07,2749661.0,258660610.27
2021-06-07,94.62,96.17,94.24,94.48,3066446.0,289717818.08
2021-06-08,94.95,95.98,93.94,94.95,3282549.0,311678027.55
2021-06-09,95.32,95.47,92.56,92.79,2594620.0,240754789.8
2021-06-10,93.0,93.005,89.59,90.63,4167773.0,377725266.99
2021-06-11,88.44,90.73,88.14,90.09,3998466.0,360221801.94
2021-06-14,90.0,90.36,87.39,87.95,3078810.0,270781339.5
2021-06-15,88.42,88.9571,86.685,86.93,2467910.0,214535416.3
2021-06-16,87.79,89.05,86.95,88.52,3378294.0,299046584.88
2021-06-17,88.27,89.82,85.97,86.41,3520220.0,304182210.2
2021-06-18,85.41,86.63,84.5,85.64,4252445.0,364179389.8
2021-06-21,86.21,87.53,84.96,87.4,2868953.0,250746492.2
2021-06-22,86.8,86.94,84.52,85.66,3153817.0,270155964.21999997
2021-06-23,85.71,86.83,85.71,86.16,1968469.0,169603289.04
2021-06-24,86.99,88.07,85.97,86.97,3617913.0,314649893.61
2021-06-25,87.3,89.89,86.74,89.22,5394936.0,481336189.92
2021-06-28,88.0,88.36,82.85,83.45,9704683.0,809855796.35
2021-06-29,83.51,84.77,82.4301,83.0,5455726.0,452825258.0
2021-06-30,83.43,85.39,82.8,85.28,3777051.0,322106909.28000003
2021-07-01,85.9,87.1,85.33,85.89,2609006.0,224087525.34
2021-07-02,86.36,86.36,84.97,86.04,2300459.0,197931492.36
2021-07-06,87.5,87.82,82.58,82.97,5051697.0,419139300.09
2021-07-07,82.41,83.43,80.3,80.46,5280852.0,424897351.92
2021-07-08,78.45,80.52,77.115,79.45,4587497.0,364476636.65
