timestamps,open,high,low,close,volume,amount
2021-09-03,10.7,12.96,10.7,12.24,1105310.0,13528994.4
2021-09-07,12.26,12.49,11.55,11.77,822606.0,9682072.62
2021-09-08,11.88,12.016,11.58,11.91,255682.0,3045172.62
2021-09-09,11.83,13.34,11.7,12.85,1273268.0,16361493.8
2021-09-10,12.5,13.115,11.64,11.64,874936.0,10184255.04
2021-09-13,11.68,11.85,11.12,11.31,307315.0,3475732.6500000004
2021-09-14,11.3,11.608,10.66,10.67,461765.0,4927032.55
2021-09-15,10.85,11.0032,10.37,10.56,417572.0,4409560.32
2021-09-16,10.66,11.21,10.66,11.07,384342.0,4254665.94
2021-09-17,11.07,11.54,10.95,11.36,340924.0,3872896.64
2021-09-20,11.13,11.57,11.0,11.36,417490.0,4742686.399999999
2021-09-21,11.57,11.84,11.44,11.45,342024.0,3916174.8
2021-09-22,11.46,11.71,11.07,11.29,331424.0,3741776.959999999
2021-09-23,11.25,11.4223,10.89,10.89,335174.0,3650044.86
2021-09-24,10.7,10.8762,10.39,10.48,351422.0,3682902.56
2021-09-27,10.5,10.6499,9.96,9.99,423006.0,4225829.94
2021-09-28,10.1,10.44,9.95,10.05,623198.0,6263139.9
2021-09-29,10.09,10.34,9.8,9.85,429187.0,4227491.95
2021-09-30,9.86,10.0,9.57,9.63,385301.0,3710448.63
2021-10-01,9.73,9.965,9.46,9.48,389216.0,3689767.68
2021-10-04,9.41,9.6856,8.99,9.03,405883.0,3665123.49
2021-10-05,8.83,9.44,8.8224,9.11,768187.0,6998183.569999999
2021-10-06,8.92,9.17,8.78,8.8,275416.0,2423660.8000000003
2021-10-07,8.97,10.3862,8.9,9.77,1647682.0,16097853.14
2021-10-08,10.0,10.05,9.33,9.48,437432.0,4146855.36
2021-10-11,9.41,9.53,9.03,9.25,476185.0,4404711.25
2021-10-12,9.32,10.87,9.26,9.94,2252351.0,22388368.94
2021-10-13,10.12,12.84,10.02,12.13,13281070.0,161099379.10000002
2021-10-14,11.65,11.9599,10.68,10.9,3761834.0,41003990.6
2021-10-15,11.02,11.11,10.06,10.25,1764225.0,18083306.25
2021-10-18,10.24,10.93,10.2,10.6,1267736.0,13438001.6
2021-10-19,10.85,11.1,10.61,10.67,826367.0,8817335.89
2021-10-20,10.84,11.3399,10.4901,10.9,895550.0,9761495.0
2021-10-21,10.95,11.46,10.89,11.24,1207786.0,13575514.64
2021-10-22,11.24,12.6,11.0116,12.16,2020101.0,24564428.16
2021-10-25,12.17,16.98,11.6501,13.14,17385712.0,228448255.68
2021-10-26,13.14,14.68,12.5489,13.19,4403773.0,58085765.87
2021-10-27,13.05,13.19,12.15,12.95,2369458.0,30684481.1
2021-10-28,12.95,13.217,12.37,12.45,1410626.0,17562293.7
2021-10-29,12.35,12.61,11.72,11.88,1211276.0,14389958.88
2021-11-01,11.76,12.96,11.26,12.72,1644205.0,20914287.6
2021-11-02,12.78,13.1,12.48,12.6,901213.0,11355283.8
2021-11-03,12.6,13.4499,12.44,13.01,1091453.0,14199803.53
2021-11-04,13.29,13.7903,12.9,12.99,746795.0,9700867.05
2021-11-05,13.07,13.52,12.6607,12.76,558410.0,7125311.6
2021-11-08,12.92,13.13,12.06,12.23,787998.0,9637215.54
2021-11-09,12.11,12.65,11.82,11.91,714923.0,8514732.93
2021-11-10,11.09,11.1497,9.928,9.99,3188098.0,31849099.02
2021-11-11,10.31,11.43,10.3,10.88,1397748.0,15207498.24
2021-11-12,10.91,11.58,10.91,11.25,635147.0,7145403.75
2021-11-15,11.08,11.11,10.357,10.5,837590.0,8794695.0
2021-11-16,10.33,12.15,9.76,10.32,5830914.0,60175032.48
2021-11-17,10.17,10.32,9.94,10.0,938661.0,9386610.0
2021-11-18,10.11,10.23,9.68,10.16,1029026.0,10454904.16
2021-11-19,10.0,10.15,9.67,9.93,1057261.0,10498601.73
2021-11-22,10.02,10.08,9.15,9.61,1156826.0,11117097.86
2021-11-23,9.51,9.539,8.78,9.21,1700387.0,15660564.27
2021-11-24,9.43,9.6699,8.8801,9.2,1227349.0,11291610.8
2021-11-26,8.99,9.51,8.92,9.44,443673.0,4188273.12
2021-11-29,9.55,9.63,8.92,9.1,799113.0,7271928.3
2021-11-30,9.27,9.39,8.77,8.87,914391.0,8110648.169999999
2021-12-01,9.0,9.01,8.05,8.11,1112282.0,9020607.02
2021-12-02,8.17,8.428,7.54,8.06,2001306.0,16130526.36
2021-12-03,8.1,8.14,7.26,7.71,1827866.0,14092846.86
2021-12-06,7.61,7.7,6.96,7.39,1226313.0,9062453.07
2021-12-07,7.69,8.09,7.55,7.99,1007818.0,8052465.82
2021-12-08,7.91,8.1499,7.71,7.82,542149.0,4239605.18
2021-12-09,7.97,8.34,7.8401,7.91,725921.0,5742035.11
2021-12-10,8.0,8.0783,7.72,7.87,390801.0,3075603.87
2021-12-13,7.85,7.95,7.29,7.32,579083.0,4238887.5600000005
2021-12-14,7.17,7.4,6.995,7.28,595716.0,4336812.48
2021-12-15,7.21,7.76,7.0101,7.63,665029.0,5074171.27
2021-12-16,7.77,7.89,7.1664,7.3,512819.0,3743578.7
2021-12-17,7.18,7.48,7.04,7.24,1131678.0,8193348.720000001
2021-12-20,7.12,7.2,6.74,6.87,787079.0,5407232.73
