timestamps,open,high,low,close,volume,amount
2021-05-28,497.61,505.21,497.22,502.43,542293.0,272464271.99
2021-06-01,505.76,508.79,497.93,503.23,617142.0,310564368.66
2021-06-02,503.17,510.31,501.2,505.36,679448.0,343365841.28000003
2021-06-03,501.07,506.89,499.78,505.66,444971.0,225004035.86
2021-06-04,507.59,518.365,505.8,511.89,785309.0,401991824.01
2021-06-07,511.65,525.39,509.5,514.99,869012.0,447532489.88
2021-06-08,517.2,518.62,501.69,506.42,963667.0,488020242.14
2021-06-09,507.84,522.79,505.62,521.85,783314.0,408772410.9
2021-06-10,521.26,533.26,516.04,532.04,935061.0,497489854.43999994
2021-06-11,529.28,530.255,519.975,525.55,623056.0,327447080.79999995
2021-06-14,525.0,529.29,521.955,528.75,497891.0,263259866.25
2021-06-15,528.0,530.72,523.66,527.49,547475.0,288787587.75
2021-06-16,531.17,542.42,522.24,523.58,914609.0,478870980.22
2021-06-17,524.0,538.5,516.75,536.01,846227.0,453586134.27
2021-06-18,534.66,540.03,532.125,537.92,914787.0,492082223.04
2021-06-21,539.99,543.74,532.73,534.27,678846.0,362687052.42
2021-06-22,533.04,535.11,526.91,534.02,655604.0,350105648.08
2021-06-23,532.85,534.695,523.2909,529.8,636333.0,337129223.4
2021-06-24,533.09,545.37,531.33,544.45,790215.0,430232556.75000006
2021-06-25,543.59,552.5,540.7512,550.55,1912904.0,1053149297.2
2021-06-28,565.54,569.99,542.55,542.7,1509607.0,819263718.9000001
2021-06-29,542.28,548.0239,536.08,545.98,721575.0,393965518.5
2021-06-30,545.2,561.77,544.52,558.54,861904.0,481407860.16
2021-07-01,556.6,576.92,554.945,574.62,1277618.0,734144855.16
2021-07-02,576.0,592.835,571.55,583.64,1073778.0,626699791.92
2021-07-06,579.41,584.285,572.93,582.25,643878.0,374897965.5
2021-07-07,584.27,590.945,580.755,585.9,709038.0,415425364.2
2021-07-08,578.44,580.0,568.15,574.92,766637.0,440754944.04
2021-07-09,573.0,580.85,571.01,580.4,550149.0,319306479.59999996
2021-07-12,579.92,586.34,571.04,574.03,655337.0,376183098.1099999
2021-07-13,574.58,582.19,570.615,577.01,448822.0,258974782.22
